"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1993","Stratum_1"," [km2*unitless/unitless]",97115.0179837284,23262.8438796399,0.239539098716303
"Large","1993","Stratum_1"," [km2*unitless/unitless]",20397.4204547029,10873.2588377889,0.533070290036697
"Small","1994","Stratum_1"," [km2*unitless/unitless]",111489.156008641,25870.6170655267,0.232046039199737
"Large","1994","Stratum_1"," [km2*unitless/unitless]",25464.4290962327,9372.18252582697,0.368049976318279
"Small","1995","Stratum_1"," [km2*unitless/unitless]",106637.349965388,25355.7150280735,0.237775179487332
"Large","1995","Stratum_1"," [km2*unitless/unitless]",16205.6607014907,5469.84828758886,0.337527015303097
"Small","1996","Stratum_1"," [km2*unitless/unitless]",72881.4133875053,17063.3618965673,0.234125013545533
"Large","1996","Stratum_1"," [km2*unitless/unitless]",15627.5531739885,4930.23293082579,0.315483356603258
"Small","1997","Stratum_1"," [km2*unitless/unitless]",95952.680673303,20612.9528441827,0.214824147689684
"Large","1997","Stratum_1"," [km2*unitless/unitless]",15949.1334629569,4951.93047096674,0.310482728260316
"Small","1998","Stratum_1"," [km2*unitless/unitless]",115359.687820783,20968.6450735833,0.181767526158351
"Large","1998","Stratum_1"," [km2*unitless/unitless]",15514.4570656334,4904.98960936298,0.316156059384649
"Small","1999","Stratum_1"," [km2*unitless/unitless]",75734.4259018526,18602.9423980606,0.245633899993761
"Large","1999","Stratum_1"," [km2*unitless/unitless]",29112.4856052706,10474.783988416,0.359803835730179
"Small","2000","Stratum_1"," [km2*unitless/unitless]",94947.4019817283,26070.8770333921,0.274582310724091
"Large","2000","Stratum_1"," [km2*unitless/unitless]",35093.7257217629,16013.2765716712,0.456300271411217
"Small","2001","Stratum_1"," [km2*unitless/unitless]",80526.5445152581,19401.1086126672,0.240928115436408
"Large","2001","Stratum_1"," [km2*unitless/unitless]",32958.4544136629,13391.4017340676,0.406311581422829
"Small","2002","Stratum_1"," [km2*unitless/unitless]",58516.8734526086,14332.08794315,0.244922312104683
"Large","2002","Stratum_1"," [km2*unitless/unitless]",6233.5705941202,2218.38397534225,0.355876931502908
"Small","2003","Stratum_1"," [km2*unitless/unitless]",31065.2642858635,7300.03286485063,0.234990206349945
"Large","2003","Stratum_1"," [km2*unitless/unitless]",2188.36787092251,864.873995572057,0.395214171741366
"Small","2004","Stratum_1"," [km2*unitless/unitless]",104886.312838699,22743.9290850307,0.216843632591107
"Large","2004","Stratum_1"," [km2*unitless/unitless]",2865.42892186856,1296.62500298329,0.452506426904408
"Small","2005","Stratum_1"," [km2*unitless/unitless]",70976.4192516003,17420.4050478063,0.24543933367579
"Large","2005","Stratum_1"," [km2*unitless/unitless]",2313.38427458942,1175.59999472686,0.508173245422229
"Small","2006","Stratum_1"," [km2*unitless/unitless]",26692.0960424795,7965.05900866447,0.298405153195477
"Large","2006","Stratum_1"," [km2*unitless/unitless]",1150.63732244364,691.681743774333,0.601129244013557
"Small","2007","Stratum_1"," [km2*unitless/unitless]",27405.7211183271,6422.69660381183,0.234356052011227
"Large","2007","Stratum_1"," [km2*unitless/unitless]",904.219374625164,452.302330996438,0.500213049719196
"Small","2008","Stratum_1"," [km2*unitless/unitless]",36966.3928160969,8513.73937736241,0.230310255580445
"Large","2008","Stratum_1"," [km2*unitless/unitless]",1559.41778906608,784.383057658687,0.502997377071381
"Small","2009","Stratum_1"," [km2*unitless/unitless]",23666.7898546274,5855.68698161009,0.247422105726146
"Large","2009","Stratum_1"," [km2*unitless/unitless]",1332.19979304316,640.389621190792,0.480700886259666
"Small","2010","Stratum_1"," [km2*unitless/unitless]",31225.7323539164,6546.13910401896,0.209639249764399
"Large","2010","Stratum_1"," [km2*unitless/unitless]",3123.18989226263,1441.85517960502,0.461661067480097
"Small","2011","Stratum_1"," [km2*unitless/unitless]",37339.7770049567,9539.56362579642,0.255479930277304
"Large","2011","Stratum_1"," [km2*unitless/unitless]",1944.12092634324,802.506784933907,0.412786454823758
"Small","2012","Stratum_1"," [km2*unitless/unitless]",23760.5602035741,6405.66790693375,0.269592461290967
"Large","2012","Stratum_1"," [km2*unitless/unitless]",1492.86758285909,615.232744413633,0.412114745793703
"Small","2013","Stratum_1"," [km2*unitless/unitless]",25889.0136202149,5965.36305724193,0.230420638837472
"Large","2013","Stratum_1"," [km2*unitless/unitless]",962.882169436364,402.822562203479,0.418350837713899
"Small","2014","Stratum_1"," [km2*unitless/unitless]",21958.7364044197,5882.53431767518,0.267890383550994
"Large","2014","Stratum_1"," [km2*unitless/unitless]",2084.36706756889,874.999848837786,0.41979163001186
"Small","2015","Stratum_1"," [km2*unitless/unitless]",21460.2011507452,5639.77903662135,0.262801778837265
"Large","2015","Stratum_1"," [km2*unitless/unitless]",2680.0853545267,1010.81109301331,0.37715630634899
"Small","2016","Stratum_1"," [km2*unitless/unitless]",19557.5631243358,4612.52434506672,0.23584351055103
