"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1993","Stratum_1"," [km2*unitless/unitless]",97067.744134665,23354.7358768546,0.240602437864981
"Large","1993","Stratum_1"," [km2*unitless/unitless]",17601.4922828195,8446.83305418786,0.479893006710157
"Small","1994","Stratum_1"," [km2*unitless/unitless]",112599.756083245,26139.0641062901,0.232141391913546
"Large","1994","Stratum_1"," [km2*unitless/unitless]",26008.4544460953,9724.72933020983,0.373906467620564
"Small","1995","Stratum_1"," [km2*unitless/unitless]",106991.134025357,25593.9710204133,0.239215812165776
"Large","1995","Stratum_1"," [km2*unitless/unitless]",17615.8755514539,6230.28841870499,0.353674638567185
"Small","1996","Stratum_1"," [km2*unitless/unitless]",71942.4715317838,16994.4115077569,0.236222236266221
"Large","1996","Stratum_1"," [km2*unitless/unitless]",16384.3985401874,5363.78497694434,0.327371490859925
"Small","1997","Stratum_1"," [km2*unitless/unitless]",94908.7381850128,20624.8880248465,0.217312846206435
"Large","1997","Stratum_1"," [km2*unitless/unitless]",16144.674069216,5101.77157450971,0.316003379977646
"Small","1998","Stratum_1"," [km2*unitless/unitless]",116887.491309825,21464.0232808781,0.183629771161611
"Large","1998","Stratum_1"," [km2*unitless/unitless]",15682.4005480618,5126.6257195069,0.326903123268364
"Small","1999","Stratum_1"," [km2*unitless/unitless]",75369.2328859814,18597.7359504861,0.246755011804628
"Large","1999","Stratum_1"," [km2*unitless/unitless]",29781.791080426,11538.1709238805,0.38742367417465
"Small","2000","Stratum_1"," [km2*unitless/unitless]",98233.2286809346,27042.5425000201,0.275289154832275
"Large","2000","Stratum_1"," [km2*unitless/unitless]",35968.4619834202,17155.4814783544,0.476958994973493
"Small","2001","Stratum_1"," [km2*unitless/unitless]",82282.9093104661,20169.6950010699,0.245126177113725
"Large","2001","Stratum_1"," [km2*unitless/unitless]",33987.8194893908,13749.2559085727,0.404534804383801
"Small","2002","Stratum_1"," [km2*unitless/unitless]",59674.1155236558,14926.7669339435,0.250138050693458
"Large","2002","Stratum_1"," [km2*unitless/unitless]",6729.3326444231,2518.91086755709,0.374318078872892
"Small","2003","Stratum_1"," [km2*unitless/unitless]",29928.0024487998,7202.93890936865,0.240675565356936
"Large","2003","Stratum_1"," [km2*unitless/unitless]",2234.47769974512,915.462833831417,0.40969880072459
"Small","2004","Stratum_1"," [km2*unitless/unitless]",104344.082758218,22677.4361957873,0.217333226727716
"Large","2004","Stratum_1"," [km2*unitless/unitless]",2970.57082456667,1351.37169705329,0.454919871250815
"Small","2005","Stratum_1"," [km2*unitless/unitless]",71080.8351416792,17414.690843171,0.244998399476593
"Large","2005","Stratum_1"," [km2*unitless/unitless]",2471.75428741588,1291.21898889085,0.522389703323127
"Small","2006","Stratum_1"," [km2*unitless/unitless]",25966.9769753015,7680.39238427982,0.295775376224388
"Large","2006","Stratum_1"," [km2*unitless/unitless]",1204.12989236374,727.139759604854,0.603871529322689
"Small","2007","Stratum_1"," [km2*unitless/unitless]",28873.9047207778,7004.64975234289,0.242594474840887
"Large","2007","Stratum_1"," [km2*unitless/unitless]",978.919157055165,498.922405289813,0.50966660698591
"Small","2008","Stratum_1"," [km2*unitless/unitless]",36241.5000525401,8395.38637817391,0.231651183477586
"Large","2008","Stratum_1"," [km2*unitless/unitless]",1536.44989978943,738.045194479942,0.480357475099638
"Small","2009","Stratum_1"," [km2*unitless/unitless]",23456.642348471,5867.96037368609,0.250161991921601
"Large","2009","Stratum_1"," [km2*unitless/unitless]",1316.042187126,610.719020756002,0.464057327895928
"Small","2010","Stratum_1"," [km2*unitless/unitless]",30681.4702550241,6493.30234331626,0.211635957773339
"Large","2010","Stratum_1"," [km2*unitless/unitless]",2795.49305633193,1160.98463456119,0.415305855234196
"Small","2011","Stratum_1"," [km2*unitless/unitless]",35409.6731812431,8956.39373891914,0.252936357053514
"Large","2011","Stratum_1"," [km2*unitless/unitless]",1976.55210868753,828.72461086961,0.419277896710702
"Small","2012","Stratum_1"," [km2*unitless/unitless]",23157.6906078059,6220.10899866821,0.268597983452268
"Large","2012","Stratum_1"," [km2*unitless/unitless]",1607.98327746491,632.543893151246,0.393377158839918
"Small","2013","Stratum_1"," [km2*unitless/unitless]",26770.461015341,6378.79778816419,0.23827747249137
"Large","2013","Stratum_1"," [km2*unitless/unitless]",1166.04932987474,526.293566845557,0.451347600278706
"Small","2014","Stratum_1"," [km2*unitless/unitless]",22266.0896951479,5907.44480797937,0.265311282261954
"Large","2014","Stratum_1"," [km2*unitless/unitless]",2165.60234874752,894.672279115267,0.413128605827706
"Small","2015","Stratum_1"," [km2*unitless/unitless]",20937.8515876262,5565.93024921355,0.265831010689889
"Large","2015","Stratum_1"," [km2*unitless/unitless]",2872.57522617957,1139.02825351984,0.39651816361123
"Small","2016","Stratum_1"," [km2*unitless/unitless]",18998.293375748,4476.62814097377,0.235633172540031
"Large","2016","Stratum_1"," [km2*unitless/unitless]",3950.91363697137,1580.97921477428,0.400155346343182
"Small","2017","Stratum_1"," [km2*unitless/unitless]",33682.7405200877,9594.63479408921,0.284853151671764
"Large","2017","Stratum_1"," [km2*unitless/unitless]",6856.08809438837,2526.63056197633,0.368523643102595
"Small","2018","Stratum_1"," [km2*unitless/unitless]",11520.5276925781,3078.58233926877,0.267225809565312
"Large","2018","Stratum_1"," [km2*unitless/unitless]",6519.02768328441,2587.27186564267,0.396880024344237
"Small","2019","Stratum_1"," [km2*unitless/unitless]",29238.8017543128,7099.60974486574,0.242814661302546
"Large","2019","Stratum_1"," [km2*unitless/unitless]",12509.3964158387,4777.75622630881,0.381933393705509
"Small","2020","Stratum_1"," [km2*unitless/unitless]",24560.5275672233,5826.85076479303,0.237244527783236
"Large","2020","Stratum_1"," [km2*unitless/unitless]",10837.777342936,4080.7321725021,0.376528511647444
"Small","2021","Stratum_1"," [km2*unitless/unitless]",71974.8225851561,18335.0519133988,0.254742578791436
"Large","2021","Stratum_1"," [km2*unitless/unitless]",6320.14160435323,2324.28533102044,0.367758426396571
