"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1993","Stratum_1"," [km2*unitless/unitless]",87711.6665387963,30721.6708850933,0.350257521004969
"Large","1993","Stratum_1"," [km2*unitless/unitless]",69719.4686623299,76183.8563049223,1.09271997860312
"Small","1994","Stratum_1"," [km2*unitless/unitless]",103493.523680338,24688.6990974311,0.238553082545411
"Large","1994","Stratum_1"," [km2*unitless/unitless]",32860.1388633649,13967.4395419852,0.425057228153019
"Small","1995","Stratum_1"," [km2*unitless/unitless]",114366.246883909,25508.3436778929,0.223040839171595
"Large","1995","Stratum_1"," [km2*unitless/unitless]",21007.1250056905,7445.52591760796,0.354428600562479
"Small","1996","Stratum_1"," [km2*unitless/unitless]",67514.5282050601,15106.1815308096,0.22374712424751
"Large","1996","Stratum_1"," [km2*unitless/unitless]",19321.7819175678,7201.2747541904,0.3727024135203
"Small","1997","Stratum_1"," [km2*unitless/unitless]",102759.835527855,20262.4835491766,0.197182911446798
"Large","1997","Stratum_1"," [km2*unitless/unitless]",18001.9985975138,6394.55698749601,0.355213725457081
"Small","1998","Stratum_1"," [km2*unitless/unitless]",123008.289432852,22408.9168361078,0.182174038346745
"Large","1998","Stratum_1"," [km2*unitless/unitless]",17166.9544624548,6315.94027492884,0.367912682983007
"Small","1999","Stratum_1"," [km2*unitless/unitless]",79839.7722505313,19095.6801179747,0.239175032439394
"Large","1999","Stratum_1"," [km2*unitless/unitless]",31732.965267619,12603.9758789114,0.397188720707825
"Small","2000","Stratum_1"," [km2*unitless/unitless]",106565.134023436,29669.5475883571,0.278417025045284
"Large","2000","Stratum_1"," [km2*unitless/unitless]",45427.8650298398,22121.9687244952,0.486969147899953
"Small","2001","Stratum_1"," [km2*unitless/unitless]",94002.6339659483,23641.8502569627,0.251501997970895
"Large","2001","Stratum_1"," [km2*unitless/unitless]",44449.8608787665,20066.4428412914,0.451439947045527
"Small","2002","Stratum_1"," [km2*unitless/unitless]",59648.2535226048,14353.1114450785,0.240629198634275
"Large","2002","Stratum_1"," [km2*unitless/unitless]",7784.03688126044,3039.05700249363,0.390421711619836
"Small","2003","Stratum_1"," [km2*unitless/unitless]",30726.8042959669,7130.49161203474,0.232060957050801
"Large","2003","Stratum_1"," [km2*unitless/unitless]",2657.79946771748,1156.33218172247,0.435071266951353
"Small","2004","Stratum_1"," [km2*unitless/unitless]",100054.085254562,20148.3917214268,0.201375003031254
"Large","2004","Stratum_1"," [km2*unitless/unitless]",4216.83214263218,1991.13399650008,0.472187160681524
"Small","2005","Stratum_1"," [km2*unitless/unitless]",67016.6100570634,15669.7248955615,0.233818524724229
"Large","2005","Stratum_1"," [km2*unitless/unitless]",3096.7239729442,1764.67790143839,0.569853147021246
"Small","2006","Stratum_1"," [km2*unitless/unitless]",28213.0019725276,8558.05613597937,0.303337310376002
"Large","2006","Stratum_1"," [km2*unitless/unitless]",1445.05869736028,977.72907810389,0.676601635552887
"Small","2007","Stratum_1"," [km2*unitless/unitless]",26821.6356387261,6437.05747742448,0.239994963921231
"Large","2007","Stratum_1"," [km2*unitless/unitless]",920.589120948825,522.354031748053,0.56741277934034
"Small","2008","Stratum_1"," [km2*unitless/unitless]",36583.2211773644,8412.39441232494,0.229952260669983
"Large","2008","Stratum_1"," [km2*unitless/unitless]",2058.84130908386,1125.59981121166,0.546715186957527
"Small","2009","Stratum_1"," [km2*unitless/unitless]",25647.8505259309,6604.68060676164,0.257514001030381
"Large","2009","Stratum_1"," [km2*unitless/unitless]",1723.2188992767,885.28594671436,0.513739692087842
"Small","2010","Stratum_1"," [km2*unitless/unitless]",35583.500871189,8321.38997081189,0.23385529155591
"Large","2010","Stratum_1"," [km2*unitless/unitless]",2812.72008798783,1349.61251668542,0.479824680190949
"Small","2011","Stratum_1"," [km2*unitless/unitless]",39147.4362846815,9885.19867504923,0.25251203177556
"Large","2011","Stratum_1"," [km2*unitless/unitless]",2375.77374311775,1145.12433721838,0.482000586350291
"Small","2012","Stratum_1"," [km2*unitless/unitless]",24985.2199616442,6443.26871047481,0.257883209368024
"Large","2012","Stratum_1"," [km2*unitless/unitless]",1860.76237408986,890.82464257803,0.478741753908129
"Small","2013","Stratum_1"," [km2*unitless/unitless]",25200.8694497837,5826.63231493321,0.231207590934257
"Large","2013","Stratum_1"," [km2*unitless/unitless]",1088.7454870947,538.286886863201,0.494410211793034
"Small","2014","Stratum_1"," [km2*unitless/unitless]",24138.8722257052,6086.28738482517,0.252136360303691
"Large","2014","Stratum_1"," [km2*unitless/unitless]",2268.69281515411,1130.01403368228,0.498090365577111
"Small","2015","Stratum_1"," [km2*unitless/unitless]",22555.9487490009,5894.54000782033,0.261329730503197
"Large","2015","Stratum_1"," [km2*unitless/unitless]",2362.20293082118,1025.59533681492,0.434169022243315
"Small","2016","Stratum_1"," [km2*unitless/unitless]",20058.3995296075,4675.1297320978,0.233075910428298
"Large","2016","Stratum_1"," [km2*unitless/unitless]",4735.76448593553,2103.74176757814,0.444224321928576
"Small","2017","Stratum_1"," [km2*unitless/unitless]",33200.1516196284,8560.41047887303,0.257842511592989
"Large","2017","Stratum_1"," [km2*unitless/unitless]",7076.66951946077,2908.00929335801,0.410929079754398
"Small","2018","Stratum_1"," [km2*unitless/unitless]",12877.1971829304,3211.69043119288,0.24940912106636
"Large","2018","Stratum_1"," [km2*unitless/unitless]",5494.08268785672,2252.10608481954,0.409914850716981
"Small","2019","Stratum_1"," [km2*unitless/unitless]",31622.0138946618,7030.02211525054,0.222314180832021
"Large","2019","Stratum_1"," [km2*unitless/unitless]",10469.4260182208,4145.16201774391,0.39593020768567
"Small","2020","Stratum_1"," [km2*unitless/unitless]",27088.1237594584,5890.34282827462,0.217451119190855
"Large","2020","Stratum_1"," [km2*unitless/unitless]",12716.7692861876,5044.41453708116,0.396674219965614
"Small","2021","Stratum_1"," [km2*unitless/unitless]",70211.3810494138,17179.1127750517,0.244677038370194
"Large","2021","Stratum_1"," [km2*unitless/unitless]",7219.11474704488,3003.65020365482,0.416069048477773
