"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1993","Stratum_1"," [counts*km2/km2]",94289.2202228136,36565.0894801597,0.387797135173599
"Large","1993","Stratum_1"," [counts*km2/km2]",17149.307276484,18884.0656815968,1.10115617949721
"Small","1994","Stratum_1"," [counts*km2/km2]",98904.3715174464,25096.9354044452,0.253749505905491
"Large","1994","Stratum_1"," [counts*km2/km2]",16430.554275877,8075.10894703093,0.491469052805275
"Small","1995","Stratum_1"," [counts*km2/km2]",109054.619162695,25281.2470688218,0.231821882125924
"Large","1995","Stratum_1"," [counts*km2/km2]",15166.7507865534,5310.13216800685,0.35011666260876
"Small","1996","Stratum_1"," [counts*km2/km2]",56848.1848718965,13128.1658287165,0.230933773141568
"Large","1996","Stratum_1"," [counts*km2/km2]",16494.3538666946,6661.59418940723,0.403871181814421
"Small","1997","Stratum_1"," [counts*km2/km2]",96001.4658877786,19441.0211053093,0.202507544291406
"Large","1997","Stratum_1"," [counts*km2/km2]",12220.7483849913,5047.08212721795,0.412992884577874
"Small","1998","Stratum_1"," [counts*km2/km2]",124391.62932198,23679.5736383943,0.190363079633768
"Large","1998","Stratum_1"," [counts*km2/km2]",18003.4371237404,7463.36225078937,0.414552076889125
"Small","1999","Stratum_1"," [counts*km2/km2]",72151.9079220008,18598.8912967093,0.257774074620667
"Large","1999","Stratum_1"," [counts*km2/km2]",17525.6157484185,7946.18787274251,0.453404204839968
"Small","2000","Stratum_1"," [counts*km2/km2]",116718.085003468,32604.050354019,0.279340175543919
"Large","2000","Stratum_1"," [counts*km2/km2]",19652.9826076731,10598.7551480271,0.539294994536302
"Small","2001","Stratum_1"," [counts*km2/km2]",79124.2778106514,21260.0287836408,0.268691599745367
"Large","2001","Stratum_1"," [counts*km2/km2]",24738.6674738393,12322.5080359518,0.498107185804679
"Small","2002","Stratum_1"," [counts*km2/km2]",64111.2808491977,16683.6350821421,0.260229320973718
"Large","2002","Stratum_1"," [counts*km2/km2]",6398.11178081546,2933.43850136601,0.458485034625658
"Small","2003","Stratum_1"," [counts*km2/km2]",24946.6120988578,6210.35426721171,0.248945798435535
"Large","2003","Stratum_1"," [counts*km2/km2]",2198.46056671892,1054.02924610838,0.479439687054044
"Small","2004","Stratum_1"," [counts*km2/km2]",98702.3315635965,20362.9323719803,0.206306498026948
"Large","2004","Stratum_1"," [counts*km2/km2]",2774.25372106772,1459.25682246467,0.525999771175596
"Small","2005","Stratum_1"," [counts*km2/km2]",68132.8420532959,16122.4154741066,0.236632070353018
"Large","2005","Stratum_1"," [counts*km2/km2]",2460.32987554618,1486.27396715174,0.604095402784879
"Small","2006","Stratum_1"," [counts*km2/km2]",26328.3002291815,8291.079525706,0.314911310397335
"Large","2006","Stratum_1"," [counts*km2/km2]",1394.83678390187,936.907728098359,0.671697032162775
"Small","2007","Stratum_1"," [counts*km2/km2]",21050.3652170636,5214.91931764195,0.247735336839415
"Large","2007","Stratum_1"," [counts*km2/km2]",711.516225864506,427.008436768068,0.600138719604384
"Small","2008","Stratum_1"," [counts*km2/km2]",29350.8188708556,6927.85812243602,0.236036280722483
"Large","2008","Stratum_1"," [counts*km2/km2]",1789.18394417865,1040.21800545184,0.581392432475334
"Small","2009","Stratum_1"," [counts*km2/km2]",21050.6389439315,5567.11478598586,0.26446298379892
"Large","2009","Stratum_1"," [counts*km2/km2]",1736.32422571675,946.069546061387,0.544869173653815
"Small","2010","Stratum_1"," [counts*km2/km2]",29817.1930534049,6989.81541596167,0.234422314784707
"Large","2010","Stratum_1"," [counts*km2/km2]",2580.34396278438,1337.3335276113,0.518277232376501
"Small","2011","Stratum_1"," [counts*km2/km2]",30586.5762200247,7691.16525241566,0.251455579633667
"Large","2011","Stratum_1"," [counts*km2/km2]",2404.83665040105,1503.00422930262,0.624992233485785
"Small","2012","Stratum_1"," [counts*km2/km2]",19034.3564941791,5233.66475243866,0.274958848965509
"Large","2012","Stratum_1"," [counts*km2/km2]",2704.28147648617,1379.88621814089,0.510259834317936
"Small","2013","Stratum_1"," [counts*km2/km2]",20582.6617411276,4921.54565525197,0.239111234355948
