"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1993","Stratum_1"," [km2*unitless/unitless]",97515.6613279235,23413.6036272311,0.240100957204159
"Large","1993","Stratum_1"," [km2*unitless/unitless]",19647.160757269,10223.1688049659,0.520338227557054
"Small","1994","Stratum_1"," [km2*unitless/unitless]",111892.32914387,26050.7548256017,0.232819845872596
"Large","1994","Stratum_1"," [km2*unitless/unitless]",24376.6526517818,8866.72462651708,0.363738399737544
"Small","1995","Stratum_1"," [km2*unitless/unitless]",106656.013159578,25423.2819906773,0.238367075962601
"Large","1995","Stratum_1"," [km2*unitless/unitless]",15925.3824869701,5309.61502264945,0.333405808431521
"Small","1996","Stratum_1"," [km2*unitless/unitless]",72897.5156232853,17065.7759882652,0.234106414222078
"Large","1996","Stratum_1"," [km2*unitless/unitless]",15518.3771006326,4864.93978444277,0.313495396644566
"Small","1997","Stratum_1"," [km2*unitless/unitless]",96109.6498819927,20693.9243490565,0.215315781240129
"Large","1997","Stratum_1"," [km2*unitless/unitless]",15790.737578396,4859.46357265329,0.307741392606114
"Small","1998","Stratum_1"," [km2*unitless/unitless]",115232.689697422,20962.6877964377,0.181916154621414
"Large","1998","Stratum_1"," [km2*unitless/unitless]",15240.6336573528,4694.02363964015,0.307993994552552
"Small","1999","Stratum_1"," [km2*unitless/unitless]",75996.14541584,18755.5905903965,0.246796603798372
"Large","1999","Stratum_1"," [km2*unitless/unitless]",28953.361224204,10259.4757822159,0.35434489635833
"Small","2000","Stratum_1"," [km2*unitless/unitless]",95309.169657625,26261.2491001715,0.275537487048819
"Large","2000","Stratum_1"," [km2*unitless/unitless]",34697.6314549569,15670.9392516297,0.451642910322943
"Small","2001","Stratum_1"," [km2*unitless/unitless]",79679.994747269,19263.5367485061,0.241761270311408
"Large","2001","Stratum_1"," [km2*unitless/unitless]",32547.6289175871,13074.440980611,0.401701795658185
"Small","2002","Stratum_1"," [km2*unitless/unitless]",58438.0739085001,14334.7971101117,0.245298931866859
"Large","2002","Stratum_1"," [km2*unitless/unitless]",6172.29297460183,2186.66022104372,0.354270322235438
"Small","2003","Stratum_1"," [km2*unitless/unitless]",31029.8012387778,7307.9870207863,0.235515108993142
"Large","2003","Stratum_1"," [km2*unitless/unitless]",2195.9188389975,864.763979186761,0.393805073224632
"Small","2004","Stratum_1"," [km2*unitless/unitless]",105516.814874318,23000.8386551294,0.217982685342863
"Large","2004","Stratum_1"," [km2*unitless/unitless]",2810.86392229402,1266.08228833996,0.450424610845865
"Small","2005","Stratum_1"," [km2*unitless/unitless]",71652.6588216026,17693.1085814281,0.246928849151008
"Large","2005","Stratum_1"," [km2*unitless/unitless]",2304.36299875698,1161.31195365077,0.503962246519844
"Small","2006","Stratum_1"," [km2*unitless/unitless]",26759.8169459,7959.13504240933,0.297428605677693
"Large","2006","Stratum_1"," [km2*unitless/unitless]",1111.29732356358,671.3183551366,0.60408528024156
"Small","2007","Stratum_1"," [km2*unitless/unitless]",27504.5602856343,6473.83000477226,0.235372968611084
"Large","2007","Stratum_1"," [km2*unitless/unitless]",888.295845853985,439.362942431034,0.494613303081072
"Small","2008","Stratum_1"," [km2*unitless/unitless]",36311.5872148686,8310.94502358095,0.22887859388801
"Large","2008","Stratum_1"," [km2*unitless/unitless]",1617.17780369883,806.799706449299,0.498893630993437
"Small","2009","Stratum_1"," [km2*unitless/unitless]",23860.0072618632,5972.97088729746,0.25033399285022
"Large","2009","Stratum_1"," [km2*unitless/unitless]",1341.90699059669,640.457924779727,0.477274452900007
"Small","2010","Stratum_1"," [km2*unitless/unitless]",31286.7224171409,6574.14084046783,0.210125584675053
"Large","2010","Stratum_1"," [km2*unitless/unitless]",3114.3323642083,1383.5840254571,0.444263445147358
"Small","2011","Stratum_1"," [km2*unitless/unitless]",36909.7022549926,9432.07299603162,0.255544543027457
"Large","2011","Stratum_1"," [km2*unitless/unitless]",1942.88216553115,821.422717479376,0.422785659394231
"Small","2012","Stratum_1"," [km2*unitless/unitless]",23603.3923491253,6191.94173470149,0.262332703838266
"Large","2012","Stratum_1"," [km2*unitless/unitless]",1618.88739191487,682.408114429147,0.421529080921417
"Small","2013","Stratum_1"," [km2*unitless/unitless]",26005.8266979289,6004.36557106031,0.230885395061811
"Large","2013","Stratum_1"," [km2*unitless/unitless]",941.644633454906,392.831814407797,0.417176289707606
"Small","2014","Stratum_1"," [km2*unitless/unitless]",21548.2536636151,5610.34355262875,0.260361866915554
"Large","2014","Stratum_1"," [km2*unitless/unitless]",2156.22903787763,924.659689200192,0.428831850864198
"Small","2015","Stratum_1"," [km2*unitless/unitless]",21364.3962459365,5617.79170925302,0.262951110089129
"Large","2015","Stratum_1"," [km2*unitless/unitless]",2599.67935295167,962.84739351094,0.370371596950109
"Small","2016","Stratum_1"," [km2*unitless/unitless]",19639.4385319759,4642.46046516905,0.236384581850975
"Large","2016","Stratum_1"," [km2*unitless/unitless]",3845.20836960971,1592.02606480856,0.414028554964929
"Small","2017","Stratum_1"," [km2*unitless/unitless]",34941.2220019699,10140.2826317421,0.290209730820818
"Large","2017","Stratum_1"," [km2*unitless/unitless]",6900.40465156856,2517.1536436526,0.364783483107822
"Small","2018","Stratum_1"," [km2*unitless/unitless]",11940.5462074119,3158.08177720927,0.264483862157742
"Large","2018","Stratum_1"," [km2*unitless/unitless]",6055.87444708307,2195.26125839407,0.362501118141816
"Small","2019","Stratum_1"," [km2*unitless/unitless]",28771.8569096586,6867.44546196926,0.23868620935842
"Large","2019","Stratum_1"," [km2*unitless/unitless]",12296.6787560091,4614.33235360683,0.37525029686182
"Small","2020","Stratum_1"," [km2*unitless/unitless]",24350.1897953702,5699.63603144312,0.234069470478083
