"id","year","month","day","lon","lat","Size_class","catch","fhours","depth","sst","sstsource"
"AA_DE_20010804_110801",2001,8,4,-74.2833333333333,38.1,"small",3,6,-36.6,22.78,"Field"
"AA_DE_20010804_110802",2001,8,4,-74.2833333333333,38.1,"small",1,8,-57.9,23.33,"Field"
"AA_DE_20010804_110804",2001,8,4,-74.2833333333333,38.1,"small",1,7,-38.1,22.78,"Field"
"AA_DE_20010805_110701",2001,8,5,-73.8333333333333,38.2333333333333,"small",3,16,-91.4,23.33,"Field"
"AA_DE_20010806_210101",2001,8,6,-74.2833333333333,38.1,"small",8,6,-36.6,23.33,"Field"
"AA_DE_20010806_210102",2001,8,6,-74.2833333333333,38.1,"small",4,6,-38.1,23.89,"Field"
"AA_DE_20010815_210402",2001,8,15,-74.2833333333333,38.1,"small",1,7,-36.6,25,"Field"
"AA_DE_20010815_210403",2001,8,15,-74.2833333333333,38.1,"small",3,5,-39.6,25.56,"Field"
"AA_DE_20010815_210404",2001,8,15,-74.2833333333333,38.1,"small",1,6,-36,24.44,"Field"
"AA_DE_20010816_210202",2001,8,16,-74.1666666666667,38.1333333333333,"small",1,6,-61,25,"Field"
"AA_DE_20010817_110801",2001,8,17,-74.2833333333333,38.1,"small",0,20,-38.1,25.1700000762939,"OISST"
"AA_DE_20010817_110802",2001,8,17,-74.2833333333333,38.1,"small",3,5,-35.1,25,"Field"
"AA_DE_20010817_110804",2001,8,17,-74.2833333333333,38.1,"small",6,8,-39.6,23.33,"Field"
"AA_DE_20010817_110805",2001,8,17,-74.2833333333333,38.1,"small",2,6,-36.6,23.89,"Field"
"AA_DE_20010817_110806",2001,8,17,-74.2833333333333,38.1,"small",1,6,-54.9,24.44,"Field"
"AA_DE_20010817_110807",2001,8,17,-74.2833333333333,38.1,"small",2,8,-33.8,24.44,"Field"
"AA_DE_20010820_210301",2001,8,20,-74.2833333333333,38.1,"small",4,6,-37.8,25.56,"Field"
"AA_DE_20010820_210302",2001,8,20,-74.2833333333333,38.1,"small",0,5,-33.5,25,"Field"
"AA_DE_20010906_210304",2001,9,6,-74.2833333333333,38.1,"small",1,6,-47.2,26.11,"Field"
"AA_DE_20010913_210301",2001,9,13,-74.2833333333333,38.1,"small",1,7,-41.1,25,"Field"
"AA_DE_20010922_110501",2001,9,22,-74.2833333333333,38.1,"small",3,6,-40.8,23.33,"Field"
"AA_MA_20000728_111001",2000,7,28,-69.9166666666667,41.6666666666667,"small",0,8,-67.1,15.5099992752075,"OISST"
"AA_MA_20000819_110101",2000,8,19,-69.9166666666667,41.6666666666667,"small",0,2,-73.2,17.78,"Field"
"AA_MA_20000819_110102",2000,8,19,-69.9166666666667,41.6666666666667,"small",0,4,-76.2,18.3999996185303,"OISST"
