"Size_class","id","year","month","day","fhours","depth","sst","lon","lat","catch"
"large","AC_MD_19990714_210303",1999,7,14,6,-27.4,23.33,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990714_210304",1999,7,14,7,-23.8,21.67,-74.9166666666667,37.6666666666667,3
"large","AC_MD_19990714_210304",1999,7,14,7,-23.8,21.67,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990714_210306",1999,7,14,8,-24.4,21.11,-74.75,38.0833333333333,1
"large","AC_MD_19990714_210306",1999,7,14,8,-24.4,21.11,-74.75,38.0833333333333,0
"small","AC_MD_19990714_210307",1999,7,14,8,-182.9,22.78,-74.9166666666667,37.6666666666667,1
"large","AC_MD_19990714_210307",1999,7,14,8,-182.9,22.78,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990714_210310",1999,7,14,10,-91.4,22.78,-74.4166666666667,37.4166666666667,0
"large","AC_MD_19990714_210310",1999,7,14,10,-91.4,22.78,-74.4166666666667,37.4166666666667,0
"small","AC_MD_19990714_210311",1999,7,14,6,-27.4,22.78,-74.9166666666667,37.6666666666667,2
"large","AC_MD_19990714_210311",1999,7,14,6,-27.4,22.78,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990714_210314",1999,7,14,8,-21,NA,-74.6666666666667,38.0833333333333,1
"large","AC_MD_19990714_210314",1999,7,14,8,-21,NA,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990718_110302",1999,7,18,7,-27.7,25,-74.9166666666667,37.6666666666667,4
"large","AC_MD_19990718_110302",1999,7,18,7,-27.7,25,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990718_110306",1999,7,18,7,-31.1,22.78,-74.9166666666667,37.6666666666667,1
"large","AC_MD_19990718_110306",1999,7,18,7,-31.1,22.78,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990721_210402",1999,7,21,7,-19.8,NA,-74.6666666666667,38.0833333333333,2
"large","AC_MD_19990721_210402",1999,7,21,7,-19.8,NA,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990721_210403",1999,7,21,6,-31.4,22.78,-74.6666666666667,38.0833333333333,2
"large","AC_MD_19990721_210403",1999,7,21,6,-31.4,22.78,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990722_210302",1999,7,22,6,-28,22.22,-74.9166666666667,37.6666666666667,3
"large","AC_MD_19990722_210302",1999,7,22,6,-28,22.22,-74.9166666666667,37.6666666666667,0
"small","AC_MD_19990723_110301",1999,7,23,8,-33.5,15,-74.6666666666667,38.0833333333333,1
"large","AC_MD_19990723_110301",1999,7,23,8,-33.5,15,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990723_110303",1999,7,23,8,-24.4,22.78,-74.6666666666667,38.0833333333333,2
"large","AC_MD_19990723_110303",1999,7,23,8,-24.4,22.78,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990723_110306",1999,7,23,8,-975.4,25.56,-74,37.8,1
"large","AC_MD_19990723_110306",1999,7,23,8,-975.4,25.56,-74,37.8,0
"small","AC_MD_19990723_110310",1999,7,23,4,-16.8,23.33,-74.6666666666667,38.0833333333333,1
"large","AC_MD_19990723_110310",1999,7,23,4,-16.8,23.33,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990725_110703",1999,7,25,6,-24.4,22.22,-74.6666666666667,38.0833333333333,2
"large","AC_MD_19990725_110703",1999,7,25,6,-24.4,22.22,-74.6666666666667,38.0833333333333,0
"small","AC_MD_19990725_110705",1999,7,25,8,-26.5,25,-75.1666666666667,37.25,2
"large","AC_MD_19990725_110705",1999,7,25,8,-26.5,25,-75.1666666666667,37.25,0
"small","AC_MD_19990731_110706",1999,7,31,7,-182.9,28.33,-75.25,37.1666666666667,2
"large","AC_MD_19990731_110706",1999,7,31,7,-182.9,28.33,-75.25,37.1666666666667,0
"small","AC_NJ_19980702_210301",1998,7,2,8,-39,21.11,-73.4166666666667,39.7166666666667,3
"large","AC_NJ_19980702_210301",1998,7,2,8,-39,21.11,-73.4166666666667,39.7166666666667,0
"small","AC_NJ_19980711_110501",1998,7,11,7,-45.7,22.22,-73.4166666666667,39.75,11
"large","AC_NJ_19980711_110501",1998,7,11,7,-45.7,22.22,-73.4166666666667,39.75,0
"small","AC_NJ_19980719_310201",1998,7,19,4,-36.6,24.44,-73.5833333333333,40.1666666666667,2
"large","AC_NJ_19980719_310201",1998,7,19,4,-36.6,24.44,-73.5833333333333,40.1666666666667,0
"small","AC_NJ_19980905_310301",1998,9,5,6,-73.2,23.33,-73.25,39.9166666666667,2
"large","AC_NJ_19980905_310301",1998,9,5,6,-73.2,23.33,-73.25,39.9166666666667,0
"small","AC_NJ_19980913_111101",1998,9,13,5,-70.1,21.11,-73.25,39.9166666666667,4
"large","AC_NJ_19980913_111101",1998,9,13,5,-70.1,21.11,-73.25,39.9166666666667,0
"small","AC_VA_19960623_110901",1996,6,23,6,-30.5,23.33,-75.1666666666667,37.25,10
"large","AC_VA_19960623_110901",1996,6,23,6,-30.5,23.33,-75.1666666666667,37.25,0
"small","AC_VA_19960623_110902",1996,6,23,4,-21.3,22.78,-75.1666666666667,37.25,1
"large","AC_VA_19960623_110902",1996,6,23,4,-21.3,22.78,-75.1666666666667,37.25,0
"small","AC_VA_19960628_110601",1996,6,28,9,-18.3,22.78,-75.1666666666667,37.25,12
"large","AC_VA_19960628_110601",1996,6,28,9,-18.3,22.78,-75.1666666666667,37.25,0
"small","AC_VA_19960628_110602",1996,6,28,8,-27.4,22.22,-75.1666666666667,37.25,8
"large","AC_VA_19960628_110602",1996,6,28,8,-27.4,22.22,-75.1666666666667,37.25,0
"small","AC_VA_19960628_110603",1996,6,28,8,-21.3,23.33,-75.1666666666667,37.25,11
"large","AC_VA_19960628_110603",1996,6,28,8,-21.3,23.33,-75.1666666666667,37.25,0
"small","AC_VA_19960703_110804",1996,7,3,6,-23.8,22.22,-75.1666666666667,37.25,2
"large","AC_VA_19960703_110804",1996,7,3,6,-23.8,22.22,-75.1666666666667,37.25,0
"small","AC_VA_19960705_110801",1996,7,5,6,-30.5,21.67,-75.1666666666667,37.25,1
"large","AC_VA_19960705_110801",1996,7,5,6,-30.5,21.67,-75.1666666666667,37.25,0
"small","AC_VA_19960705_110803",1996,7,5,8,-21.3,21.11,-75.1666666666667,37.25,1
"large","AC_VA_19960705_110803",1996,7,5,8,-21.3,21.11,-75.1666666666667,37.25,0
"small","AC_VA_19960705_110805",1996,7,5,7,-21.3,20,-75.1666666666667,37.25,3
"large","AC_VA_19960705_110805",1996,7,5,7,-21.3,20,-75.1666666666667,37.25,0
"small","AC_VA_19960705_110806",1996,7,5,9,-20.7,21.67,-75.1666666666667,37.25,3
"large","AC_VA_19960705_110806",1996,7,5,9,-20.7,21.67,-75.1666666666667,37.25,0
"small","AC_VA_19960705_110807",1996,7,5,4,-21.3,21.67,-75.1666666666667,37.25,1
"large","AC_VA_19960705_110807",1996,7,5,4,-21.3,21.67,-75.1666666666667,37.25,0
"small","AC_VA_19960721_110603",1996,7,21,8,-45.7,21.11,-74.8333333333333,36.5,2
"large","AC_VA_19960721_110603",1996,7,21,8,-45.7,21.11,-74.8333333333333,36.5,0
"small","AC_VA_19960725_210401",1996,7,25,4,-27.4,23.33,-75.1666666666667,37.25,5
"large","AC_VA_19960725_210401",1996,7,25,4,-27.4,23.33,-75.1666666666667,37.25,0
"small","AC_VA_19960725_210402",1996,7,25,5,-20.1,23.33,-75.1666666666667,37.25,0
"large","AC_VA_19960725_210402",1996,7,25,5,-20.1,23.33,-75.1666666666667,37.25,0
"small","AC_VA_19960725_210403",1996,7,25,6,-30.5,23.33,-75.1666666666667,37.25,2
"large","AC_VA_19960725_210403",1996,7,25,6,-30.5,23.33,-75.1666666666667,37.25,0
"small","AC_VA_19960725_210405",1996,7,25,5,-34.1,22.78,-75.1666666666667,37.25,1
"large","AC_VA_19960725_210405",1996,7,25,5,-34.1,22.78,-75.1666666666667,37.25,0
"small","AC_VA_19960725_210407",1996,7,25,6,-31.4,21.67,-74.75,37.4166666666667,3
"large","AC_VA_19960725_210407",1996,7,25,6,-31.4,21.67,-74.75,37.4166666666667,0
"small","AC_VA_19960728_110701",1996,7,28,6,-36.6,23.33,-75.1666666666667,37,0
"large","AC_VA_19960728_110701",1996,7,28,6,-36.6,23.33,-75.1666666666667,37,0
"small","AC_VA_19960728_110704",1996,7,28,8,-30.5,23.89,-75.1666666666667,37.25,1
"large","AC_VA_19960728_110704",1996,7,28,8,-30.5,23.89,-75.1666666666667,37.25,0
"small","AC_VA_19960728_110706",1996,7,28,7,-51.8,23.33,-75.1666666666667,37,1
"large","AC_VA_19960728_110706",1996,7,28,7,-51.8,23.33,-75.1666666666667,37,0
"small","AC_VA_19960825_110605",1996,8,25,6,-30.5,23.89,-74.75,37.4166666666667,2
"large","AC_VA_19960825_110605",1996,8,25,6,-30.5,23.89,-74.75,37.4166666666667,0
"small","AC_VA_19990716_110701",1999,7,16,5,-25.9,23.33,-74.9166666666667,37.6666666666667,1
"large","AC_VA_19990716_110701",1999,7,16,5,-25.9,23.33,-74.9166666666667,37.6666666666667,0
"small","AC_VA_19990716_110702",1999,7,16,7,-30.5,23.33,-74.75,37.4166666666667,2
"large","AC_VA_19990716_110702",1999,7,16,7,-30.5,23.33,-74.75,37.4166666666667,0
"small","AC_VA_19990716_110705",1999,7,16,9,-29.9,23.89,-75.5,36.5833333333333,1
"large","AC_VA_19990716_110705",1999,7,16,9,-29.9,23.89,-75.5,36.5833333333333,0
"small","AC_VA_19990716_110706",1999,7,16,8,-28,22.22,-74.9166666666667,37.6666666666667,1
"large","AC_VA_19990716_110706",1999,7,16,8,-28,22.22,-74.9166666666667,37.6666666666667,0
"small","AC_VA_19990716_110707",1999,7,16,9,-28,23.89,-75.5,36.5833333333333,2
"large","AC_VA_19990716_110707",1999,7,16,9,-28,23.89,-75.5,36.5833333333333,0
"small","AC_VA_19990716_110709",1999,7,16,10,-27.4,23.33,-74.9166666666667,37.6666666666667,2
"large","AC_VA_19990716_110709",1999,7,16,10,-27.4,23.33,-74.9166666666667,37.6666666666667,0
"small","AC_VA_19990716_110712",1999,7,16,10,-25.9,NA,-74.9166666666667,37.6666666666667,2
"large","AC_VA_19990716_110712",1999,7,16,10,-25.9,NA,-74.9166666666667,37.6666666666667,0
"small","AC_VA_19990717_110101",1999,7,17,5,-31.4,23.33,-75,36.8333333333333,4
"large","AC_VA_19990717_110101",1999,7,17,5,-31.4,23.33,-75,36.8333333333333,0
"small","AC_VA_19991010_110301",1999,10,10,4,-94.5,21.67,-74.4166666666667,37.4166666666667,3
"large","AC_VA_19991010_110301",1999,10,10,4,-94.5,21.67,-74.4166666666667,37.4166666666667,0
"small","AD_MD_19960628_110401",1996,6,28,9,-36.6,21.67,-74.4166666666667,38.1666666666667,3
"large","AD_MD_19960628_110401",1996,6,28,9,-36.6,21.67,-74.4166666666667,38.1666666666667,0
"small","AD_MD_19960705_110803",1996,7,5,7,-30.5,21.11,-74.75,38.0833333333333,1
"large","AD_MD_19960705_110803",1996,7,5,7,-30.5,21.11,-74.75,38.0833333333333,0
"small","AD_MD_19960706_110107",1996,7,6,8,-29.3,21.67,-74.6666666666667,38.0833333333333,1
"large","AD_MD_19960706_110107",1996,7,6,8,-29.3,21.67,-74.6666666666667,38.0833333333333,0
"small","AD_MD_19960723_210301",1996,7,23,7,-35.1,21.67,-74.25,38.0833333333333,1
"large","AD_MD_19960723_210301",1996,7,23,7,-35.1,21.67,-74.25,38.0833333333333,0
"small","AD_MD_19960723_210305",1996,7,23,6,-36.6,21.67,-74.25,38.0833333333333,1
"large","AD_MD_19960723_210305",1996,7,23,6,-36.6,21.67,-74.25,38.0833333333333,0
"small","AD_MD_19960723_210307",1996,7,23,7,-36.6,21.67,-74.25,38.0833333333333,1
"large","AD_MD_19960723_210307",1996,7,23,7,-36.6,21.67,-74.25,38.0833333333333,0
"small","AD_MD_19960723_210308",1996,7,23,6,-57.9,22.22,-74.5833333333333,38.1666666666667,6
"large","AD_MD_19960723_210308",1996,7,23,6,-57.9,22.22,-74.5833333333333,38.1666666666667,0
"small","AD_MD_19960804_110103",1996,8,4,7,-33.5,23.33,-74.6666666666667,38,5
"large","AD_MD_19960804_110103",1996,8,4,7,-33.5,23.33,-74.6666666666667,38,0
"small","AD_MD_19960806_210201",1996,8,6,7,-30.5,23.89,-74.75,38.0833333333333,23
"large","AD_MD_19960806_210201",1996,8,6,7,-30.5,23.89,-74.75,38.0833333333333,0
"small","AD_MD_19960806_210203",1996,8,6,7,-54.9,23.33,-74.6666666666667,37.8333333333333,6
"large","AD_MD_19960806_210203",1996,8,6,7,-54.9,23.33,-74.6666666666667,37.8333333333333,0
"small","AD_MD_19960904_210101",1996,9,4,7,-36.6,22.78,-74.25,38.0833333333333,8
"large","AD_MD_19960904_210101",1996,9,4,7,-36.6,22.78,-74.25,38.0833333333333,0
"small","AD_MD_19960904_210103",1996,9,4,7,-39.6,22.78,-74.25,38.0833333333333,1
"large","AD_MD_19960904_210103",1996,9,4,7,-39.6,22.78,-74.25,38.0833333333333,0
"small","AD_MD_19990628_210202",1999,6,28,6,-27.7,20,-74,37.75,2
"large","AD_MD_19990628_210202",1999,6,28,6,-27.7,20,-74,37.75,0
"small","AD_MD_19990712_210403",1999,7,12,6,-36.6,23.33,-75.5,36.5833333333333,4
"large","AD_MD_19990712_210403",1999,7,12,6,-36.6,23.33,-75.5,36.5833333333333,0
"small","AD_MD_19990712_210407",1999,7,12,6,-29,23.33,-75.5,36.5833333333333,3
"large","AD_MD_19990712_210407",1999,7,12,6,-29,23.33,-75.5,36.5833333333333,0
"small","AD_MD_19990712_210408",1999,7,12,8,-30.5,23.33,-75.5,36.5833333333333,2
"large","AD_MD_19990712_210408",1999,7,12,8,-30.5,23.33,-75.5,36.5833333333333,0
"small","AD_MD_19990712_210410",1999,7,12,8,-36.6,23.33,-75.5,36.5833333333333,5
"large","AD_MD_19990712_210410",1999,7,12,8,-36.6,23.33,-75.5,36.5833333333333,0
"small","AD_MD_19990712_210411",1999,7,12,8,-30.5,23.33,-75.5,36.5833333333333,2
"large","AD_MD_19990712_210411",1999,7,12,8,-30.5,23.33,-75.5,36.5833333333333,0
"small","AD_MD_19990719_210101",1999,7,19,7,-29,23.33,-74.9166666666667,37.6666666666667,2
"large","AD_MD_19990719_210101",1999,7,19,7,-29,23.33,-74.9166666666667,37.6666666666667,0
"small","AD_MD_19990719_210102",1999,7,19,6,-33.5,23.33,-74.7666666666667,38.0333333333333,2
"large","AD_MD_19990719_210102",1999,7,19,6,-33.5,23.33,-74.7666666666667,38.0333333333333,0
"small","AD_MD_19990719_210105",1999,7,19,10,NA,NA,-74.3333333333333,38.0333333333333,1
"large","AD_MD_19990719_210105",1999,7,19,10,NA,NA,-74.3333333333333,38.0333333333333,0
"small","AD_MD_19990719_210106",1999,7,19,8,-25.6,23.89,-74.3333333333333,38.0333333333333,2
"large","AD_MD_19990719_210106",1999,7,19,8,-25.6,23.89,-74.3333333333333,38.0333333333333,0
"small","AD_MD_19990719_210107",1999,7,19,8,-36.6,NA,-75.0833333333333,37.4166666666667,8
"large","AD_MD_19990719_210107",1999,7,19,8,-36.6,NA,-75.0833333333333,37.4166666666667,0
"small","AD_MD_19990719_210111",1999,7,19,8,-75.3,25,-74.4166666666667,37.4166666666667,12
"large","AD_MD_19990719_210111",1999,7,19,8,-75.3,25,-74.4166666666667,37.4166666666667,0
"small","AD_MD_19990719_210112",1999,7,19,8,-28.7,NA,-74.7833333333333,38.0833333333333,20
"large","AD_MD_19990719_210112",1999,7,19,8,-28.7,NA,-74.7833333333333,38.0833333333333,0
"small","AD_MD_19990719_210113",1999,7,19,6,NA,NA,-74.4166666666667,37.4166666666667,1
"large","AD_MD_19990719_210113",1999,7,19,6,NA,NA,-74.4166666666667,37.4166666666667,0
"small","AD_MD_19990719_210114",1999,7,19,7,NA,NA,-74,37.75,1
"large","AD_MD_19990719_210114",1999,7,19,7,NA,NA,-74,37.75,0
"small","AD_MD_19990823_210306",1999,8,23,8,-36.6,25,-74.75,37.4166666666667,1
"large","AD_MD_19990823_210306",1999,8,23,8,-36.6,25,-74.75,37.4166666666667,0
"small","AD_NJ_19981017_111002",1998,10,17,7,-69.2,16.67,-73.5833333333333,40.1666666666667,1
"large","AD_NJ_19981017_111002",1998,10,17,7,-69.2,16.67,-73.5833333333333,40.1666666666667,0
"small","AD_NY_19930920_211802",1993,9,20,8,-6.1,NA,-73.5833333333333,40.1666666666667,1
"large","AD_NY_19930920_211802",1993,9,20,8,-6.1,NA,-73.5833333333333,40.1666666666667,0
"small","AD_RI_19970715_210201",1997,7,15,6,-58.5,22.78,-71.5833333333333,40.8333333333333,2
"large","AD_RI_19970715_210201",1997,7,15,6,-58.5,22.78,-71.5833333333333,40.8333333333333,0
"small","AD_RI_19970817_310402",1997,8,17,7,-54.9,20.56,-71.1666666666667,41.25,1
"large","AD_RI_19970817_310402",1997,8,17,7,-54.9,20.56,-71.1666666666667,41.25,0
"small","AD_RI_19970817_310403",1997,8,17,20,-61,NA,-71.25,40.75,1
"large","AD_RI_19970817_310403",1997,8,17,20,-61,NA,-71.25,40.75,0
"small","AD_RI_19970817_310405",1997,8,17,6,-54.9,20.56,-71.75,41.0833333333333,2
"large","AD_RI_19970817_310405",1997,8,17,6,-54.9,20.56,-71.75,41.0833333333333,0
"small","AD_VA_19960623_110201",1996,6,23,10,-30.5,23.33,-74.75,37.4166666666667,2
"large","AD_VA_19960623_110201",1996,6,23,10,-30.5,23.33,-74.75,37.4166666666667,0
"small","AE_NJ_19931017_110403",1993,10,17,6,-6.1,NA,-73.5833333333333,40.1666666666667,0
"large","AE_NJ_19931017_110403",1993,10,17,6,-6.1,NA,-73.5833333333333,40.1666666666667,1
"small","AE_NY_19960915_110201",1996,9,15,4,-59.4,18.33,-71.5833333333333,40.8333333333333,1
"large","AE_NY_19960915_110201",1996,9,15,4,-59.4,18.33,-71.5833333333333,40.8333333333333,0
"small","AE_NY_19970726_310301",1997,7,26,10,-45.7,20,-73.25,40.3333333333333,1
"large","AE_NY_19970726_310301",1997,7,26,10,-45.7,20,-73.25,40.3333333333333,0
"small","AE_NY_19970803_310202",1997,8,3,10,-42.7,21.11,-73.25,40.3333333333333,3
"large","AE_NY_19970803_310202",1997,8,3,10,-42.7,21.11,-73.25,40.3333333333333,0
"small","AE_NY_19990627_110201",1999,6,27,15,NA,21.67,-71.3333333333333,40,1
"large","AE_NY_19990627_110201",1999,6,27,15,NA,21.67,-71.3333333333333,40,0
"small","AE_NY_19991017_110101",1999,10,17,7,-64,18.33,-71.4833333333333,41.0333333333333,4
"large","AE_NY_19991017_110101",1999,10,17,7,-64,18.33,-71.4833333333333,41.0333333333333,0
"small","AF_CT_19970824_310302",1997,8,24,4,-54.9,20,-70.6666666666667,41.25,5
"large","AF_CT_19970824_310302",1997,8,24,4,-54.9,20,-70.6666666666667,41.25,0
"small","AF_DE_19960716_210301",1996,7,16,7,-35.1,20.56,-74.4,38.7,1
"large","AF_DE_19960716_210301",1996,7,16,7,-35.1,20.56,-74.4,38.7,0
"small","AF_DE_19960726_110102",1996,7,26,8,-30.5,22.22,-74.6166666666667,38.2,1
"large","AF_DE_19960726_110102",1996,7,26,8,-30.5,22.22,-74.6166666666667,38.2,0
"small","AF_DE_19960726_110103",1996,7,26,8,-25.6,21.67,-74.6166666666667,38.2,1
"large","AF_DE_19960726_110103",1996,7,26,8,-25.6,21.67,-74.6166666666667,38.2,0
"small","AF_DE_19960726_110105",1996,7,26,8,-36.6,22.22,-74.2833333333333,38.1,1
"large","AF_DE_19960726_110105",1996,7,26,8,-36.6,22.22,-74.2833333333333,38.1,0
"small","AF_DE_19960727_110801",1996,7,27,5,-36.6,21.67,-74.6166666666667,38.2,2
"large","AF_DE_19960727_110801",1996,7,27,5,-36.6,21.67,-74.6166666666667,38.2,0
"small","AF_DE_19960727_110804",1996,7,27,8,-30.5,22.22,-74.6166666666667,38.2,13
"large","AF_DE_19960727_110804",1996,7,27,8,-30.5,22.22,-74.6166666666667,38.2,0
"small","AF_DE_19960727_110805",1996,7,27,8,-30.5,22.22,-74.6166666666667,38.2,2
"large","AF_DE_19960727_110805",1996,7,27,8,-30.5,22.22,-74.6166666666667,38.2,0
"small","AF_DE_19960731_210301",1996,7,31,4,-24.4,22.78,-74.6166666666667,38.2,2
"large","AF_DE_19960731_210301",1996,7,31,4,-24.4,22.78,-74.6166666666667,38.2,0
"small","AF_DE_19960731_210302",1996,7,31,12,-33.5,22.78,-74.6166666666667,38.2,4
"large","AF_DE_19960731_210302",1996,7,31,12,-33.5,22.78,-74.6166666666667,38.2,0
"small","AF_DE_19960731_210303",1996,7,31,4,-36.6,22.22,-74.2833333333333,38.1,2
"large","AF_DE_19960731_210303",1996,7,31,4,-36.6,22.22,-74.2833333333333,38.1,0
"small","AF_DE_19960811_110102",1996,8,11,8,-36.6,23.89,-74.2833333333333,38.1,3
"large","AF_DE_19960811_110102",1996,8,11,8,-36.6,23.89,-74.2833333333333,38.1,0
"small","AF_DE_19960824_110704",1996,8,24,8,-33.5,23.89,-74.2833333333333,38.1,3
"large","AF_DE_19960824_110704",1996,8,24,8,-33.5,23.89,-74.2833333333333,38.1,0
"small","AF_MD_19940704_110203",1994,7,4,6,NA,NA,-74.6666666666667,38.0833333333333,2
"large","AF_MD_19940704_110203",1994,7,4,6,NA,NA,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940712_210402",1994,7,12,6,NA,23.89,-74.6666666666667,38.0833333333333,3
"large","AF_MD_19940712_210402",1994,7,12,6,NA,23.89,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940715_110101",1994,7,15,6,NA,24.44,-74.6666666666667,38.0833333333333,4
"large","AF_MD_19940715_110101",1994,7,15,6,NA,24.44,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210401",1994,7,20,6,NA,25,-74.6666666666667,38.0833333333333,6
"large","AF_MD_19940720_210401",1994,7,20,6,NA,25,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210402",1994,7,20,7,NA,25,-74.6666666666667,38.0833333333333,2
"large","AF_MD_19940720_210402",1994,7,20,7,NA,25,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210403",1994,7,20,6,NA,25,-74.6666666666667,38.0833333333333,2
"large","AF_MD_19940720_210403",1994,7,20,6,NA,25,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210405",1994,7,20,8,NA,25,-74.6666666666667,38.0833333333333,2
"large","AF_MD_19940720_210405",1994,7,20,8,NA,25,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210406",1994,7,20,6,NA,NA,-74.6666666666667,38.0833333333333,2
"large","AF_MD_19940720_210406",1994,7,20,6,NA,NA,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210407",1994,7,20,4,NA,25,-74.6666666666667,38.0833333333333,5
"large","AF_MD_19940720_210407",1994,7,20,4,NA,25,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940720_210408",1994,7,20,6,-27.4,NA,-74.6666666666667,38.0833333333333,3
"large","AF_MD_19940720_210408",1994,7,20,6,-27.4,NA,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940724_110702",1994,7,24,8,NA,20,-74.6666666666667,38.0833333333333,1
"large","AF_MD_19940724_110702",1994,7,24,8,NA,20,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19940724_110703",1994,7,24,8,NA,NA,-74.6666666666667,38.0833333333333,1
"large","AF_MD_19940724_110703",1994,7,24,8,NA,NA,-74.6666666666667,38.0833333333333,0
"small","AF_MD_19960619_210101",1996,6,19,5,-36.6,22.78,-74.2833333333333,38.1,3
"large","AF_MD_19960619_210101",1996,6,19,5,-36.6,22.78,-74.2833333333333,38.1,0
"small","AF_MD_19960619_210102",1996,6,19,8,-36.6,22.78,-74.25,38.0833333333333,2
"large","AF_MD_19960619_210102",1996,6,19,8,-36.6,22.78,-74.25,38.0833333333333,0
"small","AF_MD_19960619_210103",1996,6,19,6,-36.6,23.33,-74.25,38.0833333333333,2
"large","AF_MD_19960619_210103",1996,6,19,6,-36.6,23.33,-74.25,38.0833333333333,0
"small","AF_MD_19960622_110201",1996,6,22,7,-36.6,23.89,-74.7166666666667,38.2166666666667,2
"large","AF_MD_19960622_110201",1996,6,22,7,-36.6,23.89,-74.7166666666667,38.2166666666667,0
"small","AF_MD_19960622_110202",1996,6,22,8,-45.1,23.33,-74.2833333333333,38.2,2
"large","AF_MD_19960622_110202",1996,6,22,8,-45.1,23.33,-74.2833333333333,38.2,0
"small","AF_MD_19960622_110205",1996,6,22,10,-36.6,22.78,-74.7166666666667,38.2166666666667,2
"large","AF_MD_19960622_110205",1996,6,22,10,-36.6,22.78,-74.7166666666667,38.2166666666667,0
"small","AF_MD_19960628_110101",1996,6,28,6,-36.6,21.11,-74.6166666666667,38.2,2
"large","AF_MD_19960628_110101",1996,6,28,6,-36.6,21.11,-74.6166666666667,38.2,0
"small","AF_MD_19960629_110809",1996,6,29,8,-36.6,20.56,-74.6166666666667,38.2,2
"large","AF_MD_19960629_110809",1996,6,29,8,-36.6,20.56,-74.6166666666667,38.2,0
"small","AF_MD_19960704_110701",1996,7,4,6,-39.6,21.11,-74.6166666666667,38.2,4
"large","AF_MD_19960704_110701",1996,7,4,6,-39.6,21.11,-74.6166666666667,38.2,0
"small","AF_MD_19960704_110703",1996,7,4,6,-36.6,21.67,-74.75,38.0833333333333,3
"large","AF_MD_19960704_110703",1996,7,4,6,-36.6,21.67,-74.75,38.0833333333333,0
"small","AF_MD_19960704_110704",1996,7,4,6,-36.6,19.44,-74.6166666666667,38.2,1
"large","AF_MD_19960704_110704",1996,7,4,6,-36.6,19.44,-74.6166666666667,38.2,0
"small","AF_MD_19960704_110705",1996,7,4,8,-36.6,23.89,-74.75,38.0833333333333,2
"large","AF_MD_19960704_110705",1996,7,4,8,-36.6,23.89,-74.75,38.0833333333333,0
"small","AF_MD_19960719_110701",1996,7,19,8,-30.5,20,-74.75,38.0833333333333,3
"large","AF_MD_19960719_110701",1996,7,19,8,-30.5,20,-74.75,38.0833333333333,0
"small","AF_MD_19960720_110401",1996,7,20,4,-54.9,21.11,-74.75,38.0833333333333,3
"large","AF_MD_19960720_110401",1996,7,20,4,-54.9,21.11,-74.75,38.0833333333333,0
"small","AF_MD_19960720_110402",1996,7,20,7,-29,21.11,-75.0666666666667,37.9666666666667,5
"large","AF_MD_19960720_110402",1996,7,20,7,-29,21.11,-75.0666666666667,37.9666666666667,0
"small","AF_MD_19960720_110403",1996,7,20,6,-24.4,21.67,-74.8333333333333,37.3333333333333,5
"large","AF_MD_19960720_110403",1996,7,20,6,-24.4,21.67,-74.8333333333333,37.3333333333333,0
"small","AF_MD_19960720_110404",1996,7,20,8,-30.5,20.56,-74.2833333333333,38.1,1
"large","AF_MD_19960720_110404",1996,7,20,8,-30.5,20.56,-74.2833333333333,38.1,0
"small","AF_MD_19960720_110405",1996,7,20,8,-36.6,21.67,-74.2833333333333,38.1,3
"large","AF_MD_19960720_110405",1996,7,20,8,-36.6,21.67,-74.2833333333333,38.1,0
"small","AF_MD_19960720_110406",1996,7,20,7,-38.1,21.67,-74.55,37.9833333333333,2
"large","AF_MD_19960720_110406",1996,7,20,7,-38.1,21.67,-74.55,37.9833333333333,0
"small","AF_MD_19960720_110408",1996,7,20,7,-27.4,21.11,-74.8333333333333,37.3333333333333,5
"large","AF_MD_19960720_110408",1996,7,20,7,-27.4,21.11,-74.8333333333333,37.3333333333333,0
"small","AF_MD_19960721_110203",1996,7,21,7,-22.9,21.67,-74.75,38.0833333333333,1
