"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy","slp"
"2000_152908_8_9_28",2000,9,28,-63.5166666666667,44.4,"small",0,17.2,14.1499996185303,"OISST",-36.7,101732
"2000_153288_1_10_27",2000,10,27,-60.8166666666667,45.3333333333333,"small",0,9,10.7799997329712,"OISST",-44,102060
"2000_153288_2_10_28",2000,10,28,-60.8166666666667,45.3333333333333,"small",0,8,10.6399993896484,"OISST",-44,100917
"2000_153618_1_8_14",2000,8,14,-63.2333333333333,44.6,"small",0,1.4,16.2299995422363,"OISST",-32.5,101705
"2000_153618_10_8_23",2000,8,23,-63.45,44.5666666666667,"small",0,3.3,16.9599990844727,"OISST",-17.5,102180
"2000_153618_13_10_5",2000,10,5,-63.4833333333333,44.5,"small",0,10,14.3899993896484,"OISST",-53.2,101657
"2000_153618_16_10_15",2000,10,15,-63.9,44.25,"small",0,8,13.3499994277954,"OISST",-80.3,101055
"2000_153618_17_10_16",2000,10,16,-63.9,44.25,"small",0,9,12.789999961853,"OISST",-80.3,102487
"2000_153618_18_10_17",2000,10,17,-63.4166666666667,44.4666666666667,"small",0,8,12.5500001907349,"OISST",-66.6,102667
"2000_153618_19_10_18",2000,10,18,-63.15,44.6166666666667,"small",0,4,12.3400001525879,"OISST",-30.2,102492
"2000_153618_2_8_15",2000,8,15,-63.2333333333333,44.6,"small",0,5.3,16.4400005340576,"OISST",-32.5,101727
"2000_153618_20_10_23",2000,10,23,-63.4833333333333,44.4,"small",0,9,12.3400001525879,"OISST",-83.1,103440
"2000_153618_21_10_24",2000,10,24,-63.4833333333333,44.4,"small",0,5,12.3099994659424,"OISST",-83.1,102657
"2000_153618_23_10_26",2000,10,26,-63.4833333333333,44.4,"small",0,2,12.460000038147,"OISST",-83.1,102390
"2000_153618_3_8_16",2000,8,16,-63.2333333333333,44.6,"small",0,4.3,16.0399990081787,"OISST",-32.5,101162
"2000_153618_4_8_17",2000,8,17,-63.2333333333333,44.6,"small",0,7,16.3599987030029,"OISST",-32.5,100755
"2000_153618_5_8_18",2000,8,18,-63.2333333333333,44.6,"small",0,6,16.7799987792969,"OISST",-32.5,101400
"2000_153618_6_8_19",2000,8,19,-63.5,44.5,"small",0,2,17.0499992370605,"OISST",-52.3,101415
"2000_153618_7_8_20",2000,8,20,-63.5,44.5,"small",0,6.3,17.1599998474121,"OISST",-52.3,101535
"2000_153618_8_8_21",2000,8,21,-63.5,44.5,"small",0,12,16.9799995422363,"OISST",-52.3,101802
"2000_153618_9_8_22",2000,8,22,-63.45,44.5666666666667,"small",0,1.3,17.0100002288818,"OISST",-17.5,102210
"2000_153688_18_9_15",2000,9,15,-63.3833333333333,44.5,"small",0,12,13.7599992752075,"OISST",-53.4,101035
"2000_153688_24_9_26",2000,9,26,-63.4833333333333,44.5166666666667,"small",0,8.5,14.6700000762939,"OISST",-33.8,101732
"2000_153688_6_8_29",2000,8,29,-63.4666666666667,44.1666666666667,"small",0,8,16.3500003814697,"OISST",-149,102315
"2000_153882_11_8_31",2000,8,31,-63.5,44.45,"small",0,11,17.4499988555908,"OISST",-71.2,102052
"2000_153882_14_9_9",2000,9,9,-63.5333333333333,44.4166666666667,"small",0,12.9,15.3299999237061,"OISST",-39.2,101400
"2000_153882_18_9_20",2000,9,20,-61.0833333333333,45.1833333333333,"small",0,9.2,14.3699998855591,"OISST",-39.9,101130
"2000_153882_7_8_27",2000,8,27,-63.4833333333333,44.3666666666667,"small",0,10,15.8199996948242,"OISST",-42.6,101190
"2000_154014_2_10_23",2000,10,23,-60.7333333333333,45.3666666666667,"small",0,6.5,11.4499998092651,"OISST",-63.4,103440
"2000_154014_3_10_24",2000,10,24,-60.7,45.35,"small",0,7,11.2799997329712,"OISST",-67.1,102657
"2000_154014_4_10_25",2000,10,25,-60.7333333333333,45.3666666666667,"small",0,10.5,11.3000001907349,"OISST",-63.4,102212
"2000_154014_5_10_26",2000,10,26,-60.8333333333333,45.3166666666667,"small",0,10,11.1099996566772,"OISST",-44.7,102390
"2000_154014_6_10_27",2000,10,27,-60.8166666666667,45.3,"small",0,11.5,10.7799997329712,"OISST",-41.6,102060
"2000_154030_2_10_24",2000,10,24,-60.85,45.3166666666667,"small",0,9,11.2799997329712,"OISST",-32,102657
"2000_154030_3_10_25",2000,10,25,-60.85,45.3166666666667,"small",0,10,11.3000001907349,"OISST",-32,102212
"2000_154030_4_10_26",2000,10,26,-60.8166666666667,45.35,"small",0,11,11.1099996566772,"OISST",-52.6,102390
"2000_154030_5_10_27",2000,10,27,-60.8,45.3833333333333,"small",0,10,10.7799997329712,"OISST",-107.4,102060
"2000_154030_6_10_28",2000,10,28,-60.85,45.3166666666667,"small",0,9,10.6399993896484,"OISST",-32,100917
"2000_154033_9_8_22",2000,8,22,-62,44.8333333333333,"small",0,5,17.0100002288818,"OISST",-66.1,102210
"2000_154441_3_10_21",2000,10,21,-60.8833333333333,45.3333333333333,"small",0,3.3,11.6199998855591,"OISST",-14.5,101512
"2000_154441_5_10_23",2000,10,23,-60.9,45.2666666666667,"small",0,8.5,11.4499998092651,"OISST",-35.7,103440
"2000_154441_6_10_24",2000,10,24,-60.9,45.2666666666667,"small",0,8,11.2799997329712,"OISST",-35.7,102657
"2000_154441_7_10_25",2000,10,25,-60.8,45.2833333333333,"small",0,10,11.3000001907349,"OISST",-65.1,102212
"2000_154464_1_10_30",2000,10,30,-63.4666666666667,44.55,"small",0,2.5,12.1099996566772,"OISST",-20.4,101102
"2000_154475_10_9_20",2000,9,20,-63,44,"small",0,11,15.5099992752075,"OISST",-224.5,101130
