"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy"
"20221",2002,8,10,-60.85,45.3,"small",0,14,13.8800001144409,"OISST",-38.3
"20254",2002,8,10,-60.85,45.3166666666667,"small",0,13.5,13.8800001144409,"OISST",-32
"20288",2002,8,12,-60.8,45.3666666666667,"small",0,15,15.039999961853,"OISST",-91.1
"20354",2002,8,11,-60.85,45.2666666666667,"small",0,11.600322147651,14.2599992752075,"OISST",-54.9
"203564",2007,9,2,-66.6333333333333,44.5833333333333,"small",0,15.4822222222222,12.2222222222222,"Field",-16.7
"203630",2007,9,3,-65.5883333333333,42.0686111111111,"small",0,2.5,14.960000038147,"OISST",-494
"20377",2002,8,11,-60.9166666666667,45.3,"small",0,12.4166666666667,14.2599992752075,"OISST",-14.4
"203881",2007,9,2,-66.4,44.6,"small",0,13,12.3499994277954,"OISST",-186.7
"204189",2007,9,6,-60.8611111111111,45.3394444444444,"small",0,12.5,11.789999961853,"OISST",-25.1
"204429",2007,9,8,-60.8680555555556,45.3394444444444,"small",0,11.5,11.9399995803833,"OISST",-22.7
"204770",2007,9,11,-60.1,46.3833333333333,"small",0,15.75,11.75,"OISST",-44.9
"20480",2002,8,12,-60.8666666666667,45.2666666666667,"small",0,11.600322147651,15.039999961853,"OISST",-50.6
"20491",2002,8,12,-60.8666666666667,45.3333333333333,"small",0,11.600322147651,15.039999961853,"OISST",-18.7
"205016",2007,9,13,-66.6333333333333,44.5833333333333,"small",0,17,12.2222222222222,"Field",-16.7
"205017",2007,9,14,-66.5666666666667,44.55,"small",0,16.5,11.6499996185303,"OISST",-97.8
"20516",2002,8,12,-60.85,45.3333333333333,"small",0,14.5,15.039999961853,"OISST",-23.3
"20517",2002,8,12,-60.8166666666667,45.3333333333333,"small",0,14,15.039999961853,"OISST",-44
"205257",2007,9,14,-60,46.35,"small",0,16,11.2199993133545,"OISST",-41.8
"205346",2007,9,15,-59.9833333333333,46.35,"small",0,15.3333333333333,11.3999996185303,"OISST",-44
"20609",2002,8,12,-60.85,45.3166666666667,"small",0,14,15.039999961853,"OISST",-32
"206138",2007,9,21,-64.1555555555556,44.2222222222222,"small",0,15,14.2799997329712,"OISST",-57.4
"206351",2007,9,22,-66.35,42.1416666666667,"small",0,3,16.6666666666667,"Field",-156.2
"20644",2002,8,12,-60.8166666666667,45.3166666666667,"small",0,11.600322147651,15.039999961853,"OISST",-44.1
"206795",2007,9,26,-63.3333333333333,44.5413888888889,"small",0,14.4882418001525,15,"Field",-39.1
"206829",2007,9,27,-63.0788888888889,44.6480555555556,"small",0,17,14.4444444444444,"Field",-26.4
"206842",2007,9,27,-64.2166666666667,44.2,"small",0,18.5,15.5555555555556,"Field",-52.3
"206853",2007,9,27,-60.0833333333333,46.3416666666667,"small",0,15.5,13.8999996185303,"OISST",-32.3
"206969",2007,9,28,-63.1333333333333,44.6,"small",0,18.5,14.7799997329712,"OISST",-45
"206973",2007,9,28,-63.0788888888889,44.6480555555556,"small",0,17,14.7799997329712,"OISST",-26.4
"206975",2007,9,28,-63.15,44.6166666666667,"small",0,17,14.7799997329712,"OISST",-30.2
"206976",2007,9,28,-63.1666666666667,44.5833333333333,"small",0,17.25,14.7799997329712,"OISST",-49.8
"206977",2007,9,28,-63.1011111111111,44.6277777777778,"small",0,17.25,14.4444444444444,"Field",-35.8
"20699",2002,8,12,-60.9166666666667,45.3,"small",0,9.16666666666667,15.039999961853,"OISST",-14.4
"207020",2007,9,29,-63.15,44.6,"small",0,17.5,14.8800001144409,"OISST",-38.2
"207022",2007,9,29,-63.1361111111111,44.6116666666667,"small",0,16.5,14.8800001144409,"OISST",-39.2
"207023",2007,9,29,-62.1333333333333,43.1,"small",0,18.5,12.8199996948242,"OISST",-105
"207025",2007,9,29,-63.1166666666667,44.6166666666667,"small",0,18,14.8800001144409,"OISST",-43
"207031",2007,9,29,-63.1458333333333,44.6191666666667,"small",0,17.75,14.8800001144409,"OISST",-32
"207032",2007,9,29,-63.2194444444444,44.6105555555556,"small",0,17,14.8800001144409,"OISST",-31
"207041",2007,9,29,-63.0788888888889,44.6480555555556,"small",0,16.5,14.8800001144409,"OISST",-26.4
"207057",2007,9,30,-63.1666666666667,44.5833333333333,"small",0,18.5,15.1199998855591,"OISST",-49.8
"207081",2007,9,30,-63.15,44.6,"small",0,17.5,15.1199998855591,"OISST",-38.2
"207147",2007,10,1,-63.1388888888889,44.6116666666667,"small",0,17.5,14.9899997711182,"OISST",-40.5
"207161",2007,10,1,-63.1575,44.6263888888889,"small",0,22,14.9899997711182,"OISST",-27.1
"207174",2007,10,1,-63.1463888888889,44.6119444444444,"small",0,17,14.9899997711182,"OISST",-35.6
"207228",2007,10,2,-63.1644444444444,44.6158333333333,"small",0,16.5,15.4399995803833,"OISST",-30.1
"207230",2007,10,1,-60.8666666666667,45.3333333333333,"small",0,14.5,11.1599998474121,"OISST",-18.7
"207252",2007,10,1,-60.9333333333333,45.2333333333333,"small",0,14.5,11.1599998474121,"OISST",-47.4
"207255",2007,10,1,-60.9433333333333,45.2491666666667,"small",0,14.5,11.1599998474121,"OISST",-32.2
"207300",2007,10,1,-60.9375,45.3372222222222,"small",0,14.5,11.1599998474121,"OISST",-3.1
"207316",2007,10,1,-60.8666666666667,45.2944444444444,"small",0,14.5,11.1599998474121,"OISST",-30.4
"207318",2007,10,1,-60.9,45.3166666666667,"small",0,7,11.1599998474121,"OISST",-15.5
"207323",2007,10,1,-60.8666666666667,45.3,"small",0,12,11.1599998474121,"OISST",-37
"207324",2007,10,1,-60.8166666666667,45.3,"small",0,8,11.1599998474121,"OISST",-41.6
"207333",2007,10,1,-60.8872222222222,45.3177777777778,"small",0,13.5833333333333,11.1599998474121,"OISST",-24.6
"207336",2007,10,2,-65,42,"small",0,16,18.6299991607666,"OISST",-2045.2
"207386",2007,10,1,-60.8872222222222,45.3177777777778,"small",0,18.5,11.1599998474121,"OISST",-24.6
"207397",2007,10,2,-63.1063888888889,44.6377777777778,"small",0,17.5,15.4399995803833,"OISST",-28.7
"207401",2007,10,2,-63.1276388888889,44.6086111111111,"small",0,18.5,15.4399995803833,"OISST",-42.4
"207423",2007,10,1,-63.1255555555556,44.5713888888889,"small",0,15.5,15.5555555555556,"Field",-43
"207445",2007,10,1,-60.9333333333333,45.3333333333333,"small",0,8,11.1599998474121,"OISST",-3.5
"207449",2007,10,1,-60.8333333333333,45.3,"small",0,13,11.1599998474121,"OISST",-40.8
"207455",2007,10,1,-64.2502777777778,44.2186111111111,"small",0,15.5,14.9899997711182,"OISST",-34.2
