"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"small","2002-23-08-114",2002,7,-150,16.67,-70.2833333333333,43.25,0
"large","2002-23-08-114",2002,7,-150,16.67,-70.2833333333333,43.25,0
"small","2002-23-08-115",2002,7,-232,NA,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-115",2002,7,-232,NA,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-116",2002,7,-240,17.78,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-116",2002,7,-240,17.78,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-117",2002,3,-200,17.22,-69.75,43.75,0
"large","2002-23-08-117",2002,3,-200,17.22,-69.75,43.75,0
"small","2002-23-08-54",2002,8,-200,20,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-54",2002,8,-200,20,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-55",2002,7,-200,18.89,-69.7666666666667,43.5,0
"large","2002-23-08-55",2002,7,-200,18.89,-69.7666666666667,43.5,0
"small","2002-23-08-56",2002,9,-200,17.78,-70.2833333333333,43.25,0
"large","2002-23-08-56",2002,9,-200,17.78,-70.2833333333333,43.25,0
"small","2002-23-08-57",2002,10,-230,NA,-69.9166666666667,43.5,0
"large","2002-23-08-57",2002,10,-230,NA,-69.9166666666667,43.5,0
"small","2002-23-08-58",2002,12,-240,19.44,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-58",2002,12,-240,19.44,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-59",2002,14,-205,20.56,-69.9166666666667,43.5,0
"large","2002-23-08-59",2002,14,-205,20.56,-69.9166666666667,43.5,0
"small","2002-23-08-60",2002,10,-230,19.44,-70.0833333333333,43.1666666666667,0
"large","2002-23-08-60",2002,10,-230,19.44,-70.0833333333333,43.1666666666667,0
"small","2002-23-08-61",2002,9,-200,20.56,-70.0833333333333,43.1666666666667,0
"large","2002-23-08-61",2002,9,-200,20.56,-70.0833333333333,43.1666666666667,0
"small","2002-23-08-62",2002,14,-215,16.67,-69.9166666666667,43.5,0
"large","2002-23-08-62",2002,14,-215,16.67,-69.9166666666667,43.5,0
"small","2002-23-08-65",2002,6,-210,20.56,-70.1666666666667,43.3333333333333,0
"large","2002-23-08-65",2002,6,-210,20.56,-70.1666666666667,43.3333333333333,0
"small","2002-23-08-68",2002,9,-186,20.56,-69.8333333333333,43.65,0
"large","2002-23-08-68",2002,9,-186,20.56,-69.8333333333333,43.65,0
"small","2002-23-08-69",2002,8,-210,NA,-69.9166666666667,43.5,0
"large","2002-23-08-69",2002,8,-210,NA,-69.9166666666667,43.5,1
