"","X","id","day","year","month","lat","lon","fhours","STATE","triptype","target","lines","giant_bft","school_bft","large_med_bft","small_med_bft","large_school_bft","young_school_bft","school_or_lgschool_bft","depth","Decade","date","temp","Size","fishery","catch","SSTemp"
"31",62198,"CE110601",1,1995,9,41.4,-69.3,10,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-103,19,1995-09-01,18.6199995838106,"giant","Large_BFT",1,18.6199995838106
"32",62215,"CN210601",31,1995,8,42,-70.1,2,"MA","PR","Large_BFT",4,1,0,0,0,0,0,0,-10,19,1995-08-31,17.3499996121973,"giant","Large_BFT",1,17.3499996121973
"33",62241,"CL210302",7,1995,9,40.19,-70.88,5,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-131,19,1995-09-07,20.7699995357543,"giant","Large_BFT",1,20.7699995357543
"34",62261,"BR110101",8,1995,9,41.3,-69,9,"MA","CH","Large_BFT",5,1,1,0,0,2,0,0,-149,19,1995-09-08,17.8599996007979,"giant","Large_BFT",1,17.8599996007979
"35",62263,"BR110103",8,1995,9,41.2,-68.5,6,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-55,19,1995-09-08,17.8599996007979,"giant","Large_BFT",1,17.8599996007979
"36",62265,"BR110105",8,1995,9,41.35,-69.1,7,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-158,19,1995-09-08,18.2299995925277,"giant","Large_BFT",1,18.2299995925277
"37",62378,"BR110901",24,1995,9,41.1,-70.4,7,"MA","PR","Large_BFT",5,2,0,5,3,2,0,0,-38,19,1995-09-24,17.0399996191263,"giant","Large_BFT",2,17.0399996191263
"38",62410,"BR210302",28,1995,9,41.1,-70.4,10,"MA","PR","Large_BFT",5,1,0,5,3,2,0,0,-38,19,1995-09-28,17.0399996191263,"giant","Large_BFT",1,17.0399996191263
"39",63778,"CVA46401",19,1995,7,43.2,-69.1,4,"ME","PR","Large_BFT",4,1,0,0,0,0,0,0,-172,19,1995-07-19,16.7899996247143,"giant","Large_BFT",1,16.7899996247143
"40",66064,"BD210103",17,1996,7,42.25,-70.23,7,"MA","PR","Large_BFT",3,1,0,0,0,0,0,0,-33,19,1996-07-17,16.2299996372312,"giant","Large_BFT",1,16.2299996372312
