"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1993","Stratum_1"," [kg*km2/unitless]",5380929.07241597,2492958.56178441,0.463295190892583
"1","1994","Stratum_1"," [kg*km2/unitless]",2177021.62173885,1817928.32824543,0.835052950366837
"1","1995","Stratum_1"," [kg*km2/unitless]",46384130.0960443,14691708.1699632,0.316739974201134
"1","1996","Stratum_1"," [kg*km2/unitless]",3428428.40814473,3868965.38403576,1.12849531139238
"1","1997","Stratum_1"," [kg*km2/unitless]",2066254.01223661,2161370.66023979,1.04603337607085
"1","1998","Stratum_1"," [kg*km2/unitless]",4329885.88989683,4991914.41162765,1.15289745239605
"1","1999","Stratum_1"," [kg*km2/unitless]",94087065.4518539,70132066.5777166,0.745395408400791
"1","2000","Stratum_1"," [kg*km2/unitless]",265849723.090045,207899073.485953,0.782017265504304
"1","2001","Stratum_1"," [kg*km2/unitless]",4636624.28744674,3543500.67386919,0.764241494283441
"1","2002","Stratum_1"," [kg*km2/unitless]",5090777.69297045,6538575.36376841,1.28439616854555
"1","2003","Stratum_1"," [kg*km2/unitless]",194709342.746,58890968.8554814,0.302455793979568
"1","2004","Stratum_1"," [kg*km2/unitless]",691704921.145003,205392890.710231,0.296937154025501
"1","2005","Stratum_1"," [kg*km2/unitless]",886687108.6478,233695166.117827,0.263559900486445
"1","2006","Stratum_1"," [kg*km2/unitless]",691105460.995575,340352417.434467,0.492475369741937
"1","2007","Stratum_1"," [kg*km2/unitless]",410714842.502243,127081863.104157,0.309416290704086
"1","2008","Stratum_1"," [kg*km2/unitless]",221140340.964539,46060494.2272736,0.208286258519695
"1","2009","Stratum_1"," [kg*km2/unitless]",714371523.078752,215585382.948467,0.301783282204967
"1","2010","Stratum_1"," [kg*km2/unitless]",463824001.278804,79365298.2153276,0.171110804952979
"1","2011","Stratum_1"," [kg*km2/unitless]",650231803.285208,110361177.898327,0.169725899811024
"1","2012","Stratum_1"," [kg*km2/unitless]",781146354.495007,170806250.97175,0.218661010179292
"1","2013","Stratum_1"," [kg*km2/unitless]",484451649.140469,84918566.3878717,0.175288011793411
"1","2014","Stratum_1"," [kg*km2/unitless]",481763931.928898,71761824.4953708,0.1489564073592
"1","2015","Stratum_1"," [kg*km2/unitless]",128866357.62593,36690133.9539105,0.284714603794527
"1","2016","Stratum_1"," [kg*km2/unitless]",362292305.732229,104690097.367533,0.288965831487765
"1","2017","Stratum_1"," [kg*km2/unitless]",130076784.19738,31653586.9979938,0.243345399360137
"1","2018","Stratum_1"," [kg*km2/unitless]",38188470.998068,12384591.6666282,0.324301846681811
"1","2019","Stratum_1"," [kg*km2/unitless]",4025468.54904535,1757810.1769302,0.436672192445043
"1","2020","Stratum_1"," [kg*km2/unitless]",1587322.07327915,1982499.71055964,1.24895869838446
"1","2021","Stratum_1"," [kg*km2/unitless]",1818294.10122274,1462494.0383561,0.80432204964677
