tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
17,6775,3,1,2012,10,03,0113234,0,0,09,01,2217,1,ctoc2217.tif,00057732.tif,ORIGINAL,ALBACORE TUNA,4701,1757,1,2,2,0,0,0,0,1,0,,2012-175701
17,7430,3,1,2012,10,04,0119003,0,0,09,01,2216,2,ctoc2216.tif,00057726.tif,ORIGINAL,SWORDFISH,4328,1756,3,1,0,0,0,0,0,2,0,,2012-175601
17,7430,3,1,2012,10,04,0119003,0,0,09,01,2216,2,ctoc2216.tif,00057726.tif,ORIGINAL,ALBACORE TUNA,4701,1756,1,8,0,0,0,0,0,3,0,,2012-175601
17,7430,3,1,2012,10,04,0119003,0,0,09,01,2216,2,ctoc2216.tif,00057726.tif,ORIGINAL,YFT,4711,1756,2,3,0,0,0,0,0,4,0,,2012-175601
17,7430,7,1,2012,10,03,0110672,1,0,09,01,2218,1,ctoc2218.tif,00057737.tif,ORIGINAL,LITTLE TUNNY,4681,1758,1,1,1,1,0,0,0,5,0,,2012-175801
17,7430,7,3,2012,10,05,0110672,0,0,09,05,2221,2,ctoc2221.tif,00057831.tif,ORIGINAL,LITTLE TUNNY,4681,1783,1,0,0,20,0,0,0,6,0,,2012-178305
17,7430,7,1,2012,10,05,0110672,0,0,09,06,2221,2,ctoc2221.tif,00057833.tif,ORIGINAL,LITTLE TUNNY,4681,1783,1,0,0,12,0,0,0,7,0,,2012-178306
17,7430,7,3,2012,10,05,0110673,0,0,09,07,2221,2,ctoc2221.tif,00057835.tif,ORIGINAL,LITTLE TUNNY,4681,1783,1,0,0,10,0,0,0,8,0,,2012-178307
17,7430,7,1,2012,10,05,0110672,0,0,09,09,2221,2,ctoc2221.tif,00057838.tif,ORIGINAL,LITTLE TUNNY,4681,1783,1,0,0,20,0,0,0,9,0,,2012-178309
18,7430,3,1,2012,10,08,0113234,0,0,09,01,1216,2,ctoc1216.tif,00058016.tif,ORIGINAL,LITTLE TUNNY,4681,1817,1,0,0,3,0,0,0,10,0,,2012-181701
18,7430,3,1,2012,10,08,0113234,0,0,09,02,1216,2,ctoc1216.tif,00058018.tif,ORIGINAL,LITTLE TUNNY,4681,1817,1,0,0,1,0,0,0,11,0,,2012-181702
20,7430,3,3,2012,10,26,0119107,0,0,09,03,2112,1,ctoc2112.tif,00059006.tif,ORIGINAL,ATLANTIC BONITO,330,2054,1,1,1,0,0,0,0,12,0,,2012-205403
20,7442,5,1,2012,10,24,0110688,0,1,09,01,2234,2,ctoc2234.tif,00058982.tif,ORIGINAL,YFT,4711,2055,1,14,2,5,0,0,0,13,0,,2012-205501
18,7458,3,1,2012,10,13,0110630,0,0,09,01,1219,2,ctoc1219.tif,00058330.tif,ORIGINAL,BLUEFISH,230,1876,2,0,0,1,0,0,0,14,0,,2012-187601
18,7458,3,1,2012,10,13,0110630,0,0,09,01,1219,2,ctoc1219.tif,00058330.tif,ORIGINAL,STRIPED BASS,4180,1876,1,0,0,3,0,0,0,15,0,,2012-187601
18,7458,3,3,2012,10,13,0119107,0,0,09,02,1219,2,ctoc1219.tif,00058332.tif,ORIGINAL,BLUEFISH,230,1876,2,0,0,20,0,0,0,16,0,,2012-187602
18,7458,3,3,2012,10,13,0119107,0,0,09,02,1219,2,ctoc1219.tif,00058332.tif,ORIGINAL,TAUTOG,4380,1876,1,12,0,38,0,0,0,17,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;AL,2012-187602
19,7458,7,1,2012,10,17,0110672,0,0,09,01,2113,2,ctoc2113.tif,00058584.tif,ORIGINAL,BLUEFISH,230,1944,1,3,3,1,0,0,0,18,0,,2012-194401
19,7458,7,1,2012,10,17,0110672,0,0,09,01,2113,2,ctoc2113.tif,00058584.tif,ORIGINAL,STRIPED BASS,4180,1944,2,1,1,0,0,0,0,19,0,,2012-194401
20,7458,3,1,2012,10,25,0110630,0,0,09,01,2115,2,ctoc2115.tif,00059111.tif,ORIGINAL,BLUEFISH,230,2083,1,0,0,3,0,0,0,20,0,,2012-208301
20,7458,4,1,2012,10,26,0110656,0,0,09,01,2121,1,ctoc2121.tif,00059124.tif,ORIGINAL,ALBACORE TUNA,4701,2084,1,2,2,0,0,0,0,21,0,,2012-208401
17,6447,2,1,2012,10,06,0051599,1,0,10,01,1103,2,deoc1103.tif,00057846.tif,ORIGINAL,BLUNTNOSE JACK,8888,1785,3,1,1,0,0,0,0,22,1,SPECIES;RARE OR ILLEGAL SPECIES KEPT;,2012-178501
