tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,34,NJ,6,0,6,6,HUDSON CANYON,6416,34,1540,1205,1808,6,1,1,2,2,1,1530,4711,4691,2,12,10,14,0,1,1,1,0,1,0,5,3930,7220,90,500,72,1,1,1,njoc1205.tif,00045091.tif,2011,0,0,0,10,01,18901,1512,0251808,025,ORIGINAL,5,317,0,,Y,1,,2011-151202
15,6,36,NY,6,0,6,FLY FISHING,MONTAUK POINT,6982,36,1600,1201,0133,4,1,2,1,4,6,1550,4681,9996,2,2,2,8,0,1,0,0,0,0,1,2,9998,9998,2,50,68,2,1,1,nyoc1201.tif,00045146.tif,2011,1,0,0,10,01,18901,1520,1030133,103,ORIGINAL,4,381,0,,N,2,,2011-152001
15,6,36,NY,6,0,6,FLY SPIN,MONTAUK POINT,6982,36,1700,1201,0085,4,1,2,1,4,6,1600,4681,9996,2,2,2,9,0,1,0,0,0,0,1,2,9998,9998,2,45,68,2,1,1,nyoc1201.tif,00045148.tif,2011,0,0,0,10,01,18901,1520,1030085,103,ORIGINAL,4,382,0,,N,2,,2011-152002
15,6,36,NY,6,0,6,FLY FISHING,MONTAUK POINT,6982,36,1730,1201,0085,4,1,2,1,4,6,1700,4681,9996,2,2,2,8,0,1,0,0,0,0,1,2,9998,9998,1,30,65,2,1,1,nyoc1201.tif,00045150.tif,2011,0,0,0,10,01,18901,1520,1030085,103,ORIGINAL,4,383,0,,N,2,,2011-152003
15,6,36,NY,6,0,6,FLY SPIN,MONTAUK POINT,6982,36,1725,1201,0085,4,1,2,1,4,6,1715,4681,9996,2,2,2,7,0,1,0,0,0,0,1,2,9998,9998,1,30,65,2,1,1,nyoc1201.tif,00045152.tif,2011,0,0,0,10,01,18901,1520,1030085,103,ORIGINAL,4,384,0,,N,2,,2011-152004
15,6,36,NY,6,0,6,,MONTAUK POINT,6982,36,1740,1201,0085,4,1,2,1,2,7,1700,4681,9996,2,2,1,4,0,1,0,0,0,0,1,1,9998,9998,1,38,66,2,1,1,nyoc1201.tif,00045154.tif,2011,0,1,0,10,01,18901,1520,1030085,103,ORIGINAL,4,380,0,,Y,2,,2011-152005
15,6,10,DE,6,0,6,FLY FISHING,NORTH RIPPS,6982,36,1750,1201,0134,4,1,1,2,4,6,1700,4681,9996,2,2,2,9,0,1,0,0,0,0,1,2,9998,9998,1,30,69,2,1,1,nyoc1201.tif,00045156.tif,2011,0,0,0,10,01,18901,1520,1030134,103,ORIGINAL,4,385,0,,N,2,,2011-152006
15,6,51,VA,6,0,6,DRIFTING,CAPE HENRY,6590,51,1729,2108,0002,1,1,2,1,3,7,1721,570,3591,2,12,6,4,1,1,1,0,0,0,1,2,9998,9998,6,35,69,2,1,1,vaoc2108.tif,00045140.tif,2011,0,1,0,10,03,18903,1525,8100002,810,ORIGINAL,8,443,0,,Y,2,,2011-152501
15,6,25,MA,6,0,6,6,CRAB LEDGE,7282,25,1435,1113,0922,10,1,1,2,2,1,1430,4679,4676,2,12,4,7,0,1,0,1,0,0,0,2,4138,6940,5,156,60,2,1,1,maoc1113.tif,00045193.tif,2011,0,0,0,10,09,18909,1544,0010922,001,ORIGINAL,2,182,0,,Y,2,,2011-154401
15,6,25,MA,6,0,6,6,CRAB LEDGE,7282,25,1445,1113,0922,10,1,1,2,2,1,1435,4671,4679,2,2,6,8,0,1,1,1,0,0,0,3,4138,6940,7,150,60,2,1,2,maoc1113.tif,00045195.tif,2011,0,0,0,10,09,18909,1544,0010922,001,ORIGINAL,2,183,0,,Y,2,,2011-154402
15,6,25,MA,6,0,6,6,BB BUOY,7282,25,1510,1113,0922,10,1,1,2,2,1,1500,4679,4676,2,2,5,8,0,1,0,1,0,0,0,3,4116,6917,30,260,98,2,1,2,maoc1113.tif,00045196.tif,2011,0,0,0,10,09,18909,1544,0010922,001,ORIGINAL,2,184,0,,Y,2,,2011-154403
15,6,24,MD,6,0,6,6,FINGERS,6447,24,1637,1107,0853,3,1,1,2,2,1,1630,3591,3350,2,12,3,4,0,0,1,0,1,0,0,4,3805,7440,27,170,69,2,1,1,mdoc1107.tif,00045201.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,108,0,,Y,2,,2011-154601
15,6,24,MD,6,0,6,6,POOR MANS CANYON,6447,24,1643,1107,0853,3,1,2,1,3,1,1620,4711,1050,2,2,8,7,0,1,1,1,0,0,0,8,3752,7406,50,240,71,1,2,2,mdoc1107.tif,00045203.tif,2011,0,1,0,10,08,18908,1546,0470853,047,ORIGINAL,7,107,0,,Y,2,,2011-154602
