tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
035301,6,09,CT,6,01,6,6,COIMBRA WRECK,6773,09,1700,2112,0630,3,1,1,2,2,1,1635,4677,4711,2,2,4,6,0,0,1,1,0,0,0,0,2,4024,7220,45,180,71,1,2,2,CTJL2112.pdf,00134513.tif,2019,1,0,0,ORIGINAL,07,03,21733,0353,0110630,011,3,329,0,,Y,2,2019-035301
035302,6,09,CT,6,02,6,6,COIMBRA WRECK,6773,09,1840,2112,3234,3,1,1,2,2,1,1830,4677,4711,2,2,8,6,0,0,1,1,0,0,0,0,3,4024,7222,30,180,71,2,2,1,CTJL2112.pdf,00134514.tif,2019,0,0,0,ORIGINAL,07,03,21733,0353,0113234,011,3,328,0,,Y,2,2019-035302
035701,6,09,CT,6,01,6,6,FIPPENNIS LEDGE,7633,25,1710,1201,0803,15,3,1,2,2,2,1700,4811,9996,2,2,1,2,1,0,0,0,0,0,1,0,2,4245,6915,60,240,61,1,2,1,MAJL1201.pdf,00134525.tif,2019,1,1,0,ORIGINAL,07,04,21734,0357,0090803,009,2,590,0,,Y,2,2019-035701
036001,6,25,MA,6,01,6,6,STELLWAGEN BANK,7713,25,1646,2102,0217,8,3,1,2,3,2,1645,4671,9996,2,1,3,10,1,0,0,0,0,0,1,0,2,4216,7017,22,110,65,2,1,1,MAJL2102.pdf,00134534.tif,2019,0,1,0,ORIGINAL,07,02,21732,0360,0230217,023,2,621,0,,Y,2,2019-036001
036002,6,25,MA,6,02,6,6,STELLWAGEN BANK,7713,25,1701,2102,0784,8,1,1,2,1,1,1700,4671,9996,2,1,3,8,1,0,0,0,0,0,1,0,2,4216,7017,7,100,65,2,2,1,MAJL2102.pdf,00134536.tif,2019,0,1,0,ORIGINAL,07,02,21732,0360,0230784,023,2,620,0,,Y,2,2019-036002
036101,6,25,MA,6,01,6,6,STELLWAGEN BANK,7737,25,1720,2104,9246,35,2,2,2,3,1,1715,4671,4679,2,1,2,9,1,0,0,0,0,0,1,0,2,4216,7017,18,100,63,1,2,1,MAJL2104.pdf,00134541.tif,2019,0,0,0,ORIGINAL,07,02,21732,0361,0099246,009,2,622,0,,Y,2,2019-036101
036501,6,25,MA,6,01,6,6,STELLWAGEN BANK,7713,25,1555,2206,9038,9,1,2,2,3,1,1555,4671,9996,2,2,4,8,0,0,1,1,0,0,0,0,3,4255,7055,18,120,64,2,2,1,MAJL2206.pdf,00134551.tif,2019,0,0,0,ORIGINAL,07,01,21731,0365,0239038,023,2,660,0,,Y,2,2019-036501
036601,6,25,MA,6,01,SQUID BARS,7,STELLWAGEN BANK,7633,25,1720,2208,0823,17,2,1,2,2,7,1645,4671,9996,2,23,2,5,0,1,1,0,1,0,0,1,3,4216,7017,10,160,98,1,2,1,MAJL2208.pdf,00134555.tif,2019,1,1,0,ORIGINAL,07,02,21732,0366,0250823,025,2,662,0,,N,2,2019-036601
036602,6,25,MA,6,02,6,6,MUSSLE BED,7633,25,1824,2208,0098,17,2,1,2,1,1,1755,4671,9996,2,2,2,11,1,0,0,0,0,0,1,0,1,4216,7017,14,143,98,1,2,1,MAJL2208.pdf,00134557.tif,2019,1,0,0,ORIGINAL,07,02,21732,0366,0250098,025,2,661,0,,Y,2,2019-036602
036701,6,24,MD,6,01,6,6,WASHINGTON CANYON,6936,24,1700,1109,1493,5,1,2,1,3,1,1640,4711,9996,2,2,17,8,0,1,1,1,0,0,0,0,6,3727,7427,62,3000,82,1,1,1,MDJL1109.pdf,00134561.tif,2019,0,0,0,ORIGINAL,07,04,21734,0367,0471493,047,6,428,1,Q19;,Y,1,2019-036701
