stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
10,01,1101,1,0,,6447,2,1,5,2018,06,09,005301,0051599,0,0,2,DEJN1101.pdf,00120240.tif,ORIGINAL,SHORTFIN MAKO SHARK,3551,0053,1,0,0,5,0,0,0,2,2018-005301
10,01,1101,2,0,,6447,2,1,5,2018,06,09,005301,0051599,0,0,2,DEJN1101.pdf,00120240.tif,ORIGINAL,SKIPJACK TUNA,4661,0053,4,1,0,0,0,0,0,2,2018-005301
10,01,1101,3,0,,6447,2,1,5,2018,06,09,005301,0051599,0,0,2,DEJN1101.pdf,00120240.tif,ORIGINAL,BFT SCHOOL,4677,0053,3,1,0,0,0,0,0,2,2018-005301
10,01,1101,4,0,,6447,2,1,5,2018,06,09,005301,0051599,0,0,2,DEJN1101.pdf,00120240.tif,ORIGINAL,YFT,4711,0053,2,5,0,0,0,0,0,2,2018-005301
10,02,1101,5,0,,6447,2,1,3,2018,06,09,005302,0051599,0,0,2,DEJN1101.pdf,00120242.tif,ORIGINAL,BFT SCHOOL,4677,0053,1,2,0,0,0,0,0,2,2018-005302
10,03,1101,6,0,,6447,2,1,4,2018,06,09,005303,0051599,0,0,2,DEJN1101.pdf,00120244.tif,ORIGINAL,SKIPJACK TUNA,4661,0053,2,0,0,1,0,0,0,2,2018-005303
10,03,1101,7,0,,6447,2,1,4,2018,06,09,005303,0051599,0,0,2,DEJN1101.pdf,00120244.tif,ORIGINAL,YFT,4711,0053,1,2,0,0,0,0,0,2,2018-005303
10,04,1101,8,0,,6447,2,1,5,2018,06,09,005304,0051599,0,0,2,DEJN1101.pdf,00120246.tif,ORIGINAL,BFT SCHOOL,4677,0053,1,2,0,0,0,0,0,2,2018-005304
10,04,1101,9,0,,6447,2,1,5,2018,06,09,005304,0051599,0,0,2,DEJN1101.pdf,00120246.tif,ORIGINAL,LITTLE TUNNY,4681,0053,3,1,0,0,0,0,0,2,2018-005304
10,04,1101,10,0,,6447,2,1,5,2018,06,09,005304,0051599,0,0,2,DEJN1101.pdf,00120246.tif,ORIGINAL,YFT,4711,0053,2,1,0,0,0,0,0,2,2018-005304
10,05,1101,11,0,,6447,2,1,4,2018,06,09,005305,0051599,0,0,2,DEJN1101.pdf,00120248.tif,ORIGINAL,GOLDEN TILEFISH,4467,0053,2,5,0,0,0,0,0,2,2018-005305
10,05,1101,12,0,,6447,2,1,4,2018,06,09,005305,0051599,0,0,2,DEJN1101.pdf,00120248.tif,ORIGINAL,SKIPJACK TUNA,4661,0053,3,1,0,0,0,0,0,2,2018-005305
10,05,1101,13,0,,6447,2,1,4,2018,06,09,005305,0051599,0,0,2,DEJN1101.pdf,00120248.tif,ORIGINAL,BFT SCHOOL,4677,0053,1,1,0,0,0,0,0,2,2018-005305
10,06,1101,14,0,,6447,2,1,4,2018,06,09,005306,0051599,0,0,2,DEJN1101.pdf,00120250.tif,ORIGINAL,SKIPJACK TUNA,4661,0053,2,4,4,0,0,0,0,3,2018-005306
10,06,1101,15,0,,6447,2,1,4,2018,06,09,005306,0051599,0,0,2,DEJN1101.pdf,00120250.tif,ORIGINAL,LITTLE TUNNY,4681,0053,3,0,0,10,0,0,0,3,2018-005306
10,06,1101,16,0,,6447,2,1,4,2018,06,09,005306,0051599,0,0,2,DEJN1101.pdf,00120250.tif,ORIGINAL,BIGEYE TUNA,4691,0053,1,2,2,0,0,0,0,3,2018-005306
10,01,1102,17,0,,6447,2,1,3,2018,06,17,014101,0051599,0,0,2,DEJN1102.pdf,00120732.tif,ORIGINAL,DOLPHIN,1050,0141,3,4,0,0,0,0,0,3,2018-014101
10,01,1102,18,0,,6447,2,1,3,2018,06,17,014101,0051599,0,0,2,DEJN1102.pdf,00120732.tif,ORIGINAL,SKIPJACK TUNA,4661,0141,2,1,0,0,0,0,0,3,2018-014101
10,01,1102,19,0,,6447,2,1,3,2018,06,17,014101,0051599,0,0,2,DEJN1102.pdf,00120732.tif,ORIGINAL,YFT,4711,0141,1,7,0,1,0,0,0,3,2018-014101
10,02,1102,20,0,,6447,2,1,4,2018,06,17,014102,0051599,0,0,2,DEJN1102.pdf,00120734.tif,ORIGINAL,YFT,4711,0141,1,1,0,4,0,0,0,2,2018-014102
10,03,1102,21,0,,6447,2,1,4,2018,06,17,014103,0051599,0,0,2,DEJN1102.pdf,00120736.tif,ORIGINAL,DOLPHIN,1050,0141,2,4,0,0,0,0,0,2,2018-014103
10,03,1102,22,0,,6447,2,1,4,2018,06,17,014103,0051599,0,0,2,DEJN1102.pdf,00120736.tif,ORIGINAL,YFT,4711,0141,1,1,0,0,0,0,0,2,2018-014103
10,04,1102,23,1,RARE OR ILLEGAL SPECIES KEPT;,6447,2,1,3,2018,06,17,014104,0051599,0,0,2,DEJN1102.pdf,00120738.tif,ORIGINAL,BLUELINE TILEFISH,4440,0141,4,4,0,0,0,0,0,2,2018-014104
10,04,1102,24,0,,6447,2,1,3,2018,06,17,014104,0051599,0,0,2,DEJN1102.pdf,00120738.tif,ORIGINAL,GOLDEN TILEFISH,4467,0141,3,6,0,0,0,0,0,2,2018-014104
10,04,1102,25,0,,6447,2,1,3,2018,06,17,014104,0051599,0,0,2,DEJN1102.pdf,00120738.tif,ORIGINAL,BFT SCHOOL,4677,0141,1,1,0,0,0,0,0,2,2018-014104
10,04,1102,26,0,,6447,2,1,3,2018,06,17,014104,0051599,0,0,2,DEJN1102.pdf,00120738.tif,ORIGINAL,YFT,4711,0141,2,0,0,1,0,0,0,2,2018-014104
10,05,1102,27,0,,6447,2,1,6,2018,06,17,014105,0051599,0,0,2,DEJN1102.pdf,00120740.tif,ORIGINAL,YFT,4711,0141,1,1,0,0,0,0,0,3,2018-014105
10,01,1104,28,0,,6447,2,1,3,2018,06,02,002701,0051599,0,0,2,DEJN1104.pdf,00120103.tif,ORIGINAL,BFT SCHOOL,4677,0027,1,1,0,0,0,0,0,2,2018-002701
10,02,1104,29,0,,6447,2,1,3,2018,06,02,002702,0051599,0,0,2,DEJN1104.pdf,00120105.tif,ORIGINAL,ATLANTIC BONITO,330,0027,2,1,0,0,0,0,0,2,2018-002702
