tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,q11a,s_index,serrflag,sprobfld,id
173402,9996,9996,248,8,9996,6783,2,1,2016,09,17,0051599,0,0,10,02,1201,1,DESE1201.pdf,00105035.tif,ORIGINAL,1050,1734,0,2,3,3,1,LENGTH;,2016-173402
173402,9996,9996,371,8,9996,6783,2,1,2016,09,17,0051599,0,0,10,02,1201,1,DESE1201.pdf,00105035.tif,ORIGINAL,1050,1734,0,1,3,2,1,LENGTH;,2016-173402
173402,9996,9996,399,8,9996,6783,2,1,2016,09,17,0051599,0,0,10,02,1201,1,DESE1201.pdf,00105035.tif,ORIGINAL,1050,1734,0,3,3,4,1,LENGTH;,2016-173402
157805,9996,9996,470,2,9996,6936,5,1,2016,09,08,0471493,0,0,24,05,2105,1,MDSE2105.pdf,00104105.tif,ORIGINAL,1050,1578,0,5,3,31,0,,2016-157805
157803,9996,9996,480,2,9996,6936,5,1,2016,09,08,0471493,0,0,24,03,2105,1,MDSE2105.pdf,00104101.tif,ORIGINAL,1050,1578,0,1,3,19,0,,2016-157803
178601,9996,9996,484,2,9996,6936,5,1,2016,09,20,0471493,0,0,24,01,2103,1,MDSE2103.pdf,00105376.tif,ORIGINAL,1050,1786,0,1,3,66,0,,2016-178601
157803,9996,9996,487,2,9996,6936,5,1,2016,09,08,0471493,0,0,24,03,2105,1,MDSE2105.pdf,00104101.tif,ORIGINAL,1050,1578,0,5,3,23,0,,2016-157803
157803,9996,9996,492,2,9996,6936,5,1,2016,09,08,0471493,0,0,24,03,2105,1,MDSE2105.pdf,00104101.tif,ORIGINAL,1050,1578,0,2,3,20,0,,2016-157803
162106,9996,9996,498,2,9996,7661,3,1,2016,09,10,8100088,0,0,51,06,1206,1,VASE1206.pdf,00104414.tif,ORIGINAL,1050,1621,0,3,3,114,0,,2016-162106
159503,9996,9996,502,2,9996,6936,5,1,2016,09,09,0471493,0,0,24,03,2102,1,MDSE2102.pdf,00104235.tif,ORIGINAL,1050,1595,0,2,3,36,0,,2016-159503
