intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
6633,3,1,2017,06,13,016005,8101832,0,0,51,05,2114,1,VAJN2114.pdf,00108446.tif,ORIGINAL,1050,0160,9996,9996,771,2,9996,0,4,,,2,27,0,,2017-016005
7686,3,1,2017,06,12,014201,8100088,0,0,51,01,2116,1,VAJN2116.pdf,00108330.tif,ORIGINAL,1050,0142,9996,9996,772,1,9996,0,1,,,3,56,0,,2017-014201
6555,7,1,2017,06,17,022411,0470938,0,0,24,11,1206,1,MDJN1206.pdf,00108724.tif,ORIGINAL,1050,0224,9996,9996,775,1,9996,0,2,,,2,8,0,,2017-022411
7686,1,1,2017,06,26,034904,8100002,0,0,51,04,2206,1,VAJN2206.pdf,00109490.tif,ORIGINAL,1050,0349,9996,9996,775,2,9996,0,1,,,3,63,0,,2017-034904
7688,1,1,2017,06,12,014402,8100002,0,0,51,02,2207,1,VAJN2207.pdf,00108343.tif,ORIGINAL,1050,0144,9996,9996,781,1,9996,0,6,,,3,66,0,,2017-014402
6936,5,1,2017,06,02,007808,0471493,0,0,24,08,2107,1,MDJN2107.pdf,00108000.tif,ORIGINAL,1050,0078,9996,9996,782,2,9996,0,1,,,3,14,0,,2017-007808
7617,3,1,2017,06,28,037402,8100088,0,0,51,02,2124,1,VAJN2124.pdf,00109725.tif,ORIGINAL,1050,0374,9996,9996,783,1,9996,0,5,,,3,33,0,,2017-037402
7688,1,1,2017,06,12,014402,8100002,0,0,51,02,2207,1,VAJN2207.pdf,00108343.tif,ORIGINAL,1050,0144,9996,9996,795,2,9996,0,4,,,3,64,0,,2017-014402
7686,2,1,2017,06,03,002803,8100387,0,0,51,03,1204,1,VAJN1204.pdf,00107813.tif,ORIGINAL,1050,0028,9996,9996,799,1,9996,0,1,,,2,52,0,,2017-002803
6555,7,1,2017,06,17,022411,0470938,0,0,24,11,1206,1,MDJN1206.pdf,00108724.tif,ORIGINAL,1050,0224,9996,9996,801,1,9996,0,4,,,2,10,0,,2017-022411
6936,5,1,2017,06,25,032403,0471493,0,0,24,03,1104,1,MDJN1104.pdf,00109400.tif,ORIGINAL,1050,0324,9996,9996,807,2,9996,0,2,,,2,17,0,,2017-032403
7686,1,1,2017,06,26,034902,8100002,0,0,51,02,2206,1,VAJN2206.pdf,00109486.tif,ORIGINAL,1050,0349,9996,9996,807,2,9996,0,5,,,3,62,0,,2017-034902
7686,3,1,2017,06,12,014202,8100088,0,0,51,02,2116,1,VAJN2116.pdf,00108332.tif,ORIGINAL,1050,0142,9996,9996,811,1,9996,0,1,,,3,57,0,,2017-014202
7661,3,1,2017,06,11,014005,8100088,0,0,51,05,1205,1,VAJN1205.pdf,00108310.tif,ORIGINAL,1050,0140,9996,9996,813,2,9996,0,6,,,3,40,0,,2017-014005
6936,5,1,2017,06,30,039501,0471493,0,0,24,01,2105,1,MDJN2105.pdf,00109791.tif,ORIGINAL,1050,0395,9996,9996,816,2,9996,0,2,,,3,19,0,,2017-039501
7686,2,1,2017,06,03,002804,8100387,0,1,51,04,1204,1,VAJN1204.pdf,00107815.tif,ORIGINAL,1050,0028,9996,9996,826,2,9996,0,2,,,2,54,0,,2017-002804
6783,7,1,2017,06,25,032507,0470938,0,0,24,07,1203,1,MDJN1203.pdf,00109423.tif,ORIGINAL,1050,0325,9996,9996,828,1,9996,0,2,,,2,13,0,,2017-032507
7686,2,1,2017,06,03,002805,8100387,0,0,51,05,1204,1,VAJN1204.pdf,00107817.tif,ORIGINAL,1050,0028,9996,9996,831,1,9996,0,3,,,3,55,0,,2017-002805
7662,2,1,2017,06,01,002902,8100387,0,1,51,02,2108,1,VAJN2108.pdf,00107826.tif,ORIGINAL,1050,0029,9996,9996,838,2,9996,0,4,,,3,48,0,,2017-002902
6936,5,1,2017,06,25,032405,0471493,0,0,24,05,1104,1,MDJN1104.pdf,00109404.tif,ORIGINAL,1050,0324,9996,9996,844,2,9996,0,2,,,3,18,0,,2017-032405
6783,7,1,2017,06,25,032502,0470938,0,0,24,02,1203,1,MDJN1203.pdf,00109414.tif,ORIGINAL,1050,0325,9996,9996,846,2,9996,0,2,,,2,11,0,,2017-032502
7661,3,1,2017,06,16,024101,8100088,0,0,51,01,2119,1,VAJN2119.pdf,00108873.tif,ORIGINAL,1050,0241,9996,9996,851,2,9996,0,3,,,3,41,0,,2017-024101
6633,1,1,2017,06,04,004202,8100091,0,0,51,02,1101,1,VAJN1101.pdf,00107867.tif,ORIGINAL,1050,0042,9996,9996,864,1,9996,0,3,,,3,22,0,,2017-004202
6936,5,1,2017,06,02,007808,0471493,0,0,24,08,2107,1,MDJN2107.pdf,00108000.tif,ORIGINAL,1050,0078,9996,9996,867,1,9996,0,2,,,3,15,0,,2017-007808
7662,2,1,2017,06,01,002902,8100387,0,1,51,02,2108,1,VAJN2108.pdf,00107826.tif,ORIGINAL,1050,0029,9996,9996,873,1,9996,0,2,,,3,46,0,,2017-002902
6783,2,1,2017,06,12,012601,0051599,0,0,10,01,2203,1,DEJN2203.pdf,00108215.tif,ORIGINAL,1050,0126,9996,9996,880,1,9996,0,1,,,2,2,0,,2017-012601
7614,8,1,2017,06,16,024206,0010039,0,0,51,06,2209,1,VAJN2209.pdf,00108887.tif,ORIGINAL,1050,0242,9996,9996,881,2,9996,0,1,,,2,30,0,,2017-024206
7661,2,1,2017,06,04,002502,8100387,0,0,51,02,1102,1,VAJN1102.pdf,00107792.tif,ORIGINAL,1050,0025,9996,9996,893,2,9996,0,2,,,2,37,0,,2017-002502
6783,7,1,2017,06,25,032507,0470938,0,0,24,07,1203,1,MDJN1203.pdf,00109423.tif,ORIGINAL,1050,0325,9996,9996,903,1,9996,0,1,,,2,12,0,,2017-032507
7686,2,1,2017,06,03,002804,8100387,0,1,51,04,1204,1,VAJN1204.pdf,00107815.tif,ORIGINAL,1050,0028,9996,9996,903,1,9996,0,1,,,2,53,0,,2017-002804
6633,1,1,2017,06,04,004205,8100002,0,0,51,05,1101,1,VAJN1101.pdf,00107873.tif,ORIGINAL,1050,0042,9996,9996,921,1,9996,0,2,,,3,24,0,,2017-004205
