tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
033101,6,09,CT,6,01,6,DRIFTING,RYANS HORN,7836,09,1555,1201,3234,3,1,1,2,2,2,1550,4677,3551,2,1,5,8,0,1,0,1,0,0,0,1,2,4046,7127,20,200,72,1,2,1,CTJL1201.pdf,00147067.tif,2020,0,0,0,ORIGINAL,07,05,22101,0331,0113234,011,3,177,0,,Y,2,2020-033101
033102,6,09,CT,6,02,6,6,COIMBRA WRECK,7836,09,1650,1201,0630,3,1,1,2,2,6,1600,4679,9996,2,2,8,5,7,7,7,1,0,0,0,0,3,4024,7222,28,200,72,1,2,1,CTJL1201.pdf,00147069.tif,2020,0,1,0,ORIGINAL,07,05,22101,0331,0110630,011,3,176,0,,Y,2,2020-033102
033103,6,09,CT,6,03,6,6,JENNYS HORN,7836,09,1701,1201,0630,3,1,1,2,2,2,1530,3591,9996,2,1,4,6,0,0,1,0,0,1,0,0,3,4049,7133,40,300,72,1,2,2,CTJL1201.pdf,00147071.tif,2020,0,1,0,ORIGINAL,07,05,22101,0331,0110630,011,3,178,0,,N,2,2020-033103
033104,1410,09,CT,NIANTIC SHARK WEEK,04,6,6,BLOCK ISLAND,7836,09,1800,1201,3879,3,1,1,2,8,6,1700,3551,3531,1,1,3,7,0,1,0,0,0,1,0,0,4,4111,7150,10,150,70,1,2,1,CTJL1201.pdf,00147072.tif,2020,0,0,0,ORIGINAL,07,05,22101,0331,0113879,011,3,48,0,,N,2,2020-033104
033201,6,09,CT,6,01,6,6,COIMBRA WRECK,6773,09,1548,1210,0630,3,1,1,2,2,1,1500,4691,4677,2,2,8,6,0,1,1,1,0,0,0,0,3,4024,7222,50,175,70,1,2,1,CTJL1210.pdf,00147078.tif,2020,0,0,0,ORIGINAL,07,04,22100,0332,0110630,011,3,191,0,,Y,2,2020-033201
033202,1410,09,CT,NIANTIC SHARK WEEK,02,6,6,CARTWRIGHT,6773,09,1805,1210,3234,3,1,1,2,2,2,1745,3551,9996,1,1,4,6,0,1,0,0,1,1,0,0,4,4100,7148,20,145,71,1,1,1,CTJL1210.pdf,00147080.tif,2020,0,0,0,ORIGINAL,07,04,22100,0332,0113234,011,3,49,0,,N,2,2020-033202
033203,6,25,MA,6,03,6,6,COIMBRA WRECK,6773,09,1900,1210,0645,3,3,1,2,2,1,1845,4677,9996,2,2,7,5,0,0,1,1,0,0,0,0,3,4024,7222,80,300,69,1,2,1,CTJL1210.pdf,00147082.tif,2020,0,0,0,ORIGINAL,07,04,22100,0332,0110645,011,3,192,0,,Y,2,2020-033203
033701,6,10,DE,6,01,6,6,HOT DOG,6447,10,1650,1101,1599,2,1,2,1,3,1,1630,4711,9996,2,2,9,9,0,1,1,1,0,0,0,0,6,3806,7400,40,120,74,1,2,1,DEJL1101.pdf,00147098.tif,2020,0,0,0,ORIGINAL,07,05,22101,0337,0051599,005,6,213,0,,Y,2,2020-033701
033702,6,10,DE,6,02,6,6,HOT DOG,6447,10,1705,1101,1599,2,1,2,1,3,1,1645,4711,9996,2,2,13,6,0,1,1,1,0,0,0,0,4,3806,7417,50,200,75,1,2,1,DEJL1101.pdf,00147100.tif,2020,0,0,0,ORIGINAL,07,05,22101,0337,0051599,005,6,209,0,,Y,2,2020-033702
033703,6,10,DE,6,03,6,6,19 FATHOM LUMP,6447,10,1718,1101,1599,2,1,1,2,2,1,1700,4656,9996,2,2,9,6,0,1,1,1,0,0,0,0,7,9998,9998,35,150,74,1,2,1,DEJL1101.pdf,00147102.tif,2020,0,0,0,ORIGINAL,07,05,22101,0337,0051599,005,6,214,0,,Y,2,2020-033703
