tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
14,7446,1,1,2012,09,10,0151970,0,1,33,01,2109,2,nhse2109.tif,00055856.tif,ORIGINAL,BFT LARGE MEDIU,4679,1451,1,1,1,0,0,1,0,403,0,,2012-145101
13,6013,10,1,2012,09,01,0290279,0,0,34,01,1209,1,njse1209.tif,00055565.tif,ORIGINAL,BIGEYE TUNA,4691,1396,1,2,2,0,0,0,2,404,0,,2012-139601
13,6013,10,1,2012,09,01,0290279,0,0,34,02,1209,2,njse1209.tif,00055567.tif,ORIGINAL,ALBACORE TUNA,4701,1396,2,1,1,0,0,0,1,405,0,,2012-139602
13,6013,10,1,2012,09,01,0290279,0,0,34,02,1209,2,njse1209.tif,00055567.tif,ORIGINAL,YFT,4711,1396,1,1,1,0,0,0,1,406,0,,2012-139602
13,6013,10,1,2012,09,01,0290279,0,0,34,03,1209,2,njse1209.tif,00055569.tif,ORIGINAL,YFT,4711,1396,1,3,3,0,0,0,3,407,0,,2012-139603
15,6013,10,1,2012,09,16,0290279,0,0,34,01,1204,2,njse1204.tif,00056241.tif,ORIGINAL,WHITE MARLIN,2161,1505,2,0,0,1,0,0,0,408,0,,2012-150501
15,6013,10,1,2012,09,16,0290279,0,0,34,01,1204,2,njse1204.tif,00056241.tif,ORIGINAL,YFT,4711,1505,1,1,0,0,0,0,0,409,0,,2012-150501
15,6013,10,1,2012,09,15,0299118,0,0,34,01,1214,2,njse1214.tif,00056256.tif,ORIGINAL,YFT,4711,1508,1,1,0,0,0,0,0,410,0,,2012-150801
15,6013,10,1,2012,09,15,0290279,0,0,34,02,1214,2,njse1214.tif,00056258.tif,ORIGINAL,LITTLE TUNNY,4681,1508,1,0,0,20,0,0,0,411,0,,2012-150802
15,6013,10,1,2012,09,15,0299009,0,0,34,03,1214,2,njse1214.tif,00056260.tif,ORIGINAL,SWORDFISH,4328,1508,1,1,0,0,0,0,0,412,0,,2012-150803
15,6013,10,1,2012,09,15,0299009,0,0,34,03,1214,2,njse1214.tif,00056260.tif,ORIGINAL,HAMMERHEAD SHAR,4950,1508,2,0,0,1,0,0,0,413,0,,2012-150803
15,6013,7,1,2012,09,14,0293207,0,0,34,01,2209,1,njse2209.tif,00056295.tif,ORIGINAL,SWORDFISH,4328,1516,2,1,0,0,0,0,0,414,0,,2012-151601
15,6013,7,1,2012,09,14,0293207,0,0,34,01,2209,1,njse2209.tif,00056295.tif,ORIGINAL,YFT,4711,1516,1,7,2,0,0,0,0,415,0,,2012-151601
15,6013,7,1,2012,09,14,0293207,0,0,34,01,2209,1,njse2209.tif,00056295.tif,ORIGINAL,WAHOO,4720,1516,3,1,0,0,0,0,0,416,0,,2012-151601
15,6013,10,1,2012,09,17,0290894,0,0,34,01,2211,1,njse2211.tif,00056409.tif,ORIGINAL,DOLPHIN,1050,1531,3,3,2,0,0,0,0,417,0,,2012-153101
15,6013,10,1,2012,09,17,0290894,0,0,34,01,2211,1,njse2211.tif,00056409.tif,ORIGINAL,ALBACORE TUNA,4701,1531,2,4,4,0,0,0,0,418,0,,2012-153101
15,6013,10,1,2012,09,17,0290894,0,0,34,01,2211,1,njse2211.tif,00056409.tif,ORIGINAL,YFT,4711,1531,1,8,4,0,0,0,0,419,0,,2012-153101
15,6013,10,1,2012,09,17,0290894,0,0,34,02,2211,2,njse2211.tif,00056411.tif,ORIGINAL,DOLPHIN,1050,1531,3,10,0,0,0,0,0,420,0,,2012-153102
15,6013,10,1,2012,09,17,0290894,0,0,34,02,2211,2,njse2211.tif,00056411.tif,ORIGINAL,SWORDFISH,4328,1531,2,0,0,1,0,0,0,421,0,,2012-153102
15,6013,10,1,2012,09,17,0290894,0,0,34,02,2211,2,njse2211.tif,00056411.tif,ORIGINAL,YFT,4711,1531,1,2,0,0,0,0,0,422,0,,2012-153102
15,6013,10,1,2012,09,17,0299009,0,0,34,03,2211,2,njse2211.tif,00056413.tif,ORIGINAL,YFT,4711,1531,1,1,0,0,0,0,0,423,0,,2012-153103
15,6013,10,1,2012,09,17,0299009,0,0,34,03,2211,2,njse2211.tif,00056413.tif,ORIGINAL,BLUE SHARK,4931,1531,3,0,0,1,0,0,0,424,0,,2012-153103
15,6013,10,1,2012,09,17,0299009,0,0,34,03,2211,2,njse2211.tif,00056413.tif,ORIGINAL,HAMMERHEAD SHAR,4950,1531,2,0,0,1,0,0,0,425,0,,2012-153103
16,6013,6,1,2012,09,24,0251050,0,0,34,01,2222,2,njse2222.tif,00056976.tif,ORIGINAL,BLUEFISH,230,1621,2,6,6,0,0,0,0,426,0,,2012-162101
16,6013,6,1,2012,09,24,0251050,0,0,34,01,2222,2,njse2222.tif,00056976.tif,ORIGINAL,LITTLE TUNNY,4681,1621,1,0,0,6,0,0,0,427,0,,2012-162101
17,6013,10,1,2012,09,29,0290894,0,1,34,01,1106,2,njse1106.tif,00057402.tif,ORIGINAL,LITTLE TUNNY,4681,1706,1,0,0,10,0,0,0,428,0,,2012-170601
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,DOLPHIN,1050,1708,4,2,0,0,0,0,0,429,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,WHITE MARLIN,2161,1708,6,0,0,1,0,0,0,430,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,ALBACORE TUNA,4701,1708,2,6,0,0,0,0,0,431,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,YFT,4711,1708,1,3,0,0,0,0,0,432,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,WAHOO,4720,1708,3,1,0,0,0,0,0,433,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,01,1120,2,njse1120.tif,00057421.tif,ORIGINAL,BLUE SHARK,4931,1708,5,0,0,1,0,0,0,434,0,,2012-170801
17,6013,10,1,2012,09,30,0290894,0,0,34,02,1120,2,njse1120.tif,00057423.tif,ORIGINAL,DOLPHIN,1050,1708,2,1,0,0,0,0,0,435,0,,2012-170802
17,6013,10,1,2012,09,30,0290894,0,0,34,02,1120,2,njse1120.tif,00057423.tif,ORIGINAL,YFT,4711,1708,1,5,0,0,0,0,0,436,0,,2012-170802
17,6013,10,1,2012,09,30,0290894,0,0,34,02,1120,2,njse1120.tif,00057423.tif,ORIGINAL,BLUE SHARK,4931,1708,3,0,0,1,0,0,0,437,0,,2012-170802
17,6013,10,1,2012,09,30,0290894,0,0,34,03,1120,1,njse1120.tif,00057425.tif,ORIGINAL,DOLPHIN,1050,1708,2,1,0,0,0,0,0,438,0,,2012-170803
