intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,q11a,s_index,serrflag,sprobfld,id
7415,3,1,2015,06,11,012303,8100088,0,0,51,03,2211,1,VAJN2211.pdf,00082696.tif,ORIGINAL,30,0123,9996,9996,824,6,9996,0,6,3,1,0,,2015-012303
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,834,6,9996,0,5,3,8,0,,2015-033702
7415,3,1,2015,06,16,019803,8100088,0,0,51,03,2213,1,VAJN2213.pdf,00083091.tif,ORIGINAL,30,0198,9996,9996,835,6,9996,0,1,3,2,0,,2015-019803
7421,1,1,2015,06,05,003502,8100091,0,0,51,02,2208,1,VAJN2208.pdf,00082358.tif,ORIGINAL,30,0035,9996,9996,839,6,9996,0,1,3,3,0,,2015-003502
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,842,6,9996,0,7,3,10,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,898,6,9996,0,2,3,5,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,906,6,9996,0,6,3,9,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,911,6,9996,0,4,3,7,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,1011,6,9996,0,3,3,6,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,1046,6,9996,0,1,3,4,0,,2015-033702
7617,1,1,2015,06,25,033702,8100002,0,0,51,02,2133,1,VAJN2133.pdf,00084169.tif,ORIGINAL,30,0337,9996,9996,1068,6,9996,0,8,3,11,0,,2015-033702
6783,2,1,2015,06,13,012402,0051599,0,0,10,02,1102,1,DEJN1102.pdf,00082705.tif,ORIGINAL,1050,0124,9996,9996,399,8,9996,0,1,3,12,1,LENGTH;,2015-012402
6783,2,1,2015,06,13,012402,0051599,0,0,10,02,1102,1,DEJN1102.pdf,00082705.tif,ORIGINAL,1050,0124,9996,9996,403,8,9996,0,2,3,13,1,LENGTH;,2015-012402
6783,2,1,2015,06,13,012402,0051599,0,0,10,02,1102,1,DEJN1102.pdf,00082705.tif,ORIGINAL,1050,0124,9996,9996,409,8,9996,0,3,3,14,1,LENGTH;,2015-012402
7508,3,1,2015,06,19,022601,0090900,0,0,34,01,2110,1,NJJN2110.pdf,00083302.tif,ORIGINAL,1050,0226,9996,9996,428,2,9996,0,2,3,85,0,,2015-022601
7508,3,1,2015,06,19,022601,0090900,0,0,34,01,2110,1,NJJN2110.pdf,00083302.tif,ORIGINAL,1050,0226,9996,9996,434,1,9996,0,3,3,86,0,,2015-022601
7508,3,1,2015,06,19,022601,0090900,0,0,34,01,2110,1,NJJN2110.pdf,00083302.tif,ORIGINAL,1050,0226,9996,9996,435,2,9996,0,1,3,84,0,,2015-022601
7617,1,1,2015,06,22,026201,8100002,0,1,51,01,2125,1,VAJN2125.pdf,00083600.tif,ORIGINAL,1050,0262,9996,9996,478,8,9996,0,1,2,249,0,,2015-026201
