tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
30,09,01,1107,1,0,,7525,3,1,2014,08,03,0113878,0,0,1,CTAU1107.pdf,00075632.tif,ORIGINAL,SHORTFIN MAKO SHA,3551,3004,1,1,1,0,0,0,0,2,2014-300401
32,09,01,2113,2,0,,7529,5,1,2014,08,15,0110688,0,0,2,CTAU2113.pdf,00076776.tif,ORIGINAL,BLUEFISH,230,3205,1,12,0,0,0,0,0,3,2014-320501
32,09,01,2113,3,0,,7529,5,1,2014,08,15,0110688,0,0,2,CTAU2113.pdf,00076776.tif,ORIGINAL,SPINY DOGFISH,3521,3205,2,0,0,1,0,0,0,3,2014-320501
30,09,01,2217,4,0,,7525,3,1,2014,08,04,0110630,0,0,2,CTAU2217.pdf,00076147.tif,ORIGINAL,SHORTFIN MAKO SHA,3551,3094,2,0,0,1,0,0,0,2,2014-309401
30,09,01,2217,5,0,,7525,3,1,2014,08,04,0110630,0,0,2,CTAU2217.pdf,00076147.tif,ORIGINAL,BLUE SHARK,4931,3094,1,0,0,9,0,0,0,2,2014-309401
30,10,01,1101,6,0,,6783,2,1,2014,08,03,0051599,0,0,2,DEAU1101.pdf,00075636.tif,ORIGINAL,YFT,4711,3005,1,0,0,1,0,0,0,2,2014-300501
30,10,02,1101,7,0,,6783,2,1,2014,08,03,0051599,0,0,1,DEAU1101.pdf,00075638.tif,ORIGINAL,DOLPHIN,1050,3005,1,4,4,0,0,0,0,3,2014-300502
35,10,01,1102,8,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078766.tif,ORIGINAL,ATLANTIC BONITO,330,3533,1,0,0,1,0,0,0,2,2014-353301
35,10,01,1102,9,0,,7500,2,1,2014,08,30,0051599,0,1,2,DEAU1102.pdf,00078766.tif,ORIGINAL,LITTLE TUNNY,4681,3533,2,0,0,6,0,0,0,2,2014-353301
35,10,02,1102,10,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078768.tif,ORIGINAL,ATLANTIC BONITO,330,3533,1,1,1,0,0,0,0,3,2014-353302
35,10,03,1102,11,0,,7500,2,1,2014,08,30,0051599,1,0,2,DEAU1102.pdf,00078770.tif,ORIGINAL,WHITE MARLIN,2161,3533,1,0,0,1,0,0,0,7,2014-353303
35,10,04,1102,12,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078772.tif,ORIGINAL,LITTLE TUNNY,4681,3533,1,1,0,0,0,0,0,2,2014-353304
35,10,06,1102,13,0,,7500,2,1,2014,08,30,0051599,0,0,1,DEAU1102.pdf,00078775.tif,ORIGINAL,YFT,4711,3533,1,5,5,0,0,0,0,2,2014-353306
35,10,07,1102,14,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078777.tif,ORIGINAL,DOLPHIN,1050,3533,1,3,0,0,0,0,0,2,2014-353307
35,10,08,1102,15,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078779.tif,ORIGINAL,DOLPHIN,1050,3533,1,2,0,0,0,0,0,2,2014-353308
35,10,09,1102,16,0,,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078781.tif,ORIGINAL,DOLPHIN,1050,3533,1,6,6,0,0,0,0,2,2014-353309
35,10,09,1102,17,1,ALIVE;,7500,2,1,2014,08,30,0051599,0,0,2,DEAU1102.pdf,00078781.tif,ORIGINAL,WHITE MARLIN,2161,3533,2,0,0,20,0,0,0,2,2014-353309
