tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,51,VA,6,01,6,6,NORFOLK CANYON,2836,51,1607,2206,0088,3,1,2,2,3,1,1130,4711,9996,2,2,12,2,0,0,1,1,0,0,0,7,3705,7435,65,300,70,1,1,1,VAJN2206.pdf,00082231.tif,2015,0,1,0,ORIGINAL,06,01,20240,000101,0001,8100088,810,7,504,1,Q15;,Y,2,2015-000101
6,51,VA,6,02,6,6,65 MILES SE,2836,51,1615,2206,0088,3,1,2,1,3,1,1430,4711,9996,2,2,14,4,0,0,1,1,0,0,0,6,9998,9998,65,1800,68,1,1,1,VAJN2206.pdf,00082233.tif,2015,0,0,0,ORIGINAL,06,01,20240,000102,0001,8100088,810,7,503,1,Q19;,Y,1,2015-000102
6,51,VA,6,01,6,6,CIGAR,6633,51,1755,2101,0002,1,1,1,2,2,1,1715,4711,1050,2,2,7,7,0,0,1,1,0,0,0,4,3630,7450,62,600,74,1,2,1,VAJN2101.pdf,00082263.tif,2015,0,1,0,ORIGINAL,06,03,20242,001201,0012,8100002,810,7,456,0,,Y,1,2015-001201
6,51,VA,6,02,6,6,CIGAR,6633,51,1855,2101,0091,1,1,1,2,2,1,1830,4711,4691,2,2,10,9,0,0,1,1,0,0,0,7,3630,7450,68,1800,75,1,2,1,VAJN2101.pdf,00082265.tif,2015,0,0,0,ORIGINAL,06,03,20242,001202,0012,8100091,810,7,457,0,,Y,1,2015-001202
6,25,MA,6,01,6,6,STELLWAGEN BANK,7606,25,1630,2117,0784,8,1,2,1,3,7,1615,4811,9996,2,2,1,6,0,0,1,0,0,1,0,4,4216,7017,30,400,98,1,2,2,MAJN2117.pdf,00082292.tif,2015,0,1,0,ORIGINAL,06,04,20243,002301,0023,0230784,023,2,341,0,,Y,2,2015-002301
6,24,MD,6,01,6,6,FINGERS,6447,24,1613,1102,0853,3,1,1,2,2,1,1600,3551,9996,2,2,3,7,0,0,1,0,1,0,0,4,3805,7440,23,130,63,1,2,2,MDJN1102.pdf,00082299.tif,2015,0,0,0,ORIGINAL,06,06,20245,002601,0026,0470853,047,6,201,0,,Y,2,2015-002601
T500,24,MD,BAHIA MARINA MAKO MANIA,02,6,6,ELEPHANT TRUNK,6447,24,1709,1102,0853,3,1,2,1,3,1,1700,3551,9996,1,2,3,8,0,0,1,0,1,0,0,4,3835,7405,52,160,62,2,1,1,MDJN1102.pdf,00082300.tif,2015,0,0,0,ORIGINAL,06,06,20245,002602,0026,0470853,047,6,781,0,,N,1,2015-002602
6,24,MD,6,03,6,6,FINGERS,6447,24,1730,1102,0853,3,1,2,1,3,1,1715,3591,9996,2,1,4,8,0,0,1,0,1,0,0,4,3805,7440,26,130,64,1,2,1,MDJN1102.pdf,00082302.tif,2015,0,0,0,ORIGINAL,06,06,20245,002603,0026,0470853,047,6,199,0,,Y,2,2015-002603
6,24,MD,6,04,6,6,ELEPHANT TRUNK,6447,24,1735,1102,0853,3,1,2,2,3,6,1720,4677,4678,2,2,12,8,0,1,1,1,0,0,0,6,3835,7405,50,114,62,1,2,1,MDJN1102.pdf,00082304.tif,2015,0,1,0,ORIGINAL,06,06,20245,002604,0026,0470853,047,6,203,0,,N,1,2015-002604
T500,24,MD,BAHIA MARINA MAKO MANIA,05,6,6,WASHINGTON CANYON,6447,24,1820,1102,0853,3,1,1,2,3,6,1815,3551,9996,1,2,5,8,0,0,1,0,1,0,0,8,3727,7427,70,2000,72,1,2,2,MDJN1102.pdf,00082306.tif,2015,0,1,1,ORIGINAL,06,06,20245,002605,0026,0470853,047,6,782,0,,Y,2,2015-002605
T500,24,MD,BAHIA MARINA MAKO MANIA,06,6,6,MARINE ELECTRIC,6447,24,1827,1102,0853,3,1,2,1,3,1,1800,3551,9996,1,12,4,8,0,0,1,0,1,0,0,6,3753,7450,40,180,67,1,2,1,MDJN1102.pdf,00082307.tif,2015,0,0,0,ORIGINAL,06,06,20245,002606,0026,0470853,047,6,783,0,,N,2,2015-002606
6,24,MD,6,07,6,6,WASHINGTON CANYON,6447,24,1841,1102,0853,3,1,1,2,2,1,1830,4711,4691,2,12,9,8,0,1,1,1,0,0,0,5,3727,7427,72,2000,98,1,2,1,MDJN1102.pdf,00082309.tif,2015,0,1,0,ORIGINAL,06,06,20245,002607,0026,0470853,047,6,202,0,,Y,2,2015-002607
6,51,VA,6,08,6,6,NORFOLK CANYON,6447,24,1855,1102,0853,3,1,2,1,3,1,1845,4656,7777,2,2,12,6,0,1,1,1,0,0,0,6,3705,7435,82,3000,70,1,2,1,MDJN1102.pdf,00082311.tif,2015,0,1,0,ORIGINAL,06,06,20245,002608,0026,0470853,047,6,200,0,,Y,2,2015-002608
T500,24,MD,BAHIA MARINA MAKO MANIA,01,6,6,HOT DOG,6447,24,1704,2204,0853,3,1,2,1,3,1,1700,3551,9996,1,2,3,8,0,0,1,0,1,0,0,5,3806,7417,44,140,62,2,1,1,MDJN2204.pdf,00082315.tif,2015,0,0,0,ORIGINAL,06,05,20244,002701,0027,0470853,047,6,787,0,,N,2,2015-002701
6,24,MD,6,02,6,6,WASHINGTON CANYON,6447,24,1727,2204,0853,3,1,2,1,3,1,1700,4711,9996,2,2,10,6,0,1,1,1,0,0,0,6,3727,7427,62,99998,67,1,1,1,MDJN2204.pdf,00082317.tif,2015,0,0,0,ORIGINAL,06,05,20244,002702,0027,0470853,047,6,321,0,,Y,1,2015-002702
T500,24,MD,BAHIA MARINA MAKO MANIA,03,6,6,FINGERS,6447,24,1742,2204,0853,3,1,2,1,3,1,1730,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,3812,7437,24,180,65,1,1,1,MDJN2204.pdf,00082319.tif,2015,1,0,0,ORIGINAL,06,05,20244,002703,0027,0470853,047,6,786,0,,Y,2,2015-002703
T500,24,MD,BAHIA MARINA MAKO MANIA,04,6,6,WASHINGTON CANYON,6447,24,1808,2204,0853,3,1,1,2,3,6,1730,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,3727,7427,50,250,65,1,2,1,MDJN2204.pdf,00082321.tif,2015,0,1,1,ORIGINAL,06,05,20244,002704,0027,0470853,047,6,788,0,,Y,1,2015-002704
T500,24,MD,BAHIA MARINA MAKO MANIA,05,6,6,30 FATHOM LINE,6447,24,1829,2204,0853,3,1,2,1,3,1,1815,3551,9996,1,12,4,8,0,0,1,0,1,0,0,5,9998,9998,50,198,65,1,2,1,MDJN2204.pdf,00082323.tif,2015,0,0,0,ORIGINAL,06,05,20244,002705,0027,0470853,047,6,789,0,,N,2,2015-002705
6,51,VA,6,01,6,6,CIGAR,6633,51,1715,1101,0088,3,1,2,1,3,1,1700,4711,1050,2,2,7,7,0,0,1,1,0,0,0,9,3630,7450,65,600,70,2,2,1,VAJN1101.pdf,00082343.tif,2015,0,0,0,ORIGINAL,06,06,20245,003301,0033,8100088,810,7,422,0,,Y,1,2015-003301
6,51,VA,6,01,6,6,NORFOLK CANYON,7415,51,1615,2207,0088,3,1,2,1,3,1,1530,4711,1050,2,12,9,6,0,0,1,1,0,0,0,4,3705,7435,68,600,74,1,1,1,VAJN2207.pdf,00082347.tif,2015,0,0,0,ORIGINAL,06,03,20242,003401,0034,8100088,810,7,505,0,,Y,1,2015-003401
6,37,NC,6,02,6,6,200 LINE,7415,51,1701,2207,0088,3,1,2,1,3,1,1655,4711,1050,2,2,11,7,0,0,1,1,0,0,0,6,9998,9998,60,120,72,1,2,1,VAJN2207.pdf,00082349.tif,2015,0,0,0,ORIGINAL,06,03,20242,003402,0034,8100088,810,7,507,0,,Y,1,2015-003402
6,34,NJ,6,03,6,6,200 LINE,7415,51,1755,2207,0088,3,1,2,1,2,2,1745,4711,9996,2,2,10,10,0,0,1,1,0,0,0,6,9998,9998,56,1200,73,1,2,1,VAJN2207.pdf,00082351.tif,2015,0,1,0,ORIGINAL,06,03,20242,003403,0034,8100088,810,7,506,0,,Y,1,2015-003403
6,51,VA,6,01,6,6,NORFOLK CANYON,7421,51,1845,2208,0002,1,1,1,2,2,1,1830,4711,1050,2,12,9,8,0,1,1,1,0,0,0,5,3705,7435,62,600,73,1,2,1,VAJN2208.pdf,00082355.tif,2015,0,0,0,ORIGINAL,06,05,20244,003501,0035,8100002,810,7,509,0,,Y,1,2015-003501
6,51,VA,6,02,6,6,NAVY TOWER,7421,51,1910,2208,0091,1,1,1,2,3,1,1900,1050,4711,2,2,8,6,1,1,1,1,0,0,0,4,9998,9998,65,144,71,1,2,1,VAJN2208.pdf,00082357.tif,2015,0,0,0,REVISED,06,05,20244,003502,0035,8100091,810,7,508,0,,Y,1,2015-003502
T500,24,MD,BAHIA MARINA MAKO MANIA,01,6,6,SAUSAGES,6936,24,1705,1104,0938,7,1,1,2,2,1,1700,3551,9996,1,1,3,7,0,0,1,0,1,0,0,4,3759,7433,36,120,68,1,2,1,MDJN1104.pdf,00082375.tif,2015,0,0,0,REVISED,06,06,20245,004201,0042,0470938,047,6,784,0,,Y,2,2015-004201
T500,24,MD,BAHIA MARINA MAKO MANIA,02,6,6,SAUSAGES,6936,24,1730,1104,0938,7,1,1,2,2,1,1720,3551,9996,1,2,4,7,0,0,1,0,1,0,0,4,3759,7433,25,126,65,1,2,1,MDJN1104.pdf,00082377.tif,2015,0,0,0,ORIGINAL,06,06,20245,004202,0042,0470938,047,6,785,0,,Y,2,2015-004202
6,24,MD,6,03,6,6,BALTIMORE CANYON,6936,24,1755,1104,0938,7,1,2,2,3,1,1745,4711,1050,2,12,9,7,0,1,1,1,0,0,0,2,3814,7350,60,3000,65,1,2,1,MDJN1104.pdf,00082379.tif,2015,0,0,0,ORIGINAL,06,06,20245,004203,0042,0470938,047,6,220,0,,N,1,2015-004203
6,12,FL,6,01,6,6,WASHINGTON CANYON,6936,24,1730,2102,1493,5,1,2,1,3,2,1715,7777,9996,2,12,12,8,0,1,1,1,0,0,0,5,3727,7427,60,1200,68,2,2,1,MDJN2102.pdf,00082385.tif,2015,0,0,0,ORIGINAL,06,08,20247,004401,0044,0471493,047,6,263,0,,N,1,2015-004401
6,24,MD,6,02,6,6,WASHINGTON CANYON,6936,24,1755,2102,1493,5,1,2,1,3,1,1745,7777,9996,2,2,12,8,0,1,1,1,0,0,0,5,3727,7427,60,600,67,1,2,1,MDJN2102.pdf,00082387.tif,2015,0,0,0,ORIGINAL,06,08,20247,004402,0044,0471493,047,6,265,0,,Y,2,2015-004402
6,24,MD,6,03,6,6,WASHINGTON CANYON,6936,24,1810,2102,1493,5,1,2,1,3,1,1745,4711,7777,2,2,17,8,0,1,1,1,0,0,0,5,3727,7427,64,1200,67,1,1,1,MDJN2102.pdf,00082389.tif,2015,0,0,0,ORIGINAL,06,08,20247,004403,0044,0471493,047,6,264,1,Q19;,Y,1,2015-004403
T500,24,MD,BAHIA MARINA MAKO MANIA,01,6,6,FINGERS,6936,24,1700,2206,1493,5,1,1,2,2,1,1645,3591,9996,1,2,3,7,0,0,1,0,1,0,0,4,3812,7437,23,120,65,1,2,1,MDJN2206.pdf,00082393.tif,2015,0,0,0,ORIGINAL,06,05,20244,004501,0045,0471493,047,6,791,0,,Y,2,2015-004501
T500,24,MD,BAHIA MARINA MAKO MANIA,02,6,6,HOT DOG,6936,24,1725,2206,1493,5,1,2,1,3,1,1705,3551,3591,1,2,4,6,0,0,1,0,1,0,0,5,3806,7417,45,130,63,1,1,1,MDJN2206.pdf,00082395.tif,2015,0,0,0,ORIGINAL,06,05,20244,004502,0045,0471493,047,6,792,0,,Y,2,2015-004502
T500,37,NC,BAHIA MARINA MAKO MANIA,03,6,6,SAUSAGES,6936,24,1730,2206,1493,5,1,2,1,3,1,1700,3591,9996,1,2,3,7,0,0,1,0,1,0,0,5,3759,7433,35,150,64,1,2,1,MDJN2206.pdf,00082397.tif,2015,0,0,0,ORIGINAL,06,05,20244,004503,0045,0471493,047,6,794,0,,Y,2,2015-004503
T500,24,MD,BAHIA MARINA MAKO MANIA,04,6,6,SAUSAGES,6936,24,1740,2206,1493,5,1,1,2,2,1,1650,3591,9996,1,2,3,7,0,0,1,0,1,0,0,6,3759,7433,36,162,63,2,2,1,MDJN2206.pdf,00082399.tif,2015,0,0,0,ORIGINAL,06,05,20244,004504,0045,0471493,047,6,795,0,,Y,2,2015-004504
T500,24,MD,BAHIA MARINA MAKO MANIA,05,6,6,FINGERS,6936,24,1755,2206,1493,5,1,1,2,2,1,1730,3591,9996,1,1,4,7,0,0,1,0,1,0,0,4,3812,7437,26,95,62,1,2,1,MDJN2206.pdf,00082401.tif,2015,0,0,0,ORIGINAL,06,05,20244,004505,0045,0471493,047,6,796,0,,Y,2,2015-004505
T500,24,MD,BAHIA MARINA MAKO MANIA,06,6,6,SAUSAGES,6936,24,1805,2206,1493,5,1,1,2,2,1,1730,3551,3591,1,2,4,7,0,0,1,0,1,0,0,4,3759,7433,34,132,62,1,2,1,MDJN2206.pdf,00082403.tif,2015,0,0,0,ORIGINAL,06,05,20244,004506,0045,0471493,047,6,793,0,,Y,2,2015-004506
T500,24,MD,BAHIA MARINA MAKO MANIA,07,6,6,WASHINGTON CANYON,6936,24,1910,2206,1493,5,1,2,1,3,1,1900,3551,3591,1,2,4,7,0,0,1,0,1,0,0,4,3727,7427,65,1400,68,1,2,1,MDJN2206.pdf,00082405.tif,2015,0,0,0,ORIGINAL,06,05,20244,004507,0045,0471493,047,6,790,0,,Y,2,2015-004507
6,24,MD,6,01,6,6,SAUSAGES,6555,24,1730,2109,0938,7,1,1,2,2,1,1725,3551,9996,2,1,6,6,0,0,1,0,0,1,0,5,3759,7433,46,160,64,1,2,1,MDJN2109.pdf,00082445.tif,2015,0,0,0,ORIGINAL,06,05,20244,006001,0060,0470938,047,6,291,0,,Y,2,2015-006001
6,36,NY,6,01,6,6,BUTTERFISH HOLE,7466,36,1835,1108,0085,4,1,1,2,4,6,1830,4931,4678,2,1,3,6,0,0,1,0,1,0,0,3,4050,7135,17,180,58,1,1,1,NYJN1108.pdf,00082472.tif,2015,0,1,0,ORIGINAL,06,07,20246,007001,0070,1030085,103,4,406,0,,N,2,2015-007001
6,10,DE,6,01,6,6,BALTIMORE CANYON,6447,10,1716,2104,1599,2,1,2,1,3,1,1700,4711,9996,2,2,8,6,0,1,1,1,0,0,0,6,3806,7349,65,3600,73,1,2,1,DEJN2104.pdf,00082482.tif,2015,0,0,0,ORIGINAL,06,10,20249,007301,0073,0051599,005,6,192,0,,Y,2,2015-007301
6,10,DE,6,02,6,6,TEA CUP,6447,10,1802,2104,1599,2,1,1,2,2,1,1800,3551,9996,2,2,2,9,0,0,1,0,1,0,0,3,3821,7410,56,200,65,1,2,1,DEJN2104.pdf,00082484.tif,2015,0,0,0,ORIGINAL,06,10,20249,007302,0073,0051599,005,6,194,0,,Y,2,2015-007302
6,10,DE,6,03,6,6,BALTIMORE CANYON,6447,10,1816,2104,1599,2,1,1,2,2,1,1800,4711,2161,2,12,8,8,0,1,1,1,0,0,0,3,3814,7350,65,1200,71,1,2,1,DEJN2104.pdf,00082486.tif,2015,0,1,1,ORIGINAL,06,10,20249,007303,0073,0051599,005,6,195,0,,Y,1,2015-007303
6,10,DE,6,04,6,6,BALTIMORE CANYON,6447,10,1827,2104,1599,2,1,1,2,2,1,1815,4711,9996,2,2,9,7,0,1,1,1,0,0,0,5,3814,7350,65,600,69,1,2,1,DEJN2104.pdf,00082488.tif,2015,0,0,0,ORIGINAL,06,10,20249,007304,0073,0051599,005,6,193,0,,Y,2,2015-007304
6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1838,2104,1599,2,1,1,2,2,1,1830,4711,9996,2,2,12,8,0,1,1,1,0,0,0,3,3814,7350,66,1600,71,1,2,1,DEJN2104.pdf,00082490.tif,2015,0,0,0,ORIGINAL,06,10,20249,007305,0073,0051599,005,6,196,0,,Y,2,2015-007305
6,10,DE,6,06,6,6,BALTIMORE CANYON,6447,10,1930,2104,1599,2,1,2,1,3,1,1915,4711,9996,2,2,12,9,0,1,1,1,0,0,0,11,3814,7350,65,1500,68,2,1,1,DEJN2104.pdf,00082492.tif,2015,0,0,0,ORIGINAL,06,10,20249,007306,0073,0051599,005,6,191,1,Q23;,Y,2,2015-007306
6,24,MD,6,01,6,6,BALTIMORE CANYON,6936,24,1730,2111,1493,5,1,1,2,2,1,1720,4711,9996,2,2,10,7,0,1,1,1,0,0,0,5,3814,7350,60,600,73,1,1,1,MDJN2111.pdf,00082503.tif,2015,0,0,0,ORIGINAL,06,10,20249,007701,0077,0471493,047,6,292,0,,Y,1,2015-007701
