tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,STELLWAGEN BANK,2008-003804,003804,6722,17691,06,08,2008,1710,25,1106,04,023,9038,0239038,9,1,2,2,1,3,1,1,6,MA,25,1710,4671,9996,2,6,2,6,3,5,0,1,0,1,0,0,0,6,4,4210,7015,20,110,55,1,2,2,2,6,6,,,,,
6,STELLWAGEN BANK,2008-003901,003901,6652,17690,06,07,2008,1520,25,1206,01,009,0685,0090685,19,1,1,2,1,1,6,2,1,MA,25,1500,4679,2120,2,6,23,7,5,5,0,1,0,1,0,0,0,6,2,4225,7026,30,175,55,1,2,1,2,6,6,,,,,
6,CHICKEN BONE,2008-004201,004201,6794,17691,06,08,2008,1615,24,1102,01,047,0853,0470853,3,1,1,2,1,2,1,8,1,MD,24,1530,4677,9996,2,6,2,6,7,6,0,1,0,1,0,0,0,6,2,3815,7428,32,118,67,1,2,1,2,6,6,,,,,
MAKO MANIA,CHICKEN BONE,2008-004202,004202,6794,17691,06,08,2008,1630,24,1102,02,047,0853,0470853,3,1,2,1,1,3,7,1,2,DE,10,1625,3551,9996,1,T500,2,6,4,8,0,0,1,0,0,1,0,6,6,3815,7428,33,120,63,2,2,1,1,6,6,,,,,
MAKO MANIA,FINGERS,2008-004203,004203,6794,17691,06,08,2008,1700,24,1102,03,047,0853,0470853,3,1,1,2,1,2,7,2,1,MD,24,1700,3551,9996,1,T500,2,6,4,8,0,0,1,0,0,1,0,6,3,3805,7440,35,140,69,1,2,1,2,6,6,,,,,
MAKO MANIA,FINGERS,2008-004204,004204,6794,17691,06,08,2008,1715,24,1102,04,047,0853,0470853,3,1,1,2,1,2,7,2,1,MD,24,1710,3551,9996,1,T500,2,6,3,8,0,0,1,0,0,1,0,6,6,3805,7440,32,115,72,1,2,1,2,6,6,,,,,
MAKO MANIA,FINGERS,2008-004205,004205,6794,17691,06,08,2008,1730,24,1102,05,047,0853,0470853,3,1,2,2,1,3,7,1,2,MD,24,1430,3551,9996,1,T500,2,6,4,6,0,0,1,0,0,1,0,6,4,3805,7440,35,150,66,2,2,1,2,6,6,,,,,
MAKO MANIA,CHICKEN BONE,2008-004206,004206,6794,17691,06,08,2008,1745,24,1102,06,047,0853,0470853,3,1,2,2,1,3,1,8,1,MD,24,1630,3551,9996,1,T500,2,6,5,8,0,0,1,0,0,1,0,6,5,3815,7428,30,140,68,2,1,1,2,6,6,,,,,
6,HAMBONE,2008-004207,004207,6794,17691,06,08,2008,1755,24,1102,07,047,0853,0470853,3,1,2,1,1,3,1,1,2,MD,24,1730,3551,9996,2,6,2,6,5,8,0,0,1,0,0,1,0,6,5,3811,7424,30,140,69,1,2,1,1,6,6,,,,,
6,JACKSPOT,2008-004208,004208,6794,17691,06,08,2008,1815,24,1102,08,047,0853,0470853,3,1,2,1,1,3,1,1,2,MD,24,1630,3551,9996,2,6,12,6,5,8,0,0,1,0,0,1,0,6,5,3805,7445,25,90,71,1,2,1,2,6,6,,,,,
6,FINGERS,2008-004209,004209,6794,17691,06,08,2008,1825,24,1102,09,047,0853,0470853,3,1,2,1,1,3,7,1,2,MD,24,1730,3551,9996,2,6,1,6,5,8,0,0,1,0,0,1,0,6,5,3805,7440,26,120,98,1,2,1,2,6,6,,,,,
6,HAMBONE,2008-004210,004210,6794,17691,06,08,2008,1830,24,1102,10,047,0853,0470853,3,1,1,2,1,1,1,2,1,MD,24,1800,4656,3591,2,6,2,6,7,8,0,0,1,1,0,1,0,6,4,3811,7424,32,140,68,2,2,1,1,6,6,,,,,
6,HAMBONE,2008-004301,004301,6783,17691,06,08,2008,1611,24,1106,01,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1604,3551,3531,2,6,1,6,3,6,0,0,1,0,0,1,0,6,3,3811,7424,35,130,65,1,2,2,2,6,6,,,,,
6,FINGERS,2008-004302,004302,6783,17691,06,08,2008,1631,24,1106,02,047,0856,0470856,4,3,1,2,8,8,6,2,1,MD,24,1617,3551,9996,2,6,1,6,4,8,0,0,1,0,0,1,0,6,3,3805,7440,25,130,66,1,2,1,2,6,6,,,,,
MAKO MANIA,HAMBONE,2008-004303,004303,6783,17691,06,08,2008,1652,24,1106,03,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1650,3551,9996,1,T500,2,6,3,8,0,0,1,0,0,1,0,6,4,3811,7424,35,130,67,1,2,1,2,6,6,,,,,
6,SAUSAGES,2008-004304,004304,6783,17691,06,08,2008,1715,24,1106,04,047,0856,0470856,4,3,1,2,1,2,1,2,1,MD,24,1712,3551,9996,2,6,2,6,5,8,0,0,1,0,0,1,0,6,3,3759,7433,40,99998,67,1,2,1,2,6,6,,,,,
6,FINGERS,2008-004305,004305,6783,17691,06,08,2008,1730,24,1106,05,047,0856,0470856,4,3,1,2,1,2,1,2,7,MD,24,1722,3551,3531,2,6,3,C,4,8,0,0,1,0,0,1,0,6,5,3812,7437,22,120,67,1,2,2,2,6,6,,,,,
6,BARNEGAT RIDGE,2008-004501,004501,6816,17690,06,07,2008,1710,34,1204,01,029,0279,0290279,10,1,1,2,1,2,1,1,6,NJ,34,1630,3551,3531,2,6,2,6,4,7,0,0,1,0,0,1,0,6,5,3940,7350,20,120,62,1,2,2,2,6,6,,,,,
6,R0CK PILES,2008-004801,004801,6757,17690,06,07,2008,1520,36,1204,01,103,0564,1030564,2,1,1,2,1,3,2,8,1,NY,36,1500,3551,4931,2,6,2,6,3,6,0,0,1,0,1,1,0,6,5,4010,7300,35,155,61,1,2,1,2,6,6,,,,,
6,LUMPY BOTTOM,2008-005301,005301,6789,17690,06,07,2008,1645,51,1105,01,001,0955,0010955,8,1,1,2,8,8,6,2,1,MD,24,1500,3551,9996,2,6,2,6,5,4,0,0,1,0,1,1,0,6,4,3802,7420,35,90,97,1,2,1,1,6,6,,,,,
