tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
171201,6,10,DE,6,01,6,6,WASHINGTON CANYON,6783,10,1540,2102,1599,2,1,1,2,2,1,1535,2161,1050,2,1,5,4,0,1,0,1,0,0,0,0,1,3727,7427,70,600,72,2,2,1,DEOC2102.pdf,00130530.tif,2018,0,0,0,ORIGINAL,10,02,21459,1712,0051599,005,6,135,0,,Y,1,,2018-171201
171301,6,10,DE,6,01,6,6,PATTYS PITCHER,6783,10,1613,2205,0013,1,1,2,1,3,1,1600,3531,9996,2,12,3,4,0,1,0,0,1,0,0,0,4,9998,9998,20,117,74,1,2,1,DEOC2205.pdf,00130534.tif,2018,0,1,0,ORIGINAL,10,01,21458,1713,0050013,005,6,136,0,,Y,2,,2018-171301
171401,6,10,DE,6,01,6,6,WASHINGTON CANYON,7681,10,1805,2206,1599,2,1,1,2,2,1,1800,2161,1050,2,1,4,8,0,1,0,1,0,0,0,0,6,3727,7427,70,600,76,1,1,1,DEOC2206.pdf,00130538.tif,2018,0,0,0,ORIGINAL,10,01,21458,1714,0051599,005,6,137,0,,Y,2,,2018-171401
171402,6,10,DE,6,02,6,6,WASHINGTON CANYON,7681,10,1815,2206,1599,2,1,1,2,2,1,1810,2161,1050,2,1,7,7,0,1,0,1,0,0,0,0,6,3727,7427,70,600,72,2,2,1,DEOC2206.pdf,00130540.tif,2018,0,0,0,ORIGINAL,10,01,21458,1714,0051599,005,6,138,0,,Y,2,,2018-171402
171501,6,25,MA,6,01,6,FLOATER,OUTTER FLAG,7737,25,1800,2101,0685,19,1,1,2,1,7,1755,4679,4671,2,1,3,12,1,0,0,0,0,0,0,1,3,4252,7029,14,300,60,1,2,1,MAOC2101.pdf,00130544.tif,2018,0,1,0,ORIGINAL,10,01,21458,1715,0090685,009,2,217,0,,Y,2,,2018-171501
171502,6,25,MA,6,02,6,6,S JEFFREYS LEDGE,7737,25,1810,2101,0685,19,1,1,2,1,1,1800,4679,4671,2,1,3,8,1,0,0,0,0,0,1,0,2,4255,7010,21,150,63,1,1,1,MAOC2101.pdf,00130546.tif,2018,0,0,0,ORIGINAL,10,01,21458,1715,0090685,009,2,218,0,,Y,2,,2018-171502
171503,6,25,MA,6,03,6,6,OUTTER FLAG,7737,25,1822,2101,0685,19,1,1,2,1,1,1805,4679,4671,2,2,3,9,1,0,0,0,0,0,1,0,2,4252,7029,15,190,60,1,2,1,MAOC2101.pdf,00130548.tif,2018,0,1,0,ORIGINAL,10,01,21458,1715,0090685,009,2,219,0,,Y,2,,2018-171503
171801,6,25,MA,6,01,6,6,JEFFREYS LEDGE,7736,25,1722,2110,3230,14,1,1,2,1,1,1715,4671,9996,2,2,3,11,1,0,0,0,0,0,1,0,3,4255,7010,8,180,64,1,2,1,MAOC2110.pdf,00130557.tif,2018,0,0,0,ORIGINAL,10,01,21458,1718,0093230,009,2,222,0,,Y,2,,2018-171801
172001,6,25,MA,6,01,6,6,REGAL SWORD WRECK,7674,25,1400,2113,0340,10,1,2,2,3,2,1400,4671,9996,2,1,3,1,1,0,0,0,0,0,1,0,3,4126,6920,25,160,60,1,2,1,MAOC2113.pdf,00130564.tif,2018,0,0,0,ORIGINAL,10,02,21459,1720,0010340,001,2,229,1,Q20;,Y,2,,2018-172001
172002,6,25,MA,6,02,G,6,BOB TUNA HOLE,7674,25,1500,2113,0361,10,4,2,2,3,7,1045,4671,9996,2,13,2,5,1,0,0,0,0,1,0,0,2,9998,9998,27,270,66,1,1,1,MAOC2113.pdf,00130566.tif,2018,0,1,0,ORIGINAL,10,02,21459,1720,0010361,001,2,231,1,Q15;,Y,2,,2018-172002
172003,6,25,MA,6,03,6,6,7,7674,25,1620,2113,0361,10,4,1,2,1,2,1600,4671,9996,2,1,2,3,1,0,0,0,0,0,1,0,1,9998,9998,5,200,62,1,2,1,MAOC2113.pdf,00130568.tif,2018,1,1,0,ORIGINAL,10,02,21459,1720,0010361,001,2,230,0,,N,2,,2018-172003
172201,6,34,NJ,6,01,6,6,JEFFREYS LEDGE,7633,25,1515,2201,0024,15,1,2,2,3,1,1430,4671,9996,2,2,3,10,1,0,0,1,0,0,1,0,4,4255,7010,10,140,98,1,2,1,MAOC2201.pdf,00130574.tif,2018,0,0,0,ORIGINAL,10,02,21459,1722,0090024,009,2,264,0,,Y,2,,2018-172201
172202,6,25,MA,6,02,6,6,S JEFFREYS LEDGE,7633,25,1520,2201,0024,15,1,1,2,1,1,1507,4671,9996,2,12,3,9,1,0,0,0,0,0,1,0,2,4255,7010,4,160,98,1,2,1,MAOC2201.pdf,00130576.tif,2018,0,0,0,ORIGINAL,10,02,21459,1722,0090024,009,2,267,0,,Y,2,,2018-172202
172203,6,25,MA,6,03,6,6,JEFFREYS LEDGE,7633,25,1552,2201,0024,15,1,2,1,3,1,1530,4671,9996,2,2,3,8,1,0,0,0,0,0,1,0,6,4255,7010,15,180,60,2,2,1,MAOC2201.pdf,00130578.tif,2018,0,1,0,ORIGINAL,10,02,21459,1722,0090024,009,2,268,0,,Y,2,,2018-172203
172204,6,25,MA,6,04,6,6,S JEFFREYS LEDGE,7633,25,1620,2201,0024,15,1,1,2,3,1,1615,4671,9996,2,2,3,8,1,0,0,0,0,0,1,0,2,4255,7010,8,180,61,1,2,1,MAOC2201.pdf,00130580.tif,2018,0,0,0,ORIGINAL,10,02,21459,1722,0090024,009,2,261,0,,Y,2,,2018-172204
