stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
10,01,2101,44,0,,6783,2,1,5,2020,06,01,000101,0051599,0,1,1,DEJN2101.pdf,00145969.tif,ORIGINAL,YFT,4711,0001,1,3,3,0,0,0,0,2,2020-000101
34,01,2205,252,0,,7509,2,1,3,2020,06,04,001001,0011063,0,0,2,NJJN2205.pdf,00145993.tif,ORIGINAL,ATLANTIC BONITO,330,0010,1,0,0,1,0,0,0,2,2020-001001
10,01,1201,38,0,,6447,2,1,5,2020,06,07,001201,0051599,0,0,2,DEJN1201.pdf,00145999.tif,ORIGINAL,DOLPHIN,1050,0012,1,2,0,0,0,0,0,2,2020-001201
10,01,1201,39,0,,6447,2,1,5,2020,06,07,001201,0051599,0,0,2,DEJN1201.pdf,00145999.tif,ORIGINAL,BLUE MARLIN,2171,0012,2,0,0,1,0,0,0,2,2020-001201
10,03,1201,40,0,,6447,2,1,4,2020,06,07,001203,0051599,0,0,2,DEJN1201.pdf,00146002.tif,ORIGINAL,LITTLE TUNNY,4681,0012,1,0,0,1,0,0,0,2,2020-001203
10,04,1201,41,0,,6447,2,1,4,2020,06,07,001204,0050017,0,0,2,DEJN1201.pdf,00146004.tif,ORIGINAL,SHORTFIN MAKO SHARK,3551,0012,1,0,0,1,0,0,0,2,2020-001204
10,07,1201,43,0,,6447,2,1,6,2020,06,07,001207,0051599,0,0,2,DEJN1201.pdf,00146008.tif,ORIGINAL,GOLDEN TILEFISH,4467,0012,1,1,0,0,0,0,0,2,2020-001207
10,07,1201,42,0,,6447,2,1,6,2020,06,07,001207,0051599,0,0,2,DEJN1201.pdf,00146008.tif,ORIGINAL,BLACK SEA BASS,3350,0012,2,12,0,0,0,0,0,2,2020-001207
24,01,1102,69,0,,6555,4,3,3,2020,06,06,001601,0470856,0,0,2,MDJN1102.pdf,00146020.tif,ORIGINAL,ATLANTIC BONITO,330,0016,1,0,0,1,0,0,0,2,2020-001601
24,02,1102,70,0,,6555,4,3,2,2020,06,06,001602,0470856,0,0,2,MDJN1102.pdf,00146022.tif,ORIGINAL,BLACK SEA BASS,3350,0016,1,20,0,6,0,0,0,2,2020-001602
51,01,1202,397,0,,7696,1,1,9,2020,06,07,002301,8100002,0,1,2,VAJN1202.pdf,00146042.tif,ORIGINAL,TILEFISH,4470,0023,1,50,50,0,0,0,0,3,2020-002301
51,01,1202,395,0,,7696,1,1,9,2020,06,07,002301,8100002,0,1,2,VAJN1202.pdf,00146042.tif,ORIGINAL,BLACK SEA BASS,3350,0023,2,13,13,0,0,0,0,3,2020-002301
51,01,1202,398,0,,7696,1,1,9,2020,06,07,002301,8100002,0,1,2,VAJN1202.pdf,00146042.tif,ORIGINAL,LITTLE TUNNY,4681,0023,3,2,2,0,0,0,0,3,2020-002301
51,01,1202,396,0,,7696,1,1,9,2020,06,07,002301,8100002,0,1,2,VAJN1202.pdf,00146042.tif,ORIGINAL,SPINY DOGFISH,3521,0023,4,4,4,0,0,0,0,3,2020-002301
51,01,1202,399,0,,7696,1,1,9,2020,06,07,002301,8100002,0,1,2,VAJN1202.pdf,00146042.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0023,5,0,0,1,0,0,0,3,2020-002301
51,02,1202,400,0,,7696,1,1,6,2020,06,07,002302,8100091,0,0,2,VAJN1202.pdf,00146044.tif,ORIGINAL,YFT,4711,0023,1,6,6,0,0,0,0,3,2020-002302
51,02,1202,401,0,,7696,1,1,6,2020,06,07,002302,8100091,0,0,2,VAJN1202.pdf,00146044.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0023,2,0,0,1,0,0,0,3,2020-002302
51,03,1202,404,0,,7696,1,1,4,2020,06,07,002303,8100002,0,1,2,VAJN1202.pdf,00146046.tif,ORIGINAL,YFT,4711,0023,1,10,2,0,0,0,0,3,2020-002303
51,03,1202,402,0,,7696,1,1,4,2020,06,07,002303,8100002,0,1,2,VAJN1202.pdf,00146046.tif,ORIGINAL,BLACKFIN TUNA,4641,0023,2,4,0,0,0,0,0,3,2020-002303
51,03,1202,403,0,,7696,1,1,4,2020,06,07,002303,8100002,0,1,2,VAJN1202.pdf,00146046.tif,ORIGINAL,ALBACORE TUNA,4701,0023,3,1,1,0,0,0,0,3,2020-002303
