tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
095301,6,10,DE,6,01,6,6,MASSEYS CANYON,6783,10,1603,2102,1599,2,1,2,1,3,1,1555,4711,9996,2,1,5,7,0,0,1,0,0,1,0,4,3825,7420,35,120,82,2,2,1,DEAU2102.pdf,00100411.tif,2016,0,0,0,ORIGINAL,08,01,20667,0953,0051599,005,6,401,0,,Y,1,,2016-095301
095302,6,10,DE,6,02,6,6,MASSEYS CANYON,6783,10,1658,2102,1599,2,1,1,2,2,1,1646,4656,9996,2,12,5,5,0,1,1,0,0,1,0,6,3825,7420,55,620,79,1,2,1,DEAU2102.pdf,00100413.tif,2016,0,0,0,ORIGINAL,08,01,20667,0953,0051599,005,6,403,0,,Y,1,,2016-095302
095303,6,10,DE,6,03,6,6,HAMBONE,6783,10,1748,2102,1599,2,3,1,2,2,1,1742,4711,9996,2,1,6,8,0,0,1,0,0,1,0,4,3811,7424,45,120,98,1,2,1,DEAU2102.pdf,00100415.tif,2016,0,0,0,ORIGINAL,08,01,20667,0953,0051599,005,6,402,0,,Y,2,,2016-095303
095304,6,10,DE,6,04,6,6,BALTIMORE CANYON,6783,10,1820,2102,1599,2,1,2,1,3,6,1812,4711,7777,2,2,9,8,0,1,1,1,0,0,0,1,3814,7350,63,1000,82,1,1,1,DEAU2102.pdf,00100417.tif,2016,0,1,0,ORIGINAL,08,01,20667,0953,0051599,005,6,404,0,,N,1,,2016-095304
095501,6,25,MA,6,01,6,LIVE LINING,CAPE COD BAY,7651,25,1611,2105,0784,8,1,1,2,1,1,1600,4671,9996,2,1,3,6,1,0,0,0,0,0,1,2,4200,7020,22,310,67,2,2,1,MAAU2105.pdf,00100423.tif,2016,0,0,0,ORIGINAL,08,01,20667,0955,0230784,023,2,646,0,,Y,2,,2016-095501
095502,6,25,MA,6,02,6,LIVE LINING,SE CORNER,7651,25,1711,2105,0784,8,1,1,2,1,1,1710,4671,9996,2,1,4,10,1,0,0,0,0,0,1,2,4210,7015,20,220,66,1,1,1,MAAU2105.pdf,00100425.tif,2016,0,0,0,ORIGINAL,08,01,20667,0955,0230784,023,2,645,0,,Y,2,,2016-095502
095701,6,25,MA,6,01,6,6,PEAKED HILL,7649,25,1530,2211,0361,10,4,2,1,3,1,1520,4656,9996,2,2,2,10,0,1,0,1,0,0,0,3,4205,7008,20,180,68,1,2,1,MAAU2211.pdf,00100433.tif,2016,0,0,0,ORIGINAL,08,01,20667,0957,0010361,001,2,734,0,,Y,2,,2016-095701
095901,6,25,MA,6,01,6,LIVE LINING,OUTER FLAG,7633,25,1430,2213,0024,15,1,1,2,1,1,1410,4671,9996,2,1,3,6,1,0,1,0,0,1,1,2,4252,7029,12,200,71,1,2,1,MAAU2213.pdf,00100439.tif,2016,0,0,0,ORIGINAL,08,01,20667,0959,0090024,009,2,737,0,,Y,2,,2016-095901
095902,6,25,MA,6,02,6,LIVE LINING,STELLWAGEN BANK,7633,25,1450,2213,0024,15,1,2,1,3,1,1400,4671,9996,2,1,1,4,1,0,0,0,0,0,1,3,4216,7017,12,200,71,1,2,1,MAAU2213.pdf,00100441.tif,2016,0,0,0,ORIGINAL,08,01,20667,0959,0090024,009,2,736,0,,Y,2,,2016-095902
095903,6,25,MA,6,03,6,LIVE LINING,NW STELLWAGEN BANK,7633,25,1550,2213,0024,15,1,1,2,3,1,1530,4671,9996,2,1,3,3,1,0,0,0,0,0,1,3,9998,9998,12,130,70,1,2,1,MAAU2213.pdf,00100443.tif,2016,0,1,0,ORIGINAL,08,01,20667,0959,0090024,009,2,735,0,,Y,2,,2016-095903
096001,6,12,FL,6,01,6,6,MASSEYS CANYON,6936,24,1530,2101,1493,5,1,2,1,3,2,1430,4711,9996,2,1,5,7,0,0,1,0,0,1,0,6,3825,7420,32,100,82,1,1,1,MDAU2101.pdf,00100447.tif,2016,0,0,0,ORIGINAL,08,01,20667,0960,0471493,047,6,456,0,,N,2,,2016-096001
096002,6,24,MD,6,02,6,BOTTOM FISHING,WASHINGTON CANYON,6936,24,1730,2101,1493,5,1,2,1,3,1,1700,4711,9996,2,12,6,8,0,1,1,1,0,0,1,6,3727,7427,55,300,82,1,2,1,MDAU2101.pdf,00100449.tif,2016,1,0,0,ORIGINAL,08,01,20667,0960,0471493,047,6,458,0,,Y,1,,2016-096002
096003,6,24,MD,6,03,6,BOTTOM FISHING,POOR MANS CANYON,6936,24,1740,2101,1493,5,1,2,1,3,1,1715,4711,9996,2,12,6,8,0,1,1,1,0,1,1,6,3752,7406,56,732,81,1,1,1,MDAU2101.pdf,00100451.tif,2016,0,0,0,ORIGINAL,08,01,20667,0960,0471493,047,6,459,0,,Y,2,,2016-096003
096004,6,24,MD,6,04,6,BOTTOM FISHING,WASHINGTON CANYON,6936,24,1755,2101,1493,5,1,2,1,3,1,1730,7777,9996,2,12,6,8,0,1,1,1,0,0,1,6,3727,7427,60,500,83,1,1,1,MDAU2101.pdf,00100453.tif,2016,0,0,0,ORIGINAL,08,01,20667,0960,0471493,047,6,457,0,,Y,1,,2016-096004
