tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
070003,6,24,MD,6,03,6,6,HOT DOG,6936,24,1800,2209,1493,5,1,2,1,3,1,1745,4711,9996,2,1,4,8,0,0,1,0,0,1,0,6,3806,7417,40,120,78,1,2,1,MDJL2209.pdf,00111646.tif,2017,0,0,0,ORIGINAL,07,17,21017,0700,0471493,047,6,450,0,,Y,2,,2017-070003
070004,6,12,FL,6,04,6,6,BALTIMORE CANYON,6936,24,1815,2209,1493,5,1,2,2,3,6,1800,2161,9996,2,1,6,8,0,1,1,1,0,0,0,7,3814,7350,60,540,77,1,1,1,MDJL2209.pdf,00111648.tif,2017,0,1,0,ORIGINAL,07,17,21017,0700,0471493,047,6,451,0,,N,2,,2017-070004
070101,6,33,NH,6,01,6,LIVE LINING,JEFFREYS LEDGE,7640,33,1805,1104,0099,2,1,2,2,3,1,1800,4671,9996,2,1,2,22,1,0,1,0,1,1,1,3,4255,7010,30,225,64,1,2,1,NHJL1104.pdf,00111652.tif,2017,0,1,0,ORIGINAL,07,16,21016,0701,0150099,015,1,604,0,,Y,2,,2017-070101
070601,6,34,NJ,6,01,6,6,HUDSON CANYON,6416,34,1445,1207,1050,6,1,1,2,2,1,1440,4678,4711,2,2,7,6,0,1,1,1,0,0,0,4,3930,7210,89,550,74,1,2,1,NJJL1207.pdf,00111665.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,680,0,,Y,1,,2017-070601
070602,6,34,NJ,6,02,6,6,0IL WRECK,6416,34,1600,1207,1050,6,1,1,2,2,1,1550,3551,3531,2,2,4,5,0,0,1,0,1,0,0,4,4012,7345,14,200,74,1,2,1,NJJL1207.pdf,00111667.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,675,0,,Y,2,,2017-070602
070603,,34,NJ,MRMTC BLUEFIN TOURNAMENT,03,6,6,BACARDI WRECK,6416,34,1645,1207,1050,6,1,1,2,3,1,1620,4676,4711,1,2,8,7,0,1,1,1,0,0,0,5,3952,7239,62,188,74,1,2,1,NJJL1207.pdf,00111669.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,41,1,tcode;,Y,1,,2017-070603
070604,6,34,NJ,6,04,6,6,TOMS CANYON,6416,34,1725,1207,1050,6,1,1,2,3,1,1715,4711,4677,2,2,7,6,0,1,1,1,0,0,0,3,3911,7242,86,800,76,1,2,2,NJJL1207.pdf,00111671.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,677,0,,Y,2,,2017-070604
070605,6,34,NJ,6,05,6,BOTTOM FISHING,SEA GIRT REEF,6416,34,1800,1207,1050,6,1,1,2,2,1,1735,3531,9996,2,2,4,5,0,0,1,0,1,0,1,4,3955,7354,8,72,76,1,2,1,NJJL1207.pdf,00111672.tif,2017,0,1,0,ORIGINAL,07,16,21016,0706,0251050,025,5,676,0,,N,2,,2017-070605
070606,6,34,NJ,6,06,6,BOTTOM FISHING,BACARDI WRECK,6416,34,1820,1207,1050,6,1,1,2,2,1,1730,4678,4711,2,12,8,24,0,1,1,1,0,0,1,4,3952,7239,62,170,75,1,2,1,NJJL1207.pdf,00111674.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,678,0,,Y,1,,2017-070606
070607,,34,NJ,GOVERNORS CUP MRMTC,07,6,6,LINDENKOHL CANYON,6416,34,1845,1207,1050,6,1,1,2,2,2,1830,4711,4678,1,2,9,7,0,1,0,1,0,0,0,3,3847,7303,90,800,76,1,2,1,NJJL1207.pdf,00111676.tif,2017,0,0,0,ORIGINAL,07,16,21016,0706,0251050,025,5,42,1,tcode;,Y,1,,2017-070607
