intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
7370,3,1,2011,06,25,024701,0090385,0,0,34,01,1205,1,njjn1205.tif,00036482.tif,1050,0247,9996,9996,584,2,9996,0,1,ORIGINAL,67,0,,2011-024701
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,1050,0097,9996,9996,586,2,9996,0,3,ORIGINAL,23,0,,2011-009703
7392,1,1,2011,06,15,014701,8100002,0,0,51,01,2211,1,vajn2211.tif,00035696.tif,1050,0147,9996,9996,588,2,9996,2,11,ORIGINAL,138,0,,2011-014701
6555,7,1,2011,06,11,009703,0470938,0,0,24,03,1102,1,mdjn1102.tif,00035451.tif,1050,0097,9996,9996,591,2,9996,0,2,ORIGINAL,22,0,,2011-009703
6783,2,1,2011,06,07,007301,0051599,0,0,10,01,2203,1,dejn2203.tif,00035348.tif,1050,0073,9996,9996,593,2,9996,0,1,ORIGINAL,19,0,,2011-007301
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,600,1,9996,0,3,ORIGINAL,79,0,,2011-011001
6633,3,1,2011,06,22,022901,8100088,0,0,51,01,2215,1,vajn2215.tif,00036305.tif,1050,0229,9996,9996,603,2,9996,0,7,ORIGINAL,92,0,,2011-022901
7392,1,1,2011,06,26,027405,8100091,0,0,51,05,1207,1,vajn1207.tif,00036760.tif,1050,0274,9996,9996,612,2,9996,0,4,ORIGINAL,154,0,,2011-027405
6936,5,1,2011,06,22,022301,0471493,0,0,24,01,2112,1,mdjn2112.tif,00036268.tif,1050,0223,9996,9996,627,1,9996,0,7,ORIGINAL,43,0,,2011-022301
6936,5,1,2011,06,22,022301,0471493,0,0,24,01,2112,1,mdjn2112.tif,00036268.tif,1050,0223,9996,9996,644,2,9996,0,5,ORIGINAL,41,0,,2011-022301
6783,2,1,2011,06,05,002401,0051599,0,1,10,01,1101,1,dejn1101.tif,00035110.tif,1050,0024,9996,9996,653,2,9996,0,2,ORIGINAL,16,0,,2011-002401
6928,4,1,2011,06,26,027201,7100153,1,1,51,01,1206,1,vajn1206.tif,00036860.tif,1050,0272,9996,9996,654,2,9996,0,4,ORIGINAL,137,0,,2011-027201
6783,2,1,2011,06,05,002405,0051599,0,0,10,05,1101,1,dejn1101.tif,00035118.tif,1050,0024,9996,9996,668,2,9996,0,4,ORIGINAL,18,0,,2011-002405
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,673,8,9996,0,2,ORIGINAL,102,0,,2011-010704
6778,8,4,2011,06,25,028204,0010039,0,1,51,04,1107,1,vajn1107.tif,00036823.tif,1050,0282,9996,9996,673,2,9996,0,2,ORIGINAL,118,0,,2011-028204
6936,3,1,2011,06,03,003503,0470853,0,0,24,03,2201,1,mdjn2201.tif,00035167.tif,1050,0035,9996,9996,678,2,9996,0,2,ORIGINAL,32,0,,2011-003503
6783,3,1,2011,06,22,023501,0470853,0,0,24,01,2111,1,mdjn2111.tif,00036333.tif,1050,0235,9996,9996,682,1,9996,0,2,ORIGINAL,26,0,,2011-023501
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,685,8,9996,0,7,ORIGINAL,107,0,,2011-010704
6633,1,1,2011,06,12,011001,8100091,0,0,51,01,1110,1,vajn1110.tif,00035526.tif,1050,0110,9996,9996,689,2,9996,0,2,ORIGINAL,78,0,,2011-011001
