tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
07,6,24,MD,6,01,6,6,HOT DOG,6478,10,1605,1101,1599,2,1,1,2,2,7,1600,4711,9996,2,2,8,5,0,0,1,1,0,0,0,4,3806,7417,45,150,78,2,1,1,deau1101.tif,00040276.tif,2011,0,1,0,08,06,18845,0707,0051599,005,ORIGINAL,6,306,0,,Y,2,,2011-070701
07,6,10,DE,6,02,6,6,MASSEYS CANYON,6478,10,1720,1101,1599,2,1,1,2,2,1,1715,4656,2161,2,12,7,7,0,1,1,1,0,1,0,6,3825,7420,35,180,79,2,1,1,deau1101.tif,00040278.tif,2011,0,0,0,08,06,18845,0707,0051599,005,ORIGINAL,6,304,0,,Y,2,,2011-070702
07,6,10,DE,6,03,6,6,BALTIMORE CANYON,6478,10,1800,1101,1599,2,1,1,2,2,1,1745,7777,9996,2,2,7,7,0,1,1,1,0,0,0,6,3820,7345,60,1700,80,1,1,1,deau1101.tif,00040280.tif,2011,0,1,0,08,06,18845,0707,0051599,005,ORIGINAL,6,305,0,,Y,1,,2011-070703
07,6,10,DE,6,01,6,6,MASSEYS CANYON,6783,10,1543,2205,1599,2,3,1,2,2,1,1532,4656,9996,2,2,6,4,0,0,1,1,0,0,0,3,3825,7420,30,120,78,2,1,1,deau2205.tif,00040288.tif,2011,0,0,0,08,01,18840,0710,0051599,005,ORIGINAL,6,341,0,,N,2,,2011-071001
07,6,10,DE,6,02,6,6,POOR MANS CANYON,6783,10,1654,2205,1599,2,1,1,2,2,1,1645,4711,9996,2,2,6,6,0,1,1,1,0,0,0,2,3752,7406,50,1930,80,2,2,1,deau2205.tif,00040290.tif,2011,0,0,0,08,01,18840,0710,0051599,005,ORIGINAL,6,340,0,,Y,1,,2011-071002
07,6,25,MA,6,01,6,6,S MANDAKET,6591,25,1430,1101,0820,12,1,1,2,1,2,1430,4671,9996,2,2,4,5,0,1,1,1,0,0,0,3,9998,9998,14,120,69,2,2,2,maau1101.tif,00040307.tif,2011,1,0,0,08,06,18845,0711,0190820,019,ORIGINAL,2,489,0,,Y,2,,2011-071101
07,6,25,MA,6,02,6,6,S MANDAKET,6591,25,1500,1101,0820,12,1,2,2,3,7,1500,4677,4678,2,12,5,5,0,1,0,1,0,0,0,2,9998,9998,9,110,68,2,2,2,maau1101.tif,00040308.tif,2011,0,1,0,08,06,18845,0711,0190820,019,ORIGINAL,2,490,0,,N,2,,2011-071102
07,6,25,MA,6,03,6,6,S MANDAKET,6591,25,1530,1101,0820,12,1,1,2,2,6,1530,330,9996,2,1,2,3,0,1,1,1,0,0,0,4,9998,9998,3,20,98,1,2,1,maau1101.tif,00040309.tif,2011,0,1,0,08,06,18845,0711,0190820,019,ORIGINAL,2,491,0,,N,2,,2011-071103
07,6,25,MA,6,01,6,6,CRAB LEDGE,6614,25,1407,1106,0392,4,3,1,2,2,1,1407,4678,9996,2,2,3,4,0,1,0,1,0,0,0,3,4138,6940,12,250,66,2,1,2,maau1106.tif,00040296.tif,2011,0,0,0,08,06,18845,0713,0010392,001,ORIGINAL,2,494,0,,Y,2,,2011-071301
07,6,25,MA,6,02,6,6,REGAL SWORD,6614,25,1450,1106,0392,4,3,1,2,2,2,1430,4678,9996,2,2,5,3,0,1,0,1,0,0,0,3,4128,6921,33,330,66,2,1,2,maau1106.tif,00040297.tif,2011,0,0,0,08,06,18845,0713,0010392,001,ORIGINAL,2,495,0,,Y,2,,2011-071302
