tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,filestat,s_index,serrflag,sprobfld,id
07,9996,9996,652,6,9996,6936,7,1,2011,08,05,0470938,0,0,24,02,2116,1,mdau2116.tif,00040401.tif,180,0732,0,1,ORIGINAL,1,1,LENGTH;,2011-073202
07,9996,9996,382,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,02,1201,1,vaau1201.tif,00040830.tif,1050,0782,0,2,ORIGINAL,167,1,LENGTH;,2011-078202
07,9996,9996,388,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,02,1201,1,vaau1201.tif,00040830.tif,1050,0782,0,5,ORIGINAL,170,1,LENGTH;,2011-078202
07,9996,9996,395,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,02,1201,1,vaau1201.tif,00040830.tif,1050,0782,0,4,ORIGINAL,169,1,LENGTH;,2011-078202
07,9996,9996,398,2,9996,7345,3,1,2011,08,06,0090385,0,0,34,02,1202,1,njau1202.tif,00040771.tif,1050,0772,0,2,ORIGINAL,92,1,LENGTH;,2011-077202
08,9996,9996,404,2,9996,6936,7,1,2011,08,17,0470938,0,0,24,03,2205,1,mdau2205.tif,00041508.tif,1050,0884,0,3,ORIGINAL,54,1,LENGTH;,2011-088403
07,9996,9996,408,2,9996,7345,3,1,2011,08,06,0090385,0,0,34,02,1202,1,njau1202.tif,00040771.tif,1050,0772,0,1,ORIGINAL,91,1,LENGTH;,2011-077202
09,9996,9996,409,2,9996,6858,3,1,2011,08,23,1030175,0,0,36,01,2215,1,nyau2215.tif,00042314.tif,1050,0994,0,2,ORIGINAL,121,1,LENGTH;,2011-099401
07,9996,9996,421,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,02,1201,1,vaau1201.tif,00040830.tif,1050,0782,0,3,ORIGINAL,168,0,,2011-078202
07,9996,9996,427,8,9996,2836,3,1,2011,08,09,8100088,0,1,51,01,2102,1,vaau2102.tif,00040840.tif,1050,0785,0,3,ORIGINAL,137,0,,2011-078501
08,9996,9996,429,2,9996,6936,7,1,2011,08,17,0470938,0,0,24,02,2205,1,mdau2205.tif,00041506.tif,1050,0884,0,3,ORIGINAL,50,0,,2011-088402
09,9996,9996,432,8,9996,6778,7,1,2011,08,20,0010024,0,0,51,01,1102,1,vaau1102.tif,00042197.tif,1050,0984,0,3,ORIGINAL,182,0,,2011-098401
09,9996,9996,438,1,9996,7377,15,1,2011,08,18,0090415,0,1,44,01,2105,1,riau2105.tif,00041764.tif,1050,0913,2,6,ORIGINAL,130,0,,2011-091301
09,9996,9996,449,8,9996,2836,3,1,2011,08,20,8100088,0,1,51,05,1112,1,vaau1112.tif,00042270.tif,1050,0986,0,4,ORIGINAL,145,0,,2011-098605
08,9996,9996,450,8,9996,6783,3,1,2011,08,16,0470853,0,0,24,05,2104,1,mdau2104.tif,00041533.tif,1050,0889,0,3,ORIGINAL,34,0,,2011-088905
09,9996,9996,458,8,9996,2836,3,1,2011,08,20,8100088,0,1,51,05,1112,1,vaau1112.tif,00042270.tif,1050,0986,0,5,ORIGINAL,146,0,,2011-098605
09,9996,9996,461,2,9996,6936,5,1,2011,08,20,0471493,0,0,24,03,1111,1,mdau1111.tif,00041922.tif,1050,0943,0,3,ORIGINAL,57,0,,2011-094303
07,9996,9996,462,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,01,1201,1,vaau1201.tif,00040828.tif,1050,0782,0,4,ORIGINAL,160,0,,2011-078201
09,9996,9996,465,2,9996,6416,6,1,2011,08,20,0251808,0,0,34,05,1115,1,njau1115.tif,00042020.tif,1050,0953,0,1,ORIGINAL,83,0,,2011-095305
09,9996,9996,471,8,9996,6590,1,1,2011,08,20,8100091,0,0,51,11,1111,1,vaau1111.tif,00042230.tif,1050,0985,0,2,ORIGINAL,154,0,,2011-098511
07,9996,9996,472,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,01,1201,1,vaau1201.tif,00040828.tif,1050,0782,0,7,ORIGINAL,163,0,,2011-078201
09,9996,9996,472,8,9996,6928,1,1,2011,08,18,8100002,0,0,51,03,2118,1,vaau2118.tif,00041774.tif,1050,0914,0,1,ORIGINAL,189,0,,2011-091403
07,9996,9996,473,8,9996,2836,3,1,2011,08,09,8100088,0,1,51,01,2102,1,vaau2102.tif,00040840.tif,1050,0785,0,5,ORIGINAL,139,0,,2011-078501
08,9996,9996,476,2,9996,6416,10,1,2011,08,11,0299009,0,0,34,01,2102,1,njau2102.tif,00041107.tif,1050,0834,0,1,ORIGINAL,78,0,,2011-083401
07,9996,9996,478,8,9996,6633,3,1,2011,08,06,8100088,0,0,51,01,1201,1,vaau1201.tif,00040828.tif,1050,0782,0,10,ORIGINAL,166,0,,2011-078201
