tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
041201,09,01,1105,1,0,,7703,3,1,4,2017,07,01,0113879,0,0,2,CTJL1105.pdf,00109879.tif,ORIGINAL,BLUEFISH,230,0412,1,3,3,0,0,0,0,2,2017-041201
041203,09,03,1105,2,0,,7703,3,1,5,2017,07,01,0113879,0,0,2,CTJL1105.pdf,00109882.tif,ORIGINAL,STRIPED BASS,4180,0412,2,4,0,0,0,0,0,1,2017-041203
041203,09,03,1105,3,0,,7703,3,1,5,2017,07,01,0113879,0,0,2,CTJL1105.pdf,00109882.tif,ORIGINAL,BLUE SHARK,4931,0412,1,0,0,1,0,0,0,1,2017-041203
067801,09,01,1107,4,0,,7704,3,1,4,2017,07,16,0113878,0,0,2,CTJL1107.pdf,00111475.tif,ORIGINAL,BLUE SHARK,4931,0678,1,0,0,1,0,0,0,2,2017-067801
067802,09,02,1107,5,0,,7704,3,1,1,2017,07,16,0113234,0,0,2,CTJL1107.pdf,00111477.tif,ORIGINAL,SHORTFIN MAKO SHA,3551,0678,1,0,0,2,0,0,0,2,2017-067802
067803,09,03,1107,6,0,,7704,3,1,3,2017,07,16,0110630,0,0,2,CTJL1107.pdf,00111479.tif,ORIGINAL,DOLPHIN,1050,0678,2,3,3,0,0,0,0,3,2017-067803
067803,09,03,1107,7,0,,7704,3,1,3,2017,07,16,0110630,0,0,2,CTJL1107.pdf,00111479.tif,ORIGINAL,YFT,4711,0678,1,2,1,2,0,0,0,3,2017-067803
079301,09,01,1108,8,1,KEPT;SELL;,7707,5,1,3,2017,07,22,0110687,0,0,2,CTJL1108.pdf,00112145.tif,ORIGINAL,YFT,4711,0793,1,30,0,15,0,30,0,1,2017-079301
075001,09,01,1115,9,0,,7703,7,1,6,2017,07,22,0110672,0,0,1,CTJL1115.pdf,00111915.tif,ORIGINAL,SHORTFIN MAKO SHA,3551,0750,1,1,1,1,0,0,0,3,2017-075001
075001,09,01,1115,10,0,,7703,7,1,6,2017,07,22,0110672,0,0,1,CTJL1115.pdf,00111915.tif,ORIGINAL,BLUE SHARK,4931,0750,2,0,0,1,0,0,0,3,2017-075001
079401,09,01,1203,11,0,,7703,3,1,5,2017,07,23,0110833,0,0,1,CTJL1203.pdf,00112150.tif,ORIGINAL,YFT,4711,0794,1,2,2,0,0,0,0,2,2017-079401
079402,09,02,1203,12,1,KEPT;,7703,3,1,5,2017,07,23,0110630,0,0,1,CTJL1203.pdf,00112152.tif,ORIGINAL,BFT SMALL MEDIUM,4676,0794,1,1,1,0,0,0,0,3,2017-079402
