tracker,id,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
125501,2013-125501,2013,09,24,1106,01,1050,DOLPHIN,8,0,0,0,0,0
125501,2013-125501,2013,09,24,1106,01,2161,WHITE MARLIN,0,0,4,0,0,0
125602,2013-125602,2013,09,24,1107,02,1050,DOLPHIN,1,1,0,0,0,0
125602,2013-125602,2013,09,24,1107,02,4661,SKIPJACK TUNA,0,0,2,0,0,0
125603,2013-125603,2013,09,24,1107,03,1050,DOLPHIN,2,2,0,0,0,0
125603,2013-125603,2013,09,24,1107,03,2161,WHITE MARLIN,0,0,6,0,0,0
125604,2013-125604,2013,09,24,1107,04,2161,WHITE MARLIN,0,0,1,0,0,0
125606,2013-125606,2013,09,24,1107,06,1050,DOLPHIN,2,2,0,0,0,2
125606,2013-125606,2013,09,24,1107,06,2161,WHITE MARLIN,0,0,1,0,0,0
125606,2013-125606,2013,09,24,1107,06,4691,BIGEYE TUNA,2,2,0,0,0,2
125606,2013-125606,2013,09,24,1107,06,4711,YFT,2,2,0,0,0,2
125607,2013-125607,2013,09,24,1107,07,2161,WHITE MARLIN,0,0,4,0,0,0
125705,2013-125705,2013,09,24,1108,05,2161,WHITE MARLIN,0,0,3,0,0,0
125803,2013-125803,2013,09,24,1206,03,4661,SKIPJACK TUNA,0,0,1,0,0,0
126202,2013-126202,2013,09,34,1109,02,1050,DOLPHIN,1,1,0,0,0,0
126202,2013-126202,2013,09,34,1109,02,4701,ALBACORE TUNA,1,1,0,0,0,1
126901,2013-126901,2013,09,51,1104,01,1050,DOLPHIN,1,1,0,0,0,0
126901,2013-126901,2013,09,51,1104,01,2161,WHITE MARLIN,0,0,2,0,0,0
126902,2013-126902,2013,09,51,1104,02,1050,DOLPHIN,9,9,0,0,0,3
127101,2013-127101,2013,09,51,1106,01,1050,DOLPHIN,1,1,0,0,0,0
127101,2013-127101,2013,09,51,1106,01,2161,WHITE MARLIN,0,0,1,0,0,0
127101,2013-127101,2013,09,51,1106,01,2171,BLUE MARLIN,0,0,1,0,0,0
127202,2013-127202,2013,09,51,1201,02,2161,WHITE MARLIN,0,0,11,0,0,0
127401,2013-127401,2013,09,51,2204,01,2161,WHITE MARLIN,0,0,5,0,0,0
128201,2013-128201,2013,09,25,2205,01,4676,BFT SMALL MEDIUM,0,0,19,0,0,0
129801,2013-129801,2013,09,51,1107,01,1050,DOLPHIN,1,1,0,0,0,0
129901,2013-129901,2013,09,51,1207,01,2161,WHITE MARLIN,0,0,3,0,0,0
129902,2013-129902,2013,09,51,1207,02,2161,WHITE MARLIN,0,0,1,0,0,0
129903,2013-129903,2013,09,51,1207,03,1050,DOLPHIN,2,2,0,0,0,0
129903,2013-129903,2013,09,51,1207,03,2161,WHITE MARLIN,0,0,5,0,0,0
129905,2013-129905,2013,09,51,1207,05,2161,WHITE MARLIN,0,0,4,0,0,0
129906,2013-129906,2013,09,51,1207,06,2161,WHITE MARLIN,0,0,2,0,0,0
130001,2013-130001,2013,09,51,2102,01,2161,WHITE MARLIN,0,0,7,0,0,0
130001,2013-130001,2013,09,51,2102,01,2171,BLUE MARLIN,0,0,1,0,0,0
130002,2013-130002,2013,09,51,2102,02,1050,DOLPHIN,7,7,0,0,0,0
130002,2013-130002,2013,09,51,2102,02,2161,WHITE MARLIN,0,0,4,0,0,0
130002,2013-130002,2013,09,51,2102,02,2171,BLUE MARLIN,0,0,1,0,0,0
130501,2013-130501,2013,09,25,1202,01,815,COD,30,0,0,0,0,0
130501,2013-130501,2013,09,25,1202,01,1479,HADDOCK,30,0,0,0,0,0
130501,2013-130501,2013,09,25,1202,01,4931,BLUE SHARK,0,0,3,0,0,0
130801,2013-130801,2013,09,25,1115,01,4676,BFT SMALL MEDIUM,1,1,0,0,0,1
130804,2013-130804,2013,09,25,1115,04,4931,BLUE SHARK,0,0,1,0,0,0
130805,2013-130805,2013,09,25,1115,05,4678,BFT LARGE SCHOOL,0,0,1,0,0,0
130808,2013-130808,2013,09,25,1115,08,4931,BLUE SHARK,0,0,1,0,0,0
130809,2013-130809,2013,09,25,1115,09,4678,BFT LARGE SCHOOL,0,0,1,0,0,0
130811,2013-130811,2013,09,25,1115,11,4678,BFT LARGE SCHOOL,0,0,1,0,0,0
130812,2013-130812,2013,09,25,1115,12,4676,BFT SMALL MEDIUM,1,1,0,0,0,1
130813,2013-130813,2013,09,25,1115,13,4670,BFT,0,0,1,0,0,0
131203,2013-131203,2013,09,24,1102,03,4720,WAHOO,1,1,0,0,0,0
131204,2013-131204,2013,09,24,1102,04,1050,DOLPHIN,5,5,0,0,0,0
131209,2013-131209,2013,09,24,1102,09,2161,WHITE MARLIN,0,0,1,0,0,0
131302,2013-131302,2013,09,24,1110,02,4661,SKIPJACK TUNA,1,0,0,0,0,0
131303,2013-131303,2013,09,24,1110,03,230,BLUEFISH,0,0,3,0,0,0
131304,2013-131304,2013,09,24,1110,04,330,ATLANTIC BONITO,1,0,1,0,0,0
131401,2013-131401,2013,09,24,1201,01,230,BLUEFISH,2,0,0,0,0,0
131401,2013-131401,2013,09,24,1201,01,900,ATLANTIC CROAKER,0,0,60,0,0,0
131401,2013-131401,2013,09,24,1201,01,1970,KINGFISH,0,0,1,0,0,0
131401,2013-131401,2013,09,24,1201,01,3511,SMOOTH DOGFISH,0,0,12,0,0,0
131401,2013-131401,2013,09,24,1201,01,3650,CLEARNOSE SKATES,0,0,2,0,0,0
131401,2013-131401,2013,09,24,1201,01,4821,SANDBAR SHARK,0,0,2,0,0,0
131401,2013-131401,2013,09,24,1201,01,4841,DUSKY SHARK,0,0,7,0,0,0
131401,2013-131401,2013,09,24,1201,01,4941,ATLANTIC SHARPNOSE S,0,0,2,0,0,0
131402,2013-131402,2013,09,24,1201,02,1050,DOLPHIN,2,0,0,0,0,0
131402,2013-131402,2013,09,24,1201,02,4720,WAHOO,0,0,1,0,0,0
131402,2013-131402,2013,09,24,1201,02,4821,SANDBAR SHARK,0,0,1,0,0,0
131403,2013-131403,2013,09,24,1201,03,2161,WHITE MARLIN,0,0,2,0,0,0
131403,2013-131403,2013,09,24,1201,03,4701,ALBACORE TUNA,4,0,0,0,0,0
131404,2013-131404,2013,09,24,1201,04,1050,DOLPHIN,15,0,0,0,0,0
131405,2013-131405,2013,09,24,1201,05,2161,WHITE MARLIN,0,0,1,0,0,0
131405,2013-131405,2013,09,24,1201,05,3350,BLACK SEA BASS,12,0,0,0,0,0
131405,2013-131405,2013,09,24,1201,05,4440,BLUELINE TILEFISH,20,0,0,0,0,0
131406,2013-131406,2013,09,24,1201,06,1050,DOLPHIN,4,0,0,0,0,0
131407,2013-131407,2013,09,24,1201,07,2161,WHITE MARLIN,0,0,1,0,0,0
131408,2013-131408,2013,09,24,1201,08,1050,DOLPHIN,1,0,0,0,0,0
131408,2013-131408,2013,09,24,1201,08,4661,SKIPJACK TUNA,1,0,0,0,0,0
131409,2013-131409,2013,09,24,1201,09,1050,DOLPHIN,1,0,0,0,0,0
131410,2013-131410,2013,09,24,1201,10,1050,DOLPHIN,2,0,0,0,0,0
131410,2013-131410,2013,09,24,1201,10,2161,WHITE MARLIN,0,0,1,0,0,0
131410,2013-131410,2013,09,24,1201,10,4701,ALBACORE TUNA,2,0,0,0,0,0
131411,2013-131411,2013,09,24,1201,11,1050,DOLPHIN,1,0,0,0,0,0
131411,2013-131411,2013,09,24,1201,11,4691,BIGEYE TUNA,1,1,0,0,0,0
131412,2013-131412,2013,09,24,1201,12,4701,ALBACORE TUNA,2,0,0,0,0,0
131413,2013-131413,2013,09,24,1201,13,4701,ALBACORE TUNA,1,0,0,0,0,0
131413,2013-131413,2013,09,24,1201,13,4711,YFT,2,0,0,0,0,0
131414,2013-131414,2013,09,24,1201,14,1050,DOLPHIN,1,0,0,0,0,0
131414,2013-131414,2013,09,24,1201,14,2161,WHITE MARLIN,0,0,1,0,0,0
131414,2013-131414,2013,09,24,1201,14,4661,SKIPJACK TUNA,0,0,20,0,0,0
131414,2013-131414,2013,09,24,1201,14,4711,YFT,1,0,0,0,0,0
131415,2013-131415,2013,09,24,1201,15,1050,DOLPHIN,1,0,0,0,0,0
131415,2013-131415,2013,09,24,1201,15,2161,WHITE MARLIN,0,0,1,0,0,0
