tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
355802,24,1101,02,156,0,,MDJL1101.pdf,3558,6936,00162745.tif,5,1,3,6,0,ORIGINAL,07,03,2021,0,0471493,YFT,4711,1,9,9,0,0,0,0,1,2021-355802
355803,24,1101,03,157,0,,MDJL1101.pdf,3558,6936,00162747.tif,5,1,3,6,0,ORIGINAL,07,03,2021,0,0471493,YFT,4711,1,3,3,0,0,0,0,1,2021-355803
355804,24,1101,04,158,0,,MDJL1101.pdf,3558,6936,00162749.tif,5,1,3,5,0,ORIGINAL,07,03,2021,0,0471493,YFT,4711,1,1,1,0,0,0,0,2,2021-355804
355805,24,1101,05,159,0,,MDJL1101.pdf,3558,6936,00162751.tif,5,1,3,4,0,ORIGINAL,07,03,2021,0,0471493,YFT,4711,1,2,2,0,0,0,2,2,2021-355805
355806,24,1101,06,160,0,,MDJL1101.pdf,3558,6936,00162753.tif,5,1,3,6,0,ORIGINAL,07,03,2021,0,0471493,BLUE MARLIN,2171,1,0,0,1,0,0,0,2,2021-355806
355901,24,1107,01,170,0,,MDJL1107.pdf,3559,7844,00162758.tif,2,1,2,3,0,ORIGINAL,07,04,2021,0,0470022,YFT,4711,1,6,6,0,0,0,0,2,2021-355901
355902,24,1107,02,174,0,,MDJL1107.pdf,3559,7844,00162760.tif,2,1,3,4,0,ORIGINAL,07,04,2021,1,0470024,YFT,4711,1,2,2,0,0,0,0,2,2021-355902
355902,24,1107,02,173,0,,MDJL1107.pdf,3559,7844,00162760.tif,2,1,3,4,0,ORIGINAL,07,04,2021,1,0470024,SKIPJACK TUNA,4661,2,3,3,0,0,0,0,2,2021-355902
355902,24,1107,02,171,0,,MDJL1107.pdf,3559,7844,00162760.tif,2,1,3,4,0,ORIGINAL,07,04,2021,1,0470024,BLUELINE TILEFISH,4440,3,12,12,0,0,0,0,2,2021-355902
355902,24,1107,02,172,0,,MDJL1107.pdf,3559,7844,00162760.tif,2,1,3,4,0,ORIGINAL,07,04,2021,1,0470024,GOLDEN TILEFISH,4467,4,9,9,0,0,0,0,2,2021-355902
356701,34,1105,01,670,0,,NJJL1105.pdf,3567,7509,00162784.tif,2,1,3,4,0,ORIGINAL,07,03,2021,0,0011724,YFT,4711,1,5,5,0,0,0,0,1,2021-356701
356801,34,1106,01,671,0,,NJJL1106.pdf,3568,6416,00162789.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0259239,BFT SCHOOL,4677,1,2,2,0,0,0,0,1,2021-356801
356801,34,1106,01,672,0,,NJJL1106.pdf,3568,6416,00162789.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0259239,LITTLE TUNNY,4681,2,0,0,4,0,0,0,1,2021-356801
356802,34,1106,02,673,0,,NJJL1106.pdf,3568,6416,00162791.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0259239,YFT,4711,1,1,1,2,0,0,0,1,2021-356802
356803,34,1106,03,674,0,,NJJL1106.pdf,3568,6416,00162793.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0251808,BFT SCHOOL,4677,1,1,0,0,0,0,0,1,2021-356803
356803,34,1106,03,675,0,,NJJL1106.pdf,3568,6416,00162793.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0251808,YFT,4711,2,2,2,0,0,0,0,1,2021-356803
356804,34,1106,04,677,0,,NJJL1106.pdf,3568,6416,00162795.tif,6,1,2,3,0,ORIGINAL,07,04,2021,0,0251050,YFT,4711,1,4,2,0,0,0,0,1,2021-356804
