tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,s_index,serrflag,sprobfld,id
10,9996,9996,1040,6,9996,7421,3,1,2012,08,11,8100088,0,1,51,03,1206,1,vaau1206.tif,00053467.tif,ORIGINAL,30,1055,0,1,1,0,,2012-105503
13,9996,9996,368,8,9996,6783,3,1,2012,08,29,0470853,0,0,24,01,2108,1,mdau2108.tif,00055140.tif,ORIGINAL,1050,1330,0,3,38,1,LENGTH;,2012-133001
12,9996,9996,385,2,9996,7427,11,1,2012,08,21,0090386,0,1,34,01,2223,1,njau2223.tif,00054391.tif,ORIGINAL,1050,1206,0,3,105,1,LENGTH;,2012-120601
11,9996,9996,402,2,9996,6783,2,3,2012,08,16,0051599,0,0,10,01,2209,1,deau2209.tif,00053915.tif,ORIGINAL,1050,1127,0,3,11,1,LENGTH;,2012-112701
12,9996,9996,403,8,9996,6783,2,1,2012,08,22,0051599,0,0,10,01,2112,1,deau2112.tif,00054646.tif,ORIGINAL,1050,1242,0,6,25,1,LENGTH;,2012-124201
11,9996,9996,409,2,9996,6783,2,3,2012,08,16,0051599,0,0,10,01,2209,1,deau2209.tif,00053915.tif,ORIGINAL,1050,1127,0,2,10,1,LENGTH;,2012-112701
13,9996,9996,418,2,9996,7361,3,1,2012,08,30,0090900,0,0,34,02,2131,1,njau2131.tif,00055242.tif,ORIGINAL,1050,1339,0,1,93,1,LENGTH;,2012-133902
13,9996,9996,421,8,9996,6783,3,1,2012,08,29,0470853,0,0,24,01,2108,1,mdau2108.tif,00055140.tif,ORIGINAL,1050,1330,0,4,39,1,LENGTH;,2012-133001
12,9996,9996,422,8,9996,6783,2,1,2012,08,22,0051599,0,0,10,01,2112,1,deau2112.tif,00054646.tif,ORIGINAL,1050,1242,0,5,24,1,LENGTH;,2012-124201
13,9996,9996,427,8,9996,6783,3,1,2012,08,29,0470853,0,0,24,01,2108,1,mdau2108.tif,00055140.tif,ORIGINAL,1050,1330,0,5,40,1,LENGTH;,2012-133001
11,9996,9996,446,2,9996,6783,2,3,2012,08,16,0051599,0,0,10,01,2209,1,deau2209.tif,00053915.tif,ORIGINAL,1050,1127,0,1,9,0,,2012-112701
12,9996,9996,450,2,9996,7427,11,1,2012,08,21,0090386,0,1,34,01,2223,1,njau2223.tif,00054391.tif,ORIGINAL,1050,1206,0,10,112,0,,2012-120601
13,9996,9996,452,8,9996,6783,2,1,2012,08,31,0051599,0,0,10,01,2103,1,deau2103.tif,00055329.tif,ORIGINAL,1050,1359,0,4,30,0,,2012-135901
10,9996,9996,454,2,9996,6593,11,1,2012,08,04,0090475,0,0,44,09,1109,1,riau1109.tif,00053578.tif,ORIGINAL,1050,1075,0,5,131,0,,2012-107509
12,9996,9996,455,2,9996,7422,5,1,2012,08,24,1030133,0,1,36,04,2220,1,nyau2220.tif,00054889.tif,ORIGINAL,1050,1286,0,5,121,0,,2012-128604
11,9996,9996,460,2,9996,6783,2,3,2012,08,16,0051599,0,0,10,01,2209,1,deau2209.tif,00053915.tif,ORIGINAL,1050,1127,0,5,13,0,,2012-112701
09,9996,9996,462,2,9996,6478,2,1,2012,08,03,0051599,0,0,10,01,2101,1,deau2101.tif,00052231.tif,ORIGINAL,1050,0907,0,1,2,0,,2012-090701
11,9996,9996,464,2,9996,6783,2,3,2012,08,16,0051599,0,0,10,01,2209,1,deau2209.tif,00053915.tif,ORIGINAL,1050,1127,0,4,12,0,,2012-112701
13,9996,9996,469,1,9996,6783,2,1,2012,08,31,0051599,0,0,10,01,2103,1,deau2103.tif,00055329.tif,ORIGINAL,1050,1359,0,6,32,0,,2012-135901
12,9996,9996,470,2,9996,7427,11,1,2012,08,21,0090386,0,1,34,01,2223,1,njau2223.tif,00054391.tif,ORIGINAL,1050,1206,0,8,110,0,,2012-120601
