tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
08,6,10,DE,6,01,6,6,BALTIMORE CANYON,6783,10,1800,1101,1599,2,1,1,2,2,1,1600,4656,9996,2,2,7,6,0,1,1,1,0,0,0,4,3814,7350,75,600,83,1,2,1,DEAU1101.pdf,00087706.tif,2015,0,0,0,ORIGINAL,08,01,20301,0847,0051599,005,6,421,0,,Y,2,,2015-084701
08,6,10,DE,6,02,6,6,19 FATHOM LUMP,6783,10,1809,1101,1599,2,1,1,1,3,1,1758,4656,9996,2,1,9,9,0,0,1,1,0,0,0,5,9998,9998,40,130,78,2,2,2,DEAU1101.pdf,00087708.tif,2015,0,0,0,ORIGINAL,08,01,20301,0847,0051599,005,6,420,0,,Y,2,,2015-084702
08,6,10,DE,6,03,6,6,HAMBONE,6783,10,1816,1101,1599,2,1,1,2,2,1,1804,4656,9996,2,1,7,8,0,1,1,1,0,1,0,3,3811,7424,42,128,78,1,2,1,DEAU1101.pdf,00087709.tif,2015,1,0,0,ORIGINAL,08,01,20301,0847,0051599,005,6,422,0,,Y,2,,2015-084703
08,6,10,DE,6,04,6,6,BALTIMORE CANYON,6783,10,1841,1101,1599,2,1,1,2,2,6,1835,4691,9996,2,12,8,24,0,1,1,1,0,0,0,4,3814,7350,50,600,81,2,2,1,DEAU1101.pdf,00087711.tif,2015,0,1,0,ORIGINAL,08,01,20301,0847,0051599,005,6,423,0,,N,1,,2015-084704
08,6,36,NY,6,01,6,6,MONOMOY,7604,25,1516,1201,0820,12,1,1,2,4,6,1512,4677,9996,2,2,5,5,0,1,1,1,0,0,0,2,9999,9999,15,450,66,1,2,2,MAAU1201.pdf,00087715.tif,2015,0,1,0,ORIGINAL,08,02,20302,0848,0190820,019,2,679,0,,N,2,,2015-084801
08,6,25,MA,6,02,6,6,SOUTH STAR,7604,25,1523,1201,0820,12,1,1,2,2,6,1517,4677,9996,2,2,4,6,0,1,0,1,0,0,0,6,9999,9999,30,150,74,1,2,1,MAAU1201.pdf,00087716.tif,2015,0,1,1,ORIGINAL,08,02,20302,0848,0190820,019,2,676,0,,N,2,,2015-084802
08,6,25,MA,6,03,6,6,OWL,7604,25,1558,1201,0820,12,1,1,2,2,1,1430,4677,4711,2,2,5,4,0,1,1,1,0,0,0,2,9999,9999,10,130,65,1,2,1,MAAU1201.pdf,00087718.tif,2015,1,0,0,ORIGINAL,08,02,20302,0848,0190820,019,2,677,0,,Y,2,,2015-084803
08,6,25,MA,6,04,6,6,SOUTH MV,7604,25,1613,1201,0820,12,1,2,1,3,1,1607,4678,9996,2,1,7,6,0,0,1,1,0,0,0,3,9999,9999,20,140,68,1,2,1,MAAU1201.pdf,00087720.tif,2015,1,0,0,ORIGINAL,08,02,20302,0848,0190820,019,2,678,0,,Y,2,,2015-084804
08,T131,25,MA,NAC SHARK TOURNAMENT,05,6,6,OWL,7604,25,1737,1201,0820,12,1,1,2,2,7,1730,3551,3531,1,2,3,6,0,0,1,1,1,0,0,2,9999,9999,15,150,67,1,2,1,MAAU1201.pdf,00087722.tif,2015,0,1,0,ORIGINAL,08,02,20302,0848,0190820,019,2,1280,0,,Y,2,,2015-084805
08,6,12,FL,6,01,6,6,POOR MANS CANYON,6936,24,1620,1101,1493,5,1,2,1,3,2,1550,7777,9996,2,12,7,8,0,1,1,1,0,0,0,6,3752,7406,60,600,83,2,1,1,MDAU1101.pdf,00087726.tif,2015,0,0,0,ORIGINAL,08,02,20302,0849,0471493,047,6,485,0,,N,2,,2015-084901
08,6,24,MD,6,02,6,6,POOR MANS CANYON,6936,24,1650,1101,1493,5,1,2,1,3,1,1630,7777,9996,2,1,5,8,0,0,1,1,0,0,0,6,3752,7406,56,600,83,1,1,1,MDAU1101.pdf,00087728.tif,2015,0,0,0,ORIGINAL,08,02,20302,0849,0471493,047,6,486,0,,Y,1,,2015-084902
08,6,24,MD,6,03,6,BAILING,WASHINGTON CANYON,6936,24,1715,1101,1493,5,1,1,2,2,1,1700,2161,9996,2,1,6,5,0,1,1,1,0,0,1,4,3727,7427,70,600,79,1,1,1,MDAU1101.pdf,00087730.tif,2015,0,0,0,ORIGINAL,08,02,20302,0849,0471493,047,6,487,0,,Y,1,,2015-084903
08,6,24,MD,6,01,6,6,HOT DOG,6555,24,1507,1107,0856,4,3,1,2,2,1,1505,1050,2181,2,12,6,4,0,1,0,1,0,0,0,3,3806,7417,48,120,82,1,1,1,MDAU1107.pdf,00087734.tif,2015,1,0,0,ORIGINAL,08,01,20301,0850,0470856,047,6,521,0,,Y,2,,2015-085001
