tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,04,6,6,MASSEYS CANYON,6555,24,1632,1115,0856,4,3,1,2,2,2,1630,4677,1050,2,2,7,5,0,0,1,1,0,0,0,2,3825,7420,30,140,68,1,1,2,mdjn1115.tif,00060444.tif,2013,1,0,0,ORIGINAL,06,22,19531,022604,0226,0470856,047,7,164,0,,Y,2,2013-022604
6,24,MD,6,05,6,6,BALTIMORE CANYON,6555,24,1711,1115,0856,4,3,1,2,2,2,1708,4711,9996,2,12,6,5,0,1,0,1,0,0,0,3,3820,7345,62,600,71,1,1,1,mdjn1115.tif,00060445.tif,2013,0,0,0,ORIGINAL,06,22,19531,022605,0226,0470856,047,7,169,0,,N,2,2013-022605
6100,24,MD,SMALL BOAT TOURNAMENT,06,6,6,BALTIMORE CANYON,6555,24,1736,1115,0856,4,3,1,2,2,1,1734,4656,1050,1,2,7,8,0,0,1,1,0,0,0,4,3820,7345,60,600,72,1,1,1,mdjn1115.tif,00060447.tif,2013,0,0,0,ORIGINAL,06,22,19531,022606,0226,0470856,047,7,506,0,,N,2,2013-022606
6,24,MD,6,07,6,6,BALTIMORE CANYON,6555,24,1746,1115,0856,4,3,1,2,2,1,1744,4711,9996,2,2,10,8,0,1,1,1,0,0,0,4,3820,7345,60,600,74,1,1,2,mdjn1115.tif,00060449.tif,2013,0,0,0,ORIGINAL,06,22,19531,022607,0226,0470856,047,7,161,0,,Y,2,2013-022607
6,24,MD,6,08,6,6,BALTIMORE CANYON,6555,24,1756,1115,0856,4,3,1,2,2,1,1754,4711,9996,2,2,7,6,0,0,1,1,0,0,0,4,3820,7345,60,600,70,2,2,1,mdjn1115.tif,00060450.tif,2013,0,0,0,ORIGINAL,06,22,19531,022608,0226,0470856,047,7,166,0,,Y,2,2013-022608
6,24,MD,6,09,6,6,50 FATHOM LINE,6555,24,1806,1115,0856,4,3,1,2,2,1,1802,4656,9996,2,2,9,9,0,1,1,1,0,0,0,4,3806,7417,42,300,68,2,2,2,mdjn1115.tif,00060452.tif,2013,0,0,0,ORIGINAL,06,22,19531,022609,0226,0470856,047,7,163,0,,Y,2,2013-022609
6,24,MD,6,10,6,6,BALTIMORE CANYON,6555,24,1812,1115,0856,4,3,1,2,8,6,1809,4711,4677,2,12,8,6,0,0,1,1,0,0,0,2,3820,7345,60,620,72,1,1,1,mdjn1115.tif,00060453.tif,2013,0,0,0,ORIGINAL,06,22,19531,022610,0226,0470856,047,7,170,0,,N,2,2013-022610
6,10,DE,6,11,6,6,BALTIMORE CANYON,6555,24,1815,1115,0856,4,3,1,2,2,2,1812,4656,9996,2,2,9,9,0,0,1,1,0,0,0,6,3820,7345,60,600,71,1,1,2,mdjn1115.tif,00060455.tif,2013,0,0,0,ORIGINAL,06,22,19531,022611,0226,0470856,047,7,168,0,,Y,2,2013-022611
6,24,MD,6,12,6,6,BALTIMORE CANYON,6555,24,1818,1115,0856,4,3,1,2,3,1,1812,4656,9996,2,2,8,8,0,0,1,1,0,0,0,5,3820,7345,60,600,71,1,1,1,mdjn1115.tif,00060456.tif,2013,0,0,0,ORIGINAL,06,22,19531,022612,0226,0470856,047,7,162,0,,Y,2,2013-022612
6,51,VA,6,13,6,6,BALTIMORE CANYON,6555,24,1958,1115,0856,4,3,1,2,2,2,1940,4711,9996,2,2,8,6,0,1,0,1,0,0,0,5,3820,7345,62,560,71,1,1,1,mdjn1115.tif,00060458.tif,2013,0,0,0,ORIGINAL,06,22,19531,022613,0226,0470856,047,7,158,0,,Y,2,2013-022613
6,24,MD,6,14,6,6,BALTIMORE CANYON,6555,24,2014,1115,0856,4,3,1,2,2,2,2000,4711,9996,2,2,11,9,0,1,0,1,0,0,0,4,3820,7345,60,560,68,1,1,1,mdjn1115.tif,00060460.tif,2013,1,0,0,ORIGINAL,06,22,19531,022614,0226,0470856,047,7,157,0,,Y,2,2013-022614
6,24,MD,6,15,6,6,BALTIMORE CANYON,6555,24,2045,1115,0856,4,3,1,2,2,2,2040,4711,4677,2,2,9,10,0,0,1,1,0,0,0,4,3820,7345,62,620,71,2,2,2,mdjn1115.tif,00060462.tif,2013,0,0,0,ORIGINAL,06,22,19531,022615,0226,0470856,047,7,160,0,,N,2,2013-022615
6100,24,MD,SMALL BOAT TOURNAMENT,01,6,6,HOT DOG,6555,24,1732,2119,0856,4,3,1,2,2,2,1730,4656,1050,1,2,7,8,0,0,1,1,0,0,0,4,3806,7417,40,130,68,1,1,2,mdjn2119.tif,00060472.tif,2013,0,0,0,ORIGINAL,06,21,19530,023001,0230,0470856,047,7,510,0,,N,2,2013-023001
6,24,MD,6,02,6,6,BALTIMORE CANYON,6555,24,1741,2119,0856,4,3,1,2,2,2,1738,4711,1050,2,2,8,6,0,0,1,1,0,0,0,5,3820,7345,60,600,98,1,1,1,mdjn2119.tif,00060473.tif,2013,0,0,0,ORIGINAL,06,21,19530,023002,0230,0470856,047,7,223,0,,N,2,2013-023002
6,24,MD,6,03,6,6,BALTIMORE CANYON,6555,24,1812,2119,0856,4,3,1,2,2,1,1810,4711,3551,2,2,8,6,0,1,1,1,0,0,0,3,3820,7345,53,420,70,1,1,1,mdjn2119.tif,00060475.tif,2013,0,0,0,ORIGINAL,06,21,19530,023003,0230,0470856,047,7,221,0,,Y,2,2013-023003
6100,24,MD,SMALL BOAT TOURNAMENT,04,6,6,BALTIMORE CANYON,6555,24,1832,2119,0856,4,3,1,2,8,6,1830,4711,9996,1,2,9,8,0,1,1,1,0,0,0,5,3820,7345,50,400,70,1,1,2,mdjn2119.tif,00060478.tif,2013,0,0,0,ORIGINAL,06,21,19530,023004,0230,0470856,047,7,511,0,,N,2,2013-023004
6100,24,MD,SMALL BOAT TOURNAMENT,05,6,6,BALTIMORE CANYON,6555,24,1833,2119,0856,4,3,1,2,1,1,1830,4656,9996,1,12,6,7,0,1,1,1,0,0,0,5,3820,7345,56,600,65,1,1,1,mdjn2119.tif,00060479.tif,2013,1,1,0,ORIGINAL,06,21,19530,023005,0230,0470856,047,7,509,0,,Y,2,2013-023005
6,24,MD,6,06,6,6,BALTIMORE CANYON,6555,24,1835,2119,0856,4,3,1,2,2,7,1830,4656,9996,2,2,6,7,0,1,1,1,0,0,0,4,3820,7345,62,550,60,1,1,2,mdjn2119.tif,00060481.tif,2013,1,1,0,ORIGINAL,06,21,19530,023006,0230,0470856,047,7,222,1,Q27;,Y,2,2013-023006
T305,34,NJ,MAKO MANIA,01,6,6,7,6013,34,1550,1114,0894,10,1,1,2,2,2,1530,3551,9996,1,2,4,6,0,0,1,0,1,0,0,4,9998,9998,998,120,65,1,1,1,njjn1114.tif,00060485.tif,2013,0,1,0,ORIGINAL,06,22,19531,023101,0231,0290894,029,5,678,0,,Y,1,2013-023101
T305,34,NJ,MAKO MANIA,02,6,6,7,6013,34,1610,1114,0894,10,1,1,2,2,2,1600,3551,9996,1,2,3,3,0,0,1,0,1,0,0,6,9998,9998,50,200,60,1,1,1,njjn1114.tif,00060487.tif,2013,0,1,0,ORIGINAL,06,22,19531,023102,0231,0290894,029,5,676,1,Q27;,Y,1,2013-023102
T305,34,NJ,MAKO MANIA,03,6,6,7,6013,34,1630,1114,0894,10,1,1,2,2,2,1615,3551,9996,1,2,4,5,0,0,1,0,1,0,0,6,9998,9998,998,150,60,1,1,1,njjn1114.tif,00060489.tif,2013,0,1,0,ORIGINAL,06,22,19531,023103,0231,0290894,029,5,673,1,Q27;,Y,1,2013-023103
T305,34,NJ,MAKO MANIA,04,6,6,7,6013,34,1635,1114,0894,10,1,2,1,3,2,1630,3551,9996,1,2,6,6,0,0,1,0,0,1,0,6,9999,9999,50,200,63,1,1,1,njjn1114.tif,00060491.tif,2013,0,1,0,ORIGINAL,06,22,19531,023104,0231,0290894,029,5,664,0,,N,1,2013-023104
T305,10,DE,MAKO MANIA,05,6,6,MUD HOLE,6013,34,1700,1114,0894,10,1,1,2,2,1,1650,3551,9996,1,2,4,6,0,0,1,0,1,0,0,6,9999,9999,25,125,62,1,1,1,njjn1114.tif,00060493.tif,2013,0,1,0,ORIGINAL,06,22,19531,023105,0231,0290894,029,5,671,0,,Y,1,2013-023105
T305,34,NJ,MAKO MANIA,06,6,6,7,6013,34,1730,1114,0894,10,1,1,2,2,1,1725,3551,9996,1,2,4,7,0,0,1,0,1,0,0,6,9998,9998,998,99998,64,1,1,1,njjn1114.tif,00060495.tif,2013,0,1,0,ORIGINAL,06,22,19531,023106,0231,0290894,029,5,668,0,,Y,1,2013-023106
T305,34,NJ,MAKO MANIA,07,6,6,GLORY HOLE,6013,34,1745,1114,0894,10,1,1,2,2,2,1740,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,9999,9999,42,99999,65,1,1,1,njjn1114.tif,00060497.tif,2013,0,0,0,ORIGINAL,06,22,19531,023107,0231,0290894,029,5,674,0,,N,1,2013-023107
T305,34,NJ,MAKO MANIA,08,6,6,TRIPLE WRECKS,6013,34,1755,1114,0894,10,1,1,2,2,1,1740,3551,9996,1,2,4,8,0,1,1,0,1,0,0,7,3935,7255,40,73,64,1,1,1,njjn1114.tif,00060499.tif,2013,0,1,0,ORIGINAL,06,22,19531,023108,0231,0290894,029,5,666,0,,Y,1,2013-023108
T305,34,NJ,MAKO MANIA,09,6,6,8,6013,34,1805,1114,0894,10,1,2,1,3,1,1800,3551,9996,1,2,4,8,0,0,1,0,1,0,0,7,9998,9998,998,99998,98,1,1,1,njjn1114.tif,00060501.tif,2013,1,1,0,ORIGINAL,06,22,19531,023109,0231,0290894,029,5,672,0,,Y,1,2013-023109
T305,34,NJ,MAKO MANIA,10,6,6,7,6013,34,1815,1114,0894,10,1,1,2,2,1,1805,3551,9996,1,2,5,8,0,1,1,0,1,0,0,8,9998,9998,998,99998,68,1,1,1,njjn1114.tif,00060503.tif,2013,11,1,0,ORIGINAL,06,22,19531,023110,0231,0290894,029,5,665,0,,Y,1,2013-023110
T305,34,NJ,MAKO MANIA,11,6,6,7,6013,34,1818,1114,0894,10,1,1,2,2,1,1800,3551,9996,1,2,4,8,0,0,1,0,1,0,0,8,9999,9998,998,99998,98,1,1,1,njjn1114.tif,00060505.tif,2013,0,1,0,ORIGINAL,06,22,19531,023111,0231,0290894,029,5,677,1,Q23;,Y,2,2013-023111
T305,34,NJ,MAKO MANIA,12,6,6,7,6013,34,1820,1114,0894,10,1,1,2,2,2,1810,3551,9996,1,2,4,8,0,0,1,0,1,0,0,7,9999,9999,70,230,67,1,1,1,njjn1114.tif,00060507.tif,2013,0,1,0,ORIGINAL,06,22,19531,023112,0231,0290894,029,5,682,0,,N,1,2013-023112
T305,34,NJ,MAKO MANIA,13,6,6,CHICKEN CANYON,6013,34,1824,1114,0894,10,1,2,1,3,7,1800,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,3952,7303,48,210,69,1,1,1,njjn1114.tif,00060509.tif,2013,0,1,0,ORIGINAL,06,22,19531,023113,0231,0290894,029,5,670,0,,N,1,2013-023113
T305,34,NJ,MAKO MANIA,14,6,6,TRIPLE WRECKS,6013,34,1830,1114,0894,10,1,1,2,8,6,1815,3551,9996,1,2,8,8,0,0,1,0,1,0,0,2,3935,7255,46,150,67,1,1,1,njjn1114.tif,00060511.tif,2013,0,0,0,ORIGINAL,06,22,19531,023114,0231,0290894,029,5,683,0,,N,1,2013-023114
T305,34,NJ,MAKO MANIA,15,6,6,7,6013,34,1835,1114,0894,10,1,2,1,3,1,1815,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,9998,9998,998,99998,98,1,1,1,njjn1114.tif,00060513.tif,2013,0,1,0,ORIGINAL,06,22,19531,023115,0231,0290894,029,5,669,0,,Y,1,2013-023115
T305,34,NJ,MAKO MANIA,16,6,6,7,6013,34,1900,1114,0894,10,1,1,2,2,1,1855,3551,9996,1,12,3,8,0,0,1,0,1,0,0,6,9998,9998,60,165,64,1,1,1,njjn1114.tif,00060515.tif,2013,0,1,0,ORIGINAL,06,22,19531,023116,0231,0290894,029,5,675,0,,Y,1,2013-023116
T305,34,NJ,MAKO MANIA,17,6,6,TRIPLE WRECKS,6013,34,1915,1114,0894,10,1,1,2,2,1,1900,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,3935,7255,50,150,69,1,1,1,njjn1114.tif,00060517.tif,2013,1,1,0,ORIGINAL,06,22,19531,023117,0231,0290894,029,5,680,0,,Y,2,2013-023117
T305,34,NJ,MAKO MANIA,18,6,6,7,6013,34,1920,1114,0894,10,1,2,1,3,1,1900,3551,9996,1,2,4,8,0,0,1,0,1,0,0,6,9998,9998,998,99998,68,1,1,1,njjn1114.tif,00060519.tif,2013,0,1,0,ORIGINAL,06,22,19531,023118,0231,0290894,029,5,679,0,,Y,1,2013-023118
T305,34,NJ,MAKO MANIA,19,6,6,ATLANTIC PRINCESS,6013,34,1930,1114,0894,10,1,1,2,2,1,1909,3551,9996,1,2,4,8,0,0,1,0,1,0,0,5,9998,9998,45,160,70,1,1,1,njjn1114.tif,00060521.tif,2013,0,0,0,ORIGINAL,06,22,19531,023119,0231,0290894,029,5,667,0,,Y,2,2013-023119
T305,34,NJ,MAKO MANIA,20,6,6,RESOR WRECK,6013,34,2000,1114,0894,10,1,1,2,2,1,1930,3551,9996,1,2,4,8,0,0,1,0,1,0,0,4,9999,9999,38,150,65,1,1,1,njjn1114.tif,00060523.tif,2013,1,1,0,ORIGINAL,06,22,19531,023120,0231,0290894,029,5,681,0,,Y,2,2013-023120
6,51,VA,6,01,6,6,NORFOLK CANYON,7421,51,1740,1109,0088,3,1,2,2,3,1,1735,4656,9996,2,2,15,8,0,1,1,1,0,0,0,6,3705,7435,65,600,74,1,1,1,vajn1109.tif,00060545.tif,2013,0,0,0,ORIGINAL,06,23,19532,023801,0238,8100088,810,8,410,1,Q19;,Y,1,2013-023801
6,51,VA,6,02,6,6,FINGERS,7421,51,1810,1109,0438,3,1,1,2,2,1,1740,4656,9996,2,2,7,7,0,0,1,1,0,0,0,2,3700,7510,50,200,65,1,1,2,vajn1109.tif,00060547.tif,2013,1,0,0,ORIGINAL,06,23,19532,023802,0238,8100438,810,8,409,0,,Y,2,2013-023802
T219,36,NY,WALLY OAKLANDS,01,6,6,2O FATHOM FINGERS,7469,36,1606,2218,0589,3,1,1,2,2,1,1530,3551,3531,1,2,3,7,0,0,1,0,1,0,0,6,4055,7055,13,140,65,1,2,1,nyjn2218.tif,00060558.tif,2013,1,0,0,ORIGINAL,06,25,19534,024201,0242,1030589,103,4,656,0,,Y,2,2013-024201
T219,36,NY,WALLY OAKLANDS,02,6,6,7,7469,36,1623,2218,0589,3,1,2,2,3,6,1200,3551,3531,1,2,3,5,0,0,1,0,1,0,0,4,9998,9998,22,149,68,1,1,1,nyjn2218.tif,00060560.tif,2013,1,1,0,ORIGINAL,06,25,19534,024202,0242,1030589,103,4,658,1,Q15;,N,1,2013-024202
T219,36,NY,WALLY OAKLANDS,03,6,6,7,7469,36,1714,2218,0589,3,1,1,2,2,7,1200,3551,3531,1,2,3,2,0,0,1,0,1,0,0,4,9998,9998,20,260,65,2,2,1,nyjn2218.tif,00060562.tif,2013,0,1,0,ORIGINAL,06,25,19534,024203,0242,1030589,103,4,657,1,Q15;,Y,1,2013-024203
T219,36,NY,WALLY OAKLANDS,04,6,6,25 FATHOMS,7469,36,1823,2218,0169,3,1,1,2,3,1,9998,3551,3531,1,1,4,7,0,0,1,0,1,0,0,5,9998,9998,17,155,64,1,2,1,nyjn2218.tif,00060564.tif,2013,0,1,0,ORIGINAL,06,25,19534,024204,0242,1030169,103,4,655,0,,Y,2,2013-024204
6,24,MD,6,01,6,6,WASHINGTON CANYON,6447,51,1552,1117,0039,8,1,1,2,2,1,1500,4711,1050,2,12,9,12,0,1,1,1,1,0,0,4,3727,7427,70,3000,70,1,1,1,vajn1117.tif,00060568.tif,2013,0,0,0,ORIGINAL,06,23,19532,024301,0243,0010039,001,8,443,0,,Y,2,2013-024301
6,12,FL,6,02,6,6,PARKING LOT,6447,51,1611,1117,0039,8,1,1,2,2,6,1600,4678,9996,2,1,4,8,0,0,1,0,0,1,0,2,3740,7450,28,99998,69,1,1,1,vajn1117.tif,00060570.tif,2013,0,1,0,ORIGINAL,06,23,19532,024302,0243,0010039,001,8,444,0,,N,2,2013-024302
9650,51,VA,MSSA TUNAMENT,03,6,6,WASHINGTON CANYON,6447,51,1621,1117,0039,8,1,1,2,2,1,1600,4711,1050,1,2,6,8,0,1,1,1,0,0,0,3,3727,7427,62,1275,69,1,1,1,vajn1117.tif,00060572.tif,2013,0,0,0,ORIGINAL,06,23,19532,024303,0243,0010039,001,8,548,0,,Y,2,2013-024303
6,24,MD,6,04,6,6,WASHINGTON CANYON,6447,51,1726,1117,1216,8,1,1,2,2,1,1720,4711,1050,2,2,6,13,0,1,1,1,0,0,0,4,3727,7427,65,3000,70,1,1,1,vajn1117.tif,00060574.tif,2013,0,1,0,ORIGINAL,06,23,19532,024304,0243,0011216,001,8,442,0,,Y,2,2013-024304
9650,24,MD,MSSA TUNAMENT,05,6,6,WASHINGTON CANYON,6447,51,1735,1117,0039,8,1,1,2,2,1,1630,4711,9996,1,2,8,8,0,1,1,1,0,0,0,3,3727,7427,70,99998,73,1,1,1,vajn1117.tif,00060576.tif,2013,0,0,0,ORIGINAL,06,23,19532,024305,0243,0010039,001,8,549,0,,Y,2,2013-024305
9650,24,MD,MSSA TUNAMENT,06,6,6,WASHINGTON CANYON,6447,51,1740,1117,0039,8,1,1,2,3,1,1730,4711,9996,1,2,12,8,0,1,1,1,0,0,0,4,3727,7427,60,3000,72,1,1,1,vajn1117.tif,00060578.tif,2013,0,0,0,ORIGINAL,06,23,19532,024306,0243,0010039,001,8,547,0,,Y,2,2013-024306
9650,24,MD,MSSA TUNAMENT,07,6,6,WASHINGTON CANYON,6447,51,1745,1117,0039,8,1,1,2,2,1,1730,4711,9996,1,2,9,8,0,1,1,1,0,0,0,3,3727,7427,55,2000,72,1,1,1,vajn1117.tif,00060580.tif,2013,0,1,0,ORIGINAL,06,23,19532,024307,0243,0010039,001,8,546,0,,Y,2,2013-024307
