tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
9650,10,DE,MSSA TUNAMENT,08,6,6,WASHINGTON CANYON,6447,51,1802,1117,0039,8,1,1,2,2,1,1730,4711,9996,1,2,8,8,0,1,1,1,0,0,0,4,3727,7427,54,99998,72,1,1,2,vajn1117.tif,00060582.tif,2013,0,0,0,ORIGINAL,06,23,19532,024308,0243,0010039,001,8,551,0,,Y,2,2013-024308
9650,24,MD,MSSA TUNAMENT,09,6,6,WASHINGTON CANYON,6447,51,1823,1117,0039,8,1,1,2,2,1,1800,4711,9996,1,2,8,8,0,1,1,1,0,0,0,6,3727,7427,59,980,70,1,1,1,vajn1117.tif,00060583.tif,2013,0,0,0,ORIGINAL,06,23,19532,024309,0243,0010039,001,8,550,0,,Y,2,2013-024309
6,51,VA,6,01,6,6,NORFOLK CANYON,6633,51,1715,1212,0088,3,1,2,1,3,1,1700,4711,1050,2,2,10,9,0,1,1,1,0,0,0,6,3705,7435,73,600,71,1,1,1,vajn1212.tif,00060587.tif,2013,0,0,0,ORIGINAL,06,22,19531,024401,0244,8100088,810,8,479,0,,Y,1,2013-024401
6,51,VA,6,02,6,6,CIGAR SOUTH OF,6633,51,1730,1212,0088,3,1,1,2,2,1,1715,4711,9996,2,2,10,6,0,1,1,1,0,0,0,4,9998,9998,60,850,73,1,1,1,vajn1212.tif,00060589.tif,2013,0,0,0,ORIGINAL,06,22,19531,024402,0244,8100088,810,8,484,0,,Y,2,2013-024402
6,51,VA,6,03,6,6,NORFOLK CANYON,6633,51,1750,1212,0088,3,1,2,2,3,1,1725,4711,1050,2,2,10,8,0,1,1,1,0,0,0,6,3705,7435,73,1200,98,2,2,1,vajn1212.tif,00060591.tif,2013,0,0,0,ORIGINAL,06,22,19531,024403,0244,8100088,810,8,482,0,,Y,2,2013-024403
6,51,VA,6,04,6,6,300 LINE,6633,51,1830,1212,0088,3,1,2,2,3,1,1735,4656,9996,2,2,8,8,0,0,1,1,0,0,0,4,9998,9998,65,1200,72,2,2,1,vajn1212.tif,00060593.tif,2013,0,0,0,ORIGINAL,06,22,19531,024404,0244,8100088,810,8,483,0,,Y,2,2013-024404
6,51,VA,6,05,6,6,800 LINE,6633,51,1812,1212,0088,3,1,2,2,3,1,1730,4711,9996,2,2,7,6,0,1,1,1,0,0,0,3,9998,9998,45,600,73,1,1,1,vajn1212.tif,00060595.tif,2013,0,0,0,ORIGINAL,06,22,19531,024405,0244,8100088,810,8,481,0,,Y,2,2013-024405
6,51,VA,6,06,6,6,CB LINE,6633,51,1825,1212,0088,3,1,2,1,3,1,1750,3591,9996,2,1,4,5,0,0,1,0,1,0,0,4,9998,9998,6,35,70,1,1,1,vajn1212.tif,00060597.tif,2013,0,1,0,ORIGINAL,06,22,19531,024406,0244,8100088,810,8,478,0,,Y,2,2013-024406
6,51,VA,6,07,6,6,CIGAR,6633,51,1832,1212,0088,3,1,1,2,2,1,1750,4656,9996,2,2,8,9,0,1,1,1,0,0,0,6,3630,7450,60,1200,71,1,1,1,vajn1212.tif,00060599.tif,2013,0,0,0,ORIGINAL,06,22,19531,024407,0244,8100088,810,8,480,0,,Y,2,2013-024407
6,37,NC,6,08,6,6,THE POINT,6633,51,1905,1212,1832,3,1,1,2,2,2,1820,4711,1050,2,2,9,8,0,1,1,1,0,0,0,9,9998,9998,40,600,72,2,2,1,vajn1212.tif,00060601.tif,2013,0,0,0,ORIGINAL,06,22,19531,024408,0244,8101832,810,8,485,1,Q23;,Y,2,2013-024408
