tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
26,09,02,1104,1,0,,7526,2,1,2014,07,19,0070884,0,0,2,CTJL1104.pdf,00073855.tif,ORIGINAL,SHORTFIN MAKO,3551,2689,1,1,1,2,0,0,0,2,2014-268902
26,09,03,1104,2,0,,7526,2,3,2014,07,19,0070825,0,0,1,CTJL1104.pdf,00073857.tif,ORIGINAL,SHORTFIN MAKO,3551,2689,1,1,1,2,0,0,0,2,2014-268903
25,10,01,1101,3,0,,6783,2,1,2014,07,13,0051599,0,0,2,DEJL1101.pdf,00073216.tif,ORIGINAL,BFT LARGE SCH,4678,2594,1,1,1,0,0,0,0,2,2014-259401
25,10,02,1101,4,0,,6783,2,3,2014,07,13,0051599,0,0,2,DEJL1101.pdf,00073218.tif,ORIGINAL,DOLPHIN,1050,2594,2,1,0,0,0,0,0,3,2014-259402
25,10,02,1101,5,0,,6783,2,3,2014,07,13,0051599,0,0,2,DEJL1101.pdf,00073218.tif,ORIGINAL,BFT SCHOOL,4677,2594,1,1,0,0,0,0,0,3,2014-259402
25,10,03,1101,6,0,,6783,2,1,2014,07,13,0051599,0,0,1,DEJL1101.pdf,00073220.tif,ORIGINAL,DOLPHIN,1050,2594,1,1,1,0,0,0,0,2,2014-259403
25,10,03,1101,7,0,,6783,2,1,2014,07,13,0051599,0,0,1,DEJL1101.pdf,00073220.tif,ORIGINAL,YFT,4711,2594,2,1,1,0,0,0,0,2,2014-259403
26,10,01,1102,8,0,,6783,2,1,2014,07,20,0051599,0,0,1,DEJL1102.pdf,00073893.tif,ORIGINAL,DOLPHIN,1050,2695,1,2,2,0,0,0,0,3,2014-269501
28,10,01,1103,9,0,,6783,2,3,2014,07,27,0051599,0,0,1,DEJL1103.pdf,00074661.tif,ORIGINAL,DOLPHIN,1050,2842,1,5,5,0,0,0,0,2,2014-284201
28,10,01,1103,10,0,,6783,2,3,2014,07,27,0051599,0,0,1,DEJL1103.pdf,00074661.tif,ORIGINAL,SKIPJACK TUNA,4661,2842,2,1,1,0,0,0,0,2,2014-284201
29,10,01,1104,11,0,,7500,1,1,2014,07,26,0050013,0,0,2,DEJL1104.pdf,00075412.tif,ORIGINAL,DOLPHIN,1050,2962,2,2,0,0,0,0,0,2,2014-296201
29,10,01,1104,12,0,,7500,1,1,2014,07,26,0050013,0,0,2,DEJL1104.pdf,00075412.tif,ORIGINAL,SHORTFIN MAKO,3551,2962,3,1,0,0,0,0,0,2,2014-296201
29,10,01,1104,13,0,,7500,1,1,2014,07,26,0050013,0,0,2,DEJL1104.pdf,00075412.tif,ORIGINAL,YFT,4711,2962,1,3,0,0,0,0,0,2,2014-296201
28,10,02,1201,14,0,,6783,2,1,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074704.tif,ORIGINAL,DOLPHIN,1050,2855,2,2,2,0,0,0,0,2,2014-285502
28,10,02,1201,15,0,,6783,2,1,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074704.tif,ORIGINAL,BFT LARGE SCH,4678,2855,1,1,1,0,0,0,0,2,2014-285502
28,10,03,1201,16,0,,6783,2,1,2014,07,26,0051599,0,1,1,DEJL1201.pdf,00074706.tif,ORIGINAL,BFT SCHOOL,4677,2855,1,1,1,1,0,0,0,3,2014-285503
28,10,04,1201,17,0,,6783,2,1,2014,07,26,0051599,0,1,1,DEJL1201.pdf,00074708.tif,ORIGINAL,BFT SCHOOL,4677,2855,1,1,1,0,0,0,0,2,2014-285504
28,10,05,1201,18,0,,6783,2,3,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074710.tif,ORIGINAL,DOLPHIN,1050,2855,1,1,0,0,0,0,0,2,2014-285505
28,10,05,1201,19,0,,6783,2,3,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074710.tif,ORIGINAL,SKIPJACK TUNA,4661,2855,2,1,0,0,0,0,0,2,2014-285505
28,10,06,1201,20,0,,6783,2,3,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074712.tif,ORIGINAL,DOLPHIN,1050,2855,1,1,1,0,0,0,0,2,2014-285506
28,10,09,1201,21,0,,6783,2,1,2014,07,26,0051599,0,0,2,DEJL1201.pdf,00074716.tif,ORIGINAL,DOLPHIN,1050,2855,1,7,7,0,0,0,0,2,2014-285509
28,10,10,1201,22,0,,6783,2,1,2014,07,26,0050017,0,1,1,DEJL1201.pdf,00074718.tif,ORIGINAL,DOLPHIN,1050,2855,1,5,3,0,0,0,0,3,2014-285510
28,10,10,1201,23,0,,6783,2,1,2014,07,26,0050017,0,1,1,DEJL1201.pdf,00074718.tif,ORIGINAL,GOLDEN TILEFI,4467,2855,2,30,30,0,0,0,0,3,2014-285510
25,10,01,1204,24,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072810.tif,ORIGINAL,DOLPHIN,1050,2509,1,5,0,0,0,0,0,2,2014-250901
25,10,02,1204,25,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072812.tif,ORIGINAL,DOLPHIN,1050,2509,2,2,0,0,0,0,0,2,2014-250902
25,10,02,1204,26,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072812.tif,ORIGINAL,BFT SCHOOL,4677,2509,1,1,0,0,0,0,0,2,2014-250902
25,10,03,1204,27,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072814.tif,ORIGINAL,DOLPHIN,1050,2509,2,3,0,0,0,0,0,3,2014-250903
25,10,03,1204,28,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072814.tif,ORIGINAL,YFT,4711,2509,1,1,0,0,0,0,0,3,2014-250903
25,10,05,1204,29,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072817.tif,ORIGINAL,DOLPHIN,1050,2509,1,1,0,0,0,0,0,2,2014-250905
25,10,06,1204,30,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072819.tif,ORIGINAL,DOLPHIN,1050,2509,1,3,0,0,0,0,0,2,2014-250906
25,10,06,1204,31,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072819.tif,ORIGINAL,YFT,4711,2509,2,0,0,2,0,0,0,2,2014-250906
25,10,07,1204,32,0,,6447,2,1,2014,07,06,0051599,0,0,1,DEJL1204.pdf,00072821.tif,ORIGINAL,DOLPHIN,1050,2509,2,1,1,0,0,0,0,2,2014-250907
25,10,07,1204,33,0,,6447,2,1,2014,07,06,0051599,0,0,1,DEJL1204.pdf,00072821.tif,ORIGINAL,BFT SCHOOL,4677,2509,1,1,1,0,0,0,0,2,2014-250907
25,10,08,1204,34,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072823.tif,ORIGINAL,DOLPHIN,1050,2509,2,1,0,2,0,0,0,2,2014-250908
25,10,08,1204,35,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072823.tif,ORIGINAL,SHORTFIN MAKO,3551,2509,1,1,1,0,0,0,0,2,2014-250908
25,10,09,1204,36,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072825.tif,ORIGINAL,DOLPHIN,1050,2509,2,6,0,1,0,0,0,2,2014-250909
25,10,09,1204,37,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072825.tif,ORIGINAL,WHITE MARLIN,2161,2509,1,0,0,1,0,0,0,2,2014-250909
25,10,09,1204,38,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072825.tif,ORIGINAL,SHORTFIN MAKO,3551,2509,3,1,0,0,0,0,0,2,2014-250909
25,10,10,1204,39,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072827.tif,ORIGINAL,DOLPHIN,1050,2509,2,1,0,0,0,0,0,2,2014-250910
25,10,10,1204,40,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072827.tif,ORIGINAL,WHITE MARLIN,2161,2509,3,0,0,1,0,0,0,2,2014-250910
25,10,10,1204,41,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072827.tif,ORIGINAL,YFT,4711,2509,1,2,0,0,0,0,0,2,2014-250910
25,10,11,1204,42,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072829.tif,ORIGINAL,DOLPHIN,1050,2509,2,3,0,0,0,0,0,2,2014-250911
25,10,11,1204,43,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072829.tif,ORIGINAL,YFT,4711,2509,1,0,0,2,0,0,0,2,2014-250911
25,10,12,1204,44,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072831.tif,ORIGINAL,DOLPHIN,1050,2509,1,2,2,0,0,0,0,3,2014-250912
25,10,13,1204,45,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072833.tif,ORIGINAL,DOLPHIN,1050,2509,1,4,0,1,0,0,0,2,2014-250913
25,10,14,1204,46,0,,6447,2,1,2014,07,06,0051599,0,0,2,DEJL1204.pdf,00072835.tif,ORIGINAL,DOLPHIN,1050,2509,1,10,0,0,0,0,0,2,2014-250914
