tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,44,RI,6,01,6,6,FINGERS,7374,44,1640,2206,0414,11,1,1,2,2,1,1635,4670,1050,2,2,7,8,0,1,0,1,0,0,0,3,4055,7055,40,150,75,1,1,1,rise2206.tif,00056545.tif,2012,0,1,0,ORIGINAL,09,14,19250,1553,0090414,009,,657,0,,Y,2,,2012-155301
15,6,44,RI,6,02,6,6,FISH TALES,7374,44,1645,2206,0414,11,1,1,2,2,1,1645,4691,9996,2,1,8,12,0,1,0,1,0,0,0,3,4000,7120,998,600,75,2,1,2,rise2206.tif,00056547.tif,2012,0,1,0,ORIGINAL,09,14,19250,1553,0090414,009,,654,0,,Y,2,,2012-155302
15,6,44,RI,6,03,6,6,HUDSON CANYON,7374,44,1745,2206,9012,11,1,1,2,3,1,1730,4711,9996,2,1,9,45,0,1,1,1,0,1,0,3,3930,7220,997,1000,76,2,1,1,rise2206.tif,00056548.tif,2012,0,1,0,ORIGINAL,09,14,19250,1553,0099012,009,,655,1,Q20;,Y,2,,2012-155303
15,6,44,RI,6,04,6,6,MUD HOLE,7374,44,1859,2206,0414,11,1,1,2,2,1,1700,4677,3551,2,2,7,8,0,1,1,1,1,0,0,2,4100,7120,30,180,72,2,1,1,rise2206.tif,00056550.tif,2012,1,0,0,ORIGINAL,09,14,19250,1553,0090414,009,,656,0,,Y,2,,2012-155304
15,6,34,NJ,6,01,6,6,SHREWSBURY ROCK,6416,34,1623,1110,1050,6,1,1,2,2,1,1615,4681,4677,2,2,4,3,0,1,0,1,0,0,0,4,4020,7357,6,100,79,2,1,1,njse1110.tif,00056559.tif,2012,0,0,0,ORIGINAL,09,01,19237,1555,0251050,025,5,490,0,,Y,2,,2012-155501
15,6,34,NJ,6,02,6,6,BARNEGAT RIDGE,6416,34,1730,1110,1050,6,1,1,2,2,1,1715,4681,330,2,2,4,6,0,1,0,1,0,0,0,4,3938,7347,20,75,79,2,1,1,njse1110.tif,00056561.tif,2012,0,0,0,ORIGINAL,09,01,19237,1555,0251050,025,5,491,0,,Y,2,,2012-155502
15,6,34,NJ,6,03,6,6,HUDSON CANYON,6416,34,1840,1110,1808,6,1,1,2,2,1,1830,4656,9996,2,1,5,7,0,1,1,1,0,0,0,2,3941,7228,95,500,76,2,1,1,njse1110.tif,00056563.tif,2012,0,0,0,ORIGINAL,09,01,19237,1555,0251808,025,5,493,0,,Y,1,,2012-155503
15,6,34,NJ,6,04,6,6,HUDSON CANYON,6416,34,1930,1110,9125,6,1,1,2,3,1,1710,4711,4691,2,12,13,30,1,1,1,1,0,1,0,3,3930,7210,87,1300,78,2,1,1,njse1110.tif,00056565.tif,2012,0,0,0,ORIGINAL,09,01,19237,1555,0259125,025,5,492,1,Q19;Q20;,Y,2,,2012-155504
15,6,34,NJ,6,01,6,6,HUDSON CANYON,6416,34,1320,1111,1050,6,1,1,2,3,1,1200,4711,4691,2,12,10,21,0,1,1,1,0,1,0,7,3930,7220,90,700,78,2,1,1,njse1111.tif,00056571.tif,2012,0,0,0,ORIGINAL,09,02,19238,1556,0251050,025,5,495,0,,Y,1,,2012-155601
15,6,34,NJ,6,02,6,6,HUDSON CANYON,6416,34,1510,1111,1050,6,1,1,2,2,7,1500,4711,4691,2,12,7,12,0,1,1,1,0,1,0,8,3933,7223,95,400,77,1,1,1,njse1111.tif,00056573.tif,2012,0,1,0,ORIGINAL,09,02,19238,1556,0251050,025,5,498,0,,Y,1,,2012-155602
15,6,34,NJ,6,03,6,6,HUDSON CANYON,6416,34,1610,1111,1050,6,1,1,2,3,1,1600,4691,4711,2,1,9,8,0,1,1,1,0,1,0,6,3930,7220,90,700,77,1,1,1,njse1111.tif,00056575.tif,2012,0,0,0,ORIGINAL,09,02,19238,1556,0251050,025,5,494,0,,Y,1,,2012-155603
