intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6936,5,1,2012,06,28,030405,0471493,0,0,24,05,2104,1,mdjn2104.tif,00048415.tif,ORIGINAL,684,1050,0304,9996,9996,2,9996,0,5,32,0,,2012-030405
6778,7,1,2012,06,22,029201,0010024,0,1,51,01,2101,1,vajn2101.tif,00048613.tif,ORIGINAL,694,1050,0292,9996,9996,2,9996,0,3,61,0,,2012-029201
7326,8,3,2012,06,24,029006,0010039,0,1,51,06,1126,1,vajn1126.tif,00048367.tif,ORIGINAL,697,1050,0290,9996,9996,1,9996,0,3,71,0,,2012-029006
7379,3,1,2012,06,07,005801,0470853,0,0,24,01,2204,1,mdjn2204.tif,00047230.tif,ORIGINAL,704,1050,0058,9996,9996,1,9996,0,1,39,0,,2012-005801
6936,5,1,2012,06,01,001207,0471493,0,0,24,07,2201,1,mdjn2201.tif,00046549.tif,ORIGINAL,708,1050,0012,9996,9996,2,9996,0,2,25,0,,2012-001207
7393,3,1,2012,06,24,028906,8100088,0,1,51,06,1125,1,vajn1125.tif,00048354.tif,ORIGINAL,708,1050,0289,9996,9996,1,9996,0,3,72,0,,2012-028906
6778,7,1,2012,06,23,028703,0010024,0,0,51,03,1123,1,vajn1123.tif,00048286.tif,ORIGINAL,711,1050,0287,9996,9996,1,9996,0,6,58,0,,2012-028703
6778,7,1,2012,06,19,019301,0010024,0,0,51,01,2209,1,vajn2209.tif,00047673.tif,ORIGINAL,712,1050,0193,9996,9996,2,9996,0,3,57,0,,2012-019301
6936,5,1,2012,06,01,001201,0471493,0,0,24,01,2201,1,mdjn2201.tif,00046537.tif,ORIGINAL,713,1050,0012,9996,9996,2,9996,0,2,15,0,,2012-001201
6936,5,1,2012,06,01,001202,0471493,0,0,24,02,2201,1,mdjn2201.tif,00046539.tif,ORIGINAL,717,1050,0012,9996,9996,1,9996,0,1,16,0,,2012-001202
6783,2,1,2012,06,28,031504,0051599,0,0,10,04,2209,1,dejn2209.tif,00048759.tif,ORIGINAL,727,1050,0315,9996,9996,2,9996,0,2,7,0,,2012-031504
6778,8,1,2012,06,03,003204,0010039,0,1,51,04,1103,1,vajn1103.tif,00046633.tif,ORIGINAL,744,1050,0032,9996,9996,1,9996,0,9,53,0,,2012-003204
6783,8,1,2012,06,23,028302,0010039,0,0,51,02,1109,1,vajn1109.tif,00048740.tif,ORIGINAL,744,1050,0283,9996,9996,1,9996,0,6,70,0,,2012-028302
7379,3,1,2012,06,03,001008,0470853,0,0,24,08,1107,1,mdjn1107.tif,00046581.tif,ORIGINAL,745,1050,0010,9996,9996,2,9996,0,1,36,0,,2012-001008
6633,3,1,2012,06,10,012403,8100088,0,0,51,03,1208,1,vajn1208.tif,00047192.tif,ORIGINAL,745,1050,0124,9996,9996,2,9996,0,5,46,0,,2012-012403
6778,7,1,2012,06,22,029201,0010024,0,1,51,01,2101,1,vajn2101.tif,00048613.tif,ORIGINAL,745,1050,0292,9996,9996,1,9996,0,6,64,0,,2012-029201
6783,2,1,2012,06,28,031503,0051599,0,0,10,03,2209,1,dejn2209.tif,00048757.tif,ORIGINAL,748,1050,0315,9996,9996,2,9996,0,6,5,0,,2012-031503
6778,7,1,2012,06,23,028703,0010024,0,0,51,03,1123,1,vajn1123.tif,00048286.tif,ORIGINAL,753,1050,0287,9996,9996,2,9996,0,7,59,0,,2012-028703
6783,8,1,2012,06,23,028302,0010039,0,0,51,02,1109,1,vajn1109.tif,00048740.tif,ORIGINAL,753,1050,0283,9996,9996,1,9996,0,4,68,0,,2012-028302
6633,3,1,2012,06,10,012406,8100088,0,0,51,06,1208,1,vajn1208.tif,00047198.tif,ORIGINAL,758,1050,0124,9996,9996,1,9996,0,2,48,0,,2012-012406
7379,3,1,2012,06,07,005805,0470853,0,1,24,05,2204,1,mdjn2204.tif,00047238.tif,ORIGINAL,761,1050,0058,9996,9996,2,9996,0,1,40,0,,2012-005805
