tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,s_index,serrflag,sprobfld,id
17,9996,9996,364,6,9996,6416,6,1,2013,09,15,0251050,0,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,1,2,1,LENGTH;,2013-175502
17,9996,9996,367,6,9996,6416,6,1,2013,09,15,0251050,0,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,6,7,1,LENGTH;,2013-175502
17,9996,9996,373,6,9996,6416,6,1,2013,09,15,0251050,0,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,2,3,1,LENGTH;,2013-175502
17,9996,9996,379,6,9996,6416,6,1,2013,09,15,0251050,1,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,5,6,1,LENGTH;,2013-175502
17,9996,9996,381,6,9996,6416,6,1,2013,09,15,0251050,0,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,3,4,1,LENGTH;,2013-175502
17,9996,9996,397,6,9996,6416,6,1,2013,09,15,0251050,0,0,34,02,1122,1,njse1122.tif,00069482.tif,ORIGINAL,330,1755,0,4,5,0,,2013-175502
14,9996,9996,441,6,9996,6416,6,1,2013,09,07,0251050,0,0,34,07,1115,1,njse1115.tif,00067836.tif,ORIGINAL,330,1409,0,1,1,0,,2013-140907
15,9996,9996,410,8,9996,6478,2,1,2013,09,25,0051599,0,0,10,01,2206,1,dese2206.tif,00068409.tif,ORIGINAL,1050,1527,0,3,16,0,,2013-152701
14,9996,9996,421,2,9996,7493,11,1,2013,09,20,0090475,0,1,44,01,2220,1,rise2220.tif,00068271.tif,ORIGINAL,1050,1490,0,4,105,0,,2013-149001
15,9996,9996,426,8,9996,6478,2,1,2013,09,25,0051599,0,0,10,01,2206,1,dese2206.tif,00068409.tif,ORIGINAL,1050,1527,0,1,14,0,,2013-152701
14,9996,9996,431,2,9996,7493,11,1,2013,09,20,0090475,0,1,44,01,2220,1,rise2220.tif,00068271.tif,ORIGINAL,1050,1490,0,6,106,0,,2013-149001
15,9996,9996,443,8,9996,6478,2,1,2013,09,25,0051599,0,0,10,01,2206,1,dese2206.tif,00068409.tif,ORIGINAL,1050,1527,0,5,18,0,,2013-152701
14,9996,9996,471,1,9996,7493,11,1,2013,09,20,0090475,0,1,44,01,2220,1,rise2220.tif,00068271.tif,ORIGINAL,1050,1490,0,2,103,0,,2013-149001
15,9996,9996,485,8,9996,6478,2,1,2013,09,25,0051599,0,0,10,01,2206,1,dese2206.tif,00068409.tif,ORIGINAL,1050,1527,0,2,15,0,,2013-152701
12,9996,9996,493,2,9996,6593,11,1,2013,09,08,0090414,0,0,44,01,1112,1,rise1112.tif,00067060.tif,ORIGINAL,1050,1297,0,2,101,0,,2013-129701
13,9996,9996,494,2,9996,7415,3,1,2013,09,04,8100088,0,0,51,02,2102,1,vase2102.tif,00067086.tif,ORIGINAL,1050,1300,0,4,148,0,,2013-130002
13,9996,9996,498,8,9996,6783,7,1,2013,09,08,0470938,0,0,24,03,1210,1,mdse1210.tif,00067211.tif,ORIGINAL,1050,1317,0,2,20,0,,2013-131703
13,9996,9996,505,2,9996,7409,10,1,2013,09,08,0290894,0,0,34,01,1118,1,njse1118.tif,00067253.tif,ORIGINAL,1050,1324,0,5,75,0,,2013-132401
13,9996,9996,507,1,9996,7409,10,1,2013,09,08,0290894,0,0,34,01,1118,1,njse1118.tif,00067253.tif,ORIGINAL,1050,1324,0,4,74,0,,2013-132401
