tracker,id,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
081401,2013-081401,2013,08,10,1101,01,3551,SHORTFIN MAKO SHARK,0,0,2,0,0,0
081511,2013-081511,2013,08,10,1104,11,1050,DOLPHIN,11,0,0,0,0,0
081511,2013-081511,2013,08,10,1104,11,2161,WHITE MARLIN,0,0,1,0,0,0
081512,2013-081512,2013,08,10,1104,12,1050,DOLPHIN,1,0,0,0,0,0
081513,2013-081513,2013,08,10,1104,13,1050,DOLPHIN,18,0,0,0,0,0
081513,2013-081513,2013,08,10,1104,13,2161,WHITE MARLIN,0,0,2,0,0,0
081513,2013-081513,2013,08,10,1104,13,4711,YFT,1,0,0,0,0,0
081513,2013-081513,2013,08,10,1104,13,4720,WAHOO,2,0,0,0,0,0
081902,2013-081902,2013,08,25,1202,02,4931,BLUE SHARK,0,0,1,0,0,0
081903,2013-081903,2013,08,25,1202,03,4671,BFT GIANT,1,1,0,0,1,0
081905,2013-081905,2013,08,25,1202,05,815,COD,3,0,10,0,0,0
081905,2013-081905,2013,08,25,1202,05,4931,BLUE SHARK,0,0,8,0,0,0
081906,2013-081906,2013,08,25,1202,06,815,COD,6,0,6,0,0,0
081906,2013-081906,2013,08,25,1202,06,3521,SPINY DOGFISH,0,0,40,0,0,0
081906,2013-081906,2013,08,25,1202,06,4931,BLUE SHARK,0,0,2,0,0,0
081908,2013-081908,2013,08,25,1202,08,815,COD,52,0,80,0,0,0
081908,2013-081908,2013,08,25,1202,08,4931,BLUE SHARK,0,0,2,0,0,0
082301,2013-082301,2013,08,24,1104,01,4711,YFT,2,0,0,0,0,0
082302,2013-082302,2013,08,24,1104,02,2171,BLUE MARLIN,0,0,1,0,0,0
082303,2013-082303,2013,08,24,1104,03,230,BLUEFISH,1,0,0,0,0,0
082305,2013-082305,2013,08,24,1104,05,2161,WHITE MARLIN,0,0,1,0,0,0
082401,2013-082401,2013,08,24,1202,01,4821,SANDBAR SHARK,0,0,2,0,0,0
082401,2013-082401,2013,08,24,1202,01,4841,DUSKY SHARK,0,0,3,0,0,0
082401,2013-082401,2013,08,24,1202,01,4881,SPINNER SHARK,0,0,2,0,0,0
082401,2013-082401,2013,08,24,1202,01,4941,ATLANTIC SHARPNOSE S,0,0,2,0,0,0
082404,2013-082404,2013,08,24,1202,04,4677,BFT SCHOOL,2,1,0,0,0,0
082404,2013-082404,2013,08,24,1202,04,1050,DOLPHIN,1,1,0,0,0,0
