tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,25,MA,6,01,6,6,STELLWAGEN BANK SW,6634,25,1555,2213,9038,9,1,2,1,3,2,1545,4677,4678,2,12,4,8,0,1,0,1,0,0,0,6,4210,7015,12,220,59,2,1,2,majn2213.tif,00046513.tif,2012,0,0,0,ORIGINAL,06,01,19145,000601,0006,0239038,023,2,423,0,,Y,2,2012-000601
6,25,MA,6,02,6,LIVE LINE,STELLWAGEN S,6634,25,1730,2213,9038,9,1,2,2,3,1,1720,4671,4679,2,12,2,8,1,0,0,1,0,0,1,2,4210,7015,8,100,62,2,1,1,majn2213.tif,00046514.tif,2012,1,1,0,ORIGINAL,06,01,19145,000602,0006,0239038,023,2,422,0,,Y,2,2012-000602
6,24,MD,6,01,6,6,FINGERS,6783,24,1611,1101,0856,4,3,1,2,2,7,1600,3551,3591,2,2,4,4,0,0,1,0,0,1,0,3,3812,7437,25,120,67,2,1,1,mdjn1101.tif,00046518.tif,2012,0,1,0,ORIGINAL,06,03,19147,000701,0007,0470856,047,7,160,0,,Y,2,2012-000701
6,24,MD,6,02,6,6,FINGERS,6783,24,1612,1101,0856,4,3,1,2,2,1,1603,3551,3591,2,12,4,6,0,0,1,1,1,0,0,4,3812,7437,24,98,68,2,1,1,mdjn1101.tif,00046520.tif,2012,0,0,0,ORIGINAL,06,03,19147,000702,0007,0470856,047,7,159,0,,Y,2,2012-000702
6,24,MD,6,03,6,6,POOR MANS CANYON,6783,24,1615,1101,0856,4,3,1,2,2,1,1610,4711,1050,2,2,8,4,0,1,1,1,0,0,0,5,3752,7406,47,305,69,2,1,1,mdjn1101.tif,00046522.tif,2012,1,0,0,ORIGINAL,06,03,19147,000703,0007,0470856,047,7,158,0,,Y,1,2012-000703
T500,24,MD,BAHIA MARINA MAKO MANIA,04,6,6,MASSEYS CANYON,6783,24,1743,1101,0856,4,3,1,2,2,1,1740,3551,9996,1,2,4,3,0,0,1,0,1,1,0,4,3825,7420,31,140,66,1,1,1,mdjn1101.tif,00046524.tif,2012,0,0,0,ORIGINAL,06,03,19147,000704,0007,0470856,047,7,907,0,,Y,2,2012-000704
T500,37,NC,BAHIA MARINA MAKO MANIA,05,6,6,POOR MANS CANYON,6783,24,1801,1101,0856,4,3,1,2,2,1,1745,3551,3531,1,12,3,8,0,0,1,0,1,0,0,4,3752,7406,55,240,65,2,1,1,mdjn1101.tif,00046526.tif,2012,0,1,0,ORIGINAL,06,03,19147,000705,0007,0470856,047,7,908,0,,Y,2,2012-000705
6,24,MD,6,01,6,6,JACKSPOT,7379,24,1530,1107,0853,3,1,1,2,2,1,1515,4711,9996,2,2,9,6,0,1,1,1,0,0,0,3,3805,7445,32,120,71,2,1,2,mdjn1107.tif,00046567.tif,2012,0,0,0,ORIGINAL,06,03,19147,001001,0010,0470853,047,7,184,0,,Y,2,2012-001001
6,24,MD,6,02,6,6,MARINE ELECTRIC,7379,24,1545,1107,0853,3,1,2,2,3,1,1530,3551,9996,2,2,4,6,0,0,1,0,0,1,0,3,3753,7450,25,120,70,2,2,1,mdjn1107.tif,00046568.tif,2012,0,0,0,ORIGINAL,06,03,19147,001002,0010,0470853,047,7,182,0,,Y,2,2012-001002
6,24,MD,6,03,6,6,POOR MANS CANYON,7379,24,1615,1107,0853,3,1,2,1,3,1,1545,4711,9996,2,2,8,6,0,1,1,1,0,0,0,5,3752,7406,45,600,69,2,1,1,mdjn1107.tif,00046570.tif,2012,0,0,0,ORIGINAL,06,03,19147,001003,0010,0470853,047,7,183,0,,Y,1,2012-001003
T500,24,MD,BAHIA MARINA MAKO MANIA,04,6,6,FINGER,7379,24,1630,1107,0853,3,1,2,1,3,1,1555,3551,9996,1,2,3,8,0,0,1,0,1,1,0,6,3805,7440,18,130,67,2,1,1,mdjn1107.tif,00046572.tif,2012,0,0,0,ORIGINAL,06,03,19147,001004,0010,0470853,047,7,910,0,,N,2,2012-001004
T500,24,MD,BAHIA MARINA MAKO MANIA,05,6,6,20 FATHOM,7379,24,1645,1107,0853,3,1,1,2,2,1,1615,3551,9996,1,2,3,8,0,0,1,0,1,1,0,6,3812,7437,32,120,65,2,1,1,mdjn1107.tif,00046574.tif,2012,0,0,0,ORIGINAL,06,03,19147,001005,0010,0470853,047,7,909,0,,Y,2,2012-001005
T500,24,MD,BAHIA MARINA MAKO MANIA,06,6,6,JACKSPOT,7379,24,1715,1107,0853,3,1,1,2,2,6,1650,3551,9996,1,1,4,8,0,0,1,0,1,0,0,4,3805,7445,25,82,69,2,1,1,mdjn1107.tif,00046576.tif,2012,0,1,0,ORIGINAL,06,03,19147,001006,0010,0470853,047,7,912,0,,N,2,2012-001006
6,10,DE,6,07,6,6,BALTIMORE CANYON,7379,24,1725,1107,0853,3,1,2,1,3,1,1700,4711,9996,2,2,7,10,0,1,1,1,0,0,0,3,3814,7350,54,300,67,1,2,1,mdjn1107.tif,00046578.tif,2012,0,0,0,ORIGINAL,06,03,19147,001007,0010,0470853,047,7,186,0,,Y,1,2012-001007
6,10,DE,6,08,6,6,BALTIMORE CANYON,7379,24,1755,1107,0853,3,1,2,1,3,6,1710,4711,1050,2,2,9,8,0,1,1,1,0,0,0,6,3814,7350,47,300,67,2,1,1,mdjn1107.tif,00046580.tif,2012,0,1,0,ORIGINAL,06,03,19147,001008,0010,0470853,047,7,187,0,,N,1,2012-001008
T500,24,MD,BAHIA MARINA MAKO MANIA,09,6,6,BALTIMORE CANYON,7379,24,1810,1107,0853,3,1,2,2,3,1,1730,3551,9996,1,1,4,8,0,0,1,0,1,0,0,6,3814,7350,60,200,67,2,1,1,mdjn1107.tif,00046582.tif,2012,0,0,0,ORIGINAL,06,03,19147,001009,0010,0470853,047,7,911,0,,Y,2,2012-001009
