tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,SOUTH OF CIGAR,2004-000201,000201,6171,16223,06,01,2004,1826,51,2202,01,810,0088,8100088,3,1,2,1,1,3,6,6,6,VA,51,1820,4711,9996,2,6,6,6,10,7,0,0,1,1,0,0,0,6,4,9998,9998,40,600,70,1,6,1,1,1,6,,,,,
6,NC VA BORDER,2004-000202,000202,6171,16223,06,01,2004,1910,51,2202,02,810,0088,8100088,3,1,2,1,1,3,6,6,6,VA,51,1851,4711,9996,2,6,6,6,10,6,0,0,1,1,0,0,0,6,6,9998,9998,45,600,70,1,6,1,1,1,6,,,,,
6,B BUOY,2004-000601,000601,6425,16225,06,03,2004,1645,10,2106,01,005,1599,0051599,2,1,2,1,1,1,6,1,6,DE,10,1615,3531,9996,2,6,6,6,3,1,0,0,1,0,1,0,1,DRIFTING,4,9998,9998,9,83,64,1,6,1,1,1,6,,,,,
6,8,2004-000602,000602,6425,16225,06,03,2004,1730,10,2106,02,005,1599,0051599,2,1,2,1,1,3,6,6,6,DE,10,1720,3350,9996,2,6,6,6,4,4,0,0,1,0,0,0,1,DRIFTING,4,9998,9998,16,85,98,2,6,1,2,1,6,,,,,
MAKO MANIA,WASHINGTON CANYON,2004-000901,000901,6407,16226,06,04,2004,1500,24,2103,01,047,1493,0471493,5,1,2,1,1,3,6,6,6,MD,24,1500,3551,9996,1,T500,6,6,4,7,0,0,1,0,0,1,0,6,3,3729,7430,40,900,67,2,6,1,1,1,6,,,,,
6,JACKSPOT,2004-000902,000902,6407,16226,06,04,2004,1540,24,2103,02,047,1493,0471493,5,1,2,1,1,3,6,1,6,NC,37,1540,3551,9996,2,6,6,6,4,7,0,1,0,1,0,0,0,6,6,3805,7445,23,65,68,1,6,2,2,1,6,,,,,
MAKO MANIA,WASHINGTON CANYON,2004-000903,000903,6407,16226,06,04,2004,1750,24,2103,03,047,1493,0471493,5,1,2,1,1,3,6,1,6,NC,37,1750,3551,9996,1,T500,6,6,3,8,0,0,1,0,0,1,0,6,5,3725,7425,50,180,69,1,6,1,2,1,6,,,,,
6,NORFOLK CANYON,2004-000904,000904,6407,16226,06,04,2004,1800,24,2103,04,047,1493,0471493,5,1,1,2,1,3,6,6,6,MD,24,1750,4670,9996,2,6,6,6,3,7,0,0,1,1,0,0,0,6,7,3700,7415,70,280,67,1,6,2,2,1,6,,,,,
6,CIGAR,2004-001001,001001,6303,16227,06,05,2004,1700,51,1105,01,810,0091,8100091,1,1,2,1,1,3,6,6,6,VA,51,1645,4711,9996,2,6,6,6,8,6,0,0,1,1,0,0,0,6,6,3630,7450,62,600,66,2,6,1,1,1,6,,,,,
6,B BUOY,2004-001101,001101,6425,16228,06,06,2004,1630,10,1105,01,005,1599,0051599,2,1,1,2,1,2,6,1,1,DE,10,1500,3531,9996,2,6,6,6,3,2,0,0,1,0,0,1,0,6,2,9998,9998,9,70,65,1,6,2,2,1,6,,,,,
MAKO MANIA,20 FATHOM,2004-001102,001102,6425,16228,06,06,2004,1725,10,1105,02,005,1599,0051599,2,1,1,2,1,2,6,1,1,DE,10,1720,3551,9996,1,T500,6,6,4,8,0,0,1,0,0,1,0,6,3,3812,7437,37,137,64,1,6,1,1,1,6,,,,,
MAKO MANIA,30 FATHOM,2004-001103,001103,6425,16228,06,06,2004,1750,10,1105,03,005,1599,0051599,2,1,2,1,1,3,6,1,1,DE,10,1745,3551,9996,1,T500,6,6,3,8,0,0,1,0,0,1,0,6,4,9999,9999,48,180,64,1,6,1,1,1,6,,,,,
MAKO MANIA,FINGERS,2004-001104,001104,6425,16228,06,06,2004,1755,10,1105,04,005,1599,0051599,2,1,2,2,1,3,6,1,1,DE,10,1700,3551,9996,1,T500,6,6,4,8,0,0,1,0,0,1,0,6,4,3812,7437,35,120,65,1,6,1,2,1,6,,,,,
6,SE CIGAR,2004-001201,001201,6399,16228,06,06,2004,1643,51,1208,01,810,0091,8100091,1,1,1,2,1,2,6,6,6,VA,51,1624,4711,9996,2,6,6,6,6,6,0,1,1,1,0,0,0,6,4,9999,9999,65,600,68,2,6,1,1,1,6,,,,,
6,NORFOLK CANYON,2004-001202,001202,6399,16228,06,06,2004,1655,51,1208,02,810,0091,8100091,1,1,1,2,1,2,6,6,6,VA,51,1649,4711,9996,2,6,6,6,6,8,0,1,1,1,0,0,0,6,6,9999,9999,70,160,68,2,6,1,2,1,6,,,,,
6,NORFOLK CANYON,2004-001203,001203,6399,16228,06,06,2004,1733,51,1208,03,810,0091,8100091,1,1,1,2,1,2,6,8,8,VA,51,1710,4711,9996,2,6,6,6,9,8,0,0,1,1,0,0,0,6,4,9999,9999,71,354,68,2,6,1,1,1,6,,,,,
6,SE CIGAR,2004-001204,001204,6399,16228,06,06,2004,1808,51,1208,04,810,0091,8100091,1,1,1,2,1,2,6,6,6,VA,51,1750,4711,9996,2,6,6,6,7,8,0,0,1,1,0,0,0,6,7,9999,9999,62,600,69,1,6,1,1,1,6,,,,,
6,CIGAR,2004-001205,001205,6399,16228,06,06,2004,1815,51,1208,05,810,0091,8100091,1,1,2,1,1,3,6,1,6,VA,51,1754,4711,9996,2,6,6,6,8,7,0,0,1,1,0,0,0,6,4,9999,9999,55,600,69,1,6,1,1,1,6,,,,,
6,NORFOLK CANYON,2004-001301,001301,6427,16228,06,06,2004,1800,51,1205,01,001,0024,0010024,7,1,2,1,1,3,6,6,6,VA,51,1735,4670,9996,2,6,6,6,7,6,0,1,1,1,0,0,0,6,6,3705,7435,50,360,68,1,6,1,1,1,6,,,,,
6,BOBS CANYON,2004-001302,001302,6427,16228,06,06,2004,1745,51,1205,02,001,0024,0010024,7,1,1,2,1,2,6,6,6,VA,51,1700,4711,9996,2,6,6,6,8,6,0,1,1,1,0,0,0,6,2,3725,7430,55,600,66,1,6,1,2,1,6,,,,,
6,NORFOLK CANYON,2004-001303,001303,6427,16228,06,06,2004,1840,51,1205,03,001,1199,0011199,7,1,2,2,1,3,6,6,6,VA,51,1830,4711,9996,2,6,6,6,8,6,0,1,1,1,0,0,0,6,4,3705,7435,55,600,66,1,6,1,2,1,6,,,,,
6,BOBS CANYON,2004-001304,001304,6427,16228,06,06,2004,1940,51,1205,04,001,0024,0010024,7,1,1,2,1,2,6,6,6,VA,51,1925,4711,9996,2,6,6,6,9,8,0,1,1,1,0,0,0,6,5,3725,7430,55,720,66,1,6,1,2,1,6,,,,,
6,WASHINGTON CANYON,2004-001305,001305,6427,16228,06,06,2004,1855,51,1205,05,001,0024,0010024,7,1,1,2,1,2,6,6,6,MD,24,1845,4711,9996,2,6,6,6,7,6,0,1,1,1,0,0,0,6,4,3725,7430,56,1000,64,1,6,1,1,1,6,,,,,
MAKO MANIA,HOT DOG,2004-001401,001401,6447,16228,06,06,2004,1645,24,1202,01,047,0004,0470004,1,1,1,2,1,2,6,2,1,MD,24,1630,3551,9996,1,T500,6,6,4,8,0,0,1,0,0,1,0,6,4,3645,7520,40,120,66,1,6,1,2,1,6,,,,,
MAKO MANIA,9,2004-001402,001402,6447,16228,06,06,2004,1730,24,1202,02,047,0004,0470004,1,1,2,2,1,3,6,1,1,MD,24,1715,3551,9996,1,T500,6,6,4,7,0,0,1,0,0,1,0,6,4,9999,9999,25,132,65,1,6,1,2,1,6,,,,,
MAKO MANIA,9,2004-001403,001403,6447,16228,06,06,2004,1745,24,1202,03,047,0004,0470004,1,1,1,2,1,2,6,1,2,MD,24,1730,3551,9996,1,T500,6,6,5,7,0,0,1,0,0,1,0,6,4,9999,9999,34,150,66,1,6,1,1,1,6,,,,,
MAKO MANIA,9,2004-001404,001404,6447,16228,06,06,2004,1755,24,1202,04,047,0004,0470004,1,1,2,1,1,3,6,1,1,MD,24,1730,3551,9996,1,T500,6,6,3,7,0,0,1,0,0,1,0,6,6,9999,9999,33,120,63,1,6,1,2,1,6,,,,,
MAKO MANIA,HAM BONE,2004-001405,001405,6447,16228,06,06,2004,1805,24,1202,05,047,0004,0470004,1,1,1,2,1,2,6,1,2,PA,42,1730,3551,9996,1,T500,6,6,5,7,0,0,1,0,0,1,0,6,5,3811,7424,30,127,63,1,6,1,2,1,6,,,,,
6,WASHINGTON CANYON,2004-001406,001406,6447,16228,06,06,2004,1810,24,1202,06,047,0004,0470004,1,1,1,2,1,2,6,2,1,MD,24,1730,4711,9996,2,6,6,6,9,6,0,1,0,1,0,0,0,6,3,3729,7430,68,600,66,1,6,1,2,1,6,,,,,
MAKO MANIA,9,2004-001407,001407,6447,16228,06,06,2004,1815,24,1202,07,047,0004,0470004,1,1,1,2,1,2,6,2,1,MD,24,1800,3551,9996,1,T500,6,6,4,8,0,0,1,0,0,1,0,6,4,9999,9999,38,120,65,1,6,1,2,1,6,,,,,
MAKO MANIA,HOT DOG,2004-001408,001408,6447,16228,06,06,2004,1825,24,1202,08,047,0004,0470004,1,1,2,1,1,3,6,8,8,MD,24,1800,3551,9996,1,T500,6,6,4,7,0,0,1,0,0,1,0,6,4,3806,7417,40,140,65,1,6,1,2,1,6,,,,,
6,9,2004-001501,001501,6437,16229,06,07,2004,1800,34,2101,01,009,0900,0090900,3,1,2,2,1,3,6,6,6,NJ,34,1800,3551,9996,2,6,6,6,4,7,0,0,1,0,0,1,0,6,4,9999,9999,30,120,67,1,6,1,2,1,6,,,,,
6,FINGERS,2004-001601,001601,6407,16229,06,07,2004,1700,24,2210,01,047,0853,0470853,3,1,2,1,1,3,6,6,6,MD,24,1545,3551,9996,2,6,6,6,6,7,0,0,1,0,0,1,0,6,6,3812,7437,23,115,63,1,6,1,1,1,6,,,,,
6,NORTH PACIFIC,2004-001901,001901,6437,16230,06,08,2004,1620,34,2204,01,009,1044,0091044,3,1,1,2,1,2,6,6,6,NJ,34,1530,3581,9996,2,6,6,6,4,7,0,0,1,0,0,1,0,6,4,3837,7422,30,130,65,1,6,1,2,1,6,,,,,
6,MISTY BLUE,2004-001902,001902,6437,16230,06,08,2004,1730,34,2204,02,009,0051,0090051,3,1,1,2,1,2,6,6,6,NJ,34,1700,3581,9996,2,6,6,6,4,7,1,0,1,0,0,1,0,6,3,9998,9998,25,130,65,1,6,1,2,1,6,,,,,
6,DUMP SITE,2004-001903,001903,6437,16230,06,08,2004,1930,34,2204,03,009,1044,0091044,3,1,1,2,1,2,6,6,6,NJ,34,1815,3581,9996,2,6,6,6,3,8,0,0,1,0,0,1,0,6,3,3820,7410,40,145,69,2,6,1,1,1,6,,,,,
6,MISTY BLUE,2004-001904,001904,6437,16230,06,08,2004,1945,34,2204,04,009,1044,0091044,3,1,1,2,1,2,6,6,6,NJ,34,1850,3581,9996,2,6,6,6,5,9,0,0,1,0,0,1,0,6,4,9998,9998,28,120,62,1,6,1,2,1,6,,,,,
6,FINGERS,2004-002001,002001,6407,16230,06,08,2004,1800,24,2203,01,047,0004,0470004,1,1,1,2,1,3,6,6,6,MD,24,1750,3551,9996,2,6,6,6,3,6,0,0,1,0,0,1,0,6,4,3812,7437,23,120,66,1,6,1,1,1,6,,,,,
6,WASHINGTON CANYON,2004-002101,002101,6168,16230,06,08,2004,1700,51,2103,01,001,0024,0010024,7,1,1,2,1,7,6,6,6,VA,51,1648,4711,9996,2,6,6,6,8,6,0,1,1,1,0,0,0,6,4,3725,7425,60,900,68,2,6,1,2,1,6,,,,,
6,TRIPLE ZEROS,2004-002201,002201,6182,16230,06,08,2004,1625,51,2106,01,810,0002,8100002,1,1,1,2,2,6,6,2,1,VA,51,1625,1050,9996,2,6,6,6,7,6,0,1,1,1,0,0,0,6,4,3615,7450,60,2500,68,1,6,1,1,1,6,,,,,
6,TRIPLE ZEROS,2004-002202,002202,6182,16230,06,08,2004,1640,51,2106,02,810,0091,8100091,1,1,2,2,1,3,6,1,2,VA,51,1640,4711,9996,2,6,6,6,8,6,0,0,1,1,0,0,0,6,3,3615,7450,62,600,71,2,6,1,1,1,6,,,,,
6,TRIPLE ZEROS,2004-002203,002203,6182,16230,06,08,2004,1700,51,2106,03,810,0091,8100091,1,1,2,1,1,3,6,1,2,VA,51,1700,4711,9996,2,6,6,6,9,8,0,0,1,1,0,0,0,6,6,3615,7450,60,600,73,1,6,1,1,1,6,,,,,
6,CIGAR,2004-002204,002204,6182,16230,06,08,2004,1800,51,2106,04,810,0091,8100091,1,1,1,2,1,2,6,1,2,VA,51,1745,1050,9996,2,6,6,6,7,6,0,1,1,1,0,0,0,6,3,3630,7450,60,600,72,1,6,1,1,1,6,,,,,
6,FINGERS,2004-002701,002701,6407,16233,06,11,2004,1700,24,2205,01,047,0853,0470853,3,1,2,1,1,3,6,6,6,MD,24,1650,8888,9996,2,6,6,6,4,7,0,0,1,0,0,1,0,6,5,3812,7437,23,125,68,1,6,1,2,1,6,,,,,
6,MASSEYS CANYON,2004-002801,002801,2845,16234,06,12,2004,1705,24,1108,01,047,0856,0470856,4,3,1,2,1,2,6,6,6,MD,24,1640,3551,9996,2,6,6,6,5,4,1,1,1,1,1,0,0,6,2,3825,7420,39,150,66,2,6,1,2,1,6,,,,,
6,JACKSPOT,2004-002802,002802,2845,16234,06,12,2004,1755,24,1108,02,047,0856,0470856,4,3,1,2,1,2,6,6,6,DE,10,1750,3551,9996,2,6,6,6,6,8,0,1,1,1,0,0,0,6,6,3805,7445,25,60,66,2,6,1,2,1,6,,,,,
6,20 FINGERS,2004-002803,002803,2845,16234,06,12,2004,1800,24,1108,03,047,0856,0470856,4,3,1,2,1,2,6,6,6,MD,24,1755,3551,9996,2,6,6,6,7,6,0,1,1,1,1,0,0,6,2,3812,7437,40,150,68,2,6,1,2,1,6,,,,,
6,JACKSPOT,2004-002804,002804,2845,16234,06,12,2004,1820,24,1108,04,047,0856,0470856,4,3,1,2,1,2,6,6,6,MD,24,1810,3551,9996,2,6,6,6,6,10,0,1,1,1,1,0,0,6,3,3805,7445,40,140,62,1,6,1,2,1,6,,,,,
6,NORFOLK CANYON,2004-003101,003101,6182,16235,06,13,2004,1625,51,1110,01,810,0091,8100091,1,1,2,2,1,3,6,1,2,VA,51,1600,4711,9996,2,6,6,6,12,10,0,0,1,1,0,0,0,6,4,3705,7435,62,600,73,2,6,1,1,1,6,,,,,
6,BOULDERS,2004-003102,003102,6182,16235,06,13,2004,1710,51,1110,02,810,0091,8100091,1,1,1,2,1,2,6,2,1,VA,51,1710,4711,9996,2,6,6,6,7,7,0,1,1,1,0,0,0,6,4,9998,9998,70,440,71,1,6,1,1,1,6,,,,,
6,NORFOLK CANYON,2004-003103,003103,6182,16235,06,13,2004,1745,51,1110,03,810,0091,8100091,1,1,1,2,1,2,6,1,2,VA,51,1745,4711,9996,2,6,6,6,11,6,0,0,1,1,0,0,0,6,5,3705,7435,80,1000,72,1,6,1,1,1,6,,,,,
7,NORFOLK CANYON,2004-003104,003104,6182,16235,06,13,2004,1800,51,1110,04,810,0091,8100091,1,1,2,2,1,3,6,1,2,VA,51,1800,4711,9996,1,,6,6,9,7,0,0,1,1,0,0,0,6,4,3705,7435,65,300,73,1,6,1,1,1,6,,,,,
6,HAM BONE,2004-003301,003301,6407,16235,06,13,2004,1600,24,1106,01,047,0938,0470938,7,1,2,2,1,3,6,6,6,MD,24,1600,3551,9996,2,6,6,6,4,6,0,0,1,0,0,1,0,6,3,3811,7424,30,120,65,1,6,1,2,1,6,,,,,
6,MARINE ELECTRIC,2004-003302,003302,6407,16235,06,13,2004,1505,24,1106,02,047,0938,0470938,7,1,1,2,1,1,6,6,6,DE,10,1505,3551,9996,2,6,6,6,4,8,0,0,1,0,0,1,0,6,3,3753,7450,18,110,66,1,6,1,1,1,6,,,,,
6,WASHINGTON CANYON,2004-003303,003303,6407,16235,06,13,2004,1734,24,1106,03,047,0938,0470938,7,1,1,2,1,2,6,6,6,MD,24,1734,4711,9996,2,6,6,6,10,8,0,0,1,1,0,0,0,6,5,3823,7332,60,600,70,2,6,1,2,1,6,,,,,
