intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6447,2,1,2011,06,11,029510,0051599,0,0,10,10,1203,2,dejn1203.tif,00036965.tif,DOLPHIN,1050,0295,1,1,0,0,0,0,0,ORIGINAL,28,0,,2011-029510
6447,2,1,2011,06,11,029512,0051599,0,0,10,12,1203,2,dejn1203.tif,00036968.tif,YFT,4711,0295,1,1,0,0,0,0,0,ORIGINAL,29,0,,2011-029512
6478,2,1,2011,06,04,002101,0051599,0,0,10,01,1202,1,dejn1202.tif,00035081.tif,YFT,4711,0021,1,6,6,0,0,0,0,ORIGINAL,30,0,,2011-002101
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,ATLANTIC BONITO,330,0021,3,0,0,25,0,0,0,ORIGINAL,31,0,,2011-002102
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,LITTLE TUNNY,4681,0021,2,0,0,5,0,0,0,ORIGINAL,32,0,,2011-002102
6478,2,1,2011,06,04,002102,0051599,0,0,10,02,1202,1,dejn1202.tif,00035083.tif,YFT,4711,0021,1,8,8,30,0,0,0,ORIGINAL,33,0,,2011-002102
6478,2,1,2011,06,04,002103,0051599,0,0,10,03,1202,2,dejn1202.tif,00035085.tif,SHORTFIN MAKO SHARK,3551,0021,1,0,0,1,0,0,0,ORIGINAL,34,0,,2011-002103
6478,2,1,2011,06,04,002103,0051599,0,0,10,03,1202,2,dejn1202.tif,00035085.tif,DUSKY SHARK,4841,0021,2,0,0,1,0,0,0,ORIGINAL,35,0,,2011-002103
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,DOLPHIN,1050,0021,2,3,3,0,0,0,0,ORIGINAL,36,0,,2011-002104
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,SKIPJACK TUNA,4661,0021,3,3,0,5,0,0,0,ORIGINAL,37,0,,2011-002104
6478,2,1,2011,06,04,002104,0051599,0,0,10,04,1202,1,dejn1202.tif,00035087.tif,YFT,4711,0021,1,6,6,0,0,0,0,ORIGINAL,38,0,,2011-002104
6478,2,1,2011,06,04,002105,0051599,0,0,10,05,1202,2,dejn1202.tif,00035089.tif,BLUEFISH,230,0021,3,2,1,3,0,0,0,ORIGINAL,39,0,,2011-002105
6478,2,1,2011,06,04,002105,0051599,0,0,10,05,1202,2,dejn1202.tif,00035089.tif,SHORTFIN MAKO SHARK,3551,0021,2,0,0,1,0,0,0,ORIGINAL,40,0,,2011-002105
6478,2,1,2011,06,04,002105,0051599,0,0,10,05,1202,2,dejn1202.tif,00035089.tif,BLUE SHARK,4931,0021,1,0,0,2,0,0,0,ORIGINAL,41,0,,2011-002105
6478,2,1,2011,06,04,002106,0051599,0,0,10,06,1202,2,dejn1202.tif,00035091.tif,DUSKY SHARK,4841,0021,1,0,0,1,0,0,0,ORIGINAL,42,0,,2011-002106
6478,2,1,2011,06,04,002107,0051599,0,0,10,07,1202,2,dejn1202.tif,00035093.tif,BLUEFISH,230,0021,3,1,1,0,0,0,0,ORIGINAL,43,0,,2011-002107
6478,2,1,2011,06,04,002107,0051599,0,0,10,07,1202,2,dejn1202.tif,00035093.tif,DUSKY SHARK,4841,0021,2,0,0,2,0,0,0,ORIGINAL,44,0,,2011-002107
6478,2,1,2011,06,04,002107,0051599,0,0,10,07,1202,2,dejn1202.tif,00035093.tif,HAMMERHEAD SHARK,4950,0021,1,0,0,1,0,0,0,ORIGINAL,45,0,,2011-002107
6478,2,1,2011,06,04,002108,0051599,0,0,10,08,1202,2,dejn1202.tif,00035095.tif,SKIPJACK TUNA,4661,0021,2,2,0,0,0,0,0,ORIGINAL,46,0,,2011-002108
6478,2,1,2011,06,04,002108,0051599,0,0,10,08,1202,2,dejn1202.tif,00035095.tif,YFT,4711,0021,1,6,0,0,0,0,0,ORIGINAL,47,0,,2011-002108
6478,2,1,2011,06,04,002109,0051599,0,0,10,09,1202,2,dejn1202.tif,00035097.tif,BLUEFISH,230,0021,2,3,0,1,0,0,0,ORIGINAL,48,0,,2011-002109
6478,2,1,2011,06,04,002109,0051599,0,0,10,09,1202,2,dejn1202.tif,00035097.tif,BFT SCHOOL,4677,0021,1,1,0,0,0,0,0,ORIGINAL,49,0,,2011-002109
6478,2,1,2011,06,04,002110,0051599,0,0,10,10,1202,2,dejn1202.tif,00035099.tif,YFT,4711,0021,1,4,0,1,0,0,0,ORIGINAL,50,0,,2011-002110
6478,2,1,2011,06,21,021901,0051599,1,0,10,01,2202,2,dejn2202.tif,00036256.tif,TILEFISH,4470,0219,2,2,0,0,0,0,0,ORIGINAL,51,0,,2011-021901
6478,2,1,2011,06,21,021901,0051599,1,0,10,01,2202,2,dejn2202.tif,00036256.tif,YFT,4711,0219,1,5,0,25,0,0,0,ORIGINAL,52,0,,2011-021901
6783,2,1,2011,06,05,002401,0051599,0,1,10,01,1101,1,dejn1101.tif,00035110.tif,DOLPHIN,1050,0024,3,2,2,0,0,0,0,ORIGINAL,53,0,,2011-002401
6783,2,1,2011,06,05,002401,0051599,0,1,10,01,1101,1,dejn1101.tif,00035110.tif,YFT,4711,0024,2,7,7,2,0,0,0,ORIGINAL,54,0,,2011-002401
6783,2,1,2011,06,05,002401,0051599,0,1,10,01,1101,1,dejn1101.tif,00035110.tif,HAMMERHEAD SHARK,4950,0024,1,0,0,1,0,0,0,ORIGINAL,55,0,,2011-002401
6783,2,1,2011,06,05,002402,0051599,0,0,10,02,1101,1,dejn1101.tif,00035112.tif,BFT SCHOOL,4677,0024,1,1,1,0,0,0,0,ORIGINAL,56,0,,2011-002402
6783,2,1,2011,06,05,002403,0051599,0,0,10,03,1101,1,dejn1101.tif,00035114.tif,BLUEFISH,230,0024,3,12,12,0,0,0,0,ORIGINAL,57,0,,2011-002403
6783,2,1,2011,06,05,002403,0051599,0,0,10,03,1101,1,dejn1101.tif,00035114.tif,SHORTFIN MAKO SHARK,3551,0024,1,1,1,0,0,0,0,ORIGINAL,58,0,,2011-002403
6783,2,1,2011,06,05,002403,0051599,0,0,10,03,1101,1,dejn1101.tif,00035114.tif,LITTLE TUNNY,4681,0024,2,0,0,3,0,0,0,ORIGINAL,59,0,,2011-002403
