tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
032101,6,09,CT,6,01,6,6,S MONTAUK,7749,09,1500,1101,3879,3,1,1,2,2,1,1430,3551,3531,2,1,3,5,0,1,0,0,1,1,0,0,3,9998,9998,30,250,67,1,2,1,CTJL1101.pdf,00121874.tif,2018,0,1,0,ORIGINAL,07,01,21366,0321,0113879,011,3,312,0,,Y,2,,2018-032101
032102,,09,CT,JB NIANTIC SHARK,02,6,6,BLOCK ISLAND,7749,09,1625,1101,3879,3,1,1,2,2,1,800,3551,3531,1,1,4,16,1,1,0,0,0,1,0,0,5,9998,9998,10,156,66,1,1,1,CTJL1101.pdf,00121876.tif,2018,0,1,0,ORIGINAL,07,01,21366,0321,0113879,011,3,1,1,Q15;tcode;,Y,2,,2018-032102
032601,6,10,DE,6,01,6,6,MASSEYS CANYON,6447,10,1621,1104,1599,2,1,1,2,2,1,1615,4656,9996,2,2,8,10,0,1,1,1,0,0,0,0,3,3825,7420,40,140,80,1,2,1,DEJL1104.pdf,00121888.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,349,0,,Y,2,,2018-032601
032602,6,10,DE,6,02,6,6,MASSEYS CANYON,6447,10,1708,1104,1599,2,1,1,2,2,1,1700,4677,4678,2,2,8,8,0,1,1,1,0,0,0,0,4,3825,7420,36,170,76,1,2,1,DEJL1104.pdf,00121890.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,350,0,,Y,2,,2018-032602
032603,6,10,DE,6,03,6,6,MASSEYS CANYON,6447,10,1735,1104,1599,2,1,1,2,2,1,1730,4656,9996,2,1,7,10,0,1,1,1,0,0,0,0,3,3825,7420,74,350,73,1,2,1,DEJL1104.pdf,00121892.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,346,0,,Y,2,,2018-032603
032604,6,10,DE,6,04,6,6,BALTIMORE CANYON,6447,10,1746,1104,1599,2,1,2,1,3,1,1730,4656,9996,2,2,8,6,0,1,1,1,0,0,0,0,4,3814,7350,70,600,72,1,2,1,DEJL1104.pdf,00121894.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,347,0,,Y,2,,2018-032604
032605,6,10,DE,6,05,6,6,WASHINGTON CANYON,6447,10,1808,1104,1599,2,1,1,2,2,1,1800,4711,9996,2,2,9,8,0,1,1,1,0,0,0,0,6,3727,7427,76,4800,78,2,2,1,DEJL1104.pdf,00121896.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,352,0,,Y,2,,2018-032605
032606,6300,10,DE,CANYON KICKOFF,06,6,6,WASHINGTON CANYON,6447,10,1814,1104,1599,2,1,1,2,2,1,1800,4656,2161,1,12,6,8,0,1,1,1,0,0,0,0,6,3727,7427,74,600,76,1,2,1,DEJL1104.pdf,00121898.tif,2018,0,1,0,ORIGINAL,07,01,21366,0326,0051599,005,6,1142,0,,Y,2,,2018-032606
032607,6,10,DE,6,07,6,6,WASHINGTON CANYON,6447,10,1828,1104,1599,2,1,2,1,3,1,1800,4656,9996,2,2,12,8,0,1,1,1,0,0,0,0,4,3727,7427,75,1800,79,1,2,1,DEJL1104.pdf,00121900.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,351,0,,Y,2,,2018-032607
032608,6,10,DE,6,08,6,6,WASHINGTON CANYON,6447,10,1840,1104,1599,2,1,1,2,2,1,1815,2161,9996,2,1,6,9,0,1,0,1,0,0,0,0,5,3727,7427,77,300,80,2,2,1,DEJL1104.pdf,00121902.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,348,0,,Y,2,,2018-032608
032609,6,10,DE,6,09,6,6,WASHINGTON CANYON,6447,10,1851,1104,1599,2,1,1,2,2,1,1830,2161,9996,2,1,6,7,0,1,0,1,0,0,0,0,4,3727,7427,80,450,78,2,2,1,DEJL1104.pdf,00121904.tif,2018,0,0,0,ORIGINAL,07,01,21366,0326,0051599,005,6,345,0,,Y,2,,2018-032609
032701,3870,10,DE,TUNA BLAST,01,6,6,WILMINGTON CANYON,6783,10,1603,1105,1599,2,1,1,2,2,1,1548,4691,4711,1,2,8,6,0,1,1,1,0,0,0,0,6,3824,7327,80,1800,77,1,2,1,DEJL1105.pdf,00121908.tif,2018,0,0,0,ORIGINAL,07,04,21369,0327,0051599,005,6,216,0,,Y,1,,2018-032701
032702,6,10,DE,6,02,6,6,BALTIMORE CANYON,6783,10,1628,1105,1599,2,1,2,1,3,1,1623,4656,9996,2,2,8,6,0,1,1,1,0,0,0,0,6,3814,7350,65,600,78,2,2,1,DEJL1105.pdf,00121910.tif,2018,0,0,0,ORIGINAL,07,04,21369,0327,0051599,005,6,353,0,,Y,2,,2018-032702
032703,3870,10,DE,TUNA BLAST,03,6,6,900 LINE,6783,10,1700,1105,1599,2,1,2,2,3,1,1655,4656,9996,1,2,6,9,0,1,1,1,0,0,0,0,6,9998,9998,60,900,82,1,2,1,DEJL1105.pdf,00121912.tif,2018,0,1,0,ORIGINAL,07,04,21369,0327,0051599,005,6,218,0,,Y,2,,2018-032703
032704,3870,10,DE,TUNA BLAST,04,6,6,BALTIMORE CANYON,6783,10,1720,1105,1599,2,1,1,2,2,1,1700,4656,9996,1,2,8,9,0,1,1,1,0,0,0,0,4,3814,7350,68,1200,77,1,2,1,DEJL1105.pdf,00121914.tif,2018,0,0,0,ORIGINAL,07,04,21369,0327,0051599,005,6,217,0,,Y,1,,2018-032704
032705,3870,10,DE,TUNA BLAST,05,6,6,HOT DOG,6783,10,1728,1105,1599,2,1,1,2,2,1,1715,4711,9996,1,12,7,9,0,1,1,1,0,0,0,0,3,3806,7417,35,200,78,1,2,1,DEJL1105.pdf,00121916.tif,2018,0,1,0,ORIGINAL,07,04,21369,0327,0051599,005,6,219,0,,Y,2,,2018-032705
032706,6,24,MD,6,06,6,6,WILMINGTON CANYON,6783,10,1729,1105,1599,2,1,1,2,2,1,1725,4711,9996,2,2,13,10,0,1,1,1,0,0,0,0,5,3824,7327,75,2000,82,1,2,1,DEJL1105.pdf,00121918.tif,2018,0,1,0,ORIGINAL,07,04,21369,0327,0051599,005,6,354,1,Q19;,Y,1,,2018-032706
032707,3870,10,DE,TUNA BLAST,07,6,6,BALTIMORE CANYON,6783,10,1739,1105,1599,2,1,1,2,2,1,1730,4711,4672,1,2,6,8,0,1,1,1,0,0,0,0,8,3814,7350,60,600,77,1,2,1,DEJL1105.pdf,00121920.tif,2018,0,0,0,ORIGINAL,07,04,21369,0327,0051599,005,6,215,0,,Y,1,,2018-032707
032708,6,10,DE,6,08,6,6,POOR MANS CANYON,6783,10,1820,1105,0017,2,1,1,2,2,1,1745,4711,4672,2,2,12,10,0,1,1,1,0,0,0,0,2,3752,7406,55,1000,98,1,2,1,DEJL1105.pdf,00121922.tif,2018,0,0,0,ORIGINAL,07,04,21369,0327,0050017,005,6,355,0,,Y,2,,2018-032708
032801,6,10,DE,6,01,6,6,9,6447,10,1656,2201,1599,2,1,1,2,3,1,1645,4711,9996,2,2,9,8,0,1,0,1,0,0,0,0,7,9999,9999,80,1000,72,1,2,1,DEJL2201.pdf,00121926.tif,2018,0,0,0,ORIGINAL,07,03,21368,0328,0051599,005,6,373,0,,Y,2,,2018-032801
032802,6,10,DE,6,02,6,6,WASHINGTON CANYON,6447,10,1735,2201,1599,2,1,1,2,2,1,1730,4656,1050,2,2,7,8,0,0,1,1,0,0,0,0,4,3727,7427,72,1500,78,1,2,1,DEJL2201.pdf,00121928.tif,2018,0,0,0,ORIGINAL,07,03,21368,0328,0051599,005,6,375,0,,Y,2,,2018-032802
032803,6,10,DE,6,03,6,6,WASHINGTON CANYON,6447,10,1743,2201,1599,2,1,2,1,3,1,1730,4656,9996,2,2,9,7,0,1,1,1,0,0,0,0,6,3727,7427,80,3000,78,1,2,1,DEJL2201.pdf,00121930.tif,2018,0,0,0,ORIGINAL,07,03,21368,0328,0051599,005,6,377,0,,Y,2,,2018-032803
032804,6,10,DE,6,04,6,6,BALTIMORE CANYON,6447,10,1750,2201,1599,2,1,1,2,2,1,1730,4656,9996,2,2,6,5,0,1,1,1,0,0,0,0,2,3814,7350,70,1500,77,1,2,1,DEJL2201.pdf,00121932.tif,2018,0,0,0,ORIGINAL,07,03,21368,0328,0051599,005,6,374,0,,Y,2,,2018-032804
032805,6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1830,2201,1599,2,1,1,2,2,6,1820,7777,4656,2,2,7,10,0,1,1,1,0,0,0,0,3,3814,7350,65,800,76,1,2,1,DEJL2201.pdf,00121934.tif,2018,0,0,0,ORIGINAL,07,03,21368,0328,0051599,005,6,376,0,,Y,2,,2018-032805
