tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,speceis,q11a,id
42,25,03,1110,31,0,,6591,8,1,2014,10,25,0230784,0,0,2,MAOC1110.pdf,00081784.tif,ORIGINAL,BFT SC,4677,4222,1,1,0,0,0,0,0,,2,2014-422203
42,25,05,1110,32,0,,6591,8,1,2014,10,25,0230218,0,0,2,MAOC1110.pdf,00081787.tif,ORIGINAL,BFT LA,4678,4222,1,0,0,2,0,0,0,,1,2014-422205
41,25,01,1114,33,0,,7478,15,1,2014,10,11,0090803,0,0,2,MAOC1114.pdf,00081517.tif,ORIGINAL,BFT GI,4671,4142,1,2,0,0,0,2,0,,3,2014-414201
41,25,02,1114,34,0,,7478,15,1,2014,10,11,0090803,0,0,2,MAOC1114.pdf,00081519.tif,ORIGINAL,BLUE S,4931,4142,1,0,0,2,0,0,0,,3,2014-414202
41,25,01,1119,35,0,,7405,10,1,2014,10,13,0010922,0,0,2,MAOC1119.pdf,00081334.tif,ORIGINAL,BFT LA,4678,4109,1,1,0,0,0,0,0,,3,2014-410901
41,25,04,1119,36,0,,7405,10,1,2014,10,13,0010922,0,0,2,MAOC1119.pdf,00081338.tif,ORIGINAL,BFT SM,4676,4109,1,1,0,0,0,0,0,,3,2014-410904
41,25,10,1119,37,0,,7405,10,1,2014,10,13,0010922,0,0,2,MAOC1119.pdf,00081345.tif,ORIGINAL,BFT SC,4677,4109,1,0,0,1,0,0,0,,1,2014-410910
41,25,14,1119,38,0,,7405,10,1,2014,10,13,0010922,1,0,2,MAOC1119.pdf,00081350.tif,ORIGINAL,BFT SM,4676,4109,1,0,0,1,0,0,0,,3,2014-410914
41,25,01,1120,39,0,,6698,18,3,2014,10,13,0010279,1,0,2,MAOC1120.pdf,00081442.tif,ORIGINAL,ATLANT,330,4128,1,12,0,0,0,0,0,,2,2014-412801
42,25,03,1121,40,0,,7478,15,1,2014,10,18,0090803,0,1,2,MAOC1121.pdf,00081794.tif,REVISED,BFT SM,4676,4223,1,0,0,3,0,0,0,,1,2014-422303
42,25,03,1121,41,0,,7478,15,1,2014,10,18,0090803,0,1,2,MAOC1121.pdf,00081794.tif,REVISED,BFT LA,4679,4223,2,1,0,0,0,1,0,,1,2014-422303
41,25,01,1205,42,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081357.tif,ORIGINAL,HERRIN,1670,4110,1,3,0,0,0,0,0,1670,3,2014-411001
41,25,01,1205,43,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081357.tif,ORIGINAL,ATLANT,2120,4110,2,3,0,0,0,0,0,,3,2014-411001
41,25,02,1205,44,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081359.tif,ORIGINAL,HERRIN,1670,4110,2,20,0,0,0,0,0,1670,3,2014-411002
41,25,02,1205,45,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081359.tif,ORIGINAL,ATLANT,2120,4110,1,10,0,10,0,0,0,,3,2014-411002
41,25,03,1205,46,1,KEPT;,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081361.tif,ORIGINAL,HERRIN,1670,4110,1,50,0,0,0,0,0,1670,1,2014-411003
41,25,03,1205,47,1,ALIVE;,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081361.tif,ORIGINAL,WHITIN,5090,4110,2,0,0,12,0,0,0,,1,2014-411003
41,25,04,1205,48,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081363.tif,ORIGINAL,HERRIN,1670,4110,3,20,0,0,0,0,0,1670,3,2014-411004
41,25,04,1205,49,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081363.tif,ORIGINAL,ATLANT,2120,4110,2,20,0,0,0,0,0,,3,2014-411004
41,25,04,1205,50,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081363.tif,ORIGINAL,BFT GI,4671,4110,1,1,0,0,0,1,0,,3,2014-411004
41,25,05,1205,51,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081365.tif,ORIGINAL,HERRIN,1670,4110,1,1,0,0,0,0,0,1670,3,2014-411005
41,25,05,1205,52,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081365.tif,ORIGINAL,ATLANT,2120,4110,3,1,0,0,0,0,0,,3,2014-411005
41,25,05,1205,53,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081365.tif,ORIGINAL,WHITIN,5090,4110,2,7,0,0,0,0,0,,3,2014-411005
41,25,06,1205,54,1,KEPT;ALIVE;,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081367.tif,ORIGINAL,HERRIN,1670,4110,1,25,0,25,0,0,0,1670,1,2014-411006
41,25,06,1205,55,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081367.tif,ORIGINAL,ATLANT,2120,4110,2,10,10,10,0,0,0,,1,2014-411006
41,25,08,1205,56,0,,6583,15,1,2014,10,13,0090024,0,0,2,MAOC1205.pdf,00081370.tif,ORIGINAL,ATLANT,2120,4110,1,10,0,10,0,0,0,,1,2014-411008
41,25,08,1205,57,0,,6583,15,1,2014,10,13,0090024,0,0,2,MAOC1205.pdf,00081370.tif,ORIGINAL,POLLOC,2695,4110,3,0,0,1,0,0,0,,1,2014-411008
41,25,08,1205,58,1,ALIVE;,6583,15,1,2014,10,13,0090024,0,0,2,MAOC1205.pdf,00081370.tif,ORIGINAL,WHITIN,5090,4110,2,0,0,10,0,0,0,,1,2014-411008
41,25,09,1205,59,1,ALIVE;,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081372.tif,ORIGINAL,HERRIN,1670,4110,2,5,0,10,0,0,0,1670,1,2014-411009
41,25,09,1205,60,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081372.tif,ORIGINAL,ATLANT,2120,4110,1,5,0,10,0,0,0,,1,2014-411009
41,25,10,1205,61,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081374.tif,ORIGINAL,HERRIN,1670,4110,1,6,0,0,0,0,0,1670,3,2014-411010
41,25,10,1205,62,0,,6583,15,1,2014,10,13,0090024,1,0,2,MAOC1205.pdf,00081374.tif,ORIGINAL,WHITIN,5090,4110,2,2,0,0,0,0,0,,3,2014-411010
40,25,01,2103,63,0,,6591,8,1,2014,10,06,0230784,0,0,2,MAOC2103.pdf,00081159.tif,ORIGINAL,BFT LA,4678,4066,1,1,1,0,0,0,0,,3,2014-406601
