tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
MAKO MANIA,A BUOY,2010-000201,000201,6783,18417,06,04,2010,1606,10,2101,01,005,1599,0051599,2,1,2,2,1,3,1,2,1,DE,10,1558,3531,9996,1,T500,2,6,3,5,0,0,1,0,0,1,0,6,3,9998,9998,10,100,98,1,2,2,2,6,6,03/30/2010,2,DL8184P,JENNYLYNN,DE
MAKO MANIA,JACKSPOT,2010-000202,000202,6783,18417,06,04,2010,1717,10,2101,02,005,1599,0051599,2,1,2,2,1,3,1,1,1,DE,10,1708,3591,9996,1,T500,2,6,3,8,0,0,1,0,0,1,0,6,6,3805,7445,35,120,64,2,2,2,2,6,6,02/13/2010,961597,99999996,CAPTKE,DE
6,12 F LUMP,2010-000401,000401,6783,18416,06,03,2010,1530,10,2204,01,005,1599,0051599,2,1,1,2,1,2,7,2,1,DE,10,1515,3551,9996,2,6,2,6,6,3,0,0,1,0,0,1,0,6,2,3840,7436,25,100,67,1,2,1,2,6,6,06/21/2009,2,DL3763AA,BADHABT,DE
6,JACKSPOT,2010-000402,000402,6783,18416,06,03,2010,1728,10,2204,02,005,1599,0051599,2,1,1,2,1,2,1,1,1,VA,51,1707,3551,9996,2,6,2,6,6,4,0,0,1,0,0,1,0,6,3,3805,7445,35,105,68,1,2,1,1,6,6,12/10/2009,1132004,99999996,RAVEN,VA
6,MASSEYS CANYON,2010-000403,000403,6783,18416,06,03,2010,1735,10,2204,03,005,1599,0051599,2,1,1,2,1,2,1,1,1,DE,10,1709,3551,9996,2,6,2,6,6,2,0,1,1,1,1,0,0,6,6,3825,7427,40,90,66,2,2,1,1,6,6,12/15/2009,1156642,99999996,NOWORRE,DE
6,CAPE COD BAY,2010-000501,000501,6698,18417,06,04,2010,1435,25,2116,01,023,0218,0230218,8,1,2,1,1,3,7,8,2,MA,25,1428,4670,9996,2,6,2,6,2,4,1,1,0,1,0,0,1,BALLOONS,6,4200,7020,998,99998,60,1,2,2,2,6,6,,9999998,2,BGFH,MA
6,CAPE COD BAY,2010-000502,000502,6698,18417,06,04,2010,1505,25,2116,02,023,0218,0230218,8,1,2,1,1,3,1,2,1,RI,44,1500,4670,9996,2,6,23,T,3,9,0,1,0,0,0,0,1,CASTING,4,4157,6957,1,56,56,1,2,1,1,6,6,03/22/2010,2,RI9679BA,MAHHOO,RI
6,CAPE COD BAY,2010-000503,000503,6698,18417,06,04,2010,1520,25,2116,03,023,0218,0230218,8,1,2,1,1,3,2,2,1,MA,25,1500,4676,9996,2,6,2,6,3,8,0,1,0,0,0,0,1,CASTING,3,4150,6957,1,50,56,1,1,1,2,6,6,01/27/2010,2,MS8987AH,BLACKROE,MA
6,SW CORNER,2010-000504,000504,6698,18417,06,04,2010,1537,25,2116,04,023,0784,0230784,8,1,2,1,1,3,7,1,1,MA,25,1530,4671,4676,2,6,2,6,4,10,1,1,0,1,0,0,1,BALLOONS,4,4210,7015,14,95,58,1,2,2,2,6,6,04/21/2010,1192968,99999996,FAMLYJULE,MA
6,SW CORNER,2010-000505,000505,6698,18417,06,04,2010,1630,25,2116,05,023,0218,0230218,8,1,2,1,1,3,6,8,2,MA,25,1620,4676,9996,2,6,2,6,3,2,0,1,0,1,0,0,0,6,3,4210,7015,14,100,62,1,2,2,2,6,6,,9999998,2,RELENTLE,MA
