tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,25,MA,6,04,6,DRIFTING,8,6591,25,1645,2134,9038,9,1,2,1,3,7,1645,4677,4678,2,2,2,6,1,0,1,1,0,0,1,3,9998,9998,7,165,57,2,1,2,majn2134.tif,00035734.tif,2011,0,1,0,06,16,18794,015804,0158,0239038,023,ORIGINAL,2,322,0,,Y,2,2011-015804
6,25,MA,6,05,6,DRIFTING,SE STELLWAGEN,6591,25,1700,2134,9038,9,1,2,1,3,2,1700,4677,4678,2,12,4,10,1,1,0,1,0,0,1,4,9998,9998,7,130,57,2,1,2,majn2134.tif,00035735.tif,2011,0,1,0,06,16,18794,015805,0158,0239038,023,ORIGINAL,2,320,0,,Y,2,2011-015805
6,25,MA,6,01,6,6,EAST CHATHAM,7279,25,1300,2135,0922,10,1,1,2,1,1,1250,4678,9996,2,1,4,7,0,1,0,1,0,0,0,2,9998,9998,10,300,54,2,1,1,majn2135.tif,00035739.tif,2011,0,0,0,06,16,18794,015901,0159,0010922,001,ORIGINAL,2,325,0,,Y,2,2011-015901
6,24,MD,6,01,6,6,JACKSPOT,6936,24,1615,1103,1493,5,1,1,2,2,2,1545,4670,1050,2,1,3,4,0,1,0,1,0,0,0,2,3805,7445,20,70,72,2,1,1,mdjn1103.tif,00035750.tif,2011,0,0,0,06,18,18796,016301,0163,0471493,047,ORIGINAL,7,161,0,,Y,2,2011-016301
T501,12,FL,OCEAN CITY SHARK TOURNAMENT,02,6,6,TWIN WRECKS,6936,24,1650,1103,1493,5,1,2,1,3,6,1625,4670,9996,1,2,7,7,0,1,1,1,0,0,0,5,3813,7443,20,120,72,1,1,1,mdjn1103.tif,00035752.tif,2011,0,1,0,06,18,18796,016302,0163,0471493,047,ORIGINAL,7,794,0,,N,1,2011-016302
6,24,MD,6,03,6,6,BALTIMORE CANYON,6936,24,1700,1103,1493,5,1,1,2,2,7,1615,4656,9996,2,1,8,6,0,1,1,1,0,0,0,2,3814,7350,70,430,71,1,1,1,mdjn1103.tif,00035754.tif,2011,0,1,0,06,18,18796,016303,0163,0471493,047,ORIGINAL,7,159,0,,Y,2,2011-016303
6,24,MD,6,04,6,6,HAMBONE,6936,24,1715,1103,1493,5,1,2,1,3,1,1700,4656,3591,2,1,5,8,0,1,1,1,0,0,0,4,3811,7424,30,100,98,1,1,1,mdjn1103.tif,00035756.tif,2011,0,0,0,06,18,18796,016304,0163,0471493,047,ORIGINAL,7,160,0,,Y,1,2011-016304
6,24,MD,6,05,6,6,BALTIMORE CANYON,6936,24,1800,1103,1493,5,1,2,1,3,1,1700,4711,9996,2,2,10,7,0,1,1,1,0,0,0,6,3814,7350,65,420,72,2,1,1,mdjn1103.tif,00035758.tif,2011,0,0,0,06,18,18796,016305,0163,0471493,047,ORIGINAL,7,158,0,,Y,1,2011-016305
6,24,MD,6,06,6,6,CHICKEN BONE,6936,24,1830,1103,1493,5,1,2,2,3,2,1800,4670,9996,2,2,6,10,0,1,1,1,0,0,0,4,3815,7428,25,80,98,2,1,1,mdjn1103.tif,00035760.tif,2011,0,0,0,06,18,18796,016306,0163,0471493,047,ORIGINAL,7,156,0,,N,2,2011-016306
6,10,DE,6,07,6,6,FINGERS 20 FATHOM,6936,24,1840,1103,1493,5,1,1,2,2,1,1530,4678,9996,2,2,7,8,0,1,1,1,0,0,0,6,3812,7437,30,120,71,2,1,1,mdjn1103.tif,00035762.tif,2011,0,0,0,06,18,18796,016307,0163,0471493,047,ORIGINAL,7,157,0,,Y,2,2011-016307
T501,24,MD,OCEAN CITY SHARK TOURNAMENT,08,6,6,HOT DOG,6936,24,1850,1103,1493,5,1,1,2,2,1,1815,3551,9996,1,1,3,7,0,0,1,0,1,0,0,5,3806,7417,42,180,72,2,1,1,mdjn1103.tif,00035764.tif,2011,1,1,0,06,18,18796,016308,0163,0471493,047,ORIGINAL,7,792,0,,Y,1,2011-016308
T501,24,MD,OCEAN CITY SHARK TOURNAMENT,09,6,6,POOR MANS CANYON,6936,24,1925,1103,1493,5,1,1,2,2,1,1900,3551,4711,1,1,4,7,0,1,1,1,1,0,0,5,3752,7406,60,600,71,1,2,1,mdjn1103.tif,00035766.tif,2011,0,0,0,06,18,18796,016309,0163,0471493,047,ORIGINAL,7,793,0,,Y,2,2011-016309
