tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
03,6,09,CT,6,0,6,6,TUNA RIDGE,6775,09,1850,2106,9003,3,1,1,2,2,1,1830,3551,3531,2,2,3,8,1,1,1,1,1,1,0,6,4055,7117,20,200,67,2,1,1,ctjl2106.tif,00036994.tif,2011,0,0,0,07,01,18809,0303,0119003,011,ORIGINAL,3,125,0,,Y,2,,2011-030301
03,6,10,DE,6,0,6,6,POOR MANS CANYON,6478,10,1623,1203,1599,2,1,2,2,3,1,1610,4711,9996,2,2,11,8,0,1,1,1,0,0,0,6,3752,7406,62,500,75,2,1,1,dejl1203.tif,00037003.tif,2011,0,0,0,07,03,18811,0304,0051599,005,ORIGINAL,6,160,0,,Y,1,,2011-030401
03,6,10,DE,6,0,6,6,POOR MANS CANYON,6478,10,1652,1203,1599,2,1,1,2,2,1,1645,4711,9996,2,2,8,6,0,1,1,1,0,0,0,4,3752,7406,50,1200,80,2,1,1,dejl1203.tif,00037005.tif,2011,0,0,0,07,03,18811,0304,0051599,005,ORIGINAL,6,161,0,,Y,1,,2011-030402
03,6,10,DE,6,0,6,6,POOR MANS CANYON,6478,10,1726,1203,1599,2,1,1,2,2,1,1720,4711,9996,2,2,7,8,0,1,1,1,0,0,0,4,3752,7406,55,900,75,2,2,1,dejl1203.tif,00037007.tif,2011,0,0,0,07,03,18811,0304,0051599,005,ORIGINAL,6,162,0,,Y,2,,2011-030403
03,6,10,DE,6,0,6,6,POOR MANS CANYON,6478,10,1740,1203,1599,2,1,1,2,2,1,1730,4711,9996,2,2,8,8,0,1,1,1,0,0,0,6,3752,7406,70,1050,76,2,1,1,dejl1203.tif,00037009.tif,2011,0,1,0,07,03,18811,0304,0051599,005,ORIGINAL,6,164,0,,Y,2,,2011-030404
03,6,10,DE,6,0,6,6,POOR MANS CANYON,6478,10,1835,1203,1599,2,1,1,2,2,1,1710,7777,9996,2,2,8,5,0,1,1,1,0,0,0,5,3752,7406,65,600,80,2,1,1,dejl1203.tif,00037011.tif,2011,0,0,0,07,03,18811,0304,0051599,005,ORIGINAL,6,163,0,,Y,1,,2011-030405
03,6,25,MA,6,0,6,KITING,PEAKED HILL,6614,25,1600,1114,0282,2,1,1,2,1,2,1600,4671,9996,2,2,4,8,1,1,0,1,0,0,1,3,4207,7008,3,140,99,2,1,2,majl1114.tif,00037000.tif,2011,0,0,0,07,03,18811,0306,0010282,001,ORIGINAL,2,496,0,,Y,2,,2011-030601
03,6,25,MA,6,0,6,6,CRAB LEDGE,6591,25,1400,1116,9036,21,1,2,1,3,2,1400,4677,4678,2,2,4,6,0,1,0,1,0,0,0,4,4138,6940,6,130,60,2,1,1,majl1116.tif,00037015.tif,2011,1,1,0,07,03,18811,0307,0019036,001,ORIGINAL,2,500,0,,Y,2,,2011-030701
03,6,25,MA,6,0,6,JIGGING,WILD CAT GULF,7381,25,1330,1117,0218,8,1,2,1,3,1,1200,4677,4678,2,1,4,6,0,1,0,0,0,0,1,4,9998,9998,26,350,64,2,1,2,majl1117.tif,00037020.tif,2011,1,1,0,07,04,18812,0308,0230218,023,ORIGINAL,2,502,0,,Y,2,,2011-030801
03,6,25,MA,6,0,T,6,STELLWAGEN WEST CORNER,7381,25,1454,1117,0218,8,1,1,2,1,1,1450,4671,9996,2,3,2,1,0,1,0,1,0,0,0,4,4216,7017,6,100,65,1,1,2,majl1117.tif,00037021.tif,2011,1,0,0,07,04,18812,0308,0230218,023,ORIGINAL,2,501,0,,N,2,,2011-030802
03,6,36,NY,6,0,6,6,OREGON WRECK,6757,36,1630,2106,1780,2,1,1,2,2,1,1620,3551,3531,2,2,3,6,0,0,1,0,1,1,0,3,4030,7250,30,160,72,2,1,1,nyjl2106.tif,00037038.tif,2011,0,0,0,07,01,18809,0310,1031780,103,ORIGINAL,4,894,0,,Y,2,,2011-031001
03,6,36,NY,6,0,6,6,COMPASS ROSE,6757,36,1640,2106,1780,2,1,1,2,2,1,1630,3551,3531,2,12,3,5,1,0,1,0,1,1,0,3,4013,7246,30,150,71,2,1,1,nyjl2106.tif,00037040.tif,2011,0,1,0,07,01,18809,0310,1031780,103,ORIGINAL,4,893,0,,Y,2,,2011-031002
03,6,36,NY,6,0,6,6,OREGON WRECK,6757,36,1750,2106,0564,2,1,1,2,3,2,1740,3551,4678,2,2,3,6,0,1,1,1,1,1,0,2,4030,7250,22,140,68,2,1,1,nyjl2106.tif,00037042.tif,2011,0,0,0,07,01,18809,0310,1030564,103,ORIGINAL,4,892,0,,Y,2,,2011-031003
03,6,51,VA,6,0,6,6,SANDBRIDGE PIER,6633,51,1635,2201,0088,3,1,2,1,3,1,1400,3591,570,2,2,5,5,0,0,1,0,1,0,0,8,9998,9998,1,32,80,2,1,1,vajl2201.tif,00037026.tif,2011,0,0,0,07,05,18813,0311,8100088,810,ORIGINAL,8,1114,0,,Y,2,,2011-031101
03,6,51,VA,6,0,6,6,CIGAR,6633,51,1830,2201,0088,3,1,2,1,3,1,1815,1050,9996,2,2,8,8,0,0,1,1,0,0,0,8,3630,7450,65,600,78,2,1,1,vajl2201.tif,00037028.tif,2011,0,0,0,07,05,18813,0311,8100088,810,ORIGINAL,8,1113,0,,Y,1,,2011-031102
03,6,12,FL,6,0,6,6,NORFOLK CANYON,6633,51,1630,1112,0091,1,1,1,2,8,6,1610,7777,9996,2,2,6,8,0,0,1,1,0,0,0,1,3705,7435,65,800,76,2,1,1,vajl1112.tif,00037032.tif,2011,0,0,0,07,04,18812,0312,8100091,810,ORIGINAL,8,1009,0,,N,1,,2011-031201
03,6,51,VA,6,0,6,6,26 MILES HILL,7393,51,1710,1202,0088,3,1,2,1,2,1,1708,4670,1050,2,2,9,7,0,1,1,1,0,0,0,6,3715,7510,26,60,73,2,1,1,vajl1202.tif,00037066.tif,2011,0,1,0,07,04,18812,0313,8100088,810,ORIGINAL,8,1046,0,,Y,1,,2011-031301
