tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
124201,09,01,1103,1,0,,6773,3,1,5,2019,08,24,0110630,0,0,2,CTAU1103.pdf,00140214.tif,ORIGINAL,COD,815,1242,2,1,0,0,0,0,0,2,2019-124201
124201,09,01,1103,2,0,,6773,3,1,5,2019,08,24,0110630,0,0,2,CTAU1103.pdf,00140214.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1242,1,1,1,0,0,0,0,2,2019-124201
088901,09,01,1106,3,0,,7794,3,1,5,2019,08,04,0110630,0,0,2,CTAU1106.pdf,00137874.tif,ORIGINAL,DOLPHIN,1050,0889,2,14,14,0,0,0,0,2,2019-088901
088901,09,01,1106,4,0,,7794,3,1,5,2019,08,04,0110630,0,0,2,CTAU1106.pdf,00137874.tif,ORIGINAL,BLUE MARLIN,2171,0889,3,0,0,1,0,0,0,2,2019-088901
088901,09,01,1106,5,0,,7794,3,1,5,2019,08,04,0110630,0,0,2,CTAU1106.pdf,00137874.tif,ORIGINAL,YFT,4711,0889,1,1,1,0,0,0,0,2,2019-088901
101101,09,01,1109,6,0,,7788,3,1,4,2019,08,10,0110880,0,0,2,CTAU1109.pdf,00138762.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1011,1,1,0,0,0,0,0,2,2019-101101
101201,09,01,1110,7,0,,6773,3,1,4,2019,08,11,0110833,0,0,2,CTAU1110.pdf,00138768.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1012,1,0,0,1,0,0,0,2,2019-101201
101201,09,01,1110,8,0,,6773,3,1,4,2019,08,11,0110833,0,0,2,CTAU1110.pdf,00138768.tif,ORIGINAL,DUSKY SHARK,4841,1012,2,0,0,1,0,0,0,2,2019-101201
101202,09,02,1110,9,0,,6773,3,1,5,2019,08,11,0110833,1,0,2,CTAU1110.pdf,00138770.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1012,1,0,0,1,0,0,0,2,2019-101202
101203,09,03,1110,10,0,,6773,3,1,3,2019,08,11,0113234,0,0,2,CTAU1110.pdf,00138772.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1012,1,1,1,0,0,0,0,2,2019-101203
101205,09,05,1110,11,0,,6773,3,1,4,2019,08,11,0113879,0,0,2,CTAU1110.pdf,00138775.tif,ORIGINAL,DOLPHIN,1050,1012,1,1,0,0,0,0,0,2,2019-101205
112101,09,01,1114,12,0,,6773,3,1,3,2019,08,18,0110630,0,0,2,CTAU1114.pdf,00139364.tif,ORIGINAL,BFT YOUNG SCHOOL,4673,1121,1,0,0,1,0,0,0,2,2019-112101
112102,09,02,1114,13,0,,6773,3,3,3,2019,08,18,0110645,0,0,1,CTAU1114.pdf,00139366.tif,ORIGINAL,DOLPHIN,1050,1121,1,8,8,22,0,0,0,2,2019-112102
135601,09,01,1117,14,0,,6773,3,1,4,2019,08,31,0113879,0,0,2,CTAU1117.pdf,00140611.tif,ORIGINAL,DOLPHIN,1050,1356,1,12,0,4,0,0,0,2,2019-135601
135601,09,01,1117,15,0,,6773,3,1,4,2019,08,31,0113879,0,0,2,CTAU1117.pdf,00140611.tif,ORIGINAL,YFT,4711,1356,2,1,0,0,0,0,0,2,2019-135601
135602,09,02,1117,16,0,,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,BLUEFISH,230,1356,4,2,0,6,0,0,0,8,2019-135602
135602,09,02,1117,17,0,,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,ATLANTIC BONITO,330,1356,1,2,0,6,0,0,0,8,2019-135602
135602,09,02,1117,18,0,,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,SUMMER FLOUNDER,1219,1356,2,0,0,2,0,0,0,8,2019-135602
135602,09,02,1117,19,1,RARE OR ILLEGAL SPECIES KEPT;ALIVE;,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,SCUP,3295,1356,5,3,0,7,0,0,0,8,2019-135602
135602,09,02,1117,20,0,,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,BLACK SEA BASS,3350,1356,6,1,0,4,0,0,0,8,2019-135602
135602,09,02,1117,21,1,ALIVE;,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,SEA ROBIN,3410,1356,7,0,0,23,0,0,0,8,2019-135602
135602,09,02,1117,22,0,,6773,3,1,2,2019,08,31,0113879,0,1,2,CTAU1117.pdf,00140613.tif,ORIGINAL,STRIPED BASS,4180,1356,3,0,0,2,0,0,0,8,2019-135602
135603,09,03,1117,23,0,,6773,3,1,3,2019,08,31,0110833,0,0,1,CTAU1117.pdf,00140615.tif,ORIGINAL,DOLPHIN,1050,1356,1,12,12,0,0,0,0,2,2019-135603
135604,09,04,1117,24,0,,6773,3,1,2,2019,08,31,0110630,0,0,2,CTAU1117.pdf,00140617.tif,ORIGINAL,BLUEFISH,230,1356,2,0,0,5,0,0,0,4,2019-135604
135604,09,04,1117,25,0,,6773,3,1,2,2019,08,31,0110630,0,0,2,CTAU1117.pdf,00140617.tif,ORIGINAL,STRIPED BASS,4180,1356,1,0,0,5,0,0,0,4,2019-135604
135605,09,05,1117,26,0,,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,DOLPHIN,1050,1356,1,12,12,2,0,0,0,2,2019-135605
135605,09,05,1117,27,0,,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,SUMMER FLOUNDER,1219,1356,2,2,2,10,0,0,0,2,2019-135605
135605,09,05,1117,28,1,ALIVE;,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,SCUP,3295,1356,5,0,0,2,0,0,0,2,2019-135605
135605,09,05,1117,29,0,,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,BLACK SEA BASS,3350,1356,3,0,0,6,0,0,0,2,2019-135605
135605,09,05,1117,30,1,ALIVE;,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,SEA ROBIN,3410,1356,4,0,0,20,0,0,0,2,2019-135605
135605,09,05,1117,31,1,ALIVE;,6773,3,1,2,2019,08,31,0110833,0,1,1,CTAU1117.pdf,00140619.tif,ORIGINAL,SMOOTH DOGFISH,3511,1356,6,0,0,3,0,0,0,2,2019-135605
135606,09,06,1117,32,0,,6773,3,1,4,2019,08,31,0113234,0,0,2,CTAU1117.pdf,00140621.tif,ORIGINAL,SHORTFIN MAKO SHARK,3551,1356,1,1,1,0,0,0,0,2,2019-135606
135607,09,07,1117,33,0,,6773,3,1,4,2019,08,31,0113234,0,0,2,CTAU1117.pdf,00140623.tif,ORIGINAL,COD,815,1356,1,1,0,0,0,0,0,2,2019-135607
135608,09,08,1117,34,0,,6773,3,1,4,2019,08,31,0110630,0,1,2,CTAU1117.pdf,00140625.tif,ORIGINAL,SUMMER FLOUNDER,1219,1356,1,1,0,1,0,0,0,2,2019-135608
135608,09,08,1117,35,0,,6773,3,1,4,2019,08,31,0110630,0,1,2,CTAU1117.pdf,00140625.tif,ORIGINAL,RED HAKE,1520,1356,4,4,0,0,0,0,0,2,2019-135608
135608,09,08,1117,36,1,RARE OR ILLEGAL SPECIES KEPT;ALIVE;,6773,3,1,4,2019,08,31,0110630,0,1,2,CTAU1117.pdf,00140625.tif,ORIGINAL,SCUP,3295,1356,3,2,0,1,0,0,0,2,2019-135608
135608,09,08,1117,37,0,,6773,3,1,4,2019,08,31,0110630,0,1,2,CTAU1117.pdf,00140625.tif,ORIGINAL,BLACK SEA BASS,3350,1356,2,8,0,20,0,0,0,2,2019-135608
135608,09,08,1117,38,1,ALIVE;,6773,3,1,4,2019,08,31,0110630,0,1,2,CTAU1117.pdf,00140625.tif,ORIGINAL,SKATE,3650,1356,5,0,0,2,0,0,0,2,2019-135608
112201,09,01,1201,39,0,,7791,4,1,2,2019,08,18,0110656,0,0,2,CTAU1201.pdf,00139372.tif,ORIGINAL,COMMON THRESHER SHARK,3531,1122,1,0,0,2,0,0,0,2,2019-112201
089001,09,01,1203,40,0,,7788,3,1,4,2019,08,03,0110630,0,1,1,CTAU1203.pdf,00137880.tif,ORIGINAL,DOLPHIN,1050,0890,2,9,9,0,0,0,0,2,2019-089001
089001,09,01,1203,41,0,,7788,3,1,4,2019,08,03,0110630,0,1,1,CTAU1203.pdf,00137880.tif,ORIGINAL,SWORDFISH,4328,0890,1,1,1,0,0,0,0,2,2019-089001
089002,09,02,1203,42,0,,7788,3,1,2,2019,08,03,0110630,0,0,2,CTAU1203.pdf,00137882.tif,ORIGINAL,DOLPHIN,1050,0890,2,0,0,3,0,0,0,2,2019-089002
089002,09,02,1203,43,1,ALIVE;,7788,3,1,2,2019,08,03,0110630,0,0,2,CTAU1203.pdf,00137882.tif,ORIGINAL,SWORDFISH,4328,0890,4,0,0,1,0,0,0,2,2019-089002
089002,09,02,1203,44,0,,7788,3,1,2,2019,08,03,0110630,0,0,2,CTAU1203.pdf,00137882.tif,ORIGINAL,YFT,4711,0890,1,0,0,5,0,0,0,2,2019-089002
089002,09,02,1203,45,0,,7788,3,1,2,2019,08,03,0110630,0,0,2,CTAU1203.pdf,00137882.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0890,3,0,0,1,0,0,0,2,2019-089002
089003,09,03,1203,46,0,,7788,3,1,2,2019,08,03,0113879,0,0,2,CTAU1203.pdf,00137884.tif,ORIGINAL,DOLPHIN,1050,0890,1,5,0,0,0,0,0,3,2019-089003
119301,09,01,1210,47,0,,7788,3,1,5,2019,08,17,0113234,0,0,2,CTAU1210.pdf,00139896.tif,ORIGINAL,BLUEFISH,230,1193,1,12,0,0,0,0,0,2,2019-119301
089101,09,01,2101,48,0,,6773,3,1,2,2019,08,01,0110880,0,0,2,CTAU2101.pdf,00137890.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0891,1,0,0,1,0,0,0,2,2019-089101
121101,09,01,2120,49,0,,6773,3,1,6,2019,08,21,0110833,0,1,1,CTAU2120.pdf,00140043.tif,ORIGINAL,DOLPHIN,1050,1211,2,6,6,5,0,0,0,3,2019-121101
121101,09,01,2120,50,0,,6773,3,1,6,2019,08,21,0110833,0,1,1,CTAU2120.pdf,00140043.tif,ORIGINAL,WHITE MARLIN,2161,1211,4,0,0,1,0,0,0,3,2019-121101
121101,09,01,2120,51,0,,6773,3,1,6,2019,08,21,0110833,0,1,1,CTAU2120.pdf,00140043.tif,ORIGINAL,SWORDFISH,4328,1211,3,1,1,0,0,0,0,3,2019-121101
121101,09,01,2120,52,0,,6773,3,1,6,2019,08,21,0110833,0,1,1,CTAU2120.pdf,00140043.tif,ORIGINAL,YFT,4711,1211,1,4,4,0,0,0,0,3,2019-121101
089201,09,01,2201,53,0,,7794,3,1,6,2019,08,02,0110630,0,0,2,CTAU2201.pdf,00137896.tif,ORIGINAL,DOLPHIN,1050,0892,4,20,20,0,0,0,0,2,2019-089201
089201,09,01,2201,54,0,,7794,3,1,6,2019,08,02,0110630,0,0,2,CTAU2201.pdf,00137896.tif,ORIGINAL,WHITE MARLIN,2161,0892,3,0,0,1,0,0,0,2,2019-089201
089201,09,01,2201,55,0,,7794,3,1,6,2019,08,02,0110630,0,0,2,CTAU2201.pdf,00137896.tif,ORIGINAL,BLUE MARLIN,2171,0892,5,0,0,1,0,0,0,2,2019-089201
089201,09,01,2201,56,0,,7794,3,1,6,2019,08,02,0110630,0,0,2,CTAU2201.pdf,00137896.tif,ORIGINAL,BIGEYE TUNA,4691,0892,2,2,2,0,0,0,0,2,2019-089201
089201,09,01,2201,57,0,,7794,3,1,6,2019,08,02,0110630,0,0,2,CTAU2201.pdf,00137896.tif,ORIGINAL,YFT,4711,0892,1,1,1,0,0,0,0,2,2019-089201
106101,09,01,2212,58,0,,7791,3,1,5,2019,08,12,0110880,0,0,1,CTAU2212.pdf,00139071.tif,ORIGINAL,DOLPHIN,1050,1061,1,16,16,0,0,0,0,2,2019-106101
106101,09,01,2212,59,1,CAUGHT OUT OF AREA;,7791,3,1,5,2019,08,12,0110880,0,0,1,CTAU2212.pdf,00139071.tif,ORIGINAL,TRIGGERFISH,4560,1061,2,1,1,0,0,0,0,2,2019-106101
124601,09,01,2217,60,0,,7788,3,1,4,2019,08,23,0113879,0,0,2,CTAU2217.pdf,00140228.tif,ORIGINAL,SHORTFIN MAKO SHARK,3551,1246,1,1,0,0,0,0,0,2,2019-124601
101701,10,01,1102,61,0,,6447,2,1,3,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138790.tif,ORIGINAL,DOLPHIN,1050,1017,1,1,0,0,0,0,0,2,2019-101701
101701,10,01,1102,62,0,,6447,2,1,3,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138790.tif,ORIGINAL,LITTLE TUNNY,4681,1017,3,1,0,0,0,0,0,2,2019-101701
101701,10,01,1102,63,0,,6447,2,1,3,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138790.tif,ORIGINAL,WAHOO,4720,1017,2,1,0,0,0,0,0,2,2019-101701
101702,10,02,1102,64,0,,6447,2,1,5,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138792.tif,ORIGINAL,DOLPHIN,1050,1017,1,1,0,0,0,0,0,3,2019-101702
101702,10,02,1102,65,0,,6447,2,1,5,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138792.tif,ORIGINAL,BLUELINE TILEFISH,4440,1017,2,35,0,0,0,0,0,3,2019-101702
101703,10,03,1102,66,0,,6447,2,1,4,2019,08,11,0051599,0,0,2,DEAU1102.pdf,00138794.tif,ORIGINAL,WHITE MARLIN,2161,1017,1,0,0,1,0,0,0,2,2019-101703
112501,10,01,1201,67,0,,6783,1,1,5,2019,08,17,0050013,0,0,1,DEAU1201.pdf,00139385.tif,ORIGINAL,DOLPHIN,1050,1125,2,2,2,0,0,0,0,2,2019-112501
112501,10,01,1201,68,0,,6783,1,1,5,2019,08,17,0050013,0,0,1,DEAU1201.pdf,00139385.tif,ORIGINAL,BLUE MARLIN,2171,1125,1,0,0,1,0,0,0,2,2019-112501
136101,10,01,1203,69,0,,6783,1,1,6,2019,08,31,0050013,0,0,1,DEAU1203.pdf,00140640.tif,ORIGINAL,DOLPHIN,1050,1361,1,15,15,0,0,0,0,3,2019-136101
136101,10,01,1203,70,0,,6783,1,1,6,2019,08,31,0050013,0,0,1,DEAU1203.pdf,00140640.tif,ORIGINAL,WAHOO,4720,1361,2,1,1,0,0,0,0,3,2019-136101
136102,10,02,1203,71,1,ALIVE;,6783,1,1,4,2019,08,31,0050013,0,0,2,DEAU1203.pdf,00140642.tif,ORIGINAL,BLACKTIP SHARK,4871,1361,1,0,0,4,0,0,0,3,2019-136102
136103,10,03,1203,72,1,ALIVE;,6783,1,1,2,2019,08,31,0050013,0,0,1,DEAU1203.pdf,00140644.tif,ORIGINAL,SWORDFISH,4328,1361,1,3,3,1,0,0,0,3,2019-136103
089301,10,01,1204,73,0,,6783,2,1,5,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137900.tif,ORIGINAL,DOLPHIN,1050,0893,1,1,1,0,0,0,0,3,2019-089301
089301,10,01,1204,74,0,,6783,2,1,5,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137900.tif,ORIGINAL,LITTLE TUNNY,4681,0893,2,3,0,0,0,0,0,3,2019-089301
089302,10,02,1204,75,0,,6783,2,1,5,2019,08,03,0051599,0,0,2,DEAU1204.pdf,00137902.tif,ORIGINAL,WHITE MARLIN,2161,0893,1,0,0,2,0,0,0,2,2019-089302
089303,10,03,1204,76,1,CAUGHT OUT OF AREA;,6783,2,1,6,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137904.tif,ORIGINAL,ATLANTIC MACKEREL,2120,0893,3,2,2,0,0,0,0,3,2019-089303
089303,10,03,1204,77,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;,6783,2,1,6,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137904.tif,ORIGINAL,BLUE RUNNER,2130,0893,4,1,1,0,0,0,0,3,2019-089303
089303,10,03,1204,78,0,,6783,2,1,6,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137904.tif,ORIGINAL,BLUELINE TILEFISH,4440,0893,1,16,10,0,0,0,0,3,2019-089303
089303,10,03,1204,79,0,,6783,2,1,6,2019,08,03,0051599,0,1,2,DEAU1204.pdf,00137904.tif,ORIGINAL,GOLDEN TILEFISH,4467,0893,2,10,10,0,0,0,0,3,2019-089303
089304,10,04,1204,80,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137906.tif,ORIGINAL,DOLPHIN,1050,0893,1,1,1,0,0,0,0,2,2019-089304
089304,10,04,1204,81,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137906.tif,ORIGINAL,WHITE MARLIN,2161,0893,2,0,0,1,0,0,0,2,2019-089304
089305,10,05,1204,82,0,,6783,2,1,6,2019,08,03,0051599,0,0,2,DEAU1204.pdf,00137908.tif,ORIGINAL,DOLPHIN,1050,0893,1,3,0,0,0,0,0,2,2019-089305
089305,10,05,1204,83,0,,6783,2,1,6,2019,08,03,0051599,0,0,2,DEAU1204.pdf,00137908.tif,ORIGINAL,WHITE MARLIN,2161,0893,2,0,0,3,0,0,0,2,2019-089305
089305,10,05,1204,84,0,,6783,2,1,6,2019,08,03,0051599,0,0,2,DEAU1204.pdf,00137908.tif,ORIGINAL,BLUE MARLIN,2171,0893,3,0,0,1,0,0,0,2,2019-089305
089306,10,06,1204,85,0,,6783,2,1,5,2019,08,03,0051599,0,0,2,DEAU1204.pdf,00137910.tif,ORIGINAL,BLUE MARLIN,2171,0893,1,0,0,1,0,0,0,2,2019-089306
089307,10,07,1204,86,0,,6783,2,1,4,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137912.tif,ORIGINAL,DOLPHIN,1050,0893,2,7,7,0,0,0,0,2,2019-089307
089307,10,07,1204,87,0,,6783,2,1,4,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137912.tif,ORIGINAL,WHITE MARLIN,2161,0893,1,0,0,3,0,0,0,2,2019-089307
089308,10,08,1204,88,0,,6783,2,1,1,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137914.tif,ORIGINAL,DOLPHIN,1050,0893,2,1,1,0,0,0,0,3,2019-089308
089308,10,08,1204,89,0,,6783,2,1,1,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137914.tif,ORIGINAL,WAHOO,4720,0893,1,1,1,0,0,0,0,3,2019-089308
089309,10,09,1204,90,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137916.tif,ORIGINAL,DOLPHIN,1050,0893,2,1,1,0,0,0,0,2,2019-089309
089309,10,09,1204,91,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137916.tif,ORIGINAL,BLACK SEA BASS,3350,0893,4,6,6,0,0,0,0,2,2019-089309
089309,10,09,1204,92,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137916.tif,ORIGINAL,SWORDFISH,4328,0893,1,1,1,0,0,0,0,2,2019-089309
089309,10,09,1204,93,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137916.tif,ORIGINAL,BLUELINE TILEFISH,4440,0893,3,6,6,0,0,0,0,2,2019-089309
089309,10,09,1204,94,0,,6783,2,1,3,2019,08,03,0051599,0,0,1,DEAU1204.pdf,00137916.tif,ORIGINAL,BLACKFIN TUNA,4641,0893,5,1,1,0,0,0,0,2,2019-089309
112601,10,01,1205,95,0,,7681,2,1,7,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139389.tif,ORIGINAL,DOLPHIN,1050,1126,1,38,38,0,0,0,0,3,2019-112601
112602,10,02,1205,96,0,,7681,2,1,5,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139391.tif,ORIGINAL,DOLPHIN,1050,1126,3,6,6,0,0,0,0,2,2019-112602
112602,10,02,1205,97,0,,7681,2,1,5,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139391.tif,ORIGINAL,WHITE MARLIN,2161,1126,2,0,0,2,0,0,0,2,2019-112602
112602,10,02,1205,98,0,,7681,2,1,5,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139391.tif,ORIGINAL,BLUE MARLIN,2171,1126,1,0,0,1,0,0,0,2,2019-112602
112603,10,03,1205,99,0,,7681,2,1,4,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139393.tif,ORIGINAL,KING MACKEREL,1940,1126,2,1,1,0,0,0,0,2,2019-112603
112603,10,03,1205,100,0,,7681,2,1,4,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139393.tif,ORIGINAL,LITTLE TUNNY,4681,1126,1,8,1,0,0,0,0,2,2019-112603
112605,10,05,1205,101,0,,7681,2,1,6,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139396.tif,ORIGINAL,ATLANTIC BONITO,330,1126,2,0,0,4,0,0,0,2,2019-112605
112605,10,05,1205,102,0,,7681,2,1,6,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139396.tif,ORIGINAL,DOLPHIN,1050,1126,1,5,5,0,0,0,0,2,2019-112605
112605,10,05,1205,103,0,,7681,2,1,6,2019,08,18,0051599,0,0,2,DEAU1205.pdf,00139396.tif,ORIGINAL,LITTLE TUNNY,4681,1126,3,0,0,1,0,0,0,2,2019-112605
140001,10,01,1208,104,0,,6447,2,1,3,2019,08,31,0051599,1,0,2,DEAU1208.pdf,00140885.tif,ORIGINAL,DOLPHIN,1050,1400,1,0,0,4,0,0,0,2,2019-140001
140002,10,02,1208,105,0,,6447,2,1,5,2019,08,31,0051599,0,0,2,DEAU1208.pdf,00140887.tif,ORIGINAL,DOLPHIN,1050,1400,1,26,0,0,0,0,0,2,2019-140002
140002,10,02,1208,106,0,,6447,2,1,5,2019,08,31,0051599,0,0,2,DEAU1208.pdf,00140887.tif,ORIGINAL,BLACKFIN TUNA,4641,1400,2,2,0,0,0,0,0,2,2019-140002
140002,10,02,1208,107,0,,6447,2,1,5,2019,08,31,0051599,0,0,2,DEAU1208.pdf,00140887.tif,ORIGINAL,LITTLE TUNNY,4681,1400,3,3,0,0,0,0,0,2,2019-140002
140003,10,03,1208,108,0,,6447,2,1,4,2019,08,31,0051599,0,0,2,DEAU1208.pdf,00140889.tif,ORIGINAL,DOLPHIN,1050,1400,2,15,0,0,0,0,0,3,2019-140003
