tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,36,NY,6,02,6,6,WEST OF POINT,7519,36,1715,1215,0133,5,1,2,1,3,1,1600,3551,3531,2,1,4,4,0,0,1,0,1,0,0,4,9998,9998,18,135,65,1,1,1,NYJN1215.pdf,00096917.tif,2016,0,0,0,ORIGINAL,06,26,20631,036802,0368,1030133,103,4,432,0,,N,2,2016-036802
6,12,FL,6,01,6,6,BUTTERFISH HOLE,7466,36,1730,2102,0085,4,1,1,2,2,2,1400,4670,9996,2,1,8,7,1,1,1,1,0,0,0,3,4050,7135,30,220,65,1,2,1,NYJN2102.pdf,00096922.tif,2016,0,0,0,ORIGINAL,06,24,20629,036901,0369,1030085,103,4,440,0,,N,2,2016-036901
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,02,6,6,OCEAN,7466,36,1835,2102,0134,4,1,1,2,2,1,1700,3531,3551,1,1,5,8,1,0,1,0,0,1,0,5,9998,9998,25,180,65,1,1,1,NYJN2102.pdf,00096924.tif,2016,0,0,0,ORIGINAL,06,24,20629,036902,0369,1030134,103,4,674,0,,Y,2,2016-036902
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,03,6,6,IN THE WATER,7466,36,1910,2102,0134,4,1,1,2,2,1,1130,3531,3551,1,1,3,2,0,0,1,0,1,1,0,5,9998,9998,17,200,65,1,2,1,NYJN2102.pdf,00096926.tif,2016,0,1,0,ORIGINAL,06,24,20629,036903,0369,1030134,103,4,675,1,Q15;,Y,2,2016-036903
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,04,6,6,OCEAN,7466,36,1930,2102,0085,4,1,2,1,3,2,1900,3531,3551,1,1,3,3,1,0,1,0,0,1,0,6,9999,9999,33,180,98,1,2,1,NYJN2102.pdf,00096928.tif,2016,0,0,0,ORIGINAL,06,24,20629,036904,0369,1030085,103,4,671,0,,N,2,2016-036904
T202,09,CT,MONTAUK MARINE BASIN SHARK TAG,05,6,6,OCEAN,7466,36,2015,2102,0134,4,1,1,2,1,7,1805,3531,3551,1,1,4,8,1,0,1,0,1,1,0,4,9998,9998,45,240,64,1,1,1,NYJN2102.pdf,00096930.tif,2016,1,1,0,ORIGINAL,06,24,20629,036905,0369,1030134,103,4,673,0,,Y,2,2016-036905
6,36,NY,6,06,6,6,WEATHER BUOY,7466,36,2145,2102,0146,4,1,1,2,2,6,1500,4670,3531,2,12,10,4,0,0,1,1,1,0,0,5,4041,7225,24,180,67,1,2,1,NYJN2102.pdf,00096932.tif,2016,0,1,0,ORIGINAL,06,24,20629,036906,0369,1030146,103,4,439,1,Q15;,N,2,2016-036906
T202,36,NY,MONTAUK MARINE BASIN SHARK TAG,07,6,6,OCEAN,7466,36,2230,2102,0085,4,1,1,2,1,7,1830,3531,3551,1,1,4,7,0,0,1,0,1,0,0,2,9998,9998,15,120,64,1,1,1,NYJN2102.pdf,00096934.tif,2016,0,1,0,ORIGINAL,06,24,20629,036907,0369,1030085,103,4,672,1,Q15;,Y,2,2016-036907
6,25,MA,6,01,6,LIVE LINING,STELLWAGEN BANK,7648,25,1617,2117,0217,8,3,1,2,1,2,1500,4679,9996,2,1,3,8,1,0,0,0,0,0,1,2,4216,7017,15,200,63,2,2,1,MAJN2117.pdf,00096942.tif,2016,0,1,0,ORIGINAL,06,28,20633,037201,0372,0230217,023,2,342,0,,Y,2,2016-037201
T304,34,NJ,JC MAKO FEVER,01,6,6,FINGERS,6416,34,1620,1112,1050,6,1,1,2,3,1,1605,3551,9996,1,2,3,8,0,0,1,0,1,0,0,4,3931,7331,42,145,68,1,2,1,NJJN1112.pdf,00096951.tif,2016,0,0,0,ORIGINAL,06,26,20631,037501,0375,0251050,025,5,773,0,,N,1,2016-037501
T304,34,NJ,JC MAKO FEVER,02,6,6,CHICKEN CANYON,6416,34,1645,1112,1050,6,1,1,2,2,6,1600,3551,9996,1,1,4,7,0,0,1,0,1,0,0,4,3952,7303,50,213,64,1,2,1,NJJN1112.pdf,00096953.tif,2016,0,1,0,ORIGINAL,06,26,20631,037502,0375,0251050,025,5,774,0,,N,1,2016-037502
6,34,NJ,6,03,6,6,LINDENKOHL CANYON,6416,34,1720,1112,1050,6,1,1,2,2,6,1705,4656,4711,2,1,6,15,0,1,1,1,0,0,0,3,3847,7303,98,500,65,1,1,1,NJJN1112.pdf,00096955.tif,2016,0,1,0,ORIGINAL,06,26,20631,037503,0375,0251050,025,5,375,0,,N,2,2016-037503
T304,34,NJ,JC MAKO FEVER,04,6,6,CHICKEN CANYON,6416,34,1745,1112,1050,6,1,1,2,2,1,1730,3551,9996,1,1,4,8,0,0,1,0,1,0,0,5,3952,7303,50,200,65,1,1,1,NJJN1112.pdf,00096957.tif,2016,0,0,0,ORIGINAL,06,26,20631,037504,0375,0251050,025,5,775,0,,Y,1,2016-037504
T304,34,NJ,JC MAKO FEVER,05,6,6,S EAST BARNEGAT INLET,6416,34,1750,1112,1050,6,1,2,1,3,7,1700,3551,9996,1,1,4,7,0,0,1,0,1,0,0,4,9998,9998,45,180,65,1,2,1,NJJN1112.pdf,00096959.tif,2016,0,1,0,ORIGINAL,06,26,20631,037505,0375,0251050,025,5,770,0,,N,1,2016-037505
T304,34,NJ,JC MAKO FEVER,06,6,6,FINGERS,6416,34,1755,1112,1050,6,1,1,2,3,1,1750,3551,9996,1,1,4,8,0,0,1,0,1,0,0,5,3931,7331,45,180,66,1,2,1,NJJN1112.pdf,00096961.tif,2016,0,0,0,ORIGINAL,06,26,20631,037506,0375,0251050,025,5,771,0,,Y,1,2016-037506
T304,34,NJ,JC MAKO FEVER,07,6,6,CHICKEN CANYON,6416,34,1800,1112,1050,6,1,1,2,3,1,1750,3551,9996,1,1,4,5,0,0,1,0,1,0,0,5,3952,7303,50,210,69,1,2,1,NJJN1112.pdf,00096963.tif,2016,0,0,0,ORIGINAL,06,26,20631,037507,0375,0251050,025,5,769,0,,N,1,2016-037507
