id,tracker,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
2007-000101,000101,2007,06,10,1111,01,1260,FLOUNDER,1,1,0,0,0,9996
2007-000101,000101,2007,06,10,1111,01,4821,96,2,2,0,0,0,9996
2007-000102,000102,2007,06,10,1111,02,4821,96,0,0,3,0,0,9996
2007-000201,000201,2007,06,10,2207,01,3531,96,1,0,0,0,0,9996
2007-000701,000701,2007,06,24,2113,01,230,96,1,1,0,0,0,9996
2007-001401,001401,2007,06,36,1210,01,230,96,0,0,6,0,0,9996
2007-001401,001401,2007,06,36,1210,01,4931,96,0,0,2,0,0,9996
2007-001501,001501,2007,06,51,1108,01,30,96,1,1,0,0,0,9996
2007-001501,001501,2007,06,51,1108,01,1050,96,4,4,0,0,0,9996
2007-001502,001502,2007,06,51,1108,02,230,96,2,2,0,0,0,9996
2007-001502,001502,2007,06,51,1108,02,1050,96,3,3,0,0,0,9996
2007-001503,001503,2007,06,51,1108,03,1050,96,5,0,0,0,0,9996
2007-001701,001701,2007,06,51,1111,01,4711,96,2,2,0,0,0,9996
2007-003101,003101,2007,06,10,2212,01,3531,96,1,1,0,0,0,9996
2007-003301,003301,2007,06,34,2209,01,3551,96,1,1,4,0,0,9996
2007-003301,003301,2007,06,34,2209,01,4931,96,0,0,5,0,0,9996
2007-003804,003804,2007,06,10,1203,04,4677,96,1,0,0,0,0,9996
2007-003804,003804,2007,06,10,1203,04,4678,96,0,0,2,0,0,9996
2007-003805,003805,2007,06,10,1203,05,3531,96,1,0,0,0,0,9996
2007-004001,004001,2007,06,24,1201,01,3551,96,1,1,0,0,0,9996
2007-004001,004001,2007,06,24,1201,01,4841,96,0,0,1,0,0,9996
2007-004002,004002,2007,06,24,1201,02,3551,96,1,1,0,0,0,9996
2007-004002,004002,2007,06,24,1201,02,4931,96,0,0,1,0,0,9996
2007-004003,004003,2007,06,24,1201,03,3551,96,1,1,0,0,0,9996
2007-004004,004004,2007,06,24,1201,04,3551,96,1,1,0,0,0,9996
2007-004005,004005,2007,06,24,1201,05,230,96,4,0,0,0,0,9996
2007-004005,004005,2007,06,24,1201,05,4841,96,0,0,1,0,0,9996
2007-004006,004006,2007,06,24,1201,06,230,96,2,1,0,0,0,9996
2007-004006,004006,2007,06,24,1201,06,4841,96,0,0,1,0,0,9996
2007-004201,004201,2007,06,34,1201,01,4950,96,0,0,1,0,0,9996
2007-004202,004202,2007,06,34,1201,02,230,96,0,0,6,0,0,9996
2007-004601,004601,2007,06,36,1108,01,230,96,6,6,0,0,0,9996
2007-004601,004601,2007,06,36,1108,01,4931,96,0,0,3,0,0,9996
2007-004602,004602,2007,06,36,1108,02,230,96,6,6,0,0,0,9996
2007-004602,004602,2007,06,36,1108,02,4931,96,0,0,3,0,0,9996
2007-004603,004603,2007,06,36,1108,03,230,96,4,4,0,0,0,9996
2007-004603,004603,2007,06,36,1108,03,4931,96,0,0,5,0,0,9996
2007-004604,004604,2007,06,36,1108,04,230,96,6,6,0,0,0,9996
2007-004604,004604,2007,06,36,1108,04,4931,96,0,0,2,0,0,9996
2007-005001,005001,2007,06,51,1101,01,570,COBIA,0,0,1,0,0,9996
2007-005001,005001,2007,06,51,1101,01,4821,96,0,0,6,0,0,9996
2007-005301,005301,2007,06,51,1112,01,1050,96,0,0,1,0,0,9996
2007-005301,005301,2007,06,51,1112,01,4681,96,1,1,0,0,0,9996
2007-005302,005302,2007,06,51,1112,02,4677,96,1,1,0,0,0,9996
2007-005302,005302,2007,06,51,1112,02,4681,96,1,1,0,0,0,9996
2007-005303,005303,2007,06,51,1112,03,4711,96,2,2,0,0,0,9996
2007-005601,005601,2007,06,51,1205,01,230,96,11,11,0,0,0,9996
2007-005601,005601,2007,06,51,1205,01,4681,96,7,7,0,0,0,9996
2007-005602,005602,2007,06,51,1205,02,230,96,2,2,0,0,0,9996
2007-005603,005603,2007,06,51,1205,03,1050,96,1,0,0,0,0,9996
2007-005603,005603,2007,06,51,1205,03,3551,96,0,0,2,0,0,9996
2007-005603,005603,2007,06,51,1205,03,4681,96,2,0,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,230,96,8,8,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,330,96,1,1,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,1050,96,2,2,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,1940,96,1,1,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,4681,96,1,1,0,0,0,9996
2007-005604,005604,2007,06,51,1205,04,4711,96,1,1,0,0,0,9996
2007-005901,005901,2007,06,10,1108,01,1260,FLOUNDER,8,0,0,0,0,9996
2007-005901,005901,2007,06,10,1108,01,4821,96,0,0,2,0,0,9996
2007-006002,006002,2007,06,10,1206,02,3531,96,0,0,1,0,0,9996
2007-006002,006002,2007,06,10,1206,02,4841,96,0,0,2,0,0,9996
2007-006003,006003,2007,06,10,1206,03,230,96,0,0,12,0,0,9996
2007-006003,006003,2007,06,10,1206,03,4841,96,0,0,1,0,0,9996
2007-006003,006003,2007,06,10,1206,03,4911,96,0,0,1,0,0,9996
2007-006301,006301,2007,06,10,2209,01,4821,96,0,0,3,0,0,9996
2007-006302,006302,2007,06,10,2209,02,4676,96,1,1,0,0,0,9996
2007-006302,006302,2007,06,10,2209,02,4677,96,1,1,2,0,0,9996
2007-006401,006401,2007,06,24,2103,01,3551,96,0,0,1,0,0,9996
2007-006401,006401,2007,06,24,2103,01,4931,96,0,0,1,0,0,9996
2007-006701,006701,2007,06,34,1111,01,3551,96,1,1,0,0,0,9996
2007-006702,006702,2007,06,34,1111,02,230,96,6,0,6,0,0,9996
2007-006703,006703,2007,06,34,1111,03,230,96,20,0,0,0,0,9996
2007-006704,006704,2007,06,34,1111,04,230,96,0,0,4,0,0,9996
2007-006705,006705,2007,06,34,1111,05,3551,96,1,1,0,0,0,9996
2007-006709,006709,2007,06,34,1111,09,3551,96,0,0,1,0,0,9996
2007-006709,006709,2007,06,34,1111,09,4931,96,1,0,3,1,0,9996
2007-006710,006710,2007,06,34,1111,10,4470,TILEFISH,3,3,0,0,0,9996
2007-006710,006710,2007,06,34,1111,10,4677,96,1,1,3,0,0,9996
2007-006712,006712,2007,06,34,1111,12,4931,96,0,0,2,0,0,9996
2007-006714,006714,2007,06,34,1111,14,3551,96,0,0,1,0,0,9996
2007-006716,006716,2007,06,34,1111,16,4841,96,0,0,1,0,0,9996
2007-006719,006719,2007,06,34,1111,19,3551,96,1,1,0,0,0,9996
2007-006720,006720,2007,06,34,1111,20,3551,96,1,0,3,0,0,9996
2007-006721,006721,2007,06,34,1111,21,4931,96,0,0,2,0,0,9996
2007-006723,006723,2007,06,34,1111,23,4931,96,0,0,1,0,0,9996
2007-006724,006724,2007,06,34,1111,24,3531,96,1,1,0,0,0,9996
2007-006725,006725,2007,06,34,1111,25,3531,96,1,1,0,0,0,9996
2007-006725,006725,2007,06,34,1111,25,4841,96,0,0,1,0,0,9996
2007-006725,006725,2007,06,34,1111,25,4931,96,0,0,1,0,0,9996
2007-006726,006726,2007,06,34,1111,26,3531,96,1,1,0,0,0,9996
2007-006726,006726,2007,06,34,1111,26,4931,96,0,0,1,0,0,9996
2007-006729,006729,2007,06,34,1111,29,3551,96,0,0,1,0,0,9996
2007-006729,006729,2007,06,34,1111,29,4841,96,0,0,1,0,0,9996
2007-006736,006736,2007,06,34,1111,36,3551,96,1,0,0,0,0,9996
2007-006737,006737,2007,06,34,1111,37,4841,96,0,0,1,0,0,9996
2007-006738,006738,2007,06,34,1111,38,3551,96,0,0,1,0,0,9996
2007-006738,006738,2007,06,34,1111,38,4841,96,0,0,1,0,0,9996
2007-006739,006739,2007,06,34,1111,39,3551,96,1,0,0,0,0,9996
2007-006740,006740,2007,06,34,1111,40,3591,96,0,0,2,0,0,9996
2007-006740,006740,2007,06,34,1111,40,4911,96,0,0,1,0,0,9996
2007-006742,006742,2007,06,34,1111,42,4841,96,0,0,1,0,0,9996
2007-006743,006743,2007,06,34,1111,43,3551,96,0,0,1,0,0,9996
2007-006743,006743,2007,06,34,1111,43,4911,96,0,0,1,0,0,9996
2007-007001,007001,2007,06,34,2106,01,3531,96,1,1,0,0,0,9996
2007-007002,007002,2007,06,34,2106,02,4841,96,0,0,2,0,0,9996
2007-007003,007003,2007,06,34,2106,03,4841,96,0,0,2,0,0,9996
2007-007004,007004,2007,06,34,2106,04,3551,96,0,0,1,0,0,9996
2007-007004,007004,2007,06,34,2106,04,4841,96,0,0,3,0,0,9996
2007-007005,007005,2007,06,34,2106,05,3551,96,1,1,0,0,0,9996
2007-007006,007006,2007,06,34,2106,06,3551,96,1,1,0,0,0,9996
2007-007007,007007,2007,06,34,2106,07,3531,96,1,1,0,0,0,9996
2007-007008,007008,2007,06,34,2106,08,3551,96,0,0,1,0,0,9996
2007-007009,007009,2007,06,34,2106,09,4841,96,0,0,5,0,0,9996
2007-007010,007010,2007,06,34,2106,10,3551,96,1,0,0,0,0,9996
2007-007012,007012,2007,06,34,2106,12,3531,96,1,1,0,0,0,9996
2007-007014,007014,2007,06,34,2106,14,3531,96,0,0,1,0,0,9996
2007-007016,007016,2007,06,34,2106,16,4841,96,0,0,1,0,0,9996
2007-007017,007017,2007,06,34,2106,17,3551,96,1,0,2,0,0,9996
2007-007019,007019,2007,06,34,2106,19,3551,96,0,0,2,0,0,9996
2007-007021,007021,2007,06,34,2106,21,3551,96,1,0,2,0,0,9996
2007-007022,007022,2007,06,34,2106,22,3551,96,1,0,1,0,0,9996
2007-007023,007023,2007,06,34,2106,23,4677,96,1,1,0,0,0,9996
2007-007024,007024,2007,06,34,2106,24,4911,96,1,1,0,0,0,9996
2007-007025,007025,2007,06,34,2106,25,4841,96,0,0,1,0,0,9996
2007-007026,007026,2007,06,34,2106,26,3551,96,0,0,1,0,0,9996
2007-007027,007027,2007,06,34,2106,27,3551,96,0,0,1,0,0,9996
2007-007027,007027,2007,06,34,2106,27,4931,96,0,0,2,0,0,9996
2007-007029,007029,2007,06,34,2106,29,4931,96,1,0,7,0,0,9996
2007-007030,007030,2007,06,34,2106,30,4931,96,1,0,0,0,0,9996
2007-007301,007301,2007,06,10,2204,01,3551,96,0,0,1,0,0,9996
2007-007301,007301,2007,06,10,2204,01,4681,96,2,0,0,0,0,9996
2007-007301,007301,2007,06,10,2204,01,4711,96,1,0,0,0,0,9996
2007-007401,007401,2007,06,24,2102,01,230,96,3,0,0,0,0,9996
2007-007401,007401,2007,06,24,2102,01,4841,96,0,0,3,0,0,9996
2007-007402,007402,2007,06,24,2102,02,3551,96,1,0,0,0,0,9996
2007-007403,007403,2007,06,24,2102,03,230,96,13,0,0,0,0,9996
2007-007403,007403,2007,06,24,2102,03,4841,96,1,0,0,0,0,9996
2007-007404,007404,2007,06,24,2102,04,230,96,7,0,0,0,0,9996
2007-007404,007404,2007,06,24,2102,04,4841,96,0,0,16,0,0,9996
2007-007405,007405,2007,06,24,2102,05,230,96,2,0,0,0,0,9996
2007-007405,007405,2007,06,24,2102,05,4821,96,0,0,2,0,0,9996
2007-007405,007405,2007,06,24,2102,05,4881,SPINNER SHARK,0,0,1,0,0,9996
2007-007406,007406,2007,06,24,2102,06,230,96,1,0,0,0,0,9996
2007-008001,008001,2007,06,24,1108,01,4711,96,1,1,0,0,0,9996
2007-008002,008002,2007,06,24,1108,02,4677,96,1,1,8,0,0,9996
2007-008002,008002,2007,06,24,1108,02,4711,96,4,4,0,0,0,9996
2007-008003,008003,2007,06,24,1108,03,4711,96,2,2,0,0,0,9996
2007-008004,008004,2007,06,24,1108,04,230,96,9,0,0,0,0,9996
2007-008004,008004,2007,06,24,1108,04,4931,96,1,1,0,0,0,9996
2007-008005,008005,2007,06,24,1108,05,4711,96,8,0,0,0,0,9996
2007-008006,008006,2007,06,24,1108,06,230,96,2,2,0,0,0,9996
2007-008006,008006,2007,06,24,1108,06,4681,96,1,1,0,0,0,9996
2007-008007,008007,2007,06,24,1108,07,4711,96,2,0,0,0,0,9996
2007-008008,008008,2007,06,24,1108,08,4677,96,1,0,0,0,0,9996
2007-008008,008008,2007,06,24,1108,08,4678,96,1,0,0,0,0,9996
2007-008008,008008,2007,06,24,1108,08,4711,96,4,0,0,0,0,9996
2007-008101,008101,2007,06,24,1113,01,230,96,2,2,0,0,0,9996
2007-008102,008102,2007,06,24,1113,02,4711,96,3,3,4,0,0,9996
2007-008103,008103,2007,06,24,1113,03,4841,96,0,0,2,0,0,9996
2007-008104,008104,2007,06,24,1113,04,3551,96,0,0,1,0,0,9996
2007-008104,008104,2007,06,24,1113,04,4180,96,1,1,0,0,0,9996
2007-008105,008105,2007,06,24,1113,05,3531,96,0,0,1,0,0,9996
2007-008105,008105,2007,06,24,1113,05,4841,96,0,0,3,0,0,9996
2007-008107,008107,2007,06,24,1113,07,3551,96,0,0,1,0,0,9996
2007-008108,008108,2007,06,24,1113,08,4821,96,1,1,0,0,0,9996
2007-008109,008109,2007,06,24,1113,09,230,96,2,0,0,0,0,9996
2007-008109,008109,2007,06,24,1113,09,3551,96,1,1,0,0,0,9996
2007-008109,008109,2007,06,24,1113,09,4931,96,0,0,1,0,0,9996
2007-008110,008110,2007,06,24,1113,10,4931,96,1,1,0,0,0,9996
2007-008111,008111,2007,06,24,1113,11,4560,TRIGGER OCEAN,0,0,1,0,0,9996
2007-008201,008201,2007,06,34,1108,01,1219,FLOUNDER,0,0,8,0,0,9996
2007-008201,008201,2007,06,34,1108,01,3350,SEA BASS,0,0,8,0,0,9996
2007-008201,008201,2007,06,34,1108,01,4711,96,1,1,0,0,0,9996
2007-008202,008202,2007,06,34,1108,02,3551,96,0,0,1,0,0,9996
2007-008202,008202,2007,06,34,1108,02,4841,96,0,0,1,0,0,9996
2007-008203,008203,2007,06,34,1108,03,4711,96,2,0,0,0,0,9996
2007-008301,008301,2007,06,34,1206,01,230,96,10,0,15,0,0,9996
2007-008301,008301,2007,06,34,1206,01,4931,96,0,0,8,0,0,9996
2007-008302,008302,2007,06,34,1206,02,3551,96,2,1,0,0,0,9996
2007-008303,008303,2007,06,34,1206,03,230,96,12,0,0,0,0,9996
2007-008304,008304,2007,06,34,1206,04,3551,96,1,1,0,0,0,9996
2007-008304,008304,2007,06,34,1206,04,4931,96,0,0,1,0,0,9996
2007-008501,008501,2007,06,36,1206,01,4931,96,0,0,10,0,0,9996
2007-008601,008601,2007,06,51,1104,01,3650,SKATES,2,1,1,0,0,9996
2007-008602,008602,2007,06,51,1104,02,1050,96,14,10,0,0,0,9996
2007-008603,008603,2007,06,51,1104,03,4950,96,0,0,3,0,0,9996
2007-008605,008605,2007,06,51,1104,05,1050,96,1,1,0,0,0,9996
2007-008605,008605,2007,06,51,1104,05,4711,96,5,5,0,0,0,9996
