tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
095801,6,25,MA,6,01,6,6,STELLWAGEN BAN,7694,25,1508,2201,0217,8,3,1,2,1,1,1503,4670,9996,2,2,3,7,1,0,0,1,0,0,0,1,4216,7017,14,120,65,1,2,1,MAAU2201.pdf,00112929.tif,2017,0,0,0,ORIGINAL,08,01,21032,0958,0230217,023,2,588,0,,Y,1,,2017-095801
095802,6,25,MA,6,02,6,6,STELLWAGEN BAN,7694,25,1547,2201,0217,8,3,1,2,1,1,1543,4670,9996,2,2,4,6,1,0,0,1,0,0,0,2,4210,7015,15,120,65,1,2,1,MAAU2201.pdf,00112931.tif,2017,0,0,0,ORIGINAL,08,01,21032,0958,0230217,023,2,589,0,,Y,1,,2017-095802
095901,6,25,MA,6,01,6,LIVE LINING,STELLWAGEN BANK,7715,25,1715,2202,9038,9,1,1,2,1,1,1600,4671,9996,2,12,2,8,1,0,0,0,0,0,1,1,4216,7017,17,150,65,1,2,1,MAAU2202.pdf,00112935.tif,2017,0,1,0,ORIGINAL,08,01,21032,0959,0239038,023,2,591,0,,Y,2,,2017-095901
095902,6,25,MA,6,02,6,LIVE LINING,STELLWAGEN BANK,7715,25,1840,2202,9038,9,1,2,1,3,1,1820,4671,9996,2,2,2,6,1,0,0,0,0,0,1,4,4216,7017,16,120,68,2,1,1,MAAU2202.pdf,00112937.tif,2017,0,1,0,ORIGINAL,08,01,21032,0959,0239038,023,2,590,0,,Y,2,,2017-095902
096001,6,25,MA,6,01,6,LIVE LINING,IPSWICH BAY,7672,25,1420,2219,0024,15,1,2,1,3,1,1405,4671,9996,2,1,2,6,1,0,0,0,0,0,1,5,4240,7040,5,180,68,1,2,1,MAAU2219.pdf,00112941.tif,2017,0,1,0,ORIGINAL,08,01,21032,0960,0090024,009,2,605,0,,Y,2,,2017-096001
096002,6,25,MA,6,02,6,LIVE LINING,STELLWAGEN BANK,7672,25,1605,2219,0024,15,1,1,2,2,1,1535,4671,9996,2,2,2,12,1,0,0,0,0,0,1,2,4216,7017,10,150,99,1,2,1,MAAU2219.pdf,00112943.tif,2017,0,1,0,ORIGINAL,08,01,21032,0960,0090024,009,2,604,0,,N,2,,2017-096002
096003,6,25,MA,6,03,6,LIVE LINING,IPSWICH BAY,7672,25,1720,2219,0024,15,1,2,1,3,1,1710,4671,9996,2,2,3,14,1,0,0,0,0,0,1,4,4240,7040,20,230,99,1,2,1,MAAU2219.pdf,00112945.tif,2017,0,1,0,ORIGINAL,08,01,21032,0960,0090024,009,2,606,0,,Y,2,,2017-096003
096101,6,25,MA,6,01,6,LIVE LINING,STELLWAGEN BANK SW,7713,25,1730,2220,0110,16,1,1,2,1,1,1725,4671,9996,2,2,3,10,1,0,0,0,0,0,1,2,4210,7015,8,100,60,1,2,1,MAAU2220 .pdf,00112949.tif,2017,0,0,0,ORIGINAL,08,01,21032,0961,0090110,009,2,608,0,,Y,2,,2017-096101
096102,6,25,MA,6,02,6,LIVE LINING,STELLWAGEN BANK S,7713,25,1906,2220,0111,16,1,1,2,3,1,1900,4671,9996,2,2,3,12,1,0,0,0,0,0,1,3,4210,7015,8,150,69,1,1,1,MAAU2220 .pdf,00112951.tif,2017,0,0,0,ORIGINAL,08,01,21032,0961,0090111,009,2,607,0,,Y,2,,2017-096102
096201,6,24,MD,6,01,6,6,MASSEYS CANYON,6936,24,1630,2102,1493,5,1,1,2,2,1,1615,4711,9996,2,1,3,6,0,0,1,0,0,1,0,3,3825,7420,38,100,76,1,2,1,MDAU2102.pdf,00112955.tif,2017,0,0,0,ORIGINAL,08,02,21033,0962,0471493,047,6,393,0,,Y,2,,2017-096201
096202,6,12,FL,6,02,6,6,WASHINGTON CANYON,6936,24,1645,2102,1493,5,1,1,2,2,6,1630,2161,9996,2,1,6,8,0,1,1,1,0,0,0,6,3727,7427,60,600,76,1,2,1,MDAU2102.pdf,00112957.tif,2017,0,1,0,ORIGINAL,08,02,21033,0962,0471493,047,6,395,0,,N,1,,2017-096202
096203,6,24,MD,6,03,6,BOTTOM FISHING,BALTIMORE CANYON,6936,24,1700,2102,1493,5,1,2,1,3,1,1650,4711,9996,2,12,12,8,0,1,1,1,0,1,1,5,3806,7349,65,1200,78,1,1,1,MDAU2102.pdf,00112959.tif,2017,0,0,0,ORIGINAL,08,02,21033,0962,0471493,047,6,390,0,,Y,2,,2017-096203
096204,6,24,MD,6,04,6,6,WASHINGTON CANYON,6936,24,1715,2102,1493,5,1,2,1,3,1,1645,2161,9996,2,1,6,8,0,1,1,1,0,0,0,6,3727,7427,60,1500,75,2,1,1,MDAU2102.pdf,00112961.tif,2017,0,0,0,ORIGINAL,08,02,21033,0962,0471493,047,6,392,0,,Y,2,,2017-096204
096205,6,24,MD,6,05,6,6,POOR MANS CANYON,6936,24,1725,2102,1493,5,1,2,1,3,1,1700,2161,9996,2,1,5,8,0,1,1,1,0,0,0,2,3752,7406,57,600,76,1,2,1,MDAU2102.pdf,00112963.tif,2017,0,0,0,ORIGINAL,08,02,21033,0962,0471493,047,6,391,0,,Y,2,,2017-096205
096206,6,24,MD,6,06,6,6,ROCK PILE,6936,24,1805,2102,1493,5,1,2,1,3,6,1745,4711,9996,2,2,10,8,0,1,1,1,0,0,0,5,3739,7422,55,300,74,1,2,1,MDAU2102.pdf,00112965.tif,2017,0,1,0,ORIGINAL,08,02,21033,0962,0471493,047,6,394,0,,N,2,,2017-096206
096207,6,24,MD,6,07,6,6,WASHINGTON CANYON,6936,24,1840,2102,1493,5,1,1,2,2,1,1820,2161,9996,2,1,4,8,0,1,1,1,0,0,0,3,3727,7427,75,700,76,2,2,1,MDAU2102.pdf,00112967.tif,2017,0,0,0,ORIGINAL,08,02,21033,0962,0471493,047,6,389,0,,Y,2,,2017-096207
096301,6,24,MD,6,01,6,6,HOT DOG,6936,24,1615,2111,1493,5,1,2,1,3,1,1600,4711,9996,2,12,11,7,0,1,1,1,0,0,0,4,3806,7417,42,120,75,1,1,1,MDAU2111.pdf,00112971.tif,2017,0,0,0,ORIGINAL,08,01,21032,0963,0471493,047,6,403,0,,Y,2,,2017-096301
096302,6,24,MD,6,02,6,6,POOR MANS CANYON,6936,24,1715,2111,1493,5,1,2,1,3,1,1700,4711,9996,2,12,11,8,0,1,1,1,0,0,0,5,3752,7406,55,900,75,1,2,1,MDAU2111.pdf,00112973.tif,2017,0,0,0,ORIGINAL,08,01,21032,0963,0471493,047,6,404,0,,Y,2,,2017-096302
096303,6,24,MD,6,03,6,6,ROCK PILE,6936,24,1735,2111,1493,5,1,2,1,3,1,1710,2161,9996,2,1,5,8,0,1,1,1,0,0,0,6,3739,7422,55,600,75,1,2,1,MDAU2111.pdf,00112975.tif,2017,0,0,0,ORIGINAL,08,01,21032,0963,0471493,047,6,400,0,,Y,1,,2017-096303
096304,6,24,MD,6,04,6,6,MASSEYS CANYON,6936,24,1750,2111,1493,5,1,1,2,2,1,1700,4711,9996,2,1,3,6,0,0,1,0,0,1,0,5,3825,7420,30,120,98,1,2,1,MDAU2111.pdf,00112977.tif,2017,0,0,0,ORIGINAL,08,01,21032,0963,0471493,047,6,401,0,,Y,2,,2017-096304
096305,6,24,MD,6,05,6,6,HOT DOG,6936,24,1810,2111,1493,5,1,2,1,3,6,1715,4711,9996,2,12,8,8,0,1,1,1,0,0,0,5,3806,7417,40,135,74,1,2,1,MDAU2111.pdf,00112979.tif,2017,0,1,0,ORIGINAL,08,01,21032,0963,0471493,047,6,405,0,,N,2,,2017-096305
096306,6,10,DE,6,06,6,6,WASHINGTON CANYON,6936,24,1825,2111,1493,5,1,2,1,3,1,1800,2161,9996,2,1,6,8,0,1,1,1,0,0,0,6,3727,7427,60,1800,78,1,2,1,MDAU2111.pdf,00112981.tif,2017,0,0,0,ORIGINAL,08,01,21032,0963,0471493,047,6,399,0,,Y,1,,2017-096306
