tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,MARINE ELECTRIC,2003-001301,001301,6116,15863,06,07,2003,1640,24,1203,01,047,0853,0470853,3,1,2,1,1,3,6,6,6,MD,24,1625,4711,9996,2,6,6,6,5,6,0,1,1,1,1,0,0,6,6,3753,7450,20,29,68,1,6,1,2,1,6,,,,,
6,FINGERS,2003-001701,001701,6116,15864,06,08,2003,1730,24,1101,01,047,1493,0471493,5,1,1,2,1,2,6,2,1,MD,24,1725,3551,9996,2,6,6,6,4,9,0,0,1,0,1,0,0,6,1,3812,7437,25,120,57,1,6,1,2,1,6,,,,,
6,JACKSPOT,2003-001901,001901,6148,15864,06,08,2003,1645,24,1105,01,047,0856,0470856,4,3,1,2,1,2,6,6,1,MD,24,1639,3531,9996,2,6,6,6,4,6,0,0,1,0,0,1,0,6,4,3805,7445,21,100,57,1,6,1,1,1,6,,,,,
6,FINGERS,2003-001902,001902,6148,15864,06,08,2003,1650,24,1105,02,047,0856,0470856,4,3,1,2,1,2,6,2,1,MD,24,1645,3531,9996,2,6,6,6,3,4,0,0,1,1,1,1,0,6,2,3812,7437,28,112,59,2,6,2,2,1,6,,,,,
6,INLET BAY,2003-002001,002001,6308,15862,06,06,2003,1400,51,2206,01,001,0039,0010039,8,1,1,2,2,6,6,8,1,VA,51,1400,4670,9996,2,6,6,6,1,2,0,1,0,0,0,0,1,DRIFTING,1,9998,9998,4,30,60,1,6,2,2,1,6,,,,,
STAR ISLAND SHARK,1470 4370,2003-003201,003201,6318,15868,06,12,2003,1545,36,2203,01,103,0085,1030085,4,1,1,2,1,2,6,1,6,NY,36,1540,3551,9996,1,T206,6,6,8,5,0,0,1,0,1,1,0,6,4,9998,9998,30,212,58,1,6,2,2,1,6,,,,,
STAR ISLAND SHARK,8,2003-003202,003202,6318,15868,06,12,2003,1600,36,2203,02,103,0085,1030085,4,1,1,2,1,8,6,6,6,NY,36,1600,3551,9996,1,T206,6,6,4,5,0,0,1,0,1,0,0,6,4,9998,9998,25,170,57,1,6,1,2,1,6,,,,,
STAR ISLAND SHARK,BUTTERFISH HOLE,2003-003203,003203,6318,15868,06,12,2003,1615,36,2203,03,103,0085,1030085,4,1,1,2,2,6,6,1,6,NY,36,1615,3551,9996,1,T206,6,6,3,6,0,0,1,0,1,1,0,6,5,4050,7135,18,200,61,1,6,2,2,1,6,,,,,
STAR ISLAND SHARK,7,2003-003204,003204,6318,15868,06,12,2003,1700,36,2203,04,103,0085,1030085,4,1,1,2,1,2,6,6,6,CT,09,1700,3551,9996,1,T206,6,6,4,7,0,0,1,0,1,1,0,6,4,9999,9999,26,196,58,1,6,1,2,1,6,,,,,
STAR ISLAND SHARK,SHARKS LEDGE,2003-003205,003205,6318,15868,06,12,2003,1708,36,2203,05,103,0085,1030085,4,1,1,2,2,6,6,2,1,CT,09,1705,3551,9996,1,T206,6,6,4,7,0,0,1,0,1,1,0,6,5,4105,7130,25,117,60,1,6,1,2,1,6,,,,,
