tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,NORFOLK CANYON,2006-000101,000101,6630,16953,06,01,2006,1705,51,2114,01,810,0002,8100002,1,1,2,1,1,2,1,1,6,VA,51,1700,4711,4678,2,6,6,6,14,6,0,0,1,1,0,0,0,6,4,9998,9998,75,6600,67,1,2,1,1,1,6,,,,,
6,POORMANS CANYON,2006-000501,000501,6447,16954,06,02,2006,1550,24,2111,01,047,1493,0471493,5,1,2,1,1,3,1,1,2,MD,24,1500,4656,9996,2,6,6,6,8,3,0,1,1,1,0,0,0,6,5,3752,7406,65,3000,68,2,2,1,2,1,6,,,,,
MAKO MANIA,SAUSAGES,2006-000502,000502,6447,16954,06,02,2006,1630,24,2111,02,047,1493,0471493,5,1,1,2,1,2,1,1,6,MD,24,1615,3551,3591,1,T500,6,6,3,7,0,0,1,0,0,1,0,6,2,3759,7433,31,140,98,1,2,1,2,1,6,,,,,
6,7,2006-000503,000503,6447,16954,06,02,2006,1645,24,2111,03,047,1493,0471493,5,1,2,2,1,3,1,8,7,NC,37,1630,2161,4656,2,6,6,6,8,8,0,1,1,1,0,0,0,6,2,9998,9998,64,3000,70,2,2,1,1,1,6,,,,,
6,WASHINGTON CANYON,2006-000504,000504,6447,16954,06,02,2006,1720,24,2111,04,047,1493,0471493,5,1,2,1,1,3,7,8,7,MD,24,1700,4711,4678,2,6,6,6,6,7,0,1,1,1,0,0,0,6,6,9998,9998,7,3000,68,2,2,1,1,1,6,,,,,
MAKO MANIA,SAUSAGES,2006-000505,000505,6447,16954,06,02,2006,1820,24,2111,05,047,1493,0471493,5,1,1,2,1,3,1,1,6,MD,24,1500,3551,9996,1,T500,6,6,4,7,1,0,1,0,0,1,0,6,6,3759,7433,35,150,67,2,2,1,1,1,6,,,,,
MAKO MANIA,WASHINGTON CANYON,2006-000506,000506,6447,16954,06,02,2006,1825,24,2111,06,047,1493,0471493,5,1,2,1,1,3,1,1,6,MD,24,1800,3551,9996,1,T500,6,6,4,7,0,0,1,0,0,1,0,6,3,3820,7330,60,800,68,2,2,1,2,1,6,,,,,
6,2C BUOY,2006-000901,000901,6427,16954,06,02,2006,1515,51,2113,01,131,0302,1310302,6,1,1,2,1,2,7,2,1,VA,51,1515,1219,9996,2,6,6,6,3,7,0,0,1,0,0,0,1,DRIFTING,3,3712,7601,2,22,98,1,2,1,2,1,6,,,,,
MAKO MANIA,POORMANS CANYON,2006-001101,001101,6555,16956,06,04,2006,1535,24,1101,01,047,0004,0470004,1,1,1,2,1,2,2,2,1,MD,24,1530,3551,3531,1,T500,6,6,4,4,0,0,1,0,0,1,0,6,3,3752,7406,50,300,65,1,2,1,1,1,6,,,,,
MAKO MANIA,20 FATHOM FINGER,2006-001102,001102,6555,16956,06,04,2006,1720,24,1101,02,047,0004,0470004,1,1,1,2,1,2,1,2,1,MD,24,1710,3551,230,1,T500,6,6,4,8,1,0,1,0,0,1,0,6,5,3812,7437,50,150,98,1,2,1,2,1,6,,,,,
