tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,01,6,6,BALTIMORE CANYON,6783,10,1726,2101,1599,2,1,1,2,2,6,1726,4711,9996,2,2,8,6,0,1,1,1,0,0,0,0,5,3806,7349,70,3000,67,1,2,1,DEJN2101.pdf,00145968.tif,2020,0,1,0,ORIGINAL,06,01,22067,000101,0001,0051599,005,6,166,0,,Y,1,2020-000101
6,34,NJ,6,01,6,6,SEAISLE RIDGE,7509,34,1730,2205,1063,2,1,1,2,2,1,1700,4670,9996,2,2,6,6,0,1,1,1,0,0,0,0,3,3859,7426,20,80,63,1,2,1,NJJN2205.pdf,00145992.tif,2020,0,0,0,REVISED,06,04,22070,001001,0010,0011063,001,5,312,0,,Y,2,2020-001001
6,10,DE,6,01,6,6,BALTIMORE CANYON,6447,10,1632,1201,1599,2,1,1,2,2,6,1630,4656,9996,2,2,7,9,0,1,1,1,0,0,0,0,5,3806,7349,82,3000,68,1,2,1,DEJN1201.pdf,00145998.tif,2020,1,0,1,REVISED,06,07,22073,001201,0012,0051599,005,6,165,0,,N,2,2020-001201
6,24,MD,6,02,6,6,WILMINGTON CANYON,6447,10,1707,1201,1599,2,1,1,2,2,1,1700,4656,1050,2,2,10,7,0,1,1,1,0,0,0,0,3,3824,7327,58,1000,60,2,2,2,DEJN1201.pdf,00146000.tif,2020,0,0,0,ORIGINAL,06,07,22073,001202,0012,0051599,005,6,158,0,,Y,2,2020-001202
6,10,DE,6,03,6,6,BALTIMORE CANYON,6447,10,1752,1201,1599,2,1,1,2,2,1,1745,4656,9996,2,2,6,8,0,1,1,1,0,0,0,0,4,3806,7349,90,6000,65,1,2,1,DEJN1201.pdf,00146001.tif,2020,0,0,0,ORIGINAL,06,07,22073,001203,0012,0051599,005,6,164,0,,Y,2,2020-001203
6,10,DE,6,04,6,6,HOT DOG,6447,10,1845,1201,0017,2,1,1,2,2,1,1830,4656,9996,2,2,7,8,0,1,1,1,0,0,0,0,4,3806,7417,45,180,67,1,2,1,DEJN1201.pdf,00146003.tif,2020,0,0,0,ORIGINAL,06,07,22073,001204,0012,0050017,005,6,161,0,,Y,2,2020-001204
6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1900,1201,1599,2,1,1,2,2,1,1845,4656,9996,2,2,8,8,0,1,0,1,0,0,0,0,5,3806,7349,82,3000,62,1,2,2,DEJN1201.pdf,00146005.tif,2020,0,0,0,ORIGINAL,06,07,22073,001205,0012,0051599,005,6,160,0,,Y,2,2020-001205
6,10,DE,6,06,6,6,BALTIMORE CANYON,6447,10,1910,1201,1599,2,1,1,2,2,1,1900,4656,9996,2,2,9,8,0,1,1,1,0,0,0,0,6,3814,7350,65,1800,66,2,2,2,DEJN1201.pdf,00146006.tif,2020,0,0,0,ORIGINAL,06,07,22073,001206,0012,0051599,005,6,163,0,,Y,2,2020-001206
6,10,DE,6,07,6,6,BALTIMORE CANYON,6447,10,1920,1201,1599,2,1,1,2,2,6,1900,4656,9996,2,2,12,8,0,1,1,1,0,0,0,0,6,3806,7349,80,3000,65,1,1,1,DEJN1201.pdf,00146007.tif,2020,0,1,1,ORIGINAL,06,07,22073,001207,0012,0051599,005,6,162,0,,Y,2,2020-001207
6,10,DE,6,08,6,6,BALTIMORE CANYON,6447,10,1936,1201,1599,2,1,2,1,3,1,1900,4656,9996,2,2,12,8,0,1,1,1,0,0,0,0,6,3806,7349,80,6000,68,1,2,2,DEJN1201.pdf,00146009.tif,2020,0,0,0,ORIGINAL,06,07,22073,001208,0012,0051599,005,6,159,0,,Y,2,2020-001208
6,10,DE,6,01,6,6,HAMBONE,6555,24,1545,1102,0856,4,3,1,2,2,1,1540,4678,9996,2,2,6,7,0,1,1,1,0,0,0,0,3,3811,7424,36,200,65,1,1,1,MDJN1102.pdf,00146019.tif,2020,0,0,0,ORIGINAL,06,06,22072,001601,0016,0470856,047,6,186,0,,Y,2,2020-001601
6,24,MD,6,02,6,6,SAUSAGES,6555,24,1745,1102,0856,4,3,1,2,2,2,1740,4676,9996,2,2,7,7,0,1,0,1,0,0,0,0,2,3812,7437,30,200,98,1,2,1,MDJN1102.pdf,00146021.tif,2020,0,0,0,ORIGINAL,06,06,22072,001602,0016,0470856,047,6,187,0,,Y,2,2020-001602
