tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
133601,6,09,CT,6,01,6,DRIFTING,OFF OF MONTAUK,6773,09,1508,1107,0630,3,1,1,2,1,2,1500,330,3591,2,1,3,4,0,1,0,0,0,0,1,1,3,9999,9999,5,110,73,1,2,1,CTSE1107.pdf,00128368.tif,2018,0,1,0,ORIGINAL,09,03,21430,1336,0110630,011,3,144,0,,N,1,,2018-133601
133602,6,09,CT,6,02,6,6,BUTTERFISH HOLE,6773,09,1530,1107,0880,3,1,1,2,2,1,1500,3551,3531,2,1,3,6,1,1,0,0,0,0,1,0,4,4050,7135,15,180,68,1,1,1,CTSE1107.pdf,00128370.tif,2018,0,0,0,ORIGINAL,09,03,21430,1336,0110880,011,3,143,0,,Y,2,,2018-133602
133603,6,09,CT,6,03,6,6,SOUTH OF HORNS,6773,09,1710,1107,0833,3,1,1,2,2,1,1630,4711,1050,2,12,7,5,0,1,1,1,0,1,0,0,3,9999,9999,50,240,98,2,2,1,CTSE1107.pdf,00128372.tif,2018,0,0,0,ORIGINAL,09,03,21430,1336,0110833,011,3,142,0,,Y,1,,2018-133603
133604,6,09,CT,6,04,6,6,20 MI E BLOCK ISL,6773,09,1721,1107,0833,3,1,1,2,4,6,1630,1050,9996,2,2,4,5,0,0,1,1,0,0,0,0,1,9999,9999,20,140,98,1,2,1,CTSE1107.pdf,00128374.tif,2018,0,0,0,ORIGINAL,09,03,21430,1336,0110833,011,3,145,0,,N,2,,2018-133604
133605,6,09,CT,6,05,6,JIGGING,TSUNAMI BUOY,6773,09,1737,1107,3879,3,1,1,2,3,1,1700,4691,1050,2,2,9,16,0,1,1,1,1,1,0,1,3,9999,9999,120,8500,78,1,2,1,CTSE1107.pdf,00128376.tif,2018,0,0,0,ORIGINAL,09,03,21430,1336,0113879,011,3,141,1,Q25;Q26;,Y,2,,2018-133605
133801,6,09,CT,6,01,6,CASTING,MONTAUK,7750,09,1704,1208,0656,4,1,1,2,2,7,1615,3551,9996,2,2,1,1,0,1,0,0,0,0,0,1,3,9997,9997,5,85,70,1,1,1,CTSE1208.pdf,00128383.tif,2018,0,1,0,ORIGINAL,09,02,21429,1338,0110656,011,3,155,1,Q20;Q24_LONG/LAT;,Y,2,,2018-133801
134101,6,10,DE,6,01,6,BAILING,HOT DOG,6447,10,1530,1101,1599,2,1,1,2,2,1,1515,4720,1050,2,1,2,5,0,1,0,1,0,0,0,1,2,3806,7417,50,160,79,1,2,1,DESE1101.pdf,00128391.tif,2018,0,1,0,ORIGINAL,09,03,21430,1341,0051599,005,6,163,0,,Y,2,,2018-134101
134102,6,10,DE,6,02,6,BAILING,WILMINGTON CANYON,6447,10,1640,1101,0017,2,1,2,2,3,1,1630,1050,9996,2,12,5,20,0,1,0,1,0,0,0,1,6,3824,7327,74,800,80,2,2,1,DESE1101.pdf,00128393.tif,2018,0,1,0,ORIGINAL,09,03,21430,1341,0050017,005,6,158,0,,Y,2,,2018-134102
134103,6,10,DE,6,03,6,6,WILMINGTON CANYON,6447,10,1650,1101,0017,2,1,1,2,3,1,1630,7777,1050,2,1,6,18,0,1,1,1,0,1,0,0,4,3824,7327,80,99998,82,2,2,1,DESE1101.pdf,00128395.tif,2018,0,0,0,ORIGINAL,09,03,21430,1341,0050017,005,6,165,0,,Y,2,,2018-134103
134104,6,10,DE,6,04,6,6,BALTIMORE CANYON,6447,10,1718,1101,1599,2,1,1,2,2,1,1710,2161,1050,2,12,8,20,0,1,1,1,0,0,0,0,6,3814,7350,70,2000,78,1,2,1,DESE1101.pdf,00128397.tif,2018,0,0,0,ORIGINAL,09,03,21430,1341,0051599,005,6,162,0,,Y,2,,2018-134104
