tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,07,6,6,BALTIMORE CANYON,6936,24,1840,1108,1493,5,1,1,2,2,1,1815,4677,4678,2,2,9,7,0,1,1,1,0,0,0,0,6,3814,7350,65,1800,70,1,2,1,MDJN1108.pdf,00132311.tif,2019,0,0,0,ORIGINAL,06,01,21701,000807,0008,0471493,047,6,346,0,,Y,1,2019-000807
6,34,NJ,6,01,6,6,WILMINGTON CANYON,7508,34,1531,1107,1131,11,1,2,2,3,1,1430,4678,4711,2,2,12,10,0,1,1,1,0,0,0,0,6,3824,7327,70,1000,70,1,2,1,NJJN1107.pdf,00132316.tif,2019,0,0,0,ORIGINAL,06,01,21701,000901,0009,0091131,009,5,532,0,,Y,1,2019-000901
3070,34,NJ,JIMS BAIT & TACKLE SHARK,02,6,6,ELEPHANT TRUNK,7508,34,1630,1107,1044,11,1,1,2,2,1,1623,3551,9996,1,1,3,5,0,1,0,0,0,1,0,0,4,3835,7405,44,178,65,1,2,1,NJJN1107.pdf,00132318.tif,2019,1,0,0,ORIGINAL,06,01,21701,000902,0009,0091044,009,5,159,0,,Y,2,2019-000902
6,34,NJ,6,03,6,6,BALTIMORE CANYON,7508,34,1642,1107,1044,11,1,1,2,2,1,1600,4678,9996,2,2,10,10,0,1,1,1,0,0,0,0,4,3820,7345,62,600,69,1,2,1,NJJN1107.pdf,00132320.tif,2019,1,0,0,ORIGINAL,06,01,21701,000903,0009,0091044,009,5,533,0,,Y,1,2019-000903
6,34,NJ,6,04,6,6,ELEPHANT TRUNK,7508,34,1710,1107,1044,11,1,1,2,2,1,1500,4678,4711,2,2,9,7,0,1,1,1,0,0,0,0,7,3835,7405,45,170,67,1,2,1,NJJN1107.pdf,00132322.tif,2019,0,0,0,ORIGINAL,06,01,21701,000904,0009,0091044,009,5,536,0,,Y,2,2019-000904
6,34,NJ,6,05,6,6,ELEPHANT TRUNK,7508,34,1741,1107,0051,11,1,1,2,2,1,1643,4678,9996,2,2,7,9,0,0,1,1,0,0,0,0,3,3835,7405,35,180,67,1,2,1,NJJN1107.pdf,00132326.tif,2019,0,1,0,ORIGINAL,06,01,21701,000905,0009,0090051,009,5,535,0,,Y,1,2019-000905
3070,34,NJ,JIMS BAIT & TACKLE SHARK,06,6,6,BALTIMORE CANYON,7508,34,1756,1107,1044,11,1,1,2,2,1,1730,3551,9996,1,1,5,7,0,1,0,0,0,1,0,0,4,3820,7345,45,700,65,1,2,1,NJJN1107.pdf,00132328.tif,2019,0,0,0,ORIGINAL,06,01,21701,000906,0009,0091044,009,5,161,0,,Y,2,2019-000906
3070,34,NJ,JIMS BAIT & TACKLE SHARK,07,6,6,TEA CUP,7508,34,1816,1107,1131,11,1,1,2,2,1,1730,3551,9996,1,1,5,7,0,1,0,0,1,0,0,0,5,3821,7410,45,230,66,1,2,1,NJJN1107.pdf,00132330.tif,2019,1,0,0,ORIGINAL,06,01,21701,000907,0009,0091131,009,5,160,0,,Y,2,2019-000907
6,34,NJ,6,08,6,6,BALTIMORE CANYON,7508,34,1819,1107,1131,11,1,1,2,2,1,1715,4677,9996,2,2,8,6,0,1,1,1,0,0,0,0,4,3820,7345,55,1200,64,1,2,1,NJJN1107.pdf,00132332.tif,2019,0,0,0,ORIGINAL,06,01,21701,000908,0009,0091131,009,5,531,0,,Y,2,2019-000908
6,34,NJ,6,09,6,6,BALTIMORE CANYON,7508,34,1828,1107,1131,11,1,1,2,2,1,1612,4678,4711,2,2,9,8,0,1,1,1,0,0,0,0,4,3820,7345,65,500,64,1,2,1,NJJN1107.pdf,00132334.tif,2019,0,0,0,ORIGINAL,06,01,21701,000909,0009,0091131,009,5,534,0,,Y,2,2019-000909
6,34,NJ,6,01,6,6,BALTIMORE CANYON,7508,34,1541,1201,0900,3,1,1,2,2,1,1515,4678,1050,2,2,6,6,0,0,1,1,0,0,0,0,3,3820,7345,64,600,72,1,1,2,NJJN1201.pdf,00132339.tif,2019,0,0,0,ORIGINAL,06,02,21702,001001,0010,0090900,009,5,545,0,,Y,2,2019-001001
6,34,NJ,6,02,6,6,BALTIMORE CANYON,7508,34,1728,1201,0385,3,1,1,2,2,1,1720,4678,1050,2,2,7,6,0,1,1,1,0,0,0,0,4,3820,7345,65,1700,66,1,2,1,NJJN1201.pdf,00132340.tif,2019,0,0,0,ORIGINAL,06,02,21702,001002,0010,0090385,009,5,547,0,,Y,2,2019-001002
6,34,NJ,6,03,6,6,BALTIMORE CANYON,7508,34,1807,1201,0900,3,1,1,2,2,1,1800,4678,4711,2,12,9,9,0,1,1,1,0,0,0,0,6,3820,7345,72,450,64,1,2,1,NJJN1201.pdf,00132342.tif,2019,0,0,0,ORIGINAL,06,02,21702,001003,0010,0090900,009,5,546,0,,Y,1,2019-001003
6,34,NJ,6,01,6,6,30 MILES SE,7781,34,1500,1211,0193,10,1,2,1,3,7,1300,4677,9996,2,2,6,4,0,1,1,1,0,0,0,0,4,9999,9999,19,140,65,1,1,1,NJJN1211.pdf,00132347.tif,2019,0,1,0,ORIGINAL,06,01,21701,001101,0011,0290193,029,5,578,0,,Y,2,2019-001101
6,34,NJ,6,02,6,6,20 MILES NW,7781,34,1530,1211,0193,10,1,1,2,2,6,1530,4677,9996,2,2,6,6,0,0,1,1,0,0,0,0,6,9999,9999,20,120,62,1,2,1,NJJN1211.pdf,00132349.tif,2019,0,1,0,ORIGINAL,06,01,21701,001102,0011,0290193,029,5,581,0,,N,2,2019-001102
6,34,NJ,6,03,6,6,LITTLE ITALY,7781,34,1610,1211,1655,10,1,1,2,2,2,1400,4677,9996,2,2,4,4,0,0,1,1,0,0,0,0,2,9999,9999,17,110,63,1,1,1,NJJN1211.pdf,00132351.tif,2019,1,1,0,ORIGINAL,06,01,21701,001103,0011,0291655,029,5,579,0,,Y,2,2019-001103
6,34,NJ,6,04,6,6,RESOR WRECK,7781,34,1730,1211,0279,10,1,1,2,3,7,1721,4677,4681,2,2,8,12,0,0,1,1,0,0,0,0,4,9999,9999,30,120,63,2,1,1,NJJN1211.pdf,00132353.tif,2019,0,1,0,ORIGINAL,06,01,21701,001104,0011,0290279,029,5,580,0,,Y,1,2019-001104
6,36,NY,6,01,6,6,CHICKEN CANYON,7517,36,1440,1102,1780,2,1,1,2,2,6,1430,4677,9996,2,2,7,11,0,1,1,1,0,0,0,0,3,3952,7303,50,190,64,2,2,1,NYJN1102.pdf,00132359.tif,2019,0,1,1,ORIGINAL,06,02,21702,001301,0013,1031780,103,4,610,0,,Y,1,2019-001301
6,51,VA,6,01,6,6,300 LINE,7696,51,1720,1106,0088,3,3,2,1,3,1,1702,7777,9996,2,2,7,8,0,1,0,1,0,0,0,0,4,9998,9998,60,600,70,1,2,1,VAJN1106.pdf,00132363.tif,2019,0,1,0,ORIGINAL,06,01,21701,001401,0014,8100088,810,7,696,0,,Y,2,2019-001401
