stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,tracker,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
10,01,1101,1,0,,6783,2,1,6,2016,06,11,008101,0051599,0,0,2,DEJN1101.pdf,00095218.tif,ORIGINAL,DOLPHIN,1050,0081,4,5,0,0,0,0,0,2,2016-008101
10,01,1101,2,0,,6783,2,1,6,2016,06,11,008101,0051599,0,0,2,DEJN1101.pdf,00095218.tif,ORIGINAL,SKIPJACK TUNA,4661,0081,3,1,0,0,0,0,0,2,2016-008101
10,01,1101,3,1,ALIVE;,6783,2,1,6,2016,06,11,008101,0051599,0,0,2,DEJN1101.pdf,00095218.tif,ORIGINAL,BIGEYE TUNA,4691,0081,1,3,0,4,0,0,0,2,2016-008101
10,01,1101,4,0,,6783,2,1,6,2016,06,11,008101,0051599,0,0,2,DEJN1101.pdf,00095218.tif,ORIGINAL,YFT,4711,0081,2,5,0,4,0,0,0,2,2016-008101
10,02,1101,5,0,,6783,2,1,6,2016,06,11,008102,0051599,0,0,1,DEJN1101.pdf,00095220.tif,ORIGINAL,DOLPHIN,1050,0081,2,4,4,0,0,0,0,2,2016-008102
10,02,1101,6,0,,6783,2,1,6,2016,06,11,008102,0051599,0,0,1,DEJN1101.pdf,00095220.tif,ORIGINAL,YFT,4711,0081,1,14,14,2,0,0,0,2,2016-008102
10,03,1101,7,0,,6783,2,1,3,2016,06,11,008103,0051599,0,1,1,DEJN1101.pdf,00095222.tif,ORIGINAL,DOLPHIN,1050,0081,2,2,2,0,0,0,0,2,2016-008103
10,03,1101,8,0,,6783,2,1,3,2016,06,11,008103,0051599,0,1,1,DEJN1101.pdf,00095222.tif,ORIGINAL,SKIPJACK TUNA,4661,0081,3,4,0,0,0,0,0,2,2016-008103
10,03,1101,9,1,KEPT;,6783,2,1,3,2016,06,11,008103,0051599,0,1,1,DEJN1101.pdf,00095222.tif,ORIGINAL,YFT,4711,0081,1,18,18,0,0,0,0,2,2016-008103
10,04,1101,10,0,,6783,2,1,6,2016,06,11,008104,0051599,1,1,1,DEJN1101.pdf,00095224.tif,ORIGINAL,SKIPJACK TUNA,4661,0081,2,0,0,1,0,0,0,3,2016-008104
10,04,1101,11,0,,6783,2,1,6,2016,06,11,008104,0051599,1,1,1,DEJN1101.pdf,00095224.tif,ORIGINAL,YFT,4711,0081,1,4,2,0,0,0,0,3,2016-008104
10,05,1101,12,0,,6783,2,1,5,2016,06,11,008105,0051599,0,0,2,DEJN1101.pdf,00095226.tif,ORIGINAL,DOLPHIN,1050,0081,2,2,0,0,0,0,0,2,2016-008105
10,05,1101,13,0,,6783,2,1,5,2016,06,11,008105,0051599,0,0,2,DEJN1101.pdf,00095226.tif,ORIGINAL,WHITE MARLIN,2161,0081,3,0,0,1,0,0,0,2,2016-008105
10,05,1101,14,0,,6783,2,1,5,2016,06,11,008105,0051599,0,0,2,DEJN1101.pdf,00095226.tif,ORIGINAL,YFT,4711,0081,1,5,0,1,0,0,0,2,2016-008105
10,01,1102,15,0,,6783,2,1,4,2016,06,25,034101,0051599,1,1,2,DEJN1102.pdf,00096718.tif,ORIGINAL,DOLPHIN,1050,0341,2,1,0,0,0,0,0,2,2016-034101
10,01,1102,16,0,,6783,2,1,4,2016,06,25,034101,0051599,1,1,2,DEJN1102.pdf,00096718.tif,ORIGINAL,YFT,4711,0341,1,3,0,1,0,0,0,2,2016-034101
10,01,1103,17,0,,6783,2,1,3,2016,06,26,035001,0051599,0,0,1,DEJN1103.pdf,00096722.tif,ORIGINAL,YFT,4711,0350,1,4,4,1,0,0,0,2,2016-035001
10,02,1103,18,1,KEPT;,6783,2,1,1,2016,06,26,035002,0051599,0,1,2,DEJN1103.pdf,00096724.tif,ORIGINAL,SUMMER FLOUNDER,1219,0350,1,8,8,0,0,0,0,3,2016-035002
10,04,1103,19,0,,6783,2,3,2,2016,06,26,035004,0051599,1,1,2,DEJN1103.pdf,00096727.tif,ORIGINAL,DOLPHIN,1050,0350,1,1,0,0,0,0,0,2,2016-035004
10,04,1103,20,0,,6783,2,3,2,2016,06,26,035004,0051599,1,1,2,DEJN1103.pdf,00096727.tif,ORIGINAL,SPINY DOGFISH,3521,0350,2,0,0,1,0,0,0,2,2016-035004
10,05,1103,21,0,,6783,2,1,6,2016,06,26,035005,0051599,0,1,1,DEJN1103.pdf,00096729.tif,ORIGINAL,YFT,4711,0350,1,2,2,0,0,0,0,2,2016-035005
10,06,1103,22,0,,6783,2,3,3,2016,06,26,035006,0051599,0,0,2,DEJN1103.pdf,00096731.tif,ORIGINAL,DOLPHIN,1050,0350,2,1,0,0,0,0,0,2,2016-035006
10,06,1103,23,0,,6783,2,3,3,2016,06,26,035006,0051599,0,0,2,DEJN1103.pdf,00096731.tif,ORIGINAL,YFT,4711,0350,1,0,0,1,0,0,0,2,2016-035006
10,07,1103,24,0,,6783,2,1,6,2016,06,26,035007,0051599,0,0,2,DEJN1103.pdf,00096733.tif,ORIGINAL,DOLPHIN,1050,0350,1,2,0,0,0,0,0,3,2016-035007
10,07,1103,25,0,,6783,2,1,6,2016,06,26,035007,0051599,0,0,2,DEJN1103.pdf,00096733.tif,ORIGINAL,YFT,4711,0350,2,0,0,5,0,0,0,3,2016-035007
10,08,1103,26,0,,6783,2,1,4,2016,06,26,035008,0051599,0,0,1,DEJN1103.pdf,00096735.tif,ORIGINAL,DOLPHIN,1050,0350,2,1,1,0,0,0,0,2,2016-035008
10,08,1103,27,0,,6783,2,1,4,2016,06,26,035008,0051599,0,0,1,DEJN1103.pdf,00096735.tif,ORIGINAL,YFT,4711,0350,1,1,1,0,0,0,0,2,2016-035008
10,08,1103,28,0,,6783,2,1,4,2016,06,26,035008,0051599,0,0,1,DEJN1103.pdf,00096735.tif,ORIGINAL,TIGER SHARK,4911,0350,3,0,0,1,0,0,0,2,2016-035008
10,08,1103,29,0,,6783,2,1,4,2016,06,26,035008,0051599,0,0,1,DEJN1103.pdf,00096735.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0350,4,0,0,1,0,0,0,2,2016-035008
10,11,1103,30,0,,6783,2,1,5,2016,06,26,035011,0050017,0,0,1,DEJN1103.pdf,00096739.tif,ORIGINAL,DOLPHIN,1050,0350,2,3,3,0,0,0,0,2,2016-035011
10,11,1103,31,0,,6783,2,1,5,2016,06,26,035011,0050017,0,0,1,DEJN1103.pdf,00096739.tif,ORIGINAL,SKIPJACK TUNA,4661,0350,3,3,3,0,0,0,0,2,2016-035011
10,11,1103,32,0,,6783,2,1,5,2016,06,26,035011,0050017,0,0,1,DEJN1103.pdf,00096739.tif,ORIGINAL,YFT,4711,0350,1,2,2,6,0,0,0,2,2016-035011
10,12,1103,33,0,,6783,2,1,6,2016,06,26,035012,0050017,0,0,1,DEJN1103.pdf,00096741.tif,ORIGINAL,BFT SCHOOL,4677,0350,2,1,1,0,0,0,0,2,2016-035012
10,12,1103,34,0,,6783,2,1,6,2016,06,26,035012,0050017,0,0,1,DEJN1103.pdf,00096741.tif,ORIGINAL,YFT,4711,0350,1,1,1,1,0,0,0,2,2016-035012
10,01,2102,35,0,,6447,2,1,6,2016,06,15,016401,0051599,0,0,1,DEJN2102.pdf,00095547.tif,ORIGINAL,DOLPHIN,1050,0164,3,1,1,0,0,0,0,2,2016-016401
10,01,2102,36,0,,6447,2,1,6,2016,06,15,016401,0051599,0,0,1,DEJN2102.pdf,00095547.tif,ORIGINAL,WHITE MARLIN,2161,0164,2,0,0,1,0,0,0,2,2016-016401
10,01,2102,37,0,,6447,2,1,6,2016,06,15,016401,0051599,0,0,1,DEJN2102.pdf,00095547.tif,ORIGINAL,YFT,4711,0164,1,18,18,12,0,0,0,2,2016-016401
10,01,2102,38,1,ALIVE;,6447,2,1,6,2016,06,15,016401,0051599,0,0,1,DEJN2102.pdf,00095547.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0164,4,0,0,5,0,0,0,2,2016-016401
10,02,2102,39,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,DOLPHIN,1050,0164,3,1,0,0,0,0,0,2,2016-016402
10,02,2102,40,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,SHORTFIN MAKO SHARK,3551,0164,4,0,0,1,0,0,0,2,2016-016402
10,02,2102,41,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,BIGEYE TUNA,4691,0164,2,3,3,0,0,0,0,2,2016-016402
10,02,2102,42,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,YFT,4711,0164,1,12,12,30,0,0,0,2,2016-016402
10,02,2102,43,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,DUSKY SHARK,4841,0164,7,0,0,1,0,0,0,2,2016-016402
10,02,2102,44,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,TIGER SHARK,4911,0164,5,0,0,1,0,0,0,2,2016-016402
10,02,2102,45,0,,6447,2,1,9,2016,06,15,016402,0051599,0,0,1,DEJN2102.pdf,00095549.tif,ORIGINAL,HAMMERHEAD SHARK,4950,0164,6,0,0,1,0,0,0,2,2016-016402
10,03,2102,46,0,,6447,2,1,3,2016,06,15,016403,0051599,0,0,2,DEJN2102.pdf,00095551.tif,ORIGINAL,YFT,4711,0164,1,2,0,0,0,0,0,2,2016-016403
10,04,2102,47,0,,6447,2,1,4,2016,06,15,016404,0051599,0,1,2,DEJN2102.pdf,00095553.tif,ORIGINAL,BLACK SEA BASS,3350,0164,3,15,0,30,0,0,0,2,2016-016404
10,04,2102,48,0,,6447,2,1,4,2016,06,15,016404,0051599,0,1,2,DEJN2102.pdf,00095553.tif,ORIGINAL,LITTLE TUNNY,4681,0164,2,2,0,10,0,0,0,2,2016-016404
10,04,2102,49,0,,6447,2,1,4,2016,06,15,016404,0051599,0,1,2,DEJN2102.pdf,00095553.tif,ORIGINAL,YFT,4711,0164,1,1,0,0,0,0,0,2,2016-016404
10,05,2102,50,1,RARE OR ILLEGAL SPECIES KEPT;,6447,2,1,4,2016,06,15,016405,0051599,0,0,2,DEJN2102.pdf,00095555.tif,ORIGINAL,BLUELINE TILEFISH,4440,0164,3,9,0,0,0,0,0,3,2016-016405
10,05,2102,51,0,,6447,2,1,4,2016,06,15,016405,0051599,0,0,2,DEJN2102.pdf,00095555.tif,ORIGINAL,GOLDEN TILEFISH,4467,0164,2,3,0,0,0,0,0,3,2016-016405
10,05,2102,52,0,,6447,2,1,4,2016,06,15,016405,0051599,0,0,2,DEJN2102.pdf,00095555.tif,ORIGINAL,YFT,4711,0164,1,2,0,0,0,0,0,3,2016-016405
10,06,2102,53,0,,6447,2,1,3,2016,06,15,016406,0051599,0,0,2,DEJN2102.pdf,00095557.tif,ORIGINAL,SKIPJACK TUNA,4661,0164,1,2,0,4,0,0,0,2,2016-016406
