tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1618,1101,1599,2,1,1,2,2,1,1615,4711,9996,2,12,7,5,0,1,1,1,0,0,0,3,3820,7345,45,240,71,2,1,1,dese1101.tif,00042815.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,128,0,,Y,2,,2011-107601
10,6,10,DE,6,0,6,6,MASSEYS CANYON,6478,10,1625,1101,1599,2,1,1,2,1,1,1620,7777,9996,2,2,5,6,0,1,1,1,0,0,0,4,3825,7420,40,125,78,2,1,1,dese1101.tif,00042817.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,131,0,,Y,2,,2011-107602
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1640,1101,1599,2,1,1,2,2,1,1620,4711,1050,2,12,8,8,0,1,1,1,0,0,0,4,3806,7349,60,3000,68,2,1,1,dese1101.tif,00042819.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,125,0,,Y,2,,2011-107603
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1650,1101,1599,2,1,1,2,2,1,1600,4711,9996,2,12,12,30,0,1,1,1,0,1,0,3,3820,7345,60,800,72,1,2,1,dese1101.tif,00042821.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,127,0,,Y,2,,2011-107604
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1705,1101,1599,2,1,1,2,2,1,1700,2161,4656,2,12,7,6,0,1,1,1,0,0,0,2,3820,7345,70,1000,68,2,2,1,dese1101.tif,00042823.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,130,0,,Y,2,,2011-107605
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1715,1101,1599,2,1,1,2,2,1,1710,4711,9996,2,2,7,6,0,1,1,1,0,0,0,5,3820,7345,60,240,98,2,1,2,dese1101.tif,00042825.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,129,0,,Y,2,,2011-107606
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1730,1101,1599,2,1,2,1,3,1,1725,7777,9996,2,2,7,8,0,1,1,1,0,0,0,5,3820,7345,60,240,69,2,1,1,dese1101.tif,00042826.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,124,0,,Y,1,,2011-107607
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1745,1101,1599,2,1,1,2,2,1,1730,7777,9996,2,12,8,8,0,1,1,1,0,0,0,4,3814,7350,52,600,66,1,1,2,dese1101.tif,00042828.tif,2011,0,0,0,09,03,18873,1076,0051599,005,ORIGINAL,6,126,1,Q27;,Y,2,,2011-107608
10,6,10,DE,6,0,6,6,MASSEYS CANYON,6447,10,1755,2104,1599,2,1,1,2,2,1,1745,4720,9996,2,1,7,7,0,1,1,1,0,0,0,4,3825,7420,30,160,98,2,1,1,dese2104.tif,00042833.tif,2011,0,0,0,09,01,18871,1078,0051599,005,ORIGINAL,6,136,0,,Y,2,,2011-107801
10,6,10,DE,6,0,6,6,WILMINGTON CANYON,6447,10,1817,2104,1599,2,1,2,2,3,1,1800,4711,1050,2,1,5,10,0,0,1,1,0,0,0,4,3824,7327,78,5400,73,2,2,1,dese2104.tif,00042835.tif,2011,0,0,0,09,01,18871,1078,0051599,005,ORIGINAL,6,135,0,,Y,2,,2011-107802
10,6,10,DE,6,0,6,6,BALTIMORE CANYON,6478,10,1755,2201,1599,2,1,2,1,3,1,1745,7777,9996,2,2,7,8,0,0,1,1,0,0,0,6,3820,7345,60,240,69,2,1,1,dese2201.tif,00042839.tif,2011,0,0,0,09,02,18872,1079,0051599,005,ORIGINAL,6,144,0,,Y,2,,2011-107901
10,6,25,MA,6,0,6,6,PEAKED HILL,7382,25,1415,1103,0784,8,1,1,2,3,2,1415,4677,4678,2,2,5,5,0,1,0,1,0,0,0,4,4205,7008,3,130,98,2,1,2,mase1103.tif,00042843.tif,2011,0,0,0,09,05,18875,1080,0230784,023,ORIGINAL,2,268,0,,Y,2,,2011-108001
10,6,25,MA,6,0,6,6,STELLWAGEN BANK,7382,25,1445,1103,0218,8,1,1,2,1,2,1445,4671,9996,2,2,3,6,1,0,0,0,1,0,0,2,4216,7017,15,150,60,2,2,2,mase1103.tif,00042844.tif,2011,0,0,0,09,05,18875,1080,0230218,023,ORIGINAL,2,270,0,,Y,2,,2011-108002
10,6,25,MA,6,0,6,6,STELLWAGEN BANK N,7382,25,1540,1103,0218,8,1,1,2,1,2,1540,4671,9996,2,2,3,6,1,0,0,0,1,0,0,3,4216,7017,12,200,60,2,1,2,mase1103.tif,00042845.tif,2011,0,0,0,09,05,18875,1080,0230218,023,ORIGINAL,2,269,0,,Y,2,,2011-108003
10,6,25,MA,6,0,6,LIVE LINE,STELLWAGEN BANK,6583,25,1535,1109,0823,17,1,1,2,1,1,1300,4671,9996,2,2,2,7,1,0,0,0,0,0,1,2,4216,7017,13,100,98,2,1,2,mase1109.tif,00042852.tif,2011,0,0,0,09,03,18873,1081,0250823,025,ORIGINAL,2,285,0,,Y,2,,2011-108101
10,6,25,MA,6,0,6,6,STELLWAGEN BANK,6583,25,1545,1109,0823,17,1,2,2,3,1,1405,4671,9996,2,1,4,3,0,1,0,1,0,0,0,2,4216,7017,13,110,61,2,1,2,mase1109.tif,00042853.tif,2011,0,0,0,09,03,18873,1081,0250823,025,ORIGINAL,2,282,0,,Y,2,,2011-108102
10,6,25,MA,6,0,6,JIGGING,STELLWAGEN BANK,6583,25,1630,1109,0098,17,1,1,2,1,1,1620,4671,9996,2,1,2,6,1,1,0,1,0,0,1,5,4225,7025,13,120,64,2,1,1,mase1109.tif,00042854.tif,2011,0,0,0,09,03,18873,1081,0250098,025,ORIGINAL,2,283,0,,Y,2,,2011-108103
10,6,25,MA,6,0,6,6,PEAKED HILL,6583,25,1710,1109,0860,17,1,1,2,2,2,1705,4677,9996,2,2,3,5,0,1,0,1,0,0,0,3,4205,7008,2,108,98,2,1,2,mase1109.tif,00042856.tif,2011,0,0,0,09,03,18873,1081,0090860,009,ORIGINAL,2,284,0,,Y,2,,2011-108104
10,6,25,MA,6,0,6,6,STELLWAGEN BANK,7382,25,1515,1203,0217,8,3,2,2,3,2,1515,3591,9996,2,2,1,5,0,0,1,0,1,0,0,1,4216,7017,12,400,62,1,1,1,mase1203.tif,00042862.tif,2011,0,0,0,09,04,18874,1084,0230217,023,ORIGINAL,2,317,0,,Y,2,,2011-108401
10,6,25,MA,6,0,6,ANCHORED FLOAT,STELLWAGEN BANK,7382,25,1530,1203,0217,8,3,1,2,1,2,1530,4671,9996,2,2,3,6,1,0,0,1,0,0,1,2,4216,7017,15,140,61,2,2,2,mase1203.tif,00042864.tif,2011,0,0,0,09,04,18874,1084,0230217,023,ORIGINAL,2,321,0,,Y,2,,2011-108402
10,6,25,MA,6,0,6,FLOATING,STELLWAGEN BANK,7382,25,1610,1203,0217,8,3,1,2,1,2,1600,4671,9996,2,2,3,5,1,0,0,0,1,0,1,1,4216,7017,12,200,60,1,1,1,mase1203.tif,00042865.tif,2011,0,0,0,09,04,18874,1084,0230217,023,ORIGINAL,2,320,0,,Y,1,,2011-108403
10,6,25,MA,6,0,6,CASTING,PEAKED HILL,7382,25,1620,1203,0217,8,3,1,2,2,7,1620,4677,4678,2,2,3,3,1,0,0,0,0,0,1,2,4205,7008,3,120,98,2,2,2,mase1203.tif,00042867.tif,2011,0,1,0,09,04,18874,1084,0230217,023,ORIGINAL,2,319,0,,Y,2,,2011-108404
10,6,25,MA,6,0,SQUID BARS,CASTING,STELLWAGEN BANK N,7382,25,1630,1203,0217,8,3,1,2,3,2,1630,4677,4678,2,3,5,4,0,1,1,0,0,0,1,3,4225,7025,26,100,59,2,1,2,mase1203.tif,00042868.tif,2011,0,0,0,09,04,18874,1084,0230217,023,ORIGINAL,2,318,0,,Y,2,,2011-108405
10,6,25,MA,6,0,6,DROP LINES,SOUTH STELLWAGEN,7382,25,1700,1203,0217,8,3,1,2,1,2,1700,4671,9996,2,2,2,5,1,0,0,0,0,0,1,2,4210,7015,17,178,64,1,2,2,mase1203.tif,00042869.tif,2011,0,0,0,09,04,18874,1084,0230217,023,ORIGINAL,2,316,0,,Y,2,,2011-108406
10,6,25,MA,6,0,6,6,PEAKED HILL,6721,25,1445,1210,0285,24,3,2,2,3,1,1445,4677,4678,2,2,6,5,0,1,0,1,0,0,0,3,4205,7008,6,130,58,2,1,2,mase1210.tif,00042872.tif,2011,0,0,0,09,03,18873,1085,0010285,001,ORIGINAL,2,378,0,,Y,2,,2011-108501
