tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,batch,month,day,intdate,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1637,2104,1599,2,1,1,2,2,6,1630,4678,9996,2,1,3,10,0,0,1,0,0,1,0,3,3806,7417,40,150,76,2,1,1,dejl2104.tif,00048879.tif,2012,0,1,0,ORIGINAL,0372,07,05,19179,0051599,005,6,188,0,,N,2,,2012-037201
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1706,2104,1599,2,1,1,2,2,1,1700,4711,4678,2,1,5,6,0,1,1,1,0,1,0,5,3806,7417,55,180,79,2,1,1,dejl2104.tif,00048881.tif,2012,1,0,0,ORIGINAL,0372,07,05,19179,0051599,005,6,183,0,,Y,2,,2012-037202
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 500 FATHOM,6447,10,1714,2104,1599,2,1,1,2,2,1,1645,4711,9996,2,2,8,6,0,1,1,1,0,0,0,3,3806,7349,61,1800,78,2,2,1,dejl2104.tif,00048883.tif,2012,0,0,0,ORIGINAL,0372,07,05,19179,0051599,005,6,187,0,,Y,2,,2012-037203
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1727,2104,1599,2,1,1,2,2,1,1630,4678,4711,2,12,9,7,0,1,1,1,0,0,0,4,3806,7417,52,215,79,1,2,1,dejl2104.tif,00048885.tif,2012,0,1,0,ORIGINAL,0372,07,05,19179,0051599,005,6,186,0,,Y,2,,2012-037204
03,6,10,DE,6,0,6,6,WILMINGTON CANYON,6447,10,1739,2104,1599,2,1,1,2,2,1,1720,4711,9996,2,2,8,9,0,1,1,1,0,0,0,5,3824,7327,65,600,75,2,2,1,dejl2104.tif,00048887.tif,2012,0,0,0,ORIGINAL,0372,07,05,19179,0051599,005,6,184,0,,Y,2,,2012-037205
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100FATHOM,6447,10,1745,2104,1599,2,1,2,1,3,1,1715,4711,9996,2,2,7,6,0,1,1,1,0,0,0,6,3814,7350,60,600,75,2,2,1,dejl2104.tif,00048889.tif,2012,0,0,0,ORIGINAL,0372,07,05,19179,0051599,005,6,182,0,,Y,2,,2012-037206
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 500 FATHOM,6447,10,1808,2104,1599,2,1,1,2,2,7,1745,4711,4678,2,2,8,10,0,1,1,1,0,0,0,5,3806,7349,65,3000,79,2,2,1,dejl2104.tif,00048891.tif,2012,0,1,0,ORIGINAL,0372,07,05,19179,0051599,005,6,185,0,,Y,2,,2012-037207
03,6,10,DE,6,0,6,6,BALTIMORE CANYON 100 FATHOM,6447,10,1829,2104,1599,2,1,1,2,2,7,1820,4711,9996,2,2,8,9,0,1,1,1,0,0,0,5,3814,7350,68,600,75,2,1,2,dejl2104.tif,00048893.tif,2012,0,1,0,ORIGINAL,0372,07,05,19179,0051599,005,6,181,0,,Y,2,,2012-037208
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1738,2201,0013,1,1,1,2,2,1,1730,4711,4678,2,1,4,6,0,0,1,0,0,1,0,5,3806,7417,38,130,74,2,1,1,dejl2201.tif,00048896.tif,2012,0,0,0,ORIGINAL,0373,07,02,19176,0050013,005,6,193,0,,Y,1,,2012-037301
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6447,10,1546,2202,1599,2,1,1,2,2,1,1530,4711,4678,2,2,7,6,0,1,1,1,0,0,0,3,3820,7345,63,400,76,2,1,1,dejl2202.tif,00048900.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,206,0,,Y,2,,2012-037401
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6447,10,1551,2202,1599,2,1,1,2,2,1,1500,4711,9996,2,2,6,5,0,1,1,1,0,0,0,4,3814,7350,55,1400,76,2,1,1,dejl2202.tif,00048902.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,200,0,,Y,2,,2012-037402
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1557,2202,1599,2,1,1,2,3,7,1530,4678,4711,2,1,6,6,0,0,1,1,0,1,0,4,3806,7417,45,196,78,2,1,2,dejl2202.tif,00048904.tif,2012,0,1,0,ORIGINAL,0374,07,06,19180,0051599,005,6,195,0,,Y,2,,2012-037403
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1604,2202,1599,2,1,2,1,3,1,1545,4656,9996,2,1,4,5,0,0,1,0,0,1,0,3,3806,7417,50,180,78,2,2,1,dejl2202.tif,00048905.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,198,0,,Y,2,,2012-037404
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1612,2202,1599,2,1,2,2,3,1,1500,4656,9996,2,2,8,5,0,1,1,1,0,0,0,6,3806,7417,52,212,80,2,1,1,dejl2202.tif,00048907.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,199,0,,Y,2,,2012-037405
03,6,10,DE,6,0,6,6,BALTIMORE CANYON,6447,10,1620,2202,1599,2,1,1,2,2,1,1600,4711,9996,2,2,11,7,0,1,1,1,0,0,0,5,3814,7350,55,500,78,1,1,2,dejl2202.tif,00048909.tif,2012,0,1,0,ORIGINAL,0374,07,06,19180,0051599,005,6,209,0,,Y,2,,2012-037406
03,6,10,DE,6,0,6,6,MASSEYS CANYON,6447,10,1631,2202,1599,2,1,1,2,2,7,1615,4678,9996,2,2,10,5,0,1,1,1,0,0,0,5,3825,7420,34,108,77,1,2,1,dejl2202.tif,00048910.tif,2012,0,1,0,ORIGINAL,0374,07,06,19180,0051599,005,6,205,0,,Y,2,,2012-037407
03,6,10,DE,6,0,6,6,TEA CUP,6447,10,1645,2202,1599,2,1,1,2,2,1,1640,4656,9996,2,2,8,6,0,1,1,1,0,0,0,4,3821,7410,47,210,78,1,1,1,dejl2202.tif,00048912.tif,2012,1,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,208,0,,Y,2,,2012-037408
03,6,10,DE,6,0,6,6,HOT DOG,6447,10,1650,2202,1599,2,1,2,1,3,1,1630,4678,4677,2,1,4,6,0,0,1,0,0,1,0,6,3806,7417,50,190,79,2,2,1,dejl2202.tif,00048914.tif,2012,0,1,0,ORIGINAL,0374,07,06,19180,0051599,005,6,196,0,,N,2,,2012-037409
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1656,2202,1599,2,1,1,2,3,1,1630,4711,2161,2,2,8,7,0,1,1,1,0,0,0,6,3820,7345,55,360,76,1,1,1,dejl2202.tif,00048916.tif,2012,0,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,202,0,,N,2,,2012-037410
03,6,10,DE,6,1,6,6,BALTIMORE CANYON,6447,10,1726,2202,1599,2,1,1,2,2,1,1715,4711,9996,2,2,8,7,0,1,1,1,0,0,0,5,3806,7349,70,2400,77,2,2,1,dejl2202.tif,00048918.tif,2012,1,0,0,ORIGINAL,0374,07,06,19180,0051599,005,6,194,0,,Y,2,,2012-037411
