tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,prep,recno,s_index,serrflag,sprobfld,id
17,9996,9996,673,2,9996,6936,5,1,2012,10,06,0471493,0,0,24,02,1101,1,mdoc1101.tif,00057887.tif,1050,1791,0,4,13,0,,2012-179102
18,9996,9996,684,1,9996,7437,5,1,2012,10,06,1030037,0,0,36,06,1204,1,nyoc1204.tif,00058191.tif,1050,1808,0,2,32,0,,2012-180806
18,9996,9996,687,1,9996,7379,3,1,2012,10,06,0470853,0,0,24,04,1205,1,mdoc1205.tif,00058085.tif,1050,1828,0,2,25,0,,2012-182804
17,9996,9996,712,2,9996,6794,3,1,2012,10,05,0470853,0,0,24,01,2101,1,mdoc2101.tif,00057969.tif,1050,1797,0,6,7,0,,2012-179701
17,9996,9996,717,2,9996,6936,7,1,2012,10,05,0470938,0,0,24,02,2201,1,mdoc2201.tif,00057917.tif,1050,1798,0,1,18,0,,2012-179802
19,9996,9996,735,1,9996,7415,1,1,2012,10,14,8100091,0,0,51,01,1103,1,vaoc1103.tif,00058408.tif,1050,1901,0,10,51,0,,2012-190101
18,9996,9996,749,1,9996,7437,5,1,2012,10,06,1030037,0,0,36,04,1204,1,nyoc1204.tif,00058187.tif,1050,1808,0,1,31,0,,2012-180804
19,9996,9996,762,1,9996,6416,6,1,2012,10,06,0251050,0,0,34,10,1101,1,njoc1101.tif,00058485.tif,1050,1919,0,2,26,0,,2012-191910
19,9996,9996,763,2,9996,6633,3,1,2012,10,21,8101832,0,0,51,01,1111,1,vaoc1111.tif,00058717.tif,1050,1984,0,4,42,0,,2012-198401
18,9996,9996,771,2,9996,7422,5,1,2012,10,05,1030037,0,0,36,04,2207,1,nyoc2207.tif,00058143.tif,1050,1835,0,1,28,0,,2012-183504
19,9996,9996,772,2,9996,6633,3,1,2012,10,18,8100088,0,0,51,01,2111,1,vaoc2111.tif,00058574.tif,1050,1942,0,3,33,0,,2012-194201
18,9996,9996,800,2,9996,7421,1,1,2012,10,04,8100091,0,0,51,01,2202,1,vaoc2202.tif,00058006.tif,1050,1814,0,2,57,0,,2012-181401
18,9996,9996,820,1,9996,7421,1,1,2012,10,06,8100002,0,0,51,03,1201,1,vaoc1201.tif,00058000.tif,1050,1813,0,1,54,0,,2012-181303
17,9996,9996,828,1,9996,6794,3,1,2012,10,05,0470853,0,0,24,01,2101,1,mdoc2101.tif,00057969.tif,1050,1797,0,5,6,0,,2012-179701
17,9996,9996,832,2,9996,6794,3,1,2012,10,05,0470853,0,0,24,01,2101,1,mdoc2101.tif,00057969.tif,1050,1797,0,1,4,0,,2012-179701
17,9996,9996,881,2,9996,6936,5,1,2012,10,06,0471493,0,0,24,02,1101,1,mdoc1101.tif,00057887.tif,1050,1791,0,6,15,0,,2012-179102
17,9996,9996,890,2,9996,6936,7,1,2012,10,05,0470938,0,0,24,01,2201,1,mdoc2201.tif,00057915.tif,1050,1798,0,4,17,0,,2012-179801
18,9996,9996,958,2,9996,7437,5,1,2012,10,06,1030037,0,0,36,01,1204,1,nyoc1204.tif,00058180.tif,1050,1808,0,6,29,0,,2012-180801
17,9996,9996,988,2,9996,6936,5,1,2012,10,03,0471493,0,0,24,01,2106,1,mdoc2106.tif,00057747.tif,1050,1762,2,4,8,0,,2012-176201
18,9996,9996,1010,1,9996,7421,1,1,2012,10,04,8100091,0,0,51,01,2202,1,vaoc2202.tif,00058006.tif,1050,1814,0,1,56,0,,2012-181401
18,9996,9996,1109,1,9996,7437,5,1,2012,10,06,1030037,0,0,36,02,1204,1,nyoc1204.tif,00058182.tif,1050,1808,0,1,30,0,,2012-180802
19,2053,1763,9996,6,9996,2836,1,1,2012,10,17,8100091,0,0,51,01,2101,1,vaoc2101.tif,00058517.tif,2161,1929,0,99,58,0,,2012-192901
18,1820,1600,9996,6,9996,7421,1,1,2012,10,04,8100091,0,0,51,01,2202,1,vaoc2202.tif,00058006.tif,2161,1814,0,99,59,0,,2012-181401
19,9996,9996,1372,2,9996,2836,1,1,2012,10,17,8100091,0,0,51,01,2101,1,vaoc2101.tif,00058517.tif,3551,1929,0,4,62,0,,2012-192901
18,9996,9996,1684,2,9996,7405,2,1,2012,10,05,0010282,0,0,25,05,2101,1,maoc2101.tif,00058068.tif,3551,1825,0,1,60,0,,2012-182505
18,9996,9996,1977,1,9996,7453,3,1,2012,10,08,1030175,1,0,36,01,1107,1,nyoc1107.tif,00058125.tif,3551,1833,0,1,61,0,,2012-183301
19,1868,1285,9996,6,9996,6416,6,1,2012,10,06,0251005,0,0,34,08,1101,1,njoc1101.tif,00058482.tif,4328,1919,0,99,63,0,,2012-191908
18,2089,1432,9996,6,9996,7437,5,1,2012,10,06,1030037,0,0,36,01,1204,1,nyoc1204.tif,00058180.tif,4328,1808,0,99,64,0,,2012-180801
18,9996,9996,2059,6,2142,6634,8,1,2012,10,06,0230218,0,0,25,02,1204,1,maoc1204.tif,00058151.tif,4671,1836,0,1,65,0,,2012-183602
19,9996,9996,711,6,725,6416,6,1,2012,10,13,0251050,0,0,34,01,1110,1,njoc1110.tif,00058493.tif,4677,1920,0,1,68,0,,2012-192001
20,9996,9996,788,6,831,6855,1,4,2012,10,25,0590626,0,0,36,03,2104,1,nyoc2104.tif,00058933.tif,4677,2039,0,1,69,0,,2012-203903
17,9996,9996,1106,6,1144,6698,18,3,2012,10,07,0010279,0,0,25,07,1110,1,maoc1110.tif,00057880.tif,4677,1790,2,1,66,0,,2012-179007
18,9996,9996,1125,6,1142,6698,18,3,2012,10,13,0010279,0,0,25,02,1111,1,maoc1111.tif,00058352.tif,4677,1881,2,1,67,0,,2012-188102
18,9996,9996,562,6,9996,2836,3,1,2012,10,06,8100088,0,0,51,03,1204,1,vaoc1204.tif,00058230.tif,4681,1841,0,1,79,0,,2012-184103
18,9996,9996,572,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,5,75,0,,2012-189801
18,9996,9996,575,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,3,73,0,,2012-189801
18,9996,9996,576,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,6,76,0,,2012-189801
18,9996,9996,578,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,1,71,0,,2012-189801
18,9996,9996,581,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,4,74,0,,2012-189801
18,9996,9996,584,6,9996,6855,1,1,2012,10,08,0590043,0,0,36,01,1106,1,nyoc1106.tif,00058396.tif,4681,1898,0,2,72,0,,2012-189801
